date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,SI%,KC%,wSI/C,wKC/C,vSI,vKC,Stf+ SI,Loc+ SI,Pit+ SI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024-04-22,746242,Flyout,field_out,True,501303,544150,Ehire Adrianza,Albert Suárez,0,e68445a5-197d-4a85-9d8a-98c032169fdb,544150.0,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,2.82,4.07,70.1,100.0,90.0,96.0,0.79,7.04,3.2,7.93,0.51,0.78,0.252,0.421,0.126,0.262,0.386,98.0,99.0,106.0,93.0,97.0,97.0,92.0,101.0,95.0,,,,0.529,,0.092,0.178,0.49,,-0.29,1.03,95.1,85.9,,78.5,0.241,0.38,0.214,,,,0.19,0.293,0.228,0.238,0.333,0.205,73.0,101.0,91.0,0.2,-0.22,86.4,0.283,0.413,0.302,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-22,746242,Flyout,field_out,True,501303,544150,Ehire Adrianza,Albert Suárez,0,81a3a012-3708-4372-b52b-80aceb235a27,544150.0,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,2.82,4.07,70.1,100.0,90.0,96.0,0.79,7.04,3.2,7.93,0.51,0.78,0.252,0.421,0.126,0.262,0.386,98.0,99.0,106.0,93.0,97.0,97.0,92.0,101.0,95.0,,,,0.529,,0.092,0.178,0.49,,-0.29,1.03,95.1,85.9,,78.5,0.241,0.38,0.214,,,,0.19,0.293,0.228,0.238,0.333,0.205,73.0,101.0,91.0,0.2,-0.22,86.4,0.283,0.413,0.302,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-22,746242,Walk,walk,False,501303,657508,Ehire Adrianza,Mike Baumann,1,e3df2377-5941-4e61-a245-0c4d3fa58843,657508.0,mikebaumann,Baumann,Right,Mike Baumann,- - -,4.41,4.48,34.2,94.0,120.0,99.0,0.772,8.31,4.41,8.05,1.56,0.98,0.291,0.32,0.126,0.301,0.442,90.0,110.0,107.0,,,,123.0,96.0,99.0,110.0,82.0,88.0,0.396,0.215,,0.034,-3.29,1.8,,0.22,96.3,89.1,92.2,,0.327,0.75,0.174,0.192,0.346,0.291,0.2,0.2,0.25,0.16,0.16,0.327,,,,,,,,,,125.0,97.0,105.0,0.002,0.353,-3.42,0.44,95.8,87.6,,,,,,,,,,,,,,,
2024-04-22,746242,Strikeout,strikeout,True,501303,518886,Ehire Adrianza,Craig Kimbrel,1,26985b27-adfc-492e-873f-98e9ecd611b0,518886.0,craigkimbrel,Kimbrel,Right,Craig Kimbrel,BAL,2.8,3.15,35.1,98.0,116.0,103.0,0.724,13.5,4.08,4.58,0.76,0.58,0.353,0.353,0.206,0.279,0.45,,,,,,,114.0,99.0,101.0,77.0,102.0,110.0,0.682,0.067,,,1.16,0.86,,,94.2,,85.8,,0.163,0.302,0.312,0.091,0.091,0.533,,,,0.13,0.13,0.302,,,,,,,,,,122.0,96.0,106.0,,0.251,,1.69,,84.5,,,,,,,,,,,,,,,
2024-04-24,746244,Flyout,field_out,True,501303,657097,Ehire Adrianza,Jacob Webb,0,4c353fd4-89b7-43ba-a863-3ec819a56a3a,657097.0,jacobwebb,"Webb, J",Right,Jacob Webb,BAL,2.55,3.39,42.1,100.0,110.0,103.0,0.745,8.93,4.46,5.53,0.43,0.76,0.295,0.375,0.188,0.313,0.441,113.0,102.0,104.0,,,,108.0,99.0,100.0,109.0,101.0,108.0,0.454,0.281,,0.265,0.15,1.42,,2.39,93.5,84.4,82.6,,0.182,0.333,0.248,0.209,0.256,0.205,0.111,0.178,0.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-24,746244,Single,single,False,501303,518886,Ehire Adrianza,Craig Kimbrel,1,f0ab9e21-3e7f-4e94-bad1-f064bca98ec2,518886.0,craigkimbrel,Kimbrel,Right,Craig Kimbrel,BAL,2.8,3.15,35.1,98.0,116.0,103.0,0.724,13.5,4.08,4.58,0.76,0.58,0.353,0.353,0.206,0.279,0.45,,,,,,,114.0,99.0,101.0,77.0,102.0,110.0,0.682,0.067,,,1.16,0.86,,,94.2,,85.8,,0.163,0.302,0.312,0.091,0.091,0.533,,,,0.13,0.13,0.302,,,,,,,,,,122.0,96.0,106.0,,0.251,,1.69,,84.5,,,,,,,,,,,,,,,
2024-04-26,746243,Strikeout,strikeout,True,501303,641927,Ehire Adrianza,Bailey Ober,0,5adcf45c-8b93-4676-a4a8-5c88a218ebed,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,74.0,103.0,101.0,0.389,0.128,0.012,0.251,-1.08,1.95,4.25,1.52,91.9,83.4,80.5,76.0,0.307,0.606,0.247,0.098,0.196,0.319,0.173,0.337,0.37,,,,85.0,107.0,103.0,0.22,0.2,86.5,0.256,0.43,0.224,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-26,746243,Strikeout,strikeout,True,501303,621199,Ehire Adrianza,Matt Bowman,0,02d22b58-114e-4ce9-97ed-042100d12254,621199.0,mattbowman,Bowman,Right,Matt Bowman,- - -,5.4,5.26,15.0,98.0,100.0,100.0,0.848,6.0,4.2,6.6,1.8,1.29,0.298,0.447,0.191,0.404,0.405,,,,,,,58.0,171.0,150.0,135.0,95.0,108.0,0.004,0.251,,,14.33,-5.31,,,93.7,,81.6,,,,,0.308,0.923,0.148,,,,,,,83.0,78.0,76.0,0.158,0.14,90.4,0.0,0.0,0.2,,,,0.409,,1.96,,92.3,,87.0,106.0,101.0,0.179,0.357,0.13,97.0,101.0,113.0,0.178,-1.37,84.2,0.167,0.25,0.238
2024-04-29,746236,Single,single,True,501303,650911,Ehire Adrianza,Cristopher Sánchez,1,6d4458c8-db41-412d-a959-a6151507fe13,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,,,,,,,95.0,100.0,104.0,,0.184,,0.337,,1.12,,2.05,,85.2,84.1,,,,,0.217,0.319,0.292,0.166,0.185,0.385,,,,86.0,52.0,74.0,0.002,2.59,86.5,,,,,,,0.477,,-0.18,,94.4,,98.0,99.0,98.0,0.343,0.436,0.1,,,,,,,,,
2024-04-29,746236,Lineout,field_out,True,501303,650911,Ehire Adrianza,Cristopher Sánchez,0,436e7571-441e-4f6a-9963-64a5876b62ec,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,,,,,,,95.0,100.0,104.0,,0.184,,0.337,,1.12,,2.05,,85.2,84.1,,,,,0.217,0.319,0.292,0.166,0.185,0.385,,,,86.0,52.0,74.0,0.002,2.59,86.5,,,,,,,0.477,,-0.18,,94.4,,98.0,99.0,98.0,0.343,0.436,0.1,,,,,,,,,
2024-04-29,746236,Caught Stealing 2B,caught_stealing_2b,True,501303,689147,Ehire Adrianza,Orion Kerkering,0,8a6e94ea-7bca-41bc-a7e9-9ee440d6990c,689147.0,orionkerkering,Kerkering,Right,Orion Kerkering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216,0.27,0.275,0.264,0.319,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.13,0.175,,,,,,,,,
2024-04-29,746236,Single,single,False,501303,622554,Ehire Adrianza,Seranthony Domínguez,0,23f7d979-cfb6-4e5a-be1e-6cfc84ffdc13,622554.0,seranthonydominguez,Domínguez,Right,Seranthony Domínguez,PHI,4.76,3.19,34.0,97.0,123.0,101.0,0.763,10.32,3.18,7.94,1.59,0.8,0.302,0.375,0.198,0.24,0.434,22.0,105.0,95.0,,,,123.0,94.0,95.0,134.0,100.0,107.0,0.402,0.394,,0.008,0.27,0.55,,-14.14,97.5,91.5,88.5,,0.233,0.372,0.22,0.133,0.383,0.379,,,,,,,,,,,,,,,,,,,0.196,,-1.98,,97.9,,102.0,98.0,103.0,0.355,0.452,0.065,,,,,,,,,
2024-04-29,746236,Groundout,field_out,True,501303,642397,Ehire Adrianza,Gregory Soto,0,c1af4bc3-e2b8-4ca4-97e3-256ff8b1f45f,642397.0,gregorysoto,"Soto, G",Left,Gregory Soto,PHI,3.31,4.48,32.2,96.0,113.0,99.0,0.702,11.3,4.96,8.82,0.28,1.64,0.326,0.291,0.116,0.349,0.432,,,,,,,96.0,89.0,80.0,117.0,96.0,104.0,0.128,0.451,,,-3.7,0.86,,,98.1,,86.0,,0.417,0.417,0.333,0.222,0.222,0.294,,,,,,,,,,0.012,0.36,91.8,,,,,,,0.41,,0.19,,97.5,,115.0,97.0,100.0,0.311,0.444,0.121,,,,,,,,,
2024-05-01,746238,Home Run,home_run,False,501303,554430,Ehire Adrianza,Zack Wheeler,0,36da0f17-af0b-4cac-a98d-8e30d0115d47,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.7,2.9,116.2,104.0,106.0,108.0,0.749,9.72,2.7,6.25,0.85,1.17,0.274,0.341,0.221,0.284,0.425,,,,114.0,99.0,107.0,101.0,107.0,109.0,128.0,107.0,114.0,0.416,0.116,0.099,,0.69,1.61,-0.34,,95.1,,84.4,81.5,0.219,0.391,0.294,0.14,0.2,0.327,,,,0.179,0.333,0.357,95.0,98.0,98.0,0.104,-0.15,90.9,0.244,0.439,0.184,,,,0.187,,2.48,,94.4,,109.0,103.0,108.0,0.173,0.24,0.149,96.0,106.0,107.0,0.078,0.85,86.1,0.171,0.257,0.385
2024-05-01,746238,Strikeout,strikeout,True,501303,554430,Ehire Adrianza,Zack Wheeler,0,bab0ffd2-1562-49b2-9adf-9815a5a6a80f,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.7,2.9,116.2,104.0,106.0,108.0,0.749,9.72,2.7,6.25,0.85,1.17,0.274,0.341,0.221,0.284,0.425,,,,114.0,99.0,107.0,101.0,107.0,109.0,128.0,107.0,114.0,0.416,0.116,0.099,,0.69,1.61,-0.34,,95.1,,84.4,81.5,0.219,0.391,0.294,0.14,0.2,0.327,,,,0.179,0.333,0.357,95.0,98.0,98.0,0.104,-0.15,90.9,0.244,0.439,0.184,,,,0.187,,2.48,,94.4,,109.0,103.0,108.0,0.173,0.24,0.149,96.0,106.0,107.0,0.078,0.85,86.1,0.171,0.257,0.385
2024-05-01,746238,Strikeout,strikeout,True,501303,689147,Ehire Adrianza,Orion Kerkering,0,810c5970-bac9-41d7-b2c6-411348dc604c,689147.0,orionkerkering,Kerkering,Right,Orion Kerkering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216,0.27,0.275,0.264,0.319,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.13,0.175,,,,,,,,,
2024-05-01,746238,Groundout,field_out,True,501303,642397,Ehire Adrianza,Gregory Soto,0,b7574531-4222-4401-a6dc-06f76c68c76f,642397.0,gregorysoto,"Soto, G",Left,Gregory Soto,PHI,3.31,4.48,32.2,96.0,113.0,99.0,0.702,11.3,4.96,8.82,0.28,1.64,0.326,0.291,0.116,0.349,0.432,,,,,,,96.0,89.0,80.0,117.0,96.0,104.0,0.128,0.451,,,-3.7,0.86,,,98.1,,86.0,,0.417,0.417,0.333,0.222,0.222,0.294,,,,,,,,,,0.012,0.36,91.8,,,,,,,0.41,,0.19,,97.5,,115.0,97.0,100.0,0.311,0.444,0.121,,,,,,,,,
2024-05-03,746645,Strikeout,strikeout,True,501303,676440,Ehire Adrianza,Tanner Bibee,0,614c4470-ae51-446f-9e1a-73a2ac4bdf53,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.58,3.51,110.2,104.0,102.0,106.0,0.761,10.25,2.44,7.56,1.06,0.84,0.29,0.392,0.14,0.28,0.448,85.0,102.0,111.0,119.0,111.0,113.0,94.0,103.0,99.0,116.0,104.0,112.0,0.44,0.27,0.118,0.171,-1.35,1.69,-0.54,1.17,94.6,82.4,86.2,81.5,0.305,0.524,0.214,0.128,0.223,0.355,0.212,0.353,0.276,0.186,0.4,0.241,,,,,,,,,,,,,0.001,,-3.42,,92.5,,,,,,,,,,,,,,,,
2024-05-03,746645,Walk,walk,False,501303,676440,Ehire Adrianza,Tanner Bibee,0,5a52d1f4-a502-4fbd-aa8b-5d4b5ae5feb4,676440.0,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.58,3.51,110.2,104.0,102.0,106.0,0.761,10.25,2.44,7.56,1.06,0.84,0.29,0.392,0.14,0.28,0.448,85.0,102.0,111.0,119.0,111.0,113.0,94.0,103.0,99.0,116.0,104.0,112.0,0.44,0.27,0.118,0.171,-1.35,1.69,-0.54,1.17,94.6,82.4,86.2,81.5,0.305,0.524,0.214,0.128,0.223,0.355,0.212,0.353,0.276,0.186,0.4,0.241,,,,,,,,,,,,,0.001,,-3.42,,92.5,,,,,,,,,,,,,,,,
2024-05-03,746645,Strikeout,strikeout,True,501303,682120,Ehire Adrianza,Tim Herrin,0,5c16cd31-e3b6-48fc-890e-67f28d4eb497,682120.0,timherrin,Herrin,Left,Tim Herrin,CLE,1.45,3.36,37.1,96.0,105.0,98.0,0.72,9.4,4.34,4.58,0.24,1.41,0.148,0.455,0.193,0.273,0.411,,,,105.0,96.0,99.0,97.0,93.0,88.0,116.0,95.0,100.0,0.254,0.249,0.398,,1.69,0.48,1.95,,95.4,,87.6,81.5,0.176,0.206,0.171,0.238,0.381,0.338,,,,0.138,0.224,0.385,,,,,,,,,,,,,0.098,,5.35,,94.0,,106.0,106.0,112.0,0.0,0.0,0.115,,,,,,,,,
2024-05-03,746645,Groundout,field_out,True,501303,657265,Ehire Adrianza,Peter Strzelecki,0,f07afe75-1d67-4ae6-8179-7d7382bff64b,657265.0,peterstrzelecki,Strzelecki,Right,Peter Strzelecki,CLE,0.0,6.63,5.2,91.0,89.0,88.0,0.85,4.76,1.59,7.94,0.0,2.0,0.176,0.353,0.294,0.176,0.415,82.0,88.0,92.0,,,,85.0,95.0,87.0,141.0,93.0,102.0,0.512,0.171,,0.134,0.57,12.28,,-6.89,91.7,82.4,81.5,,0.375,0.375,0.238,0.0,0.0,0.167,0.5,0.5,0.0,,,,32.0,84.0,90.0,0.146,4.51,87.6,,,,,,,0.037,,4.05,,90.4,,75.0,82.0,52.0,,,,,,,,,,,,
2024-05-04,746644,Strikeout,strikeout,True,501303,594902,Ehire Adrianza,Ben Lively,0,f4cb3a58-49f7-4cf9-b11c-81f449cdd16a,594902.0,benlively,Lively,Right,Ben Lively,CLE,3.58,3.59,88.0,103.0,72.0,95.0,0.815,7.98,2.56,7.98,1.53,0.91,0.244,0.408,0.125,0.319,0.433,88.0,108.0,101.0,52.0,102.0,94.0,58.0,93.0,81.0,108.0,106.0,104.0,0.302,0.245,0.072,0.075,-0.32,0.57,-0.49,0.48,89.9,83.5,79.2,76.6,0.268,0.507,0.175,0.167,0.5,0.371,0.207,0.345,0.196,0.222,0.37,0.188,,,,,,,,,,,,,0.305,,0.18,,90.4,,62.0,111.0,99.0,0.25,0.45,0.152,,,,,,,,,
2024-05-04,746644,Groundout,field_out,True,501303,594902,Ehire Adrianza,Ben Lively,0,22112e52-0636-456b-831e-dd994e2f9766,594902.0,benlively,Lively,Right,Ben Lively,CLE,3.58,3.59,88.0,103.0,72.0,95.0,0.815,7.98,2.56,7.98,1.53,0.91,0.244,0.408,0.125,0.319,0.433,88.0,108.0,101.0,52.0,102.0,94.0,58.0,93.0,81.0,108.0,106.0,104.0,0.302,0.245,0.072,0.075,-0.32,0.57,-0.49,0.48,89.9,83.5,79.2,76.6,0.268,0.507,0.175,0.167,0.5,0.371,0.207,0.345,0.196,0.222,0.37,0.188,,,,,,,,,,,,,0.305,,0.18,,90.4,,62.0,111.0,99.0,0.25,0.45,0.152,,,,,,,,,
2024-05-04,746644,Flyout,field_out,True,501303,594902,Ehire Adrianza,Ben Lively,0,10180d2e-f409-4e9d-ae7b-ee9ac77fede4,594902.0,benlively,Lively,Right,Ben Lively,CLE,3.58,3.59,88.0,103.0,72.0,95.0,0.815,7.98,2.56,7.98,1.53,0.91,0.244,0.408,0.125,0.319,0.433,88.0,108.0,101.0,52.0,102.0,94.0,58.0,93.0,81.0,108.0,106.0,104.0,0.302,0.245,0.072,0.075,-0.32,0.57,-0.49,0.48,89.9,83.5,79.2,76.6,0.268,0.507,0.175,0.167,0.5,0.371,0.207,0.345,0.196,0.222,0.37,0.188,,,,,,,,,,,,,0.305,,0.18,,90.4,,62.0,111.0,99.0,0.25,0.45,0.152,,,,,,,,,
2024-05-04,746644,Strikeout,strikeout,True,501303,671922,Ehire Adrianza,Cade Smith,0,d1b9fadd-89a4-4c6a-a2cf-9745d3274e77,671922.0,cadesmith,"Smith, C",Right,Cade Smith,CLE,2.22,2.32,44.2,104.0,124.0,110.0,0.732,12.49,1.81,6.45,0.2,1.71,0.276,0.347,0.133,0.235,0.496,,,,,,,116.0,110.0,113.0,129.0,95.0,98.0,0.678,0.128,,,3.16,-1.42,,,95.9,,82.0,,0.175,0.263,0.286,0.357,0.571,0.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,93.0,104.0,0.194,-0.58,88.6,0.219,0.281,0.316
2024-05-08,745507,Double,double,False,501303,527048,Ehire Adrianza,Martín Pérez,0,83f922e6-04aa-4351-8022-921435f51018,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,PIT,5.61,5.76,77.0,103.0,71.0,95.0,0.841,7.13,3.16,11.81,1.52,1.23,0.191,0.475,0.16,0.335,0.426,77.0,106.0,97.0,71.0,98.0,96.0,52.0,92.0,90.0,,,,0.055,,0.101,0.215,-5.77,,0.23,-3.51,91.4,83.4,,78.3,0.375,0.625,0.036,,,,0.338,0.588,0.275,0.364,0.409,0.306,65.0,105.0,94.0,0.254,-0.81,88.4,0.304,0.609,0.196,,,,0.375,,-0.23,,90.9,,75.0,103.0,96.0,0.3,0.423,0.1,,,,,,,,,
2024-05-08,745507,Grounded Into DP,grounded_into_double_play,True,501303,527048,Ehire Adrianza,Martín Pérez,1,6c854c40-ce55-4762-a4a0-1230ed4a72d4,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,PIT,5.61,5.76,77.0,103.0,71.0,95.0,0.841,7.13,3.16,11.81,1.52,1.23,0.191,0.475,0.16,0.335,0.426,77.0,106.0,97.0,71.0,98.0,96.0,52.0,92.0,90.0,,,,0.055,,0.101,0.215,-5.77,,0.23,-3.51,91.4,83.4,,78.3,0.375,0.625,0.036,,,,0.338,0.588,0.275,0.364,0.409,0.306,65.0,105.0,94.0,0.254,-0.81,88.4,0.304,0.609,0.196,,,,0.375,,-0.23,,90.9,,75.0,103.0,96.0,0.3,0.423,0.1,,,,,,,,,
2024-05-08,745507,Strikeout,strikeout,True,501303,527048,Ehire Adrianza,Martín Pérez,0,d7a5cdd5-fe3c-45cc-856d-78700a259ea0,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,PIT,5.61,5.76,77.0,103.0,71.0,95.0,0.841,7.13,3.16,11.81,1.52,1.23,0.191,0.475,0.16,0.335,0.426,77.0,106.0,97.0,71.0,98.0,96.0,52.0,92.0,90.0,,,,0.055,,0.101,0.215,-5.77,,0.23,-3.51,91.4,83.4,,78.3,0.375,0.625,0.036,,,,0.338,0.588,0.275,0.364,0.409,0.306,65.0,105.0,94.0,0.254,-0.81,88.4,0.304,0.609,0.196,,,,0.375,,-0.23,,90.9,,75.0,103.0,96.0,0.3,0.423,0.1,,,,,,,,,
2024-05-08,745507,Strikeout,strikeout,True,501303,547973,Ehire Adrianza,Aroldis Chapman,0,ac20037a-2b92-47dd-94ee-0a955bb5fefa,547973.0,aroldischapman,Chapman,Left,Aroldis Chapman,PIT,4.15,4.02,34.2,92.0,132.0,101.0,0.704,14.54,8.31,6.23,1.04,0.87,0.304,0.348,0.188,0.304,0.424,,,,,,,97.0,80.0,82.0,100.0,86.0,102.0,0.342,0.286,,,-0.41,0.1,,,97.5,,86.6,,0.185,0.333,0.265,0.207,0.276,0.311,,,,,,,,,,,,,,,,,,,0.263,,-1.42,,99.3,,228.0,109.0,122.0,0.222,0.467,0.316,91.0,104.0,105.0,0.11,1.87,91.3,0.136,0.182,0.514
