date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,KC%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFC,vFS,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,CH_ba,CH_slg,CH_whiff,EP%,wEP/C,vEP,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff
2024-05-27,745254,Groundout,field_out,True,669208,664285,Ryan Bliss,Framber Valdez,0,b96105cd-f694-47c3-9593-592be5699441,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.66,3.99,98.1,96.0,110.0,100.0,0.77,7.51,2.93,8.6,0.73,3.21,0.204,0.398,0.106,0.338,0.427,63.0,111.0,97.0,95.0,101.0,97.0,102.0,102.0,114.0,,,,,,,,,,0.514,0.017,,,0.04,,-3.8,,,1.28,0.84,,94.2,,,93.8,85.6,,0.4,1.0,0.273,0.31,0.411,0.12,,,,0.211,0.421,0.367,0.149,0.23,0.399,,,,125.0,91.0,100.0,128.0,91.0,103.0,0.278,0.15,0.45,-0.13,89.5,80.0,0.264,0.358,0.345,,,,,,,,,
2024-05-27,745254,Lineout,field_out,True,669208,664285,Ryan Bliss,Framber Valdez,0,14020c15-8d00-4aed-adc7-4ef81b6875d3,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.66,3.99,98.1,96.0,110.0,100.0,0.77,7.51,2.93,8.6,0.73,3.21,0.204,0.398,0.106,0.338,0.427,63.0,111.0,97.0,95.0,101.0,97.0,102.0,102.0,114.0,,,,,,,,,,0.514,0.017,,,0.04,,-3.8,,,1.28,0.84,,94.2,,,93.8,85.6,,0.4,1.0,0.273,0.31,0.411,0.12,,,,0.211,0.421,0.367,0.149,0.23,0.399,,,,125.0,91.0,100.0,128.0,91.0,103.0,0.278,0.15,0.45,-0.13,89.5,80.0,0.264,0.358,0.345,,,,,,,,,
2024-05-27,745254,Walk,walk,False,669208,664285,Ryan Bliss,Framber Valdez,1,a7c3a705-1e7b-4595-90d4-d74ef4c83296,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.66,3.99,98.1,96.0,110.0,100.0,0.77,7.51,2.93,8.6,0.73,3.21,0.204,0.398,0.106,0.338,0.427,63.0,111.0,97.0,95.0,101.0,97.0,102.0,102.0,114.0,,,,,,,,,,0.514,0.017,,,0.04,,-3.8,,,1.28,0.84,,94.2,,,93.8,85.6,,0.4,1.0,0.273,0.31,0.411,0.12,,,,0.211,0.421,0.367,0.149,0.23,0.399,,,,125.0,91.0,100.0,128.0,91.0,103.0,0.278,0.15,0.45,-0.13,89.5,80.0,0.264,0.358,0.345,,,,,,,,,
2024-05-28,745258,Groundout,field_out,True,669208,686613,Ryan Bliss,Hunter Brown,0,72bdeaf2-4aa6-40df-a2d7-e2b00b357d8f,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,106.0,101.0,100.0,90.0,100.0,98.0,114.0,105.0,107.0,130.0,99.0,106.0,95.0,107.0,105.0,,,,0.134,0.376,0.157,,0.071,0.127,-0.55,0.16,,0.46,1.74,-1.93,95.7,92.3,,95.5,89.0,82.4,0.272,0.483,0.287,0.268,0.304,0.172,,,,0.192,0.192,0.25,0.28,0.5,0.281,0.236,0.375,0.185,88.0,102.0,105.0,,,,,0.134,,1.13,88.4,,0.208,0.271,0.327,,,,,,,,,
2024-05-28,745258,Flyout,field_out,True,669208,686613,Ryan Bliss,Hunter Brown,0,4a03ed56-427b-4ee0-887c-3cc359481c44,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,106.0,101.0,100.0,90.0,100.0,98.0,114.0,105.0,107.0,130.0,99.0,106.0,95.0,107.0,105.0,,,,0.134,0.376,0.157,,0.071,0.127,-0.55,0.16,,0.46,1.74,-1.93,95.7,92.3,,95.5,89.0,82.4,0.272,0.483,0.287,0.268,0.304,0.172,,,,0.192,0.192,0.25,0.28,0.5,0.281,0.236,0.375,0.185,88.0,102.0,105.0,,,,,0.134,,1.13,88.4,,0.208,0.271,0.327,,,,,,,,,
2024-05-28,745258,Walk,walk,False,669208,519151,Ryan Bliss,Ryan Pressly,1,f8241731-9e67-45f1-b29c-b64cd1196258,519151.0,ryanpressly,Pressly,Right,Ryan Pressly,HOU,3.58,3.41,37.2,102.0,124.0,110.0,0.744,10.04,2.63,8.84,0.48,1.45,0.229,0.4,0.133,0.314,0.454,99.0,103.0,104.0,75.0,95.0,91.0,152.0,100.0,113.0,,,,,,,,,,0.027,0.331,,,0.292,,0.65,,,-2.9,-0.01,,93.9,,,93.4,89.7,,0.25,0.425,0.198,,,,,,,0.255,0.353,0.32,0.22,0.293,0.29,,,,110.0,101.0,101.0,129.0,103.0,118.0,0.259,0.091,0.99,-2.11,89.4,82.4,0.364,0.636,0.25,,,,,,,,,
2024-05-29,745250,Strikeout,strikeout,True,669208,623352,Ryan Bliss,Josh Hader,0,d779ef76-4b7c-4835-8030-6901d61ae250,623352.0,joshhader,Hader,Left,Josh Hader,HOU,3.77,2.68,43.0,98.0,126.0,111.0,0.641,14.23,2.51,6.28,1.67,0.67,0.191,0.371,0.135,0.326,0.404,,,,133.0,99.0,115.0,112.0,97.0,107.0,,,,,,,,,,0.721,,,,0.264,,,,,0.94,1.55,,,,,96.0,86.2,,,,,0.206,0.383,0.328,,,,0.149,0.277,0.549,,,,,,,110.0,70.0,51.0,,,,,0.015,,-10.92,89.3,,,,,,,,,,,,,
2024-06-01,745251,Walk,walk,False,669208,672282,Ryan Bliss,Reid Detmers,0,721b7c31-3109-43f1-aaad-edaae6179070,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.14,3.67,63.0,98.0,97.0,98.0,0.729,10.0,3.86,9.43,1.43,0.96,0.242,0.483,0.146,0.32,0.431,90.0,95.0,92.0,,,,116.0,102.0,106.0,,,,,,,,,,,0.458,,,0.235,,-0.61,,,,-0.84,,94.0,,,,86.0,,0.253,0.483,0.276,,,,,,,0.247,0.383,0.343,0.344,0.719,0.192,,,,93.0,97.0,97.0,90.0,102.0,104.0,0.149,0.158,-2.14,1.15,84.6,75.4,0.289,0.356,0.33,,,,,,,,,
2024-06-01,745251,Walk,walk,False,669208,672282,Ryan Bliss,Reid Detmers,1,ddf4057f-330d-413a-aedd-5eec33f1db6c,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.14,3.67,63.0,98.0,97.0,98.0,0.729,10.0,3.86,9.43,1.43,0.96,0.242,0.483,0.146,0.32,0.431,90.0,95.0,92.0,,,,116.0,102.0,106.0,,,,,,,,,,,0.458,,,0.235,,-0.61,,,,-0.84,,94.0,,,,86.0,,0.253,0.483,0.276,,,,,,,0.247,0.383,0.343,0.344,0.719,0.192,,,,93.0,97.0,97.0,90.0,102.0,104.0,0.149,0.158,-2.14,1.15,84.6,75.4,0.289,0.356,0.33,,,,,,,,,
2024-06-01,745251,Single,single,False,669208,608334,Ryan Bliss,Carson Fulmer,0,d51c23cf-6e77-43f4-bf62-197d703a64d7,608334.0,carsonfulmer,"Fulmer, C",Right,Carson Fulmer,LAA,3.45,4.16,47.0,101.0,96.0,98.0,0.754,9.38,4.4,6.51,0.96,1.06,0.24,0.4,0.136,0.368,0.389,95.0,108.0,108.0,91.0,98.0,95.0,116.0,95.0,99.0,,,,,,,,,,0.277,0.15,,,0.231,,0.88,,,0.43,1.88,,93.8,,,92.9,87.5,,0.194,0.29,0.231,0.278,0.389,0.108,,,,0.133,0.333,0.286,0.429,1.286,0.455,,,,89.0,104.0,103.0,108.0,104.0,99.0,0.039,0.302,-9.4,0.25,88.0,82.7,0.164,0.269,0.378,,,,,,,,,
