date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vFS,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2024-09-10,744886,Strikeout,strikeout,True,657193,605135,Eddy Alvarez,Chris Bassitt,0,39380789-bb0c-42b2-b814-6e0d48580caf,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,4.2,4.36,163.0,99.0,94.0,97.0,0.806,9.06,3.31,9.39,0.99,1.15,0.271,0.357,0.169,0.342,0.442,78.0,89.0,86.0,101.0,90.0,102.0,65.0,103.0,93.0,96.0,102.0,98.0,121.0,97.0,107.0,79.0,102.0,92.0,90.0,89.0,85.0,0.406,0.044,0.195,0.044,0.119,0.141,0.052,-1.84,0.6,-1.85,0.01,-0.81,0.12,-1.47,92.6,89.6,84.1,84.6,92.5,77.3,71.0,0.335,0.432,0.123,0.179,0.313,0.27,0.211,0.329,0.282,0.161,0.242,0.478,0.375,0.781,0.098,0.267,0.3,0.157,0.25,0.393,0.259,0.296,0.556,0.148,,,,,,,,,
2024-09-10,744886,Groundout,field_out,True,657193,605135,Eddy Alvarez,Chris Bassitt,0,ec91d1c7-b3bc-42a0-bcf5-91df4625a895,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,4.2,4.36,163.0,99.0,94.0,97.0,0.806,9.06,3.31,9.39,0.99,1.15,0.271,0.357,0.169,0.342,0.442,78.0,89.0,86.0,101.0,90.0,102.0,65.0,103.0,93.0,96.0,102.0,98.0,121.0,97.0,107.0,79.0,102.0,92.0,90.0,89.0,85.0,0.406,0.044,0.195,0.044,0.119,0.141,0.052,-1.84,0.6,-1.85,0.01,-0.81,0.12,-1.47,92.6,89.6,84.1,84.6,92.5,77.3,71.0,0.335,0.432,0.123,0.179,0.313,0.27,0.211,0.329,0.282,0.161,0.242,0.478,0.375,0.781,0.098,0.267,0.3,0.157,0.25,0.393,0.259,0.296,0.556,0.148,,,,,,,,,
2024-09-13,745529,Groundout,field_out,True,657193,656457,Eddy Alvarez,Tyler Gilbert,0,34869ddf-b84d-486d-9ad8-dc3240c74199,656457.0,tylergilbert,"Gilbert, T",Left,Tyler Gilbert,PHI,5.4,6.26,3.1,95.0,103.0,93.0,0.914,2.7,2.7,10.8,2.7,0.83,0.154,0.462,0.0,0.769,0.439,,,,,,,98.0,85.0,78.0,112.0,104.0,108.0,113.0,90.0,87.0,99.0,98.0,90.0,,,,0.333,0.303,0.182,,0.152,,,0.63,-14.96,,2.73,2.42,,,92.7,90.1,,,92.3,84.6,,0.25,0.5,0.071,0.6,1.2,0.25,,,,,,,,,,,,,0.0,0.0,0.0,,,,83.0,127.0,149.0,0.03,-8.89,85.4,,,
2024-09-16,745773,Flyout,field_out,True,657193,663623,Eddy Alvarez,Jake Irvin,0,98f0c49b-fa10-4a31-b3b4-0692dc23ff5c,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.07,4.15,179.1,104.0,94.0,101.0,0.803,7.53,2.26,8.23,1.3,1.21,0.237,0.424,0.171,0.333,0.467,99.0,92.0,94.0,111.0,105.0,106.0,81.0,105.0,98.0,97.0,102.0,103.0,110.0,115.0,117.0,78.0,103.0,93.0,,,,0.201,0.376,0.068,,0.003,0.316,0.036,0.64,-0.03,,-0.28,-14.37,0.13,1.41,94.0,89.9,,88.4,93.3,85.9,81.1,0.314,0.472,0.147,0.289,0.533,0.206,0.233,0.432,0.25,,,,,,,,,,0.2,0.364,0.238,0.125,0.125,0.341,,,,,,,,,
2024-09-16,745773,Groundout,field_out,True,657193,663623,Eddy Alvarez,Jake Irvin,0,4156db4f-95bb-43d2-ad69-e0b653a146e2,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.07,4.15,179.1,104.0,94.0,101.0,0.803,7.53,2.26,8.23,1.3,1.21,0.237,0.424,0.171,0.333,0.467,99.0,92.0,94.0,111.0,105.0,106.0,81.0,105.0,98.0,97.0,102.0,103.0,110.0,115.0,117.0,78.0,103.0,93.0,,,,0.201,0.376,0.068,,0.003,0.316,0.036,0.64,-0.03,,-0.28,-14.37,0.13,1.41,94.0,89.9,,88.4,93.3,85.9,81.1,0.314,0.472,0.147,0.289,0.533,0.206,0.233,0.432,0.25,,,,,,,,,,0.2,0.364,0.238,0.125,0.125,0.341,,,,,,,,,
2024-09-17,745772,Walk,walk,False,657193,686747,Eddy Alvarez,Joe La Sorsa,0,9683bdb2-6c35-4d54-b7bf-5d5eee513dfb,686747.0,joelasorsa,La Sorsa,Left,Joe La Sorsa,WSN,5.79,4.85,14.0,106.0,81.0,98.0,0.904,9.0,2.57,10.29,2.57,1.07,0.238,0.5,0.238,0.19,0.535,48.0,115.0,93.0,,,,72.0,120.0,125.0,90.0,103.0,96.0,93.0,105.0,111.0,,,,,,,0.575,0.018,,,0.199,,0.208,5.78,,,-2.06,-3.38,,3.08,90.3,,,82.6,87.8,74.8,,0.393,0.607,0.143,,,,,,,,,,0.333,0.667,0.125,,,,,,,0.125,0.313,0.08,,,,,,,,,
2024-09-18,745771,Lineout,field_out,True,657193,694350,Eddy Alvarez,Zach Brzykcy,0,eeac22fa-7fde-4221-a743-4c6120306407,694350.0,zachbrzykcy,Brzykcy,Right,Zach Brzykcy,WSN,14.29,7.74,5.2,97.0,94.0,95.0,0.783,6.35,4.76,14.29,3.18,0.55,0.19,0.524,0.095,0.429,0.404,86.0,81.0,81.0,107.0,111.0,102.0,91.0,98.0,96.0,,,,,,,,,,,,,,0.558,,,,0.231,0.212,-4.07,,,,,3.99,-5.89,94.0,,,87.0,,,82.8,,,,,,,0.167,0.167,0.364,,,,,,,,,,0.417,0.75,0.16,0.429,0.857,0.4,,,,,,,,,
2024-09-30,747139,Strikeout,strikeout,True,657193,572955,Eddy Alvarez,Pierce Johnson,0,4d7e7a98-267e-46d7-86a4-d10a29a398cb,572955.0,piercejohnson,Johnson,Right,Pierce Johnson,ATL,3.67,3.75,56.1,102.0,133.0,104.0,0.74,10.7,3.99,7.67,0.96,1.21,0.169,0.43,0.148,0.338,0.442,,,,146.0,104.0,108.0,100.0,99.0,96.0,,,,,,,103.0,90.0,85.0,,,,,0.241,0.043,,,0.716,,0.19,1.47,,,,0.31,,95.5,92.0,,,,,85.4,,,,0.0,0.0,0.357,0.243,0.396,0.281,,,,,,,,,,0.194,0.25,0.266,,,,,,,,,,,,
2024-09-30,747064,Groundout,field_out,True,657193,656550,Eddy Alvarez,Grant Holmes,0,e660d859-9def-4e6c-a719-6e347c560f91,656550.0,grantholmes,"Holmes, G",Right,Grant Holmes,ATL,3.56,3.44,68.1,100.0,98.0,101.0,0.694,9.22,1.98,8.69,0.92,1.13,0.272,0.359,0.149,0.323,0.425,59.0,91.0,86.0,105.0,105.0,108.0,81.0,100.0,92.0,,,,118.0,101.0,111.0,94.0,89.0,90.0,,,,,0.373,0.082,,0.316,0.217,0.012,1.54,-3.71,,,0.71,0.86,-1.32,94.6,92.6,,91.3,,86.5,84.0,,,,0.467,0.867,0.15,0.228,0.316,0.425,,,,0.25,0.33,0.418,,,,0.238,0.366,0.203,,,,,,,,,,,,
2024-09-30,747064,Hit By Pitch,hit_by_pitch,False,657193,678226,Eddy Alvarez,Daysbel Hernández,0,fdafb06c-e406-4311-93ec-a150d1aecfe0,678226.0,daysbelhernandez,"Hernández, D",Right,Daysbel Hernández,ATL,2.5,2.4,18.0,100.0,132.0,106.0,0.696,13.0,5.0,5.0,0.0,0.81,0.243,0.324,0.194,0.222,0.376,,,,,,,112.0,93.0,96.0,105.0,118.0,105.0,149.0,103.0,114.0,,,,,,,0.048,0.409,,,0.542,,,1.1,,,2.41,1.92,,,97.4,,,,98.2,89.0,,0.25,0.25,0.1,,,,,,,,,,0.135,0.135,0.424,,,,0.182,0.227,0.286,,,,,,,,,,,,
