date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FC_ba,FC_slg,FC_whiff
2024-03-30,747063,Flyout,field_out,True,643393,643256,Tony Kemp,Adam Cimber,0,6c5aa383-48d0-41cf-8296-58748b98d254,643256.0,adamcimber,Cimber,Right,Adam Cimber,LAA,7.03,5.47,24.1,92.0,88.0,97.0,0.853,7.03,5.18,7.4,0.37,1.43,0.176,0.412,0.132,0.353,0.438,,,,,,,109.0,97.0,102.0,110.0,98.0,95.0,44.0,84.0,95.0,0.358,0.315,0.327,,,-0.71,-0.13,1.56,,,85.0,,85.3,73.4,,0.292,0.375,0.127,,,,0.071,0.071,0.192,,,,0.333,0.455,0.159,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,747062,Walk,walk,False,643393,667755,Tony Kemp,José Soriano,1,16021df0-d9c4-4361-bfd0-d9f839da5a7b,667755.0,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.71,4.1,87.1,95.0,101.0,99.0,0.772,7.42,3.5,7.32,0.82,2.51,0.227,0.385,0.15,0.308,0.421,,,,,,,98.0,91.0,86.0,95.0,95.0,97.0,114.0,88.0,95.0,0.426,0.165,0.054,,,-1.88,1.84,0.95,,,98.9,,97.8,91.6,,0.342,0.605,0.122,,,,0.091,0.182,0.484,0.205,0.397,0.403,0.237,0.288,0.148,,,,121.0,101.0,112.0,,0.09,,0.64,,93.0,0.143,0.314,0.323,99.0,97.0,108.0,0.265,-0.32,86.3,,,
2024-03-31,747062,Lineout,field_out,True,643393,608032,Tony Kemp,Carlos Estévez,0,323c6be9-65bf-434c-8f97-dae27c9a93fa,608032.0,carlosestevez,Estévez,Right,Carlos Estévez,LAA,2.61,2.56,31.0,104.0,108.0,104.0,0.732,9.0,1.16,5.81,0.87,0.51,0.266,0.354,0.114,0.304,0.495,83.0,94.0,87.0,132.0,80.0,97.0,102.0,107.0,104.0,,,,129.0,99.0,108.0,,0.628,0.261,0.007,0.104,2.37,,1.97,2.11,0.09,96.4,89.2,,88.9,83.2,0.184,0.289,0.274,0.2,0.3,0.3,0.174,0.391,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-02,747057,Groundout,field_out,True,643393,679525,Tony Kemp,Alec Marsh,0,b32d5032-68f5-461c-b74d-9b4b571951b6,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,98.0,106.0,104.0,91.0,100.0,96.0,99.0,98.0,95.0,121.0,98.0,106.0,0.139,0.376,0.221,0.156,0.108,0.97,-2.75,0.02,-1.25,1.03,94.2,86.5,93.5,86.4,82.9,0.191,0.327,0.231,0.189,0.216,0.163,0.118,0.118,0.355,0.268,0.482,0.275,0.35,0.617,0.096,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-02,747057,Bunt Groundout,field_out,True,643393,679525,Tony Kemp,Alec Marsh,0,2ccf4640-508e-4357-b56a-1c98d3056076,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,98.0,106.0,104.0,91.0,100.0,96.0,99.0,98.0,95.0,121.0,98.0,106.0,0.139,0.376,0.221,0.156,0.108,0.97,-2.75,0.02,-1.25,1.03,94.2,86.5,93.5,86.4,82.9,0.191,0.327,0.231,0.189,0.216,0.163,0.118,0.118,0.355,0.268,0.482,0.275,0.35,0.617,0.096,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-02,747057,Pop Out,field_out,True,643393,670167,Tony Kemp,John Schreiber,0,9d00dee3-5d96-4110-b4b2-a773db1b2408,670167.0,johnschreiber,Schreiber,Right,John Schreiber,KCR,4.29,3.72,35.2,100.0,98.0,96.0,0.826,7.32,3.28,9.84,0.25,1.88,0.278,0.374,0.191,0.304,0.417,73.0,110.0,100.0,,,,79.0,99.0,86.0,114.0,98.0,102.0,110.0,98.0,103.0,0.264,0.24,0.264,,0.079,-1.64,1.15,-0.04,,-3.88,92.7,86.1,91.8,80.9,,0.346,0.538,0.193,0.429,0.5,0.214,0.121,0.212,0.273,,,,0.292,0.354,0.113,91.0,101.0,90.0,,,,0.152,,1.36,,88.7,,,,,,,,,,,0.273,0.364,0.25
2024-04-06,745522,Groundout,field_out,True,643393,670280,Tony Kemp,David Bednar,0,77ec43d4-7885-4ebf-9022-30353c219f3e,670280.0,davidbednar,Bednar,Right,David Bednar,PIT,5.01,4.07,32.1,103.0,132.0,111.0,0.756,9.19,1.95,7.79,1.39,0.65,0.245,0.415,0.191,0.287,0.456,,,,97.0,94.0,100.0,146.0,105.0,115.0,,,,,,,,0.597,,0.207,,0.22,,,1.61,,97.0,,,,77.0,0.256,0.439,0.244,,,,,,,0.0,0.0,0.167,,,,,,,125.0,107.0,112.0,,0.196,,-0.81,,92.2,0.233,0.467,0.385,,,,,,,,,
2024-04-09,746981,Strikeout,strikeout,True,643393,678394,Tony Kemp,Brayan Bello,0,927e54c2-02dd-4d6c-903f-ec9e849befd2,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,5.32,4.64,89.2,100.0,103.0,104.0,0.754,8.53,3.31,9.94,1.41,2.03,0.216,0.363,0.165,0.275,0.404,90.0,101.0,100.0,,,,73.0,108.0,97.0,104.0,102.0,104.0,117.0,98.0,111.0,0.402,0.023,0.285,,0.29,6.0,-1.35,-1.46,,0.33,96.3,87.3,95.8,86.9,,0.0,0.0,0.15,0.168,0.345,0.363,0.291,0.465,0.352,,,,0.364,0.536,0.12,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-09,746981,Pop Out,field_out,True,643393,678394,Tony Kemp,Brayan Bello,0,c0f3cbb8-e33e-48c5-a49e-193df7e6483c,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,5.32,4.64,89.2,100.0,103.0,104.0,0.754,8.53,3.31,9.94,1.41,2.03,0.216,0.363,0.165,0.275,0.404,90.0,101.0,100.0,,,,73.0,108.0,97.0,104.0,102.0,104.0,117.0,98.0,111.0,0.402,0.023,0.285,,0.29,6.0,-1.35,-1.46,,0.33,96.3,87.3,95.8,86.9,,0.0,0.0,0.15,0.168,0.345,0.363,0.291,0.465,0.352,,,,0.364,0.536,0.12,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-09,746981,Groundout,field_out,True,643393,670174,Tony Kemp,Josh Winckowski,0,77f537f2-d565-4904-9501-034b613b5a40,670174.0,joshwinckowski,Winckowski,Right,Josh Winckowski,BOS,3.27,4.48,41.1,101.0,100.0,97.0,0.811,7.19,3.27,9.58,0.87,1.83,0.239,0.381,0.179,0.299,0.422,99.0,95.0,93.0,,,,58.0,106.0,93.0,99.0,101.0,97.0,120.0,109.0,110.0,0.331,0.033,0.145,,0.138,-1.24,0.04,1.11,,-0.72,94.6,91.5,94.9,84.8,,0.2,0.2,0.143,0.3,0.333,0.102,0.143,0.19,0.348,,,,0.305,0.475,0.177,98.0,100.0,92.0,,,,0.353,,-0.93,,89.8,,,,,,,,,,,0.289,0.467,0.243
