date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C,EP%,wEP/C,vEP,SV_ba,SV_slg,SV_whiff,vSC (sc),SC%,wSC/C,FO%,wFO/C,vFO
2024-04-28,745265,Triple,triple,False,660844,694297,Leo Rivas,Brandon Pfaadt,0,db9c29bb-7dc8-4fcf-944e-9974c9efeee3,694297.0,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,3.97,3.39,113.1,106.0,106.0,106.0,0.779,8.26,2.06,8.34,1.11,1.1,0.238,0.428,0.145,0.298,0.457,97.0,102.0,105.0,92.0,104.0,101.0,90.0,106.0,105.0,141.0,111.0,118.0,,,,,,,0.211,0.35,,0.01,0.286,0.041,1.3,,0.39,0.11,0.32,-1.37,93.5,,89.6,93.3,84.5,80.1,0.186,0.421,0.35,0.246,0.388,0.201,,,,0.2,0.8,0.0,0.5,0.5,0.261,95.0,99.0,94.0,0.102,0.12,87.6,0.273,0.364,0.119,0.289,0.316,0.3,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-28,745265,Strikeout,strikeout,True,660844,694297,Leo Rivas,Brandon Pfaadt,0,a79b1d28-10ef-4301-ab84-ad1f301c0e5e,694297.0,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,3.97,3.39,113.1,106.0,106.0,106.0,0.779,8.26,2.06,8.34,1.11,1.1,0.238,0.428,0.145,0.298,0.457,97.0,102.0,105.0,92.0,104.0,101.0,90.0,106.0,105.0,141.0,111.0,118.0,,,,,,,0.211,0.35,,0.01,0.286,0.041,1.3,,0.39,0.11,0.32,-1.37,93.5,,89.6,93.3,84.5,80.1,0.186,0.421,0.35,0.246,0.388,0.201,,,,0.2,0.8,0.0,0.5,0.5,0.261,95.0,99.0,94.0,0.102,0.12,87.6,0.273,0.364,0.119,0.289,0.316,0.3,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09,745910,Strikeout,strikeout,True,660844,641154,Leo Rivas,Pablo López,0,1381c91f-d58b-4991-a074-bb8d4b5a8bab,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,5.11,3.44,104.0,103.0,97.0,104.0,0.734,10.47,1.99,8.65,1.56,0.99,0.227,0.441,0.136,0.287,0.431,83.0,102.0,107.0,97.0,104.0,101.0,97.0,108.0,106.0,107.0,104.0,110.0,,,,,,,0.076,0.394,,,0.227,0.11,1.98,,,-3.1,-0.94,-2.56,94.6,,,94.2,84.1,81.9,0.247,0.464,0.318,0.183,0.34,0.303,,,,,,,0.255,0.574,0.338,92.0,101.0,101.0,0.194,-0.41,88.4,0.452,0.677,0.095,0.293,0.387,0.25,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09,745910,Forceout,force_out,True,660844,641154,Leo Rivas,Pablo López,1,944263d7-5cfc-4dad-9e15-adaf950e3282,641154.0,pablolopez,"López, P",Right,Pablo López,MIN,5.11,3.44,104.0,103.0,97.0,104.0,0.734,10.47,1.99,8.65,1.56,0.99,0.227,0.441,0.136,0.287,0.431,83.0,102.0,107.0,97.0,104.0,101.0,97.0,108.0,106.0,107.0,104.0,110.0,,,,,,,0.076,0.394,,,0.227,0.11,1.98,,,-3.1,-0.94,-2.56,94.6,,,94.2,84.1,81.9,0.247,0.464,0.318,0.183,0.34,0.303,,,,,,,0.255,0.574,0.338,92.0,101.0,101.0,0.194,-0.41,88.4,0.452,0.677,0.095,0.293,0.387,0.25,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09,745910,Single,single,False,660844,681892,Leo Rivas,Kody Funderburk,0,63cc996b-7f2b-41b6-9165-65c50870eb1d,681892.0,kodyfunderburk,Funderburk,Left,Kody Funderburk,MIN,5.61,5.19,33.2,95.0,102.0,95.0,0.756,8.29,4.01,9.62,1.07,2.29,0.284,0.343,0.167,0.343,0.428,,,,,,,98.0,95.0,94.0,122.0,88.0,95.0,93.0,102.0,98.0,,,,0.203,,0.442,,0.326,,,-0.69,,-0.34,-2.42,,,92.2,,93.3,82.7,,0.25,0.462,0.337,,,,0.302,0.491,0.254,,,,,,,76.0,96.0,95.0,0.029,1.2,88.6,0.286,0.381,0.091,0.333,0.667,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09,745910,Strikeout,strikeout,True,660844,622251,Leo Rivas,Josh Staumont,0,fc54f017-0a2e-4a57-b86b-084cebc87c73,622251.0,joshstaumont,Staumont,Right,Josh Staumont,MIN,0.86,3.39,21.0,95.0,116.0,101.0,0.728,7.29,3.86,4.29,0.0,1.15,0.278,0.333,0.148,0.204,0.419,76.0,95.0,102.0,93.0,99.0,98.0,95.0,94.0,91.0,129.0,95.0,105.0,,,,,,,0.26,0.11,,,0.615,0.015,1.94,,,1.5,3.22,-8.97,94.2,,,95.2,86.4,79.1,0.122,0.122,0.283,0.0,0.0,0.5,,,,,,,,,,,,,,,,0.188,0.25,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28,746770,Forceout,force_out,True,660844,676979,Leo Rivas,Garrett Crochet,1,5ed457ac-94ec-48c8-9f30-83015fdb42f9,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.64,2.81,128.2,103.0,102.0,103.0,0.696,12.59,2.17,7.48,1.12,1.25,0.252,0.397,0.174,0.335,0.462,,,,104.0,103.0,104.0,163.0,31.0,22.0,138.0,99.0,104.0,93.0,105.0,103.0,,,,0.004,0.553,0.287,,0.097,,1.66,0.26,,-5.89,-2.54,,97.1,91.5,,96.8,84.1,,,,,0.196,0.298,0.326,0.259,0.42,0.328,,,,,,,67.0,103.0,103.0,0.059,-0.41,90.9,,,,0.182,0.303,0.286,0.217,0.587,0.384,,,,,,,,,,,,,,,,,,,,,
2024-07-28,746770,Strikeout,strikeout,True,660844,676979,Leo Rivas,Garrett Crochet,0,c4fdd025-478a-4474-abe1-22136901dec7,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.64,2.81,128.2,103.0,102.0,103.0,0.696,12.59,2.17,7.48,1.12,1.25,0.252,0.397,0.174,0.335,0.462,,,,104.0,103.0,104.0,163.0,31.0,22.0,138.0,99.0,104.0,93.0,105.0,103.0,,,,0.004,0.553,0.287,,0.097,,1.66,0.26,,-5.89,-2.54,,97.1,91.5,,96.8,84.1,,,,,0.196,0.298,0.326,0.259,0.42,0.328,,,,,,,67.0,103.0,103.0,0.059,-0.41,90.9,,,,0.182,0.303,0.286,0.217,0.587,0.384,,,,,,,,,,,,,,,,,,,,,
2024-07-28,746770,Lineout,field_out,True,660844,641771,Leo Rivas,Chad Kuhl,0,a2910c97-28c4-41e5-8846-e502938952eb,641771.0,chadkuhl,Kuhl,Right,Chad Kuhl,CHW,4.37,3.97,45.1,92.0,104.0,93.0,0.771,8.74,3.77,8.54,0.99,1.27,0.25,0.383,0.188,0.281,0.389,,,,75.0,95.0,91.0,85.0,88.0,83.0,139.0,97.0,104.0,80.0,96.0,89.0,,,,0.266,0.077,0.1,,0.445,,-0.87,-2.23,,-1.45,2.08,,94.8,91.5,,94.0,85.1,,0.164,0.224,0.341,0.182,0.364,0.391,0.429,0.857,0.217,,,,,,,74.0,87.0,87.0,0.112,-3.15,87.1,0.37,0.696,0.133,0.417,0.5,0.195,0.0,0.0,0.333,,,,,,,,,,,,,,,,,,,,,
2024-07-28,746770,Lineout,field_out,True,660844,641771,Leo Rivas,Chad Kuhl,0,664bff7b-bcd4-4d97-ab47-719c954106c2,641771.0,chadkuhl,Kuhl,Right,Chad Kuhl,CHW,4.37,3.97,45.1,92.0,104.0,93.0,0.771,8.74,3.77,8.54,0.99,1.27,0.25,0.383,0.188,0.281,0.389,,,,75.0,95.0,91.0,85.0,88.0,83.0,139.0,97.0,104.0,80.0,96.0,89.0,,,,0.266,0.077,0.1,,0.445,,-0.87,-2.23,,-1.45,2.08,,94.8,91.5,,94.0,85.1,,0.164,0.224,0.341,0.182,0.364,0.391,0.429,0.857,0.217,,,,,,,74.0,87.0,87.0,0.112,-3.15,87.1,0.37,0.696,0.133,0.417,0.5,0.195,0.0,0.0,0.333,,,,,,,,,,,,,,,,,,,,,
