date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024-09-13,745286,Strikeout,strikeout,True,622268,656302,Donovan Walton,Dylan Cease,0,da4dd297-219c-4d4b-b454-0c8ea416fd0e,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.58,3.35,176.0,100.0,122.0,107.0,0.692,10.99,3.17,6.65,0.92,0.94,0.195,0.437,0.151,0.307,0.391,54.0,73.0,69.0,123.0,95.0,102.0,,,,112.0,102.0,106.0,113.0,89.0,90.0,,0.438,0.006,0.47,0.009,0.13,-5.12,,1.88,-4.16,96.9,91.8,69.7,,87.2,0.25,1.0,0.2,,,,0.2,0.267,0.385,0.239,0.404,0.204,0.25,1.0,0.0,107.0,96.0,103.0,0.077,-1.24,82.4,0.161,0.261,0.449,0.292,0.458,0.305,,,,,,,,,,,,,,,
2024-09-13,745286,Strikeout,strikeout,True,622268,656302,Donovan Walton,Dylan Cease,0,1340ddce-882e-4cc1-8904-422f85e3e825,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.58,3.35,176.0,100.0,122.0,107.0,0.692,10.99,3.17,6.65,0.92,0.94,0.195,0.437,0.151,0.307,0.391,54.0,73.0,69.0,123.0,95.0,102.0,,,,112.0,102.0,106.0,113.0,89.0,90.0,,0.438,0.006,0.47,0.009,0.13,-5.12,,1.88,-4.16,96.9,91.8,69.7,,87.2,0.25,1.0,0.2,,,,0.2,0.267,0.385,0.239,0.404,0.204,0.25,1.0,0.0,107.0,96.0,103.0,0.077,-1.24,82.4,0.161,0.261,0.449,0.292,0.458,0.305,,,,,,,,,,,,,,,
2024-09-13,745286,Lineout,field_out,True,622268,592094,Donovan Walton,Jason Adam,0,1d14c0f0-02ad-49d9-9b9d-c1a9deeeab3b,592094.0,jasonadam,Adam,Right,Jason Adam,- - -,1.83,3.04,69.0,98.0,129.0,105.0,0.633,10.04,2.48,4.7,0.65,1.08,0.215,0.38,0.171,0.348,0.39,141.0,102.0,115.0,122.0,100.0,102.0,,,,128.0,93.0,100.0,,,,,0.384,,0.354,0.262,1.51,,,1.56,3.05,95.5,,89.6,,82.2,0.155,0.19,0.417,,,,0.233,0.467,0.424,0.16,0.284,0.26,,,,,,,,,,0.079,0.158,0.564,,,,,,,,,,,,,,,,,,
2024-09-14,745284,Forceout,force_out,True,622268,689690,Donovan Walton,Alek Jacob,1,a5dfad7c-8acc-4bea-847a-2918440ad5a7,689690.0,alekjacob,Jacob,Right,Alek Jacob,SDP,2.45,2.8,14.2,103.0,86.0,105.0,0.699,11.66,1.23,5.52,0.61,0.67,0.176,0.471,0.176,0.176,0.431,71.0,104.0,104.0,97.0,100.0,95.0,84.0,105.0,110.0,105.0,98.0,106.0,,,,0.341,0.211,,0.142,0.306,-0.96,,2.49,4.31,1.73,87.1,,74.5,86.4,72.6,0.15,0.25,0.368,0.222,0.222,0.143,0.125,0.125,0.286,0.2,0.4,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15,745287,Groundout,field_out,True,622268,527048,Donovan Walton,Martín Pérez,0,f34f9421-38aa-4cd9-a43f-a5d95b33db7a,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,- - -,4.36,5.36,126.0,103.0,73.0,95.0,0.812,7.0,3.14,10.07,1.5,1.25,0.187,0.46,0.152,0.308,0.407,71.0,109.0,98.0,56.0,93.0,88.0,78.0,101.0,94.0,70.0,111.0,119.0,69.0,102.0,93.0,0.356,0.051,0.223,0.0,0.225,-6.79,-0.81,0.48,-51.03,-1.24,91.4,88.0,83.4,90.8,82.8,0.273,0.447,0.352,0.282,0.398,0.093,,,,0.429,0.762,0.024,0.29,0.6,0.197,,,,,,,,,,0.238,0.349,0.289,71.0,101.0,98.0,0.145,0.58,77.9,,,,,,,,,
2024-09-15,745287,Home Run,home_run,False,622268,527048,Donovan Walton,Martín Pérez,0,e13453f9-d4a6-4b14-9aef-e55357af6327,527048.0,martinperez,"Pérez, M",Left,Martín Pérez,- - -,4.36,5.36,126.0,103.0,73.0,95.0,0.812,7.0,3.14,10.07,1.5,1.25,0.187,0.46,0.152,0.308,0.407,71.0,109.0,98.0,56.0,93.0,88.0,78.0,101.0,94.0,70.0,111.0,119.0,69.0,102.0,93.0,0.356,0.051,0.223,0.0,0.225,-6.79,-0.81,0.48,-51.03,-1.24,91.4,88.0,83.4,90.8,82.8,0.273,0.447,0.352,0.282,0.398,0.093,,,,0.429,0.762,0.024,0.29,0.6,0.197,,,,,,,,,,0.238,0.349,0.289,71.0,101.0,98.0,0.145,0.58,77.9,,,,,,,,,
2024-09-15,745287,Groundout,field_out,True,622268,592094,Donovan Walton,Jason Adam,0,cbbd14c8-dfa3-4b01-a3b4-f1bf7a5a79c9,592094.0,jasonadam,Adam,Right,Jason Adam,- - -,1.83,3.04,69.0,98.0,129.0,105.0,0.633,10.04,2.48,4.7,0.65,1.08,0.215,0.38,0.171,0.348,0.39,141.0,102.0,115.0,122.0,100.0,102.0,,,,128.0,93.0,100.0,,,,,0.384,,0.354,0.262,1.51,,,1.56,3.05,95.5,,89.6,,82.2,0.155,0.19,0.417,,,,0.233,0.467,0.424,0.16,0.284,0.26,,,,,,,,,,0.079,0.158,0.564,,,,,,,,,,,,,,,,,,
2024-09-17,746987,Walk,walk,False,622268,544150,Donovan Walton,Albert Suárez,1,5ce6df47-817f-44c7-bb98-6c1eb3fd3a44,544150.0,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.74,4.17,127.2,100.0,89.0,97.0,0.788,7.33,2.96,8.88,1.06,0.84,0.244,0.429,0.135,0.307,0.39,99.0,100.0,105.0,90.0,101.0,96.0,,,,,,,75.0,99.0,91.0,,0.5,0.196,,0.174,-0.29,0.59,,,-0.59,94.8,86.3,86.1,,,0.279,0.442,0.219,,,,,,,0.274,0.457,0.232,0.247,0.376,0.309,,,,,,,,,,0.177,0.323,0.238,95.0,99.0,98.0,0.131,0.51,79.0,,,,,,,,,
2024-09-17,746987,Single,single,False,622268,544150,Donovan Walton,Albert Suárez,1,3ea1da9b-b6ec-4624-8901-851994bf5682,544150.0,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.74,4.17,127.2,100.0,89.0,97.0,0.788,7.33,2.96,8.88,1.06,0.84,0.244,0.429,0.135,0.307,0.39,99.0,100.0,105.0,90.0,101.0,96.0,,,,,,,75.0,99.0,91.0,,0.5,0.196,,0.174,-0.29,0.59,,,-0.59,94.8,86.3,86.1,,,0.279,0.442,0.219,,,,,,,0.274,0.457,0.232,0.247,0.376,0.309,,,,,,,,,,0.177,0.323,0.238,95.0,99.0,98.0,0.131,0.51,79.0,,,,,,,,,
2024-09-17,746987,Grounded Into DP,grounded_into_double_play,True,622268,669211,Donovan Walton,Keegan Akin,1,ce76d963-4a9b-4e27-b9f1-b07bffc2df05,669211.0,keeganakin,Akin,Left,Keegan Akin,BAL,3.18,2.56,76.1,104.0,112.0,106.0,0.714,11.32,2.12,6.25,0.94,0.79,0.267,0.406,0.171,0.299,0.461,99.0,102.0,102.0,111.0,103.0,106.0,,,,116.0,105.0,109.0,,,,,0.563,,0.33,0.107,0.8,,,1.57,1.4,93.9,,85.6,,85.5,0.15,0.175,0.267,,,,,,,0.222,0.405,0.284,,,,,,,,,,0.157,0.301,0.358,,,,,,,,,,,,,,,,,,
