date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,FS%,wFS/C,vFS,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024-05-29,745084,Strikeout,strikeout,True,649557,664076,Aledmys Díaz,Garrett Cleavinger,0,dee8ae3b-4a8e-4e11-bf82-6b371aa64016,664076.0,garrettcleavinger,Cleavinger,Left,Garrett Cleavinger,TBR,3.43,4.3,39.1,95.0,114.0,100.0,0.726,11.44,4.81,7.32,0.69,1.28,0.229,0.427,0.177,0.313,0.408,,,,,,,105.0,95.0,96.0,127.0,98.0,108.0,114.0,95.0,97.0,0.213,0.31,0.389,,,1.12,1.15,0.08,,,96.1,90.8,,83.8,,0.115,0.231,0.235,,,,0.265,0.294,0.328,,,,0.231,0.333,0.321,98.0,95.0,93.0,0.087,-2.87,95.5,0.364,0.636,0.148,,,,,,,,,,,,,,,,,,
2024-05-30,745081,Flyout,field_out,True,649557,542888,Aledmys Díaz,Shawn Armstrong,0,83f734bf-e1f3-41f5-abe5-0f3d48e99fd0,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,6.05,5.72,41.2,106.0,96.0,102.0,0.819,9.29,3.89,11.02,1.08,0.82,0.308,0.331,0.185,0.369,0.463,,,,,,,87.0,112.0,107.0,112.0,113.0,111.0,105.0,104.0,102.0,0.358,0.308,0.051,,,0.53,-0.4,-4.27,,,93.2,90.1,,83.3,,0.21,0.387,0.336,,,,0.286,0.571,0.25,,,,0.25,0.5,0.212,96.0,98.0,95.0,0.283,-2.52,93.6,0.424,0.492,0.09,,,,,,,,,,,,,,,,,,
2024-05-30,745081,Strikeout,strikeout,True,649557,641302,Aledmys Díaz,Tyler Alexander,0,a30635d4-0617-49fa-b71b-89437f5d1962,641302.0,tyleralexander,"Alexander, T",Left,Tyler Alexander,TBR,6.19,5.09,56.2,106.0,93.0,105.0,0.823,7.62,2.06,10.01,2.06,0.61,0.262,0.377,0.148,0.344,0.468,105.0,105.0,108.0,,,,91.0,109.0,104.0,109.0,105.0,105.0,92.0,105.0,102.0,0.228,0.336,0.178,,0.158,-1.79,-0.32,-0.41,,-2.47,89.0,84.4,80.9,76.5,,0.283,0.604,0.241,0.308,0.513,0.186,0.31,0.5,0.128,,,,0.257,0.529,0.206,56.0,107.0,101.0,0.101,1.15,88.9,0.238,0.238,0.029,,,,,,,,,,,,,,,,,,
2024-05-30,745081,Groundout,field_out,True,649557,641302,Aledmys Díaz,Tyler Alexander,1,34235e3f-2850-456c-9445-87b35c1a587e,641302.0,tyleralexander,"Alexander, T",Left,Tyler Alexander,TBR,6.19,5.09,56.2,106.0,93.0,105.0,0.823,7.62,2.06,10.01,2.06,0.61,0.262,0.377,0.148,0.344,0.468,105.0,105.0,108.0,,,,91.0,109.0,104.0,109.0,105.0,105.0,92.0,105.0,102.0,0.228,0.336,0.178,,0.158,-1.79,-0.32,-0.41,,-2.47,89.0,84.4,80.9,76.5,,0.283,0.604,0.241,0.308,0.513,0.186,0.31,0.5,0.128,,,,0.257,0.529,0.206,56.0,107.0,101.0,0.101,1.15,88.9,0.238,0.238,0.029,,,,,,,,,,,,,,,,,,
2024-05-31,747116,Forceout,force_out,True,649557,625643,Aledmys Díaz,Reynaldo López,1,f2eefe0f-489c-4612-8761-3edd20e65fde,625643.0,reynaldolopez,"López, R",Right,Reynaldo López,ATL,1.88,4.24,95.2,102.0,95.0,101.0,0.767,8.94,3.2,7.34,0.56,0.97,0.276,0.366,0.152,0.307,0.436,76.0,109.0,103.0,81.0,100.0,104.0,91.0,102.0,98.0,111.0,101.0,105.0,,,,0.57,,0.281,0.11,0.039,1.2,,1.06,2.51,-4.55,95.4,,86.0,84.7,77.0,0.263,0.366,0.175,0.333,0.833,0.333,0.182,0.255,0.413,0.132,0.184,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-31,747116,Groundout,field_out,True,649557,625643,Aledmys Díaz,Reynaldo López,0,fa0b9272-5587-415a-a063-3dd13d1ec115,625643.0,reynaldolopez,"López, R",Right,Reynaldo López,ATL,1.88,4.24,95.2,102.0,95.0,101.0,0.767,8.94,3.2,7.34,0.56,0.97,0.276,0.366,0.152,0.307,0.436,76.0,109.0,103.0,81.0,100.0,104.0,91.0,102.0,98.0,111.0,101.0,105.0,,,,0.57,,0.281,0.11,0.039,1.2,,1.06,2.51,-4.55,95.4,,86.0,84.7,77.0,0.263,0.366,0.175,0.333,0.833,0.333,0.182,0.255,0.413,0.132,0.184,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-31,747116,Forceout,force_out,True,649557,572955,Aledmys Díaz,Pierce Johnson,1,c041baa6-37e0-4c58-8d2a-a5928f0928cd,572955.0,piercejohnson,Johnson,Right,Pierce Johnson,ATL,3.13,3.12,31.2,102.0,140.0,105.0,0.709,11.65,3.69,7.39,0.57,1.32,0.182,0.325,0.156,0.325,0.439,,,,152.0,106.0,111.0,96.0,93.0,88.0,,,,104.0,33.0,39.0,0.191,0.022,,0.787,,-0.29,-0.7,,0.86,,95.5,92.2,,,85.6,0.2,0.2,0.188,,,,,,,0.228,0.347,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-31,747116,Groundout,field_out,True,649557,628452,Aledmys Díaz,Raisel Iglesias,1,6a0189d3-0bbc-44bf-8d93-1edf68779470,628452.0,raiseliglesias,"Iglesias, R",Right,Raisel Iglesias,ATL,2.02,2.81,35.2,105.0,113.0,105.0,0.713,7.82,1.77,5.3,0.5,1.29,0.26,0.344,0.156,0.281,0.404,116.0,116.0,111.0,,,,103.0,103.0,103.0,131.0,105.0,116.0,,,,0.28,,0.173,,0.342,2.86,,-1.01,,2.6,95.3,,89.4,84.3,,0.167,0.306,0.213,0.163,0.245,0.361,0.25,0.35,0.395,,,,,,,107.0,91.0,90.0,0.205,3.32,95.3,0.105,0.105,0.088,,,,,,,,,,,,,,,,,,
2024-06-01,747111,Single,single,False,649557,519242,Aledmys Díaz,Chris Sale,1,e91b45f5-ac6e-459a-b168-0479786990b4,519242.0,chrissale,Sale,Left,Chris Sale,ATL,2.7,2.7,110.0,103.0,103.0,102.0,0.711,11.45,1.96,6.63,0.57,1.51,0.262,0.449,0.194,0.228,0.454,59.0,108.0,97.0,,,,97.0,105.0,101.0,122.0,100.0,105.0,,,,0.379,,0.392,,0.147,-0.27,,2.27,,4.04,94.9,,87.2,78.7,,0.27,0.475,0.241,0.116,0.145,0.231,0.165,0.233,0.419,,,,,,,111.0,101.0,97.0,0.082,-0.89,94.1,0.324,0.471,0.153,,,,,,,,,,,,,,,,,,
2024-06-01,747111,Lineout,field_out,True,649557,519242,Aledmys Díaz,Chris Sale,0,82f50408-a136-4af7-92ca-527ddce08515,519242.0,chrissale,Sale,Left,Chris Sale,ATL,2.7,2.7,110.0,103.0,103.0,102.0,0.711,11.45,1.96,6.63,0.57,1.51,0.262,0.449,0.194,0.228,0.454,59.0,108.0,97.0,,,,97.0,105.0,101.0,122.0,100.0,105.0,,,,0.379,,0.392,,0.147,-0.27,,2.27,,4.04,94.9,,87.2,78.7,,0.27,0.475,0.241,0.116,0.145,0.231,0.165,0.233,0.419,,,,,,,111.0,101.0,97.0,0.082,-0.89,94.1,0.324,0.471,0.153,,,,,,,,,,,,,,,,,,
