date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSL/C,wCU/C,vFA,vFC,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vCH,vSI,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FO%,wFO/C,vFO,EP%,wEP/C,vEP,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C
2024-03-28,745039,Strikeout,strikeout,True,677649,657006,Ezequiel Duran,Justin Steele,0,f63add6f-3072-4ff8-96b3-44614be0a529,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.07,3.01,91.0,103.0,101.0,102.0,0.802,8.6,1.98,7.22,0.79,1.1,0.278,0.378,0.166,0.301,0.525,90.0,122.0,109.0,90.0,102.0,100.0,132.0,104.0,109.0,,,,,,,0.598,,,0.298,0.027,0.43,,,1.39,3.31,91.7,,,83.2,79.8,0.255,0.401,0.206,,,,,,,0.0,0.0,0.214,0.171,0.279,0.299,72.0,96.0,99.0,66.0,103.0,93.0,0.05,0.027,2.99,3.98,86.6,92.0,0.188,0.25,0.2,0.133,0.133,0.111,,,,,,,,,,,,,,,,,,,,,
2024-03-28,745039,Double,double,False,677649,657006,Ezequiel Duran,Justin Steele,0,8885c09e-f9c0-40e2-9c32-f9bae3e63654,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.07,3.01,91.0,103.0,101.0,102.0,0.802,8.6,1.98,7.22,0.79,1.1,0.278,0.378,0.166,0.301,0.525,90.0,122.0,109.0,90.0,102.0,100.0,132.0,104.0,109.0,,,,,,,0.598,,,0.298,0.027,0.43,,,1.39,3.31,91.7,,,83.2,79.8,0.255,0.401,0.206,,,,,,,0.0,0.0,0.214,0.171,0.279,0.299,72.0,96.0,99.0,66.0,103.0,93.0,0.05,0.027,2.99,3.98,86.6,92.0,0.188,0.25,0.2,0.133,0.133,0.111,,,,,,,,,,,,,,,,,,,,,
2024-03-28,745039,Strikeout,strikeout,True,677649,643410,Ezequiel Duran,Mark Leiter Jr.,0,74af73e0-852e-4e81-bbb2-f844119e0f62,643410.0,markleiterjr,Leiter Jr.,Right,Mark Leiter Jr.,CHC,4.78,2.9,32.0,97.0,92.0,96.0,0.653,12.66,3.66,7.59,0.56,1.86,0.275,0.488,0.2,0.238,0.384,82.0,102.0,103.0,,,,99.0,101.0,102.0,79.0,99.0,94.0,116.0,95.0,105.0,0.006,0.107,0.324,0.111,0.109,2.42,-2.34,2.95,-3.28,-0.79,95.8,88.5,84.3,79.7,73.6,,,,0.061,0.061,0.618,0.313,0.563,0.179,0.429,0.714,0.542,0.444,0.778,0.4,,,,74.0,96.0,86.0,0.343,,1.5,,,91.3,0.273,0.273,0.094,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,745035,Groundout,field_out,True,677649,696136,Ezequiel Duran,Jordan Wicks,0,a6e8bea5-3df7-4346-b489-ee4a2af0de0e,696136.0,jordanwicks,Wicks,Left,Jordan Wicks,CHC,4.18,3.93,28.0,103.0,95.0,101.0,0.742,10.29,3.21,9.96,0.64,1.07,0.179,0.476,0.107,0.214,0.38,92.0,103.0,99.0,91.0,104.0,104.0,126.0,92.0,97.0,71.0,118.0,92.0,,,,0.461,0.004,,0.081,0.062,0.11,-19.26,,-3.7,-3.75,92.9,90.6,,83.2,78.7,0.259,0.397,0.176,,,,,,,0.667,1.0,0.222,0.4,0.6,0.333,103.0,105.0,105.0,76.0,100.0,89.0,0.131,0.262,-1.19,1.62,82.5,92.2,0.357,0.429,0.182,0.176,0.294,0.506,,,,,,,,,,,,,,,,,,,,,
2024-03-31,745035,Single,single,False,677649,696136,Ezequiel Duran,Jordan Wicks,0,5eb71a68-4455-4eed-b602-40d8cd8a2774,696136.0,jordanwicks,Wicks,Left,Jordan Wicks,CHC,4.18,3.93,28.0,103.0,95.0,101.0,0.742,10.29,3.21,9.96,0.64,1.07,0.179,0.476,0.107,0.214,0.38,92.0,103.0,99.0,91.0,104.0,104.0,126.0,92.0,97.0,71.0,118.0,92.0,,,,0.461,0.004,,0.081,0.062,0.11,-19.26,,-3.7,-3.75,92.9,90.6,,83.2,78.7,0.259,0.397,0.176,,,,,,,0.667,1.0,0.222,0.4,0.6,0.333,103.0,105.0,105.0,76.0,100.0,89.0,0.131,0.262,-1.19,1.62,82.5,92.2,0.357,0.429,0.182,0.176,0.294,0.506,,,,,,,,,,,,,,,,,,,,,
2024-03-31,745035,Single,single,False,677649,643410,Ezequiel Duran,Mark Leiter Jr.,0,2d9609c5-b9f2-4513-8b56-97f14e7c8e0c,643410.0,markleiterjr,Leiter Jr.,Right,Mark Leiter Jr.,CHC,4.78,2.9,32.0,97.0,92.0,96.0,0.653,12.66,3.66,7.59,0.56,1.86,0.275,0.488,0.2,0.238,0.384,82.0,102.0,103.0,,,,99.0,101.0,102.0,79.0,99.0,94.0,116.0,95.0,105.0,0.006,0.107,0.324,0.111,0.109,2.42,-2.34,2.95,-3.28,-0.79,95.8,88.5,84.3,79.7,73.6,,,,0.061,0.061,0.618,0.313,0.563,0.179,0.429,0.714,0.542,0.444,0.778,0.4,,,,74.0,96.0,86.0,0.343,,1.5,,,91.3,0.273,0.273,0.094,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,745035,Strikeout,strikeout,True,677649,657240,Ezequiel Duran,Julian Merryweather,0,73369a29-f3ae-4643-920b-982cb413ac81,657240.0,julianmerryweather,Merryweather,Right,Julian Merryweather,CHC,1.93,8.49,4.2,93.0,107.0,99.0,0.676,11.57,3.86,7.71,0.0,0.6,0.083,0.417,0.0,0.583,0.39,,,,111.0,97.0,98.0,101.0,88.0,101.0,,,,,,,0.455,,,0.481,,-2.52,,,-0.28,,96.3,,,85.5,,0.286,0.714,0.25,,,,,,,,,,0.222,0.333,0.412,124.0,93.0,91.0,,,,,0.065,,9.03,81.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-02,745111,Strikeout,strikeout,True,677649,621363,Ezequiel Duran,Colin Poche,0,3b21da18-09df-406b-9f4c-cb7cb9ea964c,621363.0,colinpoche,Poche,Left,Colin Poche,TBR,3.24,4.07,25.0,94.0,89.0,98.0,0.821,7.92,2.88,6.48,1.8,0.62,0.188,0.493,0.159,0.348,0.421,,,,98.0,90.0,95.0,68.0,103.0,104.0,,,,,,,0.695,,,0.305,,1.3,,,0.38,,91.1,,,83.1,,0.194,0.387,0.144,,,,,,,,,,0.214,0.393,0.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-02,745111,Walk,walk,False,677649,664126,Ezequiel Duran,Pete Fairbanks,1,869eeaf6-25e0-4e46-9601-44a1bb6696d6,664126.0,petefairbanks,Fairbanks,Right,Pete Fairbanks,TBR,3.21,3.67,33.2,96.0,124.0,102.0,0.79,8.55,4.01,7.22,0.53,1.32,0.185,0.424,0.196,0.25,0.441,,,,113.0,93.0,98.0,137.0,99.0,106.0,,,,,,,0.532,,,0.46,,-0.09,,,2.43,,97.2,,,85.0,,0.274,0.339,0.216,,,,,,,,,,0.167,0.25,0.222,93.0,120.0,95.0,,,,,0.008,,-5.64,94.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-03,745114,Flyout,field_out,True,677649,650644,Ezequiel Duran,Aaron Civale,0,58605438-bf6b-4356-bd74-67fe596d3b65,650644.0,aaroncivale,Civale,Right,Aaron Civale,- - -,4.94,4.16,98.1,100.0,99.0,101.0,0.79,8.97,2.93,9.52,1.74,0.8,0.247,0.414,0.142,0.319,0.395,103.0,102.0,108.0,70.0,97.0,92.0,158.0,105.0,117.0,94.0,98.0,100.0,72.0,93.0,99.0,0.091,0.315,0.021,0.18,0.169,-3.64,-0.11,-3.76,0.36,-0.89,91.9,88.1,85.9,80.3,77.2,0.391,0.739,0.125,0.417,0.5,0.313,0.294,0.454,0.231,0.226,0.419,0.3,0.239,0.398,0.288,,,,65.0,93.0,83.0,0.224,,0.25,,,92.7,0.23,0.46,0.169,,,,,,,,,,,,,,,,,,,,,,,,
