date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,EP%,wEP/C,vEP,SV_ba,SV_slg,SV_whiff,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff
2024-09-07,746018,Fielders Choice,fielders_choice,False,691594,592836,Javier Sanoja,Taijuan Walker,1,bccd64d7-1e4c-4be1-9f24-9d8de32fe5a5,592836.0,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,6.54,6.61,75.2,98.0,88.0,95.0,0.847,6.54,3.69,11.18,2.38,0.9,0.195,0.434,0.131,0.394,0.432,,,,62.0,93.0,85.0,77.0,100.0,92.0,47.0,109.0,104.0,0.281,0.121,0.173,,-1.35,-2.62,2.18,,91.4,,91.0,84.9,0.155,0.276,0.274,0.36,0.674,0.093,0.292,0.417,0.239,,,,,,,96.0,91.0,88.0,0.092,,-3.93,,87.2,,0.192,0.346,0.131,0.381,0.952,0.102,,,,88.0,95.0,97.0,0.112,1.72,74.6,109.0,102.0,105.0,0.22,-4.6,86.6,0.386,0.67,0.168,,,,,,,,,,,,
2024-09-08,746017,Double,double,False,691594,686751,Javier Sanoja,Seth Johnson,0,572d1b0e-0e1d-494b-9423-aacd209e5caf,686751.0,sethjohnson,"Johnson, S",Right,Seth Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429,0.571,0.182,0.667,0.667,0.167,,,,,,,,,,,,,,,,,,,1.0,2.333,0.429,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-08,746017,Single,single,False,691594,686751,Javier Sanoja,Seth Johnson,1,30d6980f-372b-408d-a1d7-d0f992b7cb73,686751.0,sethjohnson,"Johnson, S",Right,Seth Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429,0.571,0.182,0.667,0.667,0.167,,,,,,,,,,,,,,,,,,,1.0,2.333,0.429,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-08,746017,Grounded Into DP,grounded_into_double_play,True,691594,676661,Javier Sanoja,Max Lazar,1,fb3d0fc7-ccd8-4dcf-8662-2346cec6b2e4,676661.0,maxlazar,Lazar,Right,Max Lazar,PHI,3.27,3.97,11.0,99.0,76.0,96.0,0.825,6.55,1.64,7.36,1.64,1.27,0.303,0.303,0.091,0.333,0.465,,,,73.0,98.0,94.0,,,,77.0,38.0,55.0,,0.624,0.006,,0.64,,-4.93,,93.4,,,85.2,,,,,,,0.231,0.423,0.196,,,,,,,58.0,109.0,111.0,0.135,,7.07,,88.5,,0.286,0.714,0.188,0.125,0.125,0.231,,,,92.0,100.0,94.0,0.235,-2.64,80.2,,,,,,,,,,,,,,,,,,,,,
2024-09-08,746017,Forceout,force_out,True,691594,596117,Javier Sanoja,Garrett Stubbs,1,339995ac-ab5d-456b-b016-d23d682ab0cd,596117.0,garrettstubbs,Stubbs,Right,Garrett Stubbs,PHI,15.75,5.97,4.0,,,,0.933,0.0,4.5,13.5,4.5,0.88,0.176,0.412,0.059,0.235,0.277,,,,,,,,,,,,,,0.123,,,3.07,,,,83.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.877,-4.41,55.9,,,,,,,,,
2024-09-09,745454,Walk,walk,False,691594,547973,Javier Sanoja,Aroldis Chapman,1,d2f1e415-0316-4969-8919-0e5cb42b744c,547973.0,aroldischapman,Chapman,Left,Aroldis Chapman,PIT,4.09,3.29,55.0,95.0,132.0,104.0,0.698,14.56,6.38,6.38,0.82,1.12,0.324,0.36,0.135,0.324,0.447,,,,95.0,87.0,89.0,235.0,109.0,126.0,99.0,88.0,105.0,0.273,0.347,0.262,,0.05,-0.55,0.22,,97.8,,99.8,86.8,,,,0.203,0.392,0.306,0.235,0.373,0.282,,,,,,,,,,,,,,,,,,,,,,0.205,0.282,0.33,,,,,,,94.0,101.0,103.0,0.118,2.22,91.4,0.103,0.138,0.484,,,,,,,,,,,,
2024-09-10,745446,Flyout,field_out,True,691594,669387,Javier Sanoja,Carmen Mlodzinski,0,e90269c8-b42f-446f-a477-61d7268e0388,669387.0,carmenmlodzinski,Mlodzinski,Right,Carmen Mlodzinski,PIT,3.6,3.53,45.0,100.0,101.0,102.0,0.784,7.6,3.0,7.6,0.6,1.16,0.275,0.458,0.137,0.282,0.426,114.0,81.0,85.0,95.0,100.0,97.0,,,,119.0,102.0,114.0,,0.401,0.385,0.004,0.86,,-0.09,-28.01,96.1,88.6,,86.7,0.304,0.391,0.34,,,,0.183,0.333,0.257,,,,,,,91.0,101.0,97.0,0.211,,1.48,,92.4,,,,,0.233,0.367,0.156,0.235,0.255,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-10,745446,Strikeout,strikeout,True,691594,666214,Javier Sanoja,Joey Wentz,0,26b869b1-7b8f-48df-b509-2c75fd26d979,666214.0,joeywentz,Wentz,Left,Joey Wentz,- - -,5.22,4.01,60.1,98.0,88.0,95.0,0.736,9.85,4.48,9.55,1.19,1.2,0.254,0.429,0.153,0.322,0.385,98.0,94.0,96.0,74.0,95.0,90.0,,,,,,,,0.369,0.001,0.192,-1.8,,-2.43,-1.37,93.7,85.8,,80.4,,,,,,,0.337,0.5,0.164,0.275,0.425,0.419,,,,90.0,98.0,95.0,0.306,,0.25,,86.0,,0.154,0.154,0.338,0.222,0.37,0.371,,,,96.0,105.0,103.0,0.132,1.72,79.3,,,,,,,,,,,,,,,,,,,,,
2024-09-10,745446,Flyout,field_out,True,691594,693312,Javier Sanoja,Kyle Nicolas,0,f7b59f6e-074c-4c86-a717-93d90ae4411c,693312.0,kylenicolas,Nicolas,Right,Kyle Nicolas,PIT,3.95,4.21,54.2,92.0,126.0,95.0,0.752,9.05,5.1,8.4,0.66,1.35,0.294,0.353,0.105,0.314,0.385,,,,122.0,90.0,90.0,,,,138.0,101.0,107.0,0.003,0.549,0.224,,1.2,-6.61,-2.25,,97.4,,94.8,90.9,,,,,,,0.23,0.327,0.193,,,,,,,,,,,,,,,,0.219,0.25,0.434,,,,0.3,0.417,0.368,123.0,87.0,95.0,0.225,-0.15,85.6,,,,,,,,,,,,,,,,,,,,,
2024-09-10,745446,Lineout,field_out,True,691594,670280,Javier Sanoja,David Bednar,0,642b047a-9b8b-4c46-9833-f5325534f62c,670280.0,davidbednar,Bednar,Right,David Bednar,PIT,5.87,4.51,53.2,98.0,127.0,105.0,0.742,9.22,4.19,8.72,1.34,0.86,0.239,0.447,0.17,0.314,0.447,,,,142.0,97.0,106.0,,,,,,,,0.553,,,-0.66,,,,97.2,,,,,,,,,,0.268,0.488,0.235,,,,,,,,,,,,,,,,0.148,0.185,0.26,,,,,,,100.0,91.0,97.0,0.213,0.46,77.3,117.0,105.0,110.0,0.233,-0.02,92.1,0.246,0.377,0.373,,,,,,,,,,,,
