date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,CU%,wCU/C,vCU,Stf+ CU,Loc+ CU,Pit+ CU,EP%,wEP/C,vEP,SV_ba,SV_slg,SV_whiff
2024-03-30,745436,Double,double,False,608596,656302,Tom Murphy,Dylan Cease,1,cf77f94a-3b17-47cb-b717-7d70bc371295,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,55.0,72.0,68.0,124.0,97.0,104.0,113.0,101.0,105.0,108.0,99.0,104.0,113.0,89.0,90.0,0.435,0.01,0.462,0.081,0.013,-0.1,-5.15,1.62,-0.64,-4.3,96.8,91.8,69.5,87.1,82.7,0.182,0.273,0.379,0.244,0.445,0.225,0.242,0.455,0.333,0.25,1.0,0.0,0.25,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745436,Walk,walk,False,608596,656302,Tom Murphy,Dylan Cease,0,e2a0eb6a-b602-458d-85d0-cd745bf4214f,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,55.0,72.0,68.0,124.0,97.0,104.0,113.0,101.0,105.0,108.0,99.0,104.0,113.0,89.0,90.0,0.435,0.01,0.462,0.081,0.013,-0.1,-5.15,1.62,-0.64,-4.3,96.8,91.8,69.5,87.1,82.7,0.182,0.273,0.379,0.244,0.445,0.225,0.242,0.455,0.333,0.25,1.0,0.0,0.25,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745436,Groundout,field_out,True,608596,666745,Tom Murphy,Jhony Brito,0,ca590693-e6ba-4d1a-b000-f3440d5acf32,666745.0,jhonybrito,Brito,Right,Jhony Brito,SDP,4.35,4.02,41.1,99.0,89.0,98.0,0.841,5.66,1.96,10.45,0.87,1.31,0.275,0.303,0.183,0.303,0.446,89.0,104.0,105.0,76.0,99.0,90.0,94.0,89.0,97.0,123.0,82.0,110.0,,,,0.265,,0.119,0.023,0.351,0.62,,-2.91,-0.28,1.47,96.3,,89.8,86.0,81.4,0.6,0.6,0.143,0.216,0.405,0.164,0.333,0.333,0.0,,,,0.234,0.328,0.271,98.0,99.0,99.0,,,,0.242,,,-1.03,,96.2,0.375,0.458,0.088,,,,,,,,,,,,,,,
2024-03-30,745436,Pop Out,field_out,True,608596,660853,Tom Murphy,Enyel De Los Santos,0,67c24fc2-0e06-49e7-98b2-00d099b929c6,660853.0,enyeldelossantos,"De Los Santos, E",Right,Enyel De Los Santos,SDP,4.82,4.39,37.1,107.0,94.0,103.0,0.694,10.37,2.89,8.92,2.65,0.73,0.343,0.402,0.216,0.353,0.49,84.0,94.0,85.0,80.0,111.0,101.0,112.0,104.0,107.0,,,,,,,0.471,,0.473,,0.056,-2.56,,0.77,,1.97,95.5,,87.6,86.5,,0.164,0.377,0.479,0.346,0.718,0.219,,,,,,,0.0,0.0,0.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,746170,Walk,walk,False,608596,572020,Tom Murphy,James Paxton,0,8ec47e13-8ce1-445a-a5d8-9f4888d1de35,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,,,,79.0,96.0,96.0,82.0,95.0,84.0,0.577,0.037,,0.284,0.07,0.34,-3.42,,-0.23,-1.66,93.2,84.0,82.6,,80.8,,,,0.243,0.381,0.138,0.224,0.355,0.358,0.308,0.769,0.13,0.217,0.348,0.31,65.0,98.0,92.0,,,,0.032,,,-4.92,,92.6,0.462,0.692,0.095,,,,,,,,,,,,,,,
2024-04-01,746170,Lineout,field_out,True,608596,572020,Tom Murphy,James Paxton,0,bfbe87a7-b7c8-4087-b39a-5b20e251a94c,572020.0,jamespaxton,Paxton,Left,James Paxton,LAD,4.38,4.83,84.1,97.0,73.0,90.0,0.821,6.08,4.7,8.32,1.07,0.85,0.269,0.322,0.14,0.337,0.417,71.0,97.0,96.0,69.0,98.0,85.0,,,,79.0,96.0,96.0,82.0,95.0,84.0,0.577,0.037,,0.284,0.07,0.34,-3.42,,-0.23,-1.66,93.2,84.0,82.6,,80.8,,,,0.243,0.381,0.138,0.224,0.355,0.358,0.308,0.769,0.13,0.217,0.348,0.31,65.0,98.0,92.0,,,,0.032,,,-4.92,,92.6,0.462,0.692,0.095,,,,,,,,,,,,,,,
2024-04-01,746170,Groundout,field_out,True,608596,518489,Tom Murphy,Ryan Brasier,0,95f2f0ec-944b-4fcb-b545-d1534a9a3f06,518489.0,ryanbrasier,Brasier,Right,Ryan Brasier,LAD,4.63,3.77,11.2,103.0,97.0,102.0,0.835,9.26,2.31,7.71,2.31,1.36,0.188,0.438,0.156,0.375,0.469,,,,95.0,103.0,100.0,106.0,109.0,113.0,,,,82.0,100.0,100.0,0.278,0.13,0.37,,,5.39,7.63,-7.8,,,94.3,90.7,,84.9,,0.409,0.864,0.156,0.0,0.0,0.25,,,,0.0,0.0,0.0,,,,96.0,95.0,90.0,,,,0.222,,,1.4,,94.2,0.167,0.167,0.286,,,,,,,,,,,,,,,
2024-04-01,746170,Groundout,field_out,True,608596,659275,Tom Murphy,Dinelson Lamet,0,2a5f3cd1-a0f4-49bb-84dc-e9710df72134,659275.0,dinelsonlamet,Lamet,Right,Dinelson Lamet,LAD,2.08,5.36,4.1,86.0,82.0,85.0,0.853,6.23,4.15,4.15,2.08,0.63,0.462,0.385,0.077,0.231,0.446,10.0,75.0,64.0,55.0,79.0,73.0,121.0,100.0,107.0,,,,,,,0.514,,0.459,,0.014,-1.23,,4.61,,-2.43,93.7,,89.0,84.5,,0.0,0.0,0.167,0.25,0.625,0.118,,,,,,,,,,111.0,79.0,119.0,,,,0.014,,,6.89,,93.3,,,,,,,,,,,,,,,,,,
2024-04-06,745359,Strikeout,strikeout,True,608596,650633,Tom Murphy,Michael King,1,d57ca125-91dd-4ee7-8a58-c9a50414ffe8,650633.0,michaelking,"King, M",Right,Michael King,SDP,3.41,3.69,111.0,102.0,94.0,101.0,0.749,10.46,3.41,7.7,1.14,0.97,0.235,0.405,0.214,0.269,0.419,89.0,103.0,98.0,83.0,105.0,102.0,114.0,98.0,102.0,,,,,,,0.254,,0.243,,0.245,-1.2,,-0.06,,1.28,93.5,,86.6,82.8,,0.381,0.714,0.237,0.269,0.452,0.201,,,,,,,0.198,0.267,0.355,87.0,105.0,98.0,,,,0.257,,,1.03,,92.8,0.2,0.42,0.188,,,,,,,,,,,,,,,
2024-04-06,745359,Groundout,field_out,True,608596,650633,Tom Murphy,Michael King,0,bfb2d147-f87a-480e-8507-586852acd84d,650633.0,michaelking,"King, M",Right,Michael King,SDP,3.41,3.69,111.0,102.0,94.0,101.0,0.749,10.46,3.41,7.7,1.14,0.97,0.235,0.405,0.214,0.269,0.419,89.0,103.0,98.0,83.0,105.0,102.0,114.0,98.0,102.0,,,,,,,0.254,,0.243,,0.245,-1.2,,-0.06,,1.28,93.5,,86.6,82.8,,0.381,0.714,0.237,0.269,0.452,0.201,,,,,,,0.198,0.267,0.355,87.0,105.0,98.0,,,,0.257,,,1.03,,92.8,0.2,0.42,0.188,,,,,,,,,,,,,,,
