date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024-04-06,746731,Strikeout,strikeout,True,669352,670990,Bubba Thompson,Yohan Ramírez,0,95fb70ca-f2ae-4b3b-98e6-80af5b4ac0db,670990.0,yohanramirez,"Ramírez, Y",Right,Yohan Ramírez,- - -,4.68,4.1,42.1,94.0,120.0,100.0,0.782,8.93,2.76,8.5,0.85,1.19,0.283,0.408,0.183,0.233,0.441,,,,104.0,93.0,103.0,98.0,91.0,92.0,111.0,90.0,93.0,150.0,98.0,108.0,,,,0.393,0.167,,0.311,0.129,,1.16,,-0.69,-0.66,0.34,,94.9,,,94.4,81.6,81.3,,,,0.226,0.323,0.172,,,,0.317,0.492,0.153,0.125,0.25,0.419,0.229,0.375,0.364,,,,,,,,,,,,,,,
2024-04-07,746734,Single,single,False,669352,640455,Bubba Thompson,Sean Manaea,0,c4855c21-ba7d-49d1-b6e3-425ecb6ef911,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.73,4.36,101.1,96.0,86.0,96.0,0.779,8.62,3.64,7.55,0.89,0.86,0.262,0.383,0.138,0.348,0.435,92.0,99.0,96.0,,,,78.0,102.0,99.0,82.0,100.0,97.0,89.0,87.0,92.0,83.0,88.0,85.0,0.397,0.1,0.119,0.255,,0.128,0.32,0.62,1.2,0.11,,-1.41,92.5,88.4,85.6,92.5,80.2,,0.316,0.456,0.258,0.227,0.295,0.213,0.242,0.273,0.178,0.229,0.344,0.19,,,,0.143,0.429,0.328,,,,,,,,,,,,,,,
2024-04-07,746734,Grounded Into DP,grounded_into_double_play,True,669352,640455,Bubba Thompson,Sean Manaea,1,dc805cdc-ca5e-4aeb-9cd9-761a1fd434df,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.73,4.36,101.1,96.0,86.0,96.0,0.779,8.62,3.64,7.55,0.89,0.86,0.262,0.383,0.138,0.348,0.435,92.0,99.0,96.0,,,,78.0,102.0,99.0,82.0,100.0,97.0,89.0,87.0,92.0,83.0,88.0,85.0,0.397,0.1,0.119,0.255,,0.128,0.32,0.62,1.2,0.11,,-1.41,92.5,88.4,85.6,92.5,80.2,,0.316,0.456,0.258,0.227,0.295,0.213,0.242,0.273,0.178,0.229,0.344,0.19,,,,0.143,0.429,0.328,,,,,,,,,,,,,,,
2024-04-07,746734,Flyout,field_out,True,669352,548384,Bubba Thompson,Brooks Raley,0,2cf7ac86-13ad-44d0-8882-1c677e2f1ef7,548384.0,brooksraley,"Raley, B",Left,Brooks Raley,NYM,0.0,3.1,7.0,108.0,104.0,113.0,0.796,11.57,3.86,2.57,0.0,0.5,0.462,0.308,0.385,0.308,0.412,100.0,102.0,109.0,,,,,,,78.0,112.0,107.0,116.0,114.0,126.0,99.0,94.0,88.0,0.092,,0.244,0.479,,0.185,,-3.52,2.74,5.47,,4.54,,85.7,83.7,88.9,80.5,,0.167,0.167,0.545,,,,0.5,1.0,0.0,,,,,,,0.0,0.0,0.219,,,,,,,,,,,,,,,
2024-04-08,746735,Groundout,field_out,True,669352,676879,Bubba Thompson,Aaron Ashby,0,57f62b2b-bbb8-4b2d-9400-dd200122cbbc,676879.0,aaronashby,Ashby,Left,Aaron Ashby,MIL,6.23,6.67,8.2,94.0,76.0,95.0,0.792,5.19,7.27,8.31,2.08,3.5,0.129,0.516,0.032,0.452,0.41,77.0,90.0,97.0,130.0,99.0,111.0,,,,53.0,101.0,92.0,115.0,82.0,92.0,,,,0.436,,,0.145,0.064,0.355,,,-4.49,4.27,4.57,-1.21,,,87.8,94.3,81.9,79.9,0.214,0.571,0.387,,,,,,,0.357,0.571,0.1,,,,0.0,0.0,0.143,,,,,,,,,,,,,,,
2024-04-08,746735,Strikeout,strikeout,True,669352,676879,Bubba Thompson,Aaron Ashby,0,dd70bc97-16a4-4845-a79c-f7ea87a51dd0,676879.0,aaronashby,Ashby,Left,Aaron Ashby,MIL,6.23,6.67,8.2,94.0,76.0,95.0,0.792,5.19,7.27,8.31,2.08,3.5,0.129,0.516,0.032,0.452,0.41,77.0,90.0,97.0,130.0,99.0,111.0,,,,53.0,101.0,92.0,115.0,82.0,92.0,,,,0.436,,,0.145,0.064,0.355,,,-4.49,4.27,4.57,-1.21,,,87.8,94.3,81.9,79.9,0.214,0.571,0.387,,,,,,,0.357,0.571,0.1,,,,0.0,0.0,0.143,,,,,,,,,,,,,,,
2024-04-08,746735,Strikeout,strikeout,True,669352,656266,Bubba Thompson,J.B. Bukauskas,0,0c608d3a-84ea-4d75-9f46-934ca76cc29c,656266.0,jbbukauskas,Bukauskas,Right,J.B. Bukauskas,MIL,1.5,7.42,6.0,99.0,93.0,99.0,0.65,9.0,1.5,4.5,1.5,1.4,0.067,0.467,0.0,0.533,0.364,,,,,,,,,,85.0,105.0,101.0,101.0,94.0,97.0,,,,0.489,,,0.511,,,,,0.99,3.38,,,,,,93.4,84.6,,,,,,,,,,,0.273,0.545,0.19,,,,0.0,0.0,0.579,,,,,,,,,,,,,,,
2024-04-08,746735,Double,double,False,669352,663542,Bubba Thompson,Bryan Hudson,1,eef55ffd-dbdb-4b8c-a2c7-f4468992a3bc,663542.0,bryanhudson,"Hudson, B",Left,Bryan Hudson,MIL,1.49,2.94,48.1,104.0,84.0,103.0,0.781,9.87,2.23,4.47,1.12,1.14,0.286,0.321,0.205,0.241,0.481,,,,,,,84.0,106.0,103.0,,,,113.0,105.0,107.0,50.0,97.0,98.0,,0.526,0.221,0.253,,,1.88,-0.05,,2.78,,,91.7,86.7,,,81.9,,,,,0.185,0.346,0.197,0.219,0.531,0.187,,,,,,,0.039,0.078,0.359,,,,,,,,,,,,,,,
2024-04-13,746811,Strikeout,strikeout,True,669352,676979,Bubba Thompson,Garrett Crochet,0,48a53802-b552-489e-b72f-1cb1f11d862e,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.02,2.44,107.1,103.0,103.0,103.0,0.698,12.58,1.93,6.62,0.84,1.24,0.262,0.371,0.181,0.319,0.471,69.0,103.0,103.0,,,,105.0,103.0,103.0,,,,138.0,99.0,103.0,92.0,107.0,104.0,,0.552,0.273,0.114,,0.061,1.77,2.05,,-2.87,,-0.38,97.0,91.4,90.8,,84.1,,0.179,0.321,0.279,0.188,0.274,0.31,0.213,0.283,0.351,,,,,,,0.227,0.614,0.372,,,,,,,,,,,,,,,
2024-04-13,746811,Strikeout,strikeout,True,669352,676979,Bubba Thompson,Garrett Crochet,0,b788c419-2819-4535-9b13-611eda92666a,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.02,2.44,107.1,103.0,103.0,103.0,0.698,12.58,1.93,6.62,0.84,1.24,0.262,0.371,0.181,0.319,0.471,69.0,103.0,103.0,,,,105.0,103.0,103.0,,,,138.0,99.0,103.0,92.0,107.0,104.0,,0.552,0.273,0.114,,0.061,1.77,2.05,,-2.87,,-0.38,97.0,91.4,90.8,,84.1,,0.179,0.321,0.279,0.188,0.274,0.31,0.213,0.283,0.351,,,,,,,0.227,0.614,0.372,,,,,,,,,,,,,,,
