date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,ST_ba,ST_slg,ST_whiff,KC%,wKC/C,vKC,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,vSC (sc),SC%,wSC/C
2024-05-22,746876,Strikeout,strikeout,True,676679,608331,Luis Vazquez,Max Fried,0,e59435cb-e630-4571-95cf-8405ff139be2,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.08,3.72,108.0,98.0,96.0,99.0,0.781,7.92,2.83,7.58,0.75,2.57,0.267,0.397,0.176,0.241,0.414,95.0,102.0,103.0,110.0,102.0,106.0,83.0,94.0,94.0,97.0,98.0,97.0,97.0,96.0,95.0,0.162,0.311,0.119,0.208,0.145,0.76,1.8,0.7,0.93,1.72,93.8,86.1,93.7,82.7,74.4,0.287,0.369,0.2,0.25,0.25,0.296,0.231,0.256,0.165,0.186,0.271,0.24,0.158,0.329,0.313,88.0,93.0,92.0,0.055,-0.23,89.3,0.308,0.308,0.313,,,,,,,,,,,,,,,,,,,,,
2024-08-24,746022,Hit By Pitch,hit_by_pitch,False,676679,642629,Luis Vazquez,Emmanuel Ramirez,0,709f51ba-b6a2-41b5-92c2-9d5f5eeed97e,642629.0,emmanuelramirez,"Ramirez, E",Right,Emmanuel Ramirez,MIA,6.97,4.94,20.2,96.0,115.0,100.0,0.749,9.15,3.48,9.15,1.31,1.0,0.183,0.483,0.117,0.45,0.41,,,,,,,107.0,100.0,101.0,,,,91.0,94.0,93.0,,0.534,0.097,,,-2.14,,0.03,,,93.9,,,77.7,,0.34,0.702,0.134,0.0,0.0,0.333,,,,,,,,,,,,,,,,,,,132.0,91.0,101.0,0.369,0.4,84.5,,,,,,,0.167,0.233,0.478,,,,,,
2024-08-26,745458,Grounded Into DP,grounded_into_double_play,True,676679,621399,Luis Vazquez,Brady Feigl,1,f25a37de-0ffa-484b-a5a9-ad6c79623735,621399.0,bradyfeigl,Feigl,Left,Brady Feigl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833,1.5,0.077,,,,,,,,,,0.25,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-26,745458,Sac Fly,sac_fly,True,676679,642133,Luis Vazquez,Rowdy Tellez,1,511af245-ddfd-426f-a96f-82737ece0fdc,642133.0,rowdytellez,Tellez,Left,Rowdy Tellez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-04,746835,Pop Out,field_out,True,676679,642133,Luis Vazquez,Rowdy Tellez,0,7116f335-20bd-4372-a454-4b09eb784c9c,642133.0,rowdytellez,Tellez,Left,Rowdy Tellez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-21,746826,Strikeout,strikeout,True,676679,669022,Luis Vazquez,MacKenzie Gore,0,8ca45967-6622-493a-98d4-18e3680db08a,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.04,4.32,160.1,98.0,111.0,101.0,0.758,9.65,3.59,9.43,0.84,1.12,0.258,0.377,0.149,0.297,0.435,92.0,91.0,94.0,104.0,104.0,102.0,124.0,98.0,103.0,,,,91.0,92.0,92.0,,0.554,0.157,0.196,0.092,-0.02,,-1.04,0.47,-1.53,96.0,85.9,,90.7,82.8,0.279,0.42,0.222,0.26,0.43,0.317,,,,0.292,0.5,0.516,0.225,0.304,0.33,,,,,,,,,,,,,,,,0.444,0.667,0.263,,,,,,,,,,,,
2024-09-21,746826,Strikeout,strikeout,True,676679,669022,Luis Vazquez,MacKenzie Gore,0,7fce2fcf-96bf-495d-bc03-93b1068fcae0,669022.0,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.04,4.32,160.1,98.0,111.0,101.0,0.758,9.65,3.59,9.43,0.84,1.12,0.258,0.377,0.149,0.297,0.435,92.0,91.0,94.0,104.0,104.0,102.0,124.0,98.0,103.0,,,,91.0,92.0,92.0,,0.554,0.157,0.196,0.092,-0.02,,-1.04,0.47,-1.53,96.0,85.9,,90.7,82.8,0.279,0.42,0.222,0.26,0.43,0.317,,,,0.292,0.5,0.516,0.225,0.304,0.33,,,,,,,,,,,,,,,,0.444,0.667,0.263,,,,,,,,,,,,
2024-09-21,746826,Groundout,field_out,True,676679,678606,Luis Vazquez,Jose A. Ferrer,0,37f7afbd-d015-4a26-801d-e43f059911f8,678606.0,joseaferrer,Ferrer,Left,Jose A. Ferrer,WSN,3.25,2.65,27.2,103.0,95.0,99.0,0.793,7.16,1.95,8.46,0.0,2.55,0.282,0.306,0.176,0.341,0.5,79.0,96.0,99.0,,,,107.0,109.0,99.0,93.0,105.0,101.0,142.0,79.0,83.0,0.58,0.181,0.056,,0.184,0.96,1.94,2.51,,-0.19,98.3,88.4,97.9,88.0,,0.25,0.313,0.244,0.0,0.0,0.833,0.269,0.299,0.107,0.235,0.235,0.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-23,745527,Groundout,field_out,True,676679,605400,Luis Vazquez,Aaron Nola,0,784fa4a1-2763-445f-8b9b-b543782a131c,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.52,3.76,194.1,105.0,104.0,104.0,0.775,8.8,2.32,8.34,1.34,1.29,0.213,0.473,0.162,0.312,0.4,78.0,102.0,90.0,,,,90.0,104.0,99.0,100.0,109.0,106.0,,,,0.207,0.277,,,0.097,0.77,-0.36,,,-1.82,92.5,85.7,91.5,,,0.167,0.321,0.222,,,,0.303,0.469,0.135,0.292,0.446,0.131,0.214,0.368,0.363,68.0,98.0,91.0,0.093,-2.38,87.5,0.385,0.769,0.179,,,,,,,,,,0.327,1.11,79.1,,,,135.0,106.0,114.0,,,
2024-09-23,745527,Strikeout,strikeout,True,676679,605400,Luis Vazquez,Aaron Nola,0,884df787-f89f-4553-a04a-160c98d6db20,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.52,3.76,194.1,105.0,104.0,104.0,0.775,8.8,2.32,8.34,1.34,1.29,0.213,0.473,0.162,0.312,0.4,78.0,102.0,90.0,,,,90.0,104.0,99.0,100.0,109.0,106.0,,,,0.207,0.277,,,0.097,0.77,-0.36,,,-1.82,92.5,85.7,91.5,,,0.167,0.321,0.222,,,,0.303,0.469,0.135,0.292,0.446,0.131,0.214,0.368,0.363,68.0,98.0,91.0,0.093,-2.38,87.5,0.385,0.769,0.179,,,,,,,,,,0.327,1.11,79.1,,,,135.0,106.0,114.0,,,
