date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CU%,CH%,wFC/C,wSI/C,wCU/C,wCH/C,vFC,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,wFA/C,wFS/C,wSL/C,vFA,vFS,vSL,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,FO%,wFO/C,vFO,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,EP%,wEP/C,vEP
2024-06-04,746550,Grounded Into DP,grounded_into_double_play,True,694362,621389,Blake Dunn,Ty Blach,1,71e064d6-0524-44be-93e2-b4c77c2c91fd,621389.0,tyblach,Blach,Left,Ty Blach,COL,5.46,6.26,59.1,103.0,70.0,90.0,0.875,4.85,1.97,12.29,1.52,1.26,0.247,0.379,0.11,0.333,0.466,70.0,98.0,89.0,37.0,94.0,92.0,77.0,106.0,90.0,79.0,107.0,89.0,0.51,0.121,0.122,0.247,0.63,-1.47,-0.42,-2.76,83.2,80.0,89.1,79.2,0.376,0.576,0.092,0.367,0.517,0.217,0.211,0.5,0.203,0.174,0.348,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-04,746550,Forceout,force_out,True,694362,621389,Blake Dunn,Ty Blach,1,e1dc3595-55e9-4b0e-8c7d-381aceb846b6,621389.0,tyblach,Blach,Left,Ty Blach,COL,5.46,6.26,59.1,103.0,70.0,90.0,0.875,4.85,1.97,12.29,1.52,1.26,0.247,0.379,0.11,0.333,0.466,70.0,98.0,89.0,37.0,94.0,92.0,77.0,106.0,90.0,79.0,107.0,89.0,0.51,0.121,0.122,0.247,0.63,-1.47,-0.42,-2.76,83.2,80.0,89.1,79.2,0.376,0.576,0.092,0.367,0.517,0.217,0.211,0.5,0.203,0.174,0.348,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-05,746544,Walk,walk,False,694362,656222,Blake Dunn,Jalen Beeks,1,3c42bac1-afbe-4f83-92d4-2dfdfe435ec3,656222.0,jalenbeeks,Beeks,Left,Jalen Beeks,COL,4.75,3.72,47.1,93.0,79.0,90.0,0.803,7.23,3.42,8.75,0.95,1.09,0.288,0.377,0.171,0.315,0.405,82.0,90.0,90.0,92.0,124.0,129.0,,,,89.0,97.0,92.0,0.002,0.159,0.014,0.255,0.58,-0.45,1.3,-0.52,85.2,89.0,89.3,74.5,,,,0.211,0.289,0.407,0.167,0.389,0.255,0.2,0.2,0.167,75.0,94.0,89.0,,,,,,,0.57,,,0.42,,,94.5,,,0.286,0.403,0.143,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-06,746707,Flyout,field_out,True,694362,543294,Blake Dunn,Kyle Hendricks,0,9ae1ef49-1aee-4ff0-86f4-6f14fade3262,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,6.78,4.99,70.1,105.0,97.0,101.0,0.829,6.4,2.69,10.88,1.66,1.34,0.226,0.385,0.218,0.256,0.411,109.0,107.0,108.0,88.0,108.0,105.0,98.0,106.0,98.0,,,,0.365,,0.127,0.39,,-0.85,1.57,-1.24,,80.9,87.8,74.3,0.357,0.504,0.101,0.278,0.421,0.244,,,,0.12,0.24,0.381,60.0,92.0,84.0,,,,,,,0.119,,,-3.58,,,87.8,,,0.4,1.067,0.128,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-07,746704,Groundout,field_out,True,694362,657006,Blake Dunn,Justin Steele,0,1375f407-42b1-42cc-89fb-31eacb744ce8,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.07,3.01,91.0,103.0,101.0,102.0,0.802,8.6,1.98,7.22,0.79,1.1,0.278,0.378,0.166,0.301,0.525,72.0,96.0,99.0,90.0,122.0,109.0,66.0,103.0,93.0,,,,0.05,,0.027,0.027,,2.99,3.31,3.98,,86.6,92.0,79.8,0.188,0.25,0.2,0.133,0.133,0.111,,,,0.0,0.0,0.214,90.0,102.0,100.0,132.0,104.0,109.0,,,,0.598,,0.298,0.43,,1.39,91.7,,83.2,0.255,0.401,0.206,,,,0.171,0.279,0.299,,,,,,,,,,,,,,,,,,
2024-06-07,746704,Double,double,False,694362,657006,Blake Dunn,Justin Steele,0,cdf88d42-7226-4355-836d-90d2bcabb42d,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.07,3.01,91.0,103.0,101.0,102.0,0.802,8.6,1.98,7.22,0.79,1.1,0.278,0.378,0.166,0.301,0.525,72.0,96.0,99.0,90.0,122.0,109.0,66.0,103.0,93.0,,,,0.05,,0.027,0.027,,2.99,3.31,3.98,,86.6,92.0,79.8,0.188,0.25,0.2,0.133,0.133,0.111,,,,0.0,0.0,0.214,90.0,102.0,100.0,132.0,104.0,109.0,,,,0.598,,0.298,0.43,,1.39,91.7,,83.2,0.255,0.401,0.206,,,,0.171,0.279,0.299,,,,,,,,,,,,,,,,,,
2024-06-07,746704,Pop Out,field_out,True,694362,657006,Blake Dunn,Justin Steele,0,3e108cde-a696-4067-bf71-3026c4dbdcb8,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.07,3.01,91.0,103.0,101.0,102.0,0.802,8.6,1.98,7.22,0.79,1.1,0.278,0.378,0.166,0.301,0.525,72.0,96.0,99.0,90.0,122.0,109.0,66.0,103.0,93.0,,,,0.05,,0.027,0.027,,2.99,3.31,3.98,,86.6,92.0,79.8,0.188,0.25,0.2,0.133,0.133,0.111,,,,0.0,0.0,0.214,90.0,102.0,100.0,132.0,104.0,109.0,,,,0.598,,0.298,0.43,,1.39,91.7,,83.2,0.255,0.401,0.206,,,,0.171,0.279,0.299,,,,,,,,,,,,,,,,,,
2024-06-08,746703,Strikeout,strikeout,True,694362,696136,Blake Dunn,Jordan Wicks,0,4ccd2a3d-afdf-4754-9948-b22283e27155,696136.0,jordanwicks,Wicks,Left,Jordan Wicks,CHC,4.18,3.93,28.0,103.0,95.0,101.0,0.742,10.29,3.21,9.96,0.64,1.07,0.179,0.476,0.107,0.214,0.38,103.0,105.0,105.0,92.0,103.0,99.0,76.0,100.0,89.0,71.0,118.0,92.0,0.131,0.004,0.062,0.262,-19.26,-1.19,-3.75,1.62,90.6,82.5,92.2,78.7,0.357,0.429,0.182,0.176,0.294,0.506,,,,0.667,1.0,0.222,91.0,104.0,104.0,126.0,92.0,97.0,,,,0.461,,0.081,0.11,,-3.7,92.9,,83.2,0.259,0.397,0.176,,,,0.4,0.6,0.333,,,,,,,,,,,,,,,,,,
2024-06-09,746705,Pop Out,field_out,True,694362,684007,Blake Dunn,Shota Imanaga,0,ffb7a0d1-065b-484a-8e75-556cca615b31,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.97,3.54,97.0,104.0,90.0,103.0,0.748,9.09,1.48,8.54,1.11,0.69,0.205,0.428,0.17,0.272,0.437,-25.0,118.0,64.0,71.0,97.0,98.0,90.0,120.0,107.0,51.0,108.0,96.0,0.002,0.009,0.044,0.001,-8.77,-1.44,-0.86,-3.42,89.8,87.6,89.4,72.9,,,,,,,0.5,1.25,0.125,0.429,0.429,0.0,95.0,104.0,106.0,110.0,108.0,109.0,80.0,102.0,96.0,0.547,0.33,0.067,1.17,0.11,-1.0,91.8,83.1,81.9,0.213,0.376,0.191,0.252,0.357,0.406,0.333,0.375,0.321,,,,,,,,,,,,,,,,,,
2024-06-09,746705,Groundout,field_out,True,694362,684007,Blake Dunn,Shota Imanaga,0,521d8d47-aaa3-4c11-ac8d-d480612ad753,684007.0,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.97,3.54,97.0,104.0,90.0,103.0,0.748,9.09,1.48,8.54,1.11,0.69,0.205,0.428,0.17,0.272,0.437,-25.0,118.0,64.0,71.0,97.0,98.0,90.0,120.0,107.0,51.0,108.0,96.0,0.002,0.009,0.044,0.001,-8.77,-1.44,-0.86,-3.42,89.8,87.6,89.4,72.9,,,,,,,0.5,1.25,0.125,0.429,0.429,0.0,95.0,104.0,106.0,110.0,108.0,109.0,80.0,102.0,96.0,0.547,0.33,0.067,1.17,0.11,-1.0,91.8,83.1,81.9,0.213,0.376,0.191,0.252,0.357,0.406,0.333,0.375,0.321,,,,,,,,,,,,,,,,,,
