date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSL/C,wCH/C,vFA,vFC,vCH,vSL,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,SI%,KC%,wSI/C,wKC/C,vSI,vKC,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024-03-28,746821,Pop Out,field_out,True,455117,669373,Martín Maldonado,Tarik Skubal,0,e720b4ba-cd07-4244-92bb-599a90fb01de,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.41,2.7,116.0,104.0,104.0,108.0,0.706,10.86,1.63,6.28,0.78,1.37,0.278,0.396,0.17,0.264,0.484,98.0,105.0,117.0,112.0,103.0,103.0,110.0,102.0,105.0,,,,0.317,,0.154,0.272,1.19,,1.72,0.42,96.8,,86.0,88.7,0.195,0.333,0.264,,,,0.16,0.26,0.386,0.217,0.37,0.468,97.0,107.0,106.0,99.0,90.0,100.0,0.21,0.047,1.96,2.55,96.7,78.6,0.17,0.27,0.171,0.143,0.143,0.214,,,,,,,,,,,,,,,,,,
2024-03-28,746821,Strikeout,strikeout,True,455117,669373,Martín Maldonado,Tarik Skubal,0,f8a24774-70c3-4a27-a725-07c6fe31b85c,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.41,2.7,116.0,104.0,104.0,108.0,0.706,10.86,1.63,6.28,0.78,1.37,0.278,0.396,0.17,0.264,0.484,98.0,105.0,117.0,112.0,103.0,103.0,110.0,102.0,105.0,,,,0.317,,0.154,0.272,1.19,,1.72,0.42,96.8,,86.0,88.7,0.195,0.333,0.264,,,,0.16,0.26,0.386,0.217,0.37,0.468,97.0,107.0,106.0,99.0,90.0,100.0,0.21,0.047,1.96,2.55,96.7,78.6,0.17,0.27,0.171,0.143,0.143,0.214,,,,,,,,,,,,,,,,,,
2024-03-28,746821,Groundout,field_out,True,455117,605177,Martín Maldonado,Andrew Chafin,0,bea43fd4-ee38-4804-b500-96f07ae8c348,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,DET,3.55,3.03,33.0,93.0,85.0,95.0,0.677,11.45,4.09,9.27,0.55,0.8,0.275,0.308,0.11,0.264,0.316,,,,72.0,95.0,84.0,98.0,89.0,105.0,,,,0.156,,0.456,,4.95,,1.36,,91.9,,,82.1,0.125,0.125,0.244,,,,0.131,0.164,0.52,,,,77.0,95.0,87.0,,,,0.388,,-2.43,,92.0,,0.5,0.674,0.127,,,,,,,,,,,,,,,,,,,,,
2024-03-30,746818,Strikeout,strikeout,True,455117,628317,Martín Maldonado,Kenta Maeda,0,c6ee5ada-1eee-4502-a1fc-c99bce19c454,628317.0,kentamaeda,Maeda,Right,Kenta Maeda,DET,6.88,4.7,69.1,99.0,90.0,97.0,0.792,7.14,2.99,10.64,1.95,0.84,0.211,0.444,0.166,0.291,0.389,,,,65.0,95.0,88.0,99.0,95.0,97.0,,,,0.251,,0.355,,-2.92,,-0.92,,90.5,,,81.6,0.362,0.707,0.125,,,,0.24,0.32,0.267,,,,62.0,100.0,90.0,,,,0.069,,-0.54,,90.4,,0.3,0.35,0.143,0.667,1.0,0.0,80.0,77.0,79.0,0.023,-5.16,76.5,109.0,104.0,107.0,0.301,0.11,83.7,0.2,0.388,0.273,,,
2024-03-30,746818,Flyout,field_out,True,455117,656412,Martín Maldonado,Alex Faedo,1,4074dbdb-670f-44c9-a712-8722b33a70aa,656412.0,alexfaedo,Faedo,Right,Alex Faedo,DET,3.5,4.24,43.2,101.0,104.0,103.0,0.704,7.83,3.92,7.42,1.24,1.36,0.248,0.456,0.128,0.336,0.359,108.0,103.0,110.0,92.0,94.0,89.0,111.0,107.0,112.0,,,,0.318,,0.424,0.207,1.28,,0.64,-1.0,94.0,,89.0,83.1,0.167,0.317,0.25,,,,0.193,0.368,0.407,0.294,0.412,0.274,81.0,89.0,88.0,,,,0.051,,-7.0,,93.5,,0.625,0.875,0.0,,,,,,,,,,,,,,,,,,,,,
2024-03-30,746818,Walk,walk,False,455117,656638,Martín Maldonado,Alex Lange,0,57004971-5087-4a09-a74a-d99840947786,656638.0,alexlange,Lange,Right,Alex Lange,DET,4.34,4.76,18.2,93.0,116.0,96.0,0.722,10.13,8.2,7.71,0.0,1.47,0.34,0.32,0.16,0.28,0.379,124.0,75.0,79.0,107.0,53.0,52.0,,,,,,,0.135,,,0.072,1.95,,,-4.15,96.3,,89.9,,0.091,0.091,0.111,,,,,,,,,,102.0,103.0,103.0,118.0,100.0,105.0,0.215,0.578,-1.1,0.34,96.3,88.1,0.375,0.375,0.147,0.195,0.293,0.433,,,,,,,,,,,,,,,,,,
2024-04-01,746817,Strikeout Double Play,strikeout_double_play,True,455117,450203,Martín Maldonado,Charlie Morton,1,8dbff547-789e-47c5-a994-d9659ee250d7,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.07,4.39,97.1,98.0,94.0,97.0,0.753,8.97,3.51,7.49,1.02,1.37,0.23,0.436,0.167,0.319,0.409,89.0,95.0,93.0,70.0,100.0,88.0,,,,75.0,92.0,87.0,0.277,0.095,,0.123,-2.02,-1.28,,0.94,93.8,88.6,85.0,,0.292,0.563,0.182,0.304,0.739,0.159,,,,0.186,0.302,0.347,82.0,101.0,93.0,,,,0.094,,0.73,,93.4,,0.303,0.455,0.094,0.179,0.256,0.336,119.0,99.0,107.0,0.412,1.39,81.4,,,,,,,,,,,,
2024-04-01,746817,Pop Out,field_out,True,455117,450203,Martín Maldonado,Charlie Morton,0,f0097b2a-1f26-4602-843c-b3ee3ca7fd7c,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.07,4.39,97.1,98.0,94.0,97.0,0.753,8.97,3.51,7.49,1.02,1.37,0.23,0.436,0.167,0.319,0.409,89.0,95.0,93.0,70.0,100.0,88.0,,,,75.0,92.0,87.0,0.277,0.095,,0.123,-2.02,-1.28,,0.94,93.8,88.6,85.0,,0.292,0.563,0.182,0.304,0.739,0.159,,,,0.186,0.302,0.347,82.0,101.0,93.0,,,,0.094,,0.73,,93.4,,0.303,0.455,0.094,0.179,0.256,0.336,119.0,99.0,107.0,0.412,1.39,81.4,,,,,,,,,,,,
2024-04-01,746817,Flyout,field_out,True,455117,669276,Martín Maldonado,Dylan Lee,0,d946e18a-4e74-487a-b158-a540188a8bf3,669276.0,dylanlee,"Lee, D",Left,Dylan Lee,ATL,1.95,2.88,37.0,103.0,99.0,105.0,0.669,9.49,2.68,7.54,0.73,0.86,0.152,0.495,0.081,0.283,0.45,111.0,104.0,100.0,89.0,103.0,101.0,102.0,104.0,109.0,,,,0.357,,0.509,0.135,-0.52,,1.92,1.55,92.1,,85.6,84.0,0.319,0.574,0.124,,,,0.164,0.239,0.488,0.227,0.227,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-02,746814,Flyout,field_out,True,455117,625643,Martín Maldonado,Reynaldo López,0,6427bf63-eb0c-4759-8878-f0a9b058883a,625643.0,reynaldolopez,"López, R",Right,Reynaldo López,ATL,1.88,4.24,95.2,102.0,95.0,101.0,0.767,8.94,3.2,7.34,0.56,0.97,0.276,0.366,0.152,0.307,0.436,76.0,109.0,103.0,91.0,102.0,98.0,111.0,101.0,105.0,,,,0.57,,0.281,0.039,1.2,,1.06,-4.55,95.4,,86.0,84.7,0.263,0.366,0.175,,,,0.182,0.255,0.413,0.333,0.833,0.333,,,,,,,,,,,,,,,,0.132,0.184,0.343,81.0,100.0,104.0,0.11,2.51,77.0,,,,,,,,,,,,
