date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff
2024-05-10,745340,Groundout,field_out,True,669477,671096,Casey Schmitt,Andrew Abbott,1,f45ad51d-2a80-4693-8a85-3b5dbd1a2943,671096.0,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.39,3.51,106.1,98.0,91.0,96.0,0.81,7.28,3.39,7.53,1.52,0.68,0.256,0.358,0.177,0.256,0.427,99.0,92.0,97.0,77.0,96.0,89.0,,,,124.0,104.0,111.0,,,,,0.546,,0.165,0.167,0.21,,,0.44,0.81,92.9,,84.7,,82.8,0.167,0.379,0.285,,,,0.188,0.302,0.253,0.233,0.406,0.193,99.0,98.0,100.0,0.121,-1.54,80.7,0.324,0.676,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10,745340,Flyout,field_out,True,669477,671096,Casey Schmitt,Andrew Abbott,0,79606c3f-275f-45e2-9987-dbcfc1455ba9,671096.0,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.39,3.51,106.1,98.0,91.0,96.0,0.81,7.28,3.39,7.53,1.52,0.68,0.256,0.358,0.177,0.256,0.427,99.0,92.0,97.0,77.0,96.0,89.0,,,,124.0,104.0,111.0,,,,,0.546,,0.165,0.167,0.21,,,0.44,0.81,92.9,,84.7,,82.8,0.167,0.379,0.285,,,,0.188,0.302,0.253,0.233,0.406,0.193,99.0,98.0,100.0,0.121,-1.54,80.7,0.324,0.676,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10,745340,Lineout,field_out,True,669477,641941,Casey Schmitt,Emilio Pagán,0,1d70b15c-2262-4496-8edd-3ef831a04b51,641941.0,emiliopagan,Pagán,Right,Emilio Pagán,CIN,4.43,3.72,20.1,105.0,108.0,105.0,0.723,11.51,3.1,9.3,1.77,0.68,0.296,0.444,0.185,0.463,0.403,,,,116.0,101.0,105.0,,,,,,,90.0,114.0,110.0,,0.566,0.281,,,0.51,-3.2,,,,94.3,86.2,,,,,,,,,,,,,0.224,0.388,0.275,,,,,,,,,,107.0,109.0,99.0,0.153,0.86,84.1,0.429,0.762,0.326,0.111,0.222,0.5,,,,,,,,,,,,,,,,,,
2024-05-10,745340,Groundout,field_out,True,669477,664747,Casey Schmitt,Alexis Díaz,0,122da87c-bc2e-4e67-aaab-f0dcbdc440ac,664747.0,alexisdiaz,"Díaz, A",Right,Alexis Díaz,CIN,4.33,3.91,35.1,97.0,117.0,103.0,0.785,8.92,5.6,7.64,0.51,0.83,0.24,0.427,0.167,0.229,0.442,,,,116.0,94.0,98.0,,,,117.0,100.0,108.0,,,,,0.56,,0.44,,0.12,,,-0.08,,93.9,,,,87.2,,,,,,,0.244,0.372,0.262,0.208,0.264,0.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-11,745344,Flyout,field_out,True,669477,666157,Casey Schmitt,Nick Lodolo,0,7c381e17-2b85-4e4b-9242-344ddeefe1ee,666157.0,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,3.33,3.49,78.1,99.0,104.0,97.0,0.726,9.31,2.76,7.35,1.03,1.2,0.275,0.422,0.161,0.28,0.441,98.0,100.0,94.0,117.0,103.0,98.0,108.0,95.0,92.0,,,,,,,0.107,0.45,,,0.165,0.57,,-1.02,,0.65,94.1,,87.9,94.1,,0.2,0.333,0.288,0.289,0.632,0.182,,,,0.221,0.372,0.22,88.0,93.0,101.0,0.278,0.16,81.5,0.198,0.25,0.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-11,745344,Pop Out,field_out,True,669477,666157,Casey Schmitt,Nick Lodolo,0,87c416ab-826a-480f-a88b-f462821dbd45,666157.0,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,3.33,3.49,78.1,99.0,104.0,97.0,0.726,9.31,2.76,7.35,1.03,1.2,0.275,0.422,0.161,0.28,0.441,98.0,100.0,94.0,117.0,103.0,98.0,108.0,95.0,92.0,,,,,,,0.107,0.45,,,0.165,0.57,,-1.02,,0.65,94.1,,87.9,94.1,,0.2,0.333,0.288,0.289,0.632,0.182,,,,0.221,0.372,0.22,88.0,93.0,101.0,0.278,0.16,81.5,0.198,0.25,0.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-11,745344,Strikeout,strikeout,True,669477,608718,Casey Schmitt,Brent Suter,0,c8510c2d-e0ff-4548-9223-347052113ff9,608718.0,brentsuter,Suter,Left,Brent Suter,CIN,3.68,4.04,51.1,99.0,102.0,103.0,0.799,7.19,1.75,8.94,1.4,1.15,0.28,0.373,0.193,0.248,0.406,109.0,101.0,114.0,116.0,99.0,108.0,82.0,90.0,79.0,89.0,106.0,109.0,,,,0.215,0.418,,0.171,0.196,0.28,,0.2,-0.29,-0.48,85.9,,75.8,87.4,78.7,0.227,0.364,0.28,0.25,0.472,0.2,0.243,0.459,0.225,0.277,0.446,0.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-12,745345,Strikeout,strikeout,True,669477,593423,Casey Schmitt,Frankie Montas,0,4c631e82-a044-4626-b6af-46bdaba30db0,593423.0,frankiemontas,Montas,Right,Frankie Montas,CIN,4.85,4.79,89.0,100.0,99.0,99.0,0.784,7.28,3.84,8.39,1.42,1.07,0.204,0.405,0.178,0.271,0.421,,,,85.0,104.0,98.0,85.0,101.0,97.0,117.0,98.0,100.0,106.0,94.0,92.0,0.155,0.344,0.173,0.11,,-0.34,-2.54,1.59,-0.61,,95.3,90.2,,94.3,84.9,,,,0.221,0.338,0.121,0.217,0.435,0.294,0.231,0.433,0.19,,,,,,,,,,120.0,97.0,106.0,0.218,-0.21,85.7,0.378,0.711,0.209,0.214,0.329,0.426,,,,,,,,,,,,,,,,,,
2024-05-12,745345,Forceout,force_out,True,669477,593423,Casey Schmitt,Frankie Montas,1,67f301d6-6c23-4f90-8a73-6bd0cbf797e8,593423.0,frankiemontas,Montas,Right,Frankie Montas,CIN,4.85,4.79,89.0,100.0,99.0,99.0,0.784,7.28,3.84,8.39,1.42,1.07,0.204,0.405,0.178,0.271,0.421,,,,85.0,104.0,98.0,85.0,101.0,97.0,117.0,98.0,100.0,106.0,94.0,92.0,0.155,0.344,0.173,0.11,,-0.34,-2.54,1.59,-0.61,,95.3,90.2,,94.3,84.9,,,,0.221,0.338,0.121,0.217,0.435,0.294,0.231,0.433,0.19,,,,,,,,,,120.0,97.0,106.0,0.218,-0.21,85.7,0.378,0.711,0.209,0.214,0.329,0.426,,,,,,,,,,,,,,,,,,
2024-05-12,745345,Lineout,field_out,True,669477,607259,Casey Schmitt,Nick Martinez,0,8df9d87d-93d1-43ad-a21d-5de350c5ba4a,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.88,3.17,72.0,109.0,101.0,107.0,0.785,7.0,1.13,9.0,0.75,0.9,0.289,0.399,0.228,0.215,0.426,118.0,115.0,119.0,90.0,109.0,107.0,84.0,106.0,97.0,101.0,109.0,111.0,101.0,108.0,104.0,0.152,0.219,0.199,0.083,0.217,0.96,0.21,1.08,0.29,0.75,92.6,88.5,80.0,91.9,84.7,0.211,0.38,0.384,0.24,0.34,0.053,0.235,0.294,0.432,0.206,0.317,0.188,109.0,102.0,103.0,0.131,-2.24,81.1,0.381,0.714,0.37,,,,,,,0.345,0.5,0.145,,,,,,,,,,,,,,,,,,,,,
