date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,EP%,wEP/C,vEP,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff
2024-04-01,747218,Double,double,False,678489,624647,Jorge Barrosa,Victor González,0,16b2614c-507e-4976-9dd5-62fcd625d5fd,624647.0,victorgonzalez,"González, V",Left,Victor González,NYY,3.86,5.29,23.1,89.0,88.0,85.0,0.824,4.24,5.01,5.01,1.16,1.46,0.3,0.4,0.086,0.329,0.352,74.0,92.0,82.0,,,,,,,89.0,91.0,101.0,,,,,,0.285,,0.236,,,0.59,,-0.11,,,86.2,85.9,,,,,,,,0.136,0.455,0.231,0.071,0.071,0.175,,,,94.0,86.0,77.0,0.479,1.44,93.3,0.2,0.289,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-02,747220,Double Play,double_play,True,678489,641482,Jorge Barrosa,Nestor Cortes,1,4dec04fc-22a5-4bd7-893f-18cdfa1a98cd,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,,,,95.0,104.0,101.0,91.0,103.0,103.0,109.0,100.0,103.0,0.455,0.298,0.163,,0.075,-0.19,1.48,0.14,,-2.51,91.9,87.2,83.2,78.1,,0.247,0.489,0.219,0.236,0.333,0.264,0.255,0.489,0.338,0.3,0.4,0.182,,,,91.0,119.0,117.0,0.009,2.16,89.9,0.143,0.143,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-02,747220,Groundout,field_out,True,678489,641482,Jorge Barrosa,Nestor Cortes,0,6edc4b3b-cf30-4190-8bfc-9d0a208b3f48,641482.0,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.67,3.46,115.1,102.0,98.0,101.0,0.784,8.58,1.72,8.35,1.25,0.61,0.264,0.357,0.162,0.3,0.445,84.0,106.0,98.0,,,,95.0,104.0,101.0,91.0,103.0,103.0,109.0,100.0,103.0,0.455,0.298,0.163,,0.075,-0.19,1.48,0.14,,-2.51,91.9,87.2,83.2,78.1,,0.247,0.489,0.219,0.236,0.333,0.264,0.255,0.489,0.338,0.3,0.4,0.182,,,,91.0,119.0,117.0,0.009,2.16,89.9,0.143,0.143,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-02,747220,Strikeout,strikeout,True,678489,624647,Jorge Barrosa,Victor González,0,dbb9fa27-041c-47dc-9fe2-72bfc5d8475d,624647.0,victorgonzalez,"González, V",Left,Victor González,NYY,3.86,5.29,23.1,89.0,88.0,85.0,0.824,4.24,5.01,5.01,1.16,1.46,0.3,0.4,0.086,0.329,0.352,74.0,92.0,82.0,,,,,,,89.0,91.0,101.0,,,,,,0.285,,0.236,,,0.59,,-0.11,,,86.2,85.9,,,,,,,,0.136,0.455,0.231,0.071,0.071,0.175,,,,94.0,86.0,77.0,0.479,1.44,93.3,0.2,0.289,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-02,747220,Groundout,field_out,True,678489,664776,Jorge Barrosa,Jake Cousins,0,ac06bd4f-8d0a-4c7c-a067-266440485dc5,664776.0,jakecousins,Cousins,Right,Jake Cousins,NYY,1.35,3.67,13.1,96.0,118.0,104.0,0.713,12.83,4.05,4.73,0.68,0.75,0.214,0.393,0.143,0.25,0.423,,,,,,,91.0,81.0,81.0,132.0,99.0,112.0,,,,0.018,,0.653,,,-29.34,,4.61,,,95.0,,,81.8,,,,,,,,,,,0.083,0.083,0.412,,,,92.0,91.0,88.0,0.329,-2.43,95.0,0.3,0.7,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-03,747219,Groundout,field_out,True,678489,607074,Jorge Barrosa,Carlos Rodón,0,a960c6ef-e817-4b01-9fb3-764f6d5af606,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,4.63,4.48,107.0,97.0,123.0,103.0,0.726,9.42,2.78,8.75,1.68,0.68,0.266,0.416,0.144,0.308,0.399,127.0,89.0,100.0,103.0,80.0,88.0,116.0,99.0,103.0,143.0,103.0,112.0,100.0,83.0,83.0,0.496,0.056,0.265,0.07,0.114,0.17,-3.1,-1.56,-1.37,1.54,95.5,91.8,85.3,86.8,81.0,0.261,0.531,0.202,0.353,0.647,0.255,0.171,0.195,0.49,0.237,0.43,0.388,0.333,0.4,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-03,747219,Pop Out,field_out,True,678489,607074,Jorge Barrosa,Carlos Rodón,0,b15dc442-d1bd-486b-964a-d5ccf9718648,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,4.63,4.48,107.0,97.0,123.0,103.0,0.726,9.42,2.78,8.75,1.68,0.68,0.266,0.416,0.144,0.308,0.399,127.0,89.0,100.0,103.0,80.0,88.0,116.0,99.0,103.0,143.0,103.0,112.0,100.0,83.0,83.0,0.496,0.056,0.265,0.07,0.114,0.17,-3.1,-1.56,-1.37,1.54,95.5,91.8,85.3,86.8,81.0,0.261,0.531,0.202,0.353,0.647,0.255,0.171,0.195,0.49,0.237,0.43,0.388,0.333,0.4,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-03,747219,Double Play,double_play,True,678489,641656,Jorge Barrosa,Ian Hamilton,1,9528dcd5-c5c5-4288-b44a-4c827ab3dddc,641656.0,ianhamilton,"Hamilton, I",Right,Ian Hamilton,NYY,4.55,4.1,29.2,101.0,117.0,101.0,0.668,9.1,4.25,10.01,0.3,1.39,0.281,0.371,0.135,0.202,0.401,,,,,,,86.0,98.0,96.0,144.0,108.0,109.0,,,,0.224,,0.53,,,1.11,,-0.09,,,96.3,,,88.4,,0.136,0.273,0.24,,,,,,,0.254,0.343,0.454,,,,90.0,96.0,93.0,0.247,-3.02,95.6,0.5,0.615,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-03,747219,Groundout,field_out,True,678489,642528,Jorge Barrosa,Jonathan Loáisiga,0,0e22f18e-3dfe-4ce4-9900-bd72f89145e8,642528.0,jonathanloaisiga,Loáisiga,Right,Jonathan Loáisiga,NYY,0.0,4.22,4.0,106.0,104.0,110.0,0.844,6.75,2.25,15.75,0.0,4.5,0.438,0.125,0.375,0.313,0.41,67.0,108.0,102.0,158.0,75.0,93.0,86.0,52.0,52.0,,,,,,,0.016,,,0.148,0.164,-2.0,,,0.35,6.58,98.4,,89.8,,87.8,,,,,,,0.0,0.0,0.143,,,,,,,101.0,113.0,117.0,0.672,-3.43,97.9,0.438,0.438,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-03,747219,Single,single,False,678489,657571,Jorge Barrosa,Caleb Ferguson,1,c924234a-8c03-4208-a654-146c003506cd,657571.0,calebferguson,Ferguson,Left,Caleb Ferguson,NYY,5.1,4.33,30.0,105.0,87.0,99.0,0.755,11.1,3.9,9.3,1.2,1.31,0.306,0.365,0.153,0.318,0.436,,,,67.0,96.0,95.0,89.0,106.0,100.0,129.0,42.0,60.0,89.0,108.0,102.0,0.548,0.28,0.004,0.113,,-0.82,2.27,-2.71,-1.56,,93.7,88.7,,79.1,80.9,0.284,0.554,0.217,0.067,0.067,0.424,,,,,,,,,,81.0,93.0,84.0,0.056,-6.72,93.6,1.0,1.0,0.429,,,,,,,,,,,,,,,,0.357,0.429,0.296,,,,,,,,,,,,
