date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,KC%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFC,vFS,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,CH_ba,CH_slg,CH_whiff
2024-04-29,745263,Groundout,field_out,True,664059,608331,Sam Haggerty,Max Fried,0,1d946244-41a2-44a0-8536-7646cc99e394,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.08,3.72,108.0,98.0,96.0,99.0,0.781,7.92,2.83,7.58,0.75,2.57,0.267,0.397,0.176,0.241,0.414,83.0,94.0,94.0,97.0,98.0,97.0,97.0,96.0,95.0,,,,88.0,93.0,92.0,,,,0.162,0.311,0.055,,0.119,,0.76,-0.23,,1.8,0.7,,93.8,89.3,,93.7,82.7,,0.287,0.369,0.2,0.231,0.256,0.165,,,,0.25,0.25,0.296,0.158,0.329,0.313,0.308,0.308,0.313,95.0,102.0,103.0,110.0,102.0,106.0,0.208,0.145,0.93,1.72,86.1,74.4,0.186,0.271,0.24
2024-04-29,745263,Groundout,field_out,True,664059,608331,Sam Haggerty,Max Fried,0,ca7644e7-89bd-4fdd-bdd6-c6bb41eaed93,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.08,3.72,108.0,98.0,96.0,99.0,0.781,7.92,2.83,7.58,0.75,2.57,0.267,0.397,0.176,0.241,0.414,83.0,94.0,94.0,97.0,98.0,97.0,97.0,96.0,95.0,,,,88.0,93.0,92.0,,,,0.162,0.311,0.055,,0.119,,0.76,-0.23,,1.8,0.7,,93.8,89.3,,93.7,82.7,,0.287,0.369,0.2,0.231,0.256,0.165,,,,0.25,0.25,0.296,0.158,0.329,0.313,0.308,0.308,0.313,95.0,102.0,103.0,110.0,102.0,106.0,0.208,0.145,0.93,1.72,86.1,74.4,0.186,0.271,0.24
2024-05-01,745261,Strikeout,strikeout,True,664059,519242,Sam Haggerty,Chris Sale,0,cd121207-40e1-4e5c-937c-c79bc4863264,519242.0,chrissale,Sale,Left,Chris Sale,ATL,2.7,2.7,110.0,103.0,103.0,102.0,0.711,11.45,1.96,6.63,0.57,1.51,0.262,0.449,0.194,0.228,0.454,97.0,105.0,101.0,111.0,101.0,97.0,122.0,100.0,105.0,,,,,,,,,,0.082,0.379,,,0.392,,-0.27,,,-0.89,2.27,,94.9,,,94.1,78.7,,0.27,0.475,0.241,0.324,0.471,0.153,,,,0.165,0.233,0.419,,,,,,,59.0,108.0,97.0,,,,,0.147,,4.04,87.2,,0.116,0.145,0.231
2024-05-01,745261,Lineout,field_out,True,664059,519242,Sam Haggerty,Chris Sale,0,0cce9a03-a423-46d8-b8f6-8a0697b403a7,519242.0,chrissale,Sale,Left,Chris Sale,ATL,2.7,2.7,110.0,103.0,103.0,102.0,0.711,11.45,1.96,6.63,0.57,1.51,0.262,0.449,0.194,0.228,0.454,97.0,105.0,101.0,111.0,101.0,97.0,122.0,100.0,105.0,,,,,,,,,,0.082,0.379,,,0.392,,-0.27,,,-0.89,2.27,,94.9,,,94.1,78.7,,0.27,0.475,0.241,0.324,0.471,0.153,,,,0.165,0.233,0.419,,,,,,,59.0,108.0,97.0,,,,,0.147,,4.04,87.2,,0.116,0.145,0.231
2024-05-01,745261,Strikeout,strikeout,True,664059,669276,Sam Haggerty,Dylan Lee,0,727d96fb-ba6b-4dc8-a002-c68a9a9f440d,669276.0,dylanlee,"Lee, D",Left,Dylan Lee,ATL,1.95,2.88,37.0,103.0,99.0,105.0,0.669,9.49,2.68,7.54,0.73,0.86,0.152,0.495,0.081,0.283,0.45,89.0,103.0,101.0,,,,102.0,104.0,109.0,,,,,,,,,,,0.357,,,0.509,,-0.52,,,,1.92,,92.1,,,,84.0,,0.319,0.574,0.124,,,,,,,0.164,0.239,0.488,,,,,,,111.0,104.0,100.0,,,,,0.135,,1.55,85.6,,0.227,0.227,0.39
2024-05-04,746394,Groundout,field_out,True,664059,664285,Sam Haggerty,Framber Valdez,0,993d0823-c981-4f51-9a32-e8444bde49bb,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.66,3.99,98.1,96.0,110.0,100.0,0.77,7.51,2.93,8.6,0.73,3.21,0.204,0.398,0.106,0.338,0.427,63.0,111.0,97.0,95.0,101.0,97.0,102.0,102.0,114.0,,,,,,,,,,0.514,0.017,,,0.04,,-3.8,,,1.28,0.84,,94.2,,,93.8,85.6,,0.4,1.0,0.273,0.31,0.411,0.12,,,,0.211,0.421,0.367,0.149,0.23,0.399,,,,125.0,91.0,100.0,128.0,91.0,103.0,0.278,0.15,0.45,-0.13,89.5,80.0,0.264,0.358,0.345
2024-05-04,746394,Groundout,field_out,True,664059,664285,Sam Haggerty,Framber Valdez,0,0b631992-1411-4a78-840b-d84c11a8a71f,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.66,3.99,98.1,96.0,110.0,100.0,0.77,7.51,2.93,8.6,0.73,3.21,0.204,0.398,0.106,0.338,0.427,63.0,111.0,97.0,95.0,101.0,97.0,102.0,102.0,114.0,,,,,,,,,,0.514,0.017,,,0.04,,-3.8,,,1.28,0.84,,94.2,,,93.8,85.6,,0.4,1.0,0.273,0.31,0.411,0.12,,,,0.211,0.421,0.367,0.149,0.23,0.399,,,,125.0,91.0,100.0,128.0,91.0,103.0,0.278,0.15,0.45,-0.13,89.5,80.0,0.264,0.358,0.345
2024-05-04,746394,Walk,walk,False,664059,605463,Sam Haggerty,Tayler Scott,0,febb72b2-c6e5-4399-8aac-bf1cc279f33f,605463.0,taylerscott,"Scott, Tay",Right,Tayler Scott,HOU,1.36,2.99,46.1,99.0,98.0,99.0,0.745,8.35,4.27,4.86,0.39,1.67,0.231,0.41,0.214,0.231,0.372,121.0,98.0,97.0,105.0,93.0,86.0,89.0,97.0,106.0,,,,,,,,,,0.073,0.433,,,0.262,,2.65,,,-0.27,0.86,,92.7,,,92.6,84.0,,0.089,0.107,0.287,0.375,0.375,0.211,,,,0.212,0.288,0.276,,,,,,,60.0,103.0,101.0,,,,,0.232,,0.69,85.5,,0.143,0.214,0.329
2024-05-04,746394,Groundout,field_out,True,664059,656232,Sam Haggerty,Brandon Bielak,0,3d6fac54-5430-4f36-850e-6254c55d3829,656232.0,brandonbielak,Bielak,Right,Brandon Bielak,- - -,5.09,5.99,23.0,94.0,80.0,90.0,0.878,4.7,3.13,12.13,1.57,0.89,0.195,0.448,0.092,0.287,0.387,75.0,84.0,74.0,67.0,98.0,86.0,68.0,94.0,101.0,,,,,,,,,,0.251,0.18,,,0.132,,-0.56,,,-2.84,0.85,,92.3,,,92.3,83.1,,0.333,0.444,0.069,0.355,0.645,0.151,,,,0.111,0.222,0.313,0.429,0.857,0.118,,,,107.0,98.0,101.0,67.0,86.0,86.0,0.122,0.316,-4.11,-0.86,87.4,80.8,0.294,0.471,0.2
2024-05-09,745910,Pop Out,field_out,True,664059,681892,Sam Haggerty,Kody Funderburk,0,fea33335-ec17-4581-802a-6c65da5ba97e,681892.0,kodyfunderburk,Funderburk,Left,Kody Funderburk,MIN,5.61,5.19,33.2,95.0,102.0,95.0,0.756,8.29,4.01,9.62,1.07,2.29,0.284,0.343,0.167,0.343,0.428,,,,98.0,95.0,94.0,122.0,88.0,95.0,,,,93.0,102.0,98.0,,,,0.203,,0.442,,0.326,,,-0.69,,-0.34,-2.42,,,92.2,,93.3,82.7,,,,,0.286,0.381,0.091,,,,0.25,0.462,0.337,,,,0.302,0.491,0.254,76.0,96.0,95.0,,,,,0.029,,1.2,88.6,,0.333,0.667,0.0
