date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFS,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff
2024-06-11,746464,Groundout,field_out,True,668952,680730,Ryan Kreidler,Mitchell Parker,0,d366041d-4484-4395-8ba5-577c4fe4d25b,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,3.9,4.1,92.1,100.0,88.0,98.0,0.807,7.41,2.05,8.19,1.17,1.01,0.228,0.466,0.154,0.336,0.461,98.0,98.0,98.0,79.0,102.0,97.0,,,,106.0,106.0,110.0,88.0,96.0,95.0,,0.49,0.173,0.09,0.246,0.85,-0.37,,-1.59,1.0,92.6,85.8,,84.6,80.5,0.243,0.514,0.35,0.203,0.359,0.361,0.241,0.382,0.12,,,,0.25,0.369,0.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-11,746464,Walk,walk,False,668952,680730,Ryan Kreidler,Mitchell Parker,0,b3662a35-465b-4d44-8fe9-9d83d3226e68,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,3.9,4.1,92.1,100.0,88.0,98.0,0.807,7.41,2.05,8.19,1.17,1.01,0.228,0.466,0.154,0.336,0.461,98.0,98.0,98.0,79.0,102.0,97.0,,,,106.0,106.0,110.0,88.0,96.0,95.0,,0.49,0.173,0.09,0.246,0.85,-0.37,,-1.59,1.0,92.6,85.8,,84.6,80.5,0.243,0.514,0.35,0.203,0.359,0.361,0.241,0.382,0.12,,,,0.25,0.369,0.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-11,746464,Strikeout,strikeout,True,668952,571882,Ryan Kreidler,Derek Law,0,099749f4-7572-4d0c-ba7f-255b18f403eb,571882.0,dereklaw,"Law, D",Right,Derek Law,WSN,3.32,4.04,57.0,103.0,91.0,98.0,0.744,7.89,2.68,9.16,0.95,1.84,0.203,0.448,0.128,0.221,0.403,100.0,94.0,99.0,80.0,103.0,95.0,85.0,97.0,89.0,112.0,113.0,107.0,,,,0.092,0.133,,0.287,0.046,-1.25,,-2.66,2.56,-7.81,95.1,,94.4,87.2,77.8,0.171,0.256,0.405,,,,0.292,0.5,0.186,0.455,0.545,0.109,0.75,2.25,0.0,85.0,106.0,104.0,0.043,1.29,88.4,0.222,0.222,0.238,81.0,100.0,94.0,0.399,0.36,91.5,0.293,0.387,0.252,,,,,,,,,,,,
2024-06-13,746465,Single,single,False,668952,571578,Ryan Kreidler,Patrick Corbin,0,91190900-f438-496f-90a1-b0f1551c0585,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.35,6.06,111.0,100.0,76.0,94.0,0.803,6.41,2.92,10.46,1.22,1.43,0.209,0.382,0.137,0.335,0.393,,,,54.0,97.0,83.0,71.0,102.0,92.0,85.0,96.0,96.0,,,,0.352,0.103,,0.316,,-1.09,,-1.8,0.02,,91.3,,91.4,79.7,,0.25,0.384,0.352,,,,0.324,0.541,0.117,0.326,0.578,0.089,,,,88.0,95.0,96.0,0.05,-4.62,81.2,0.4,0.65,0.275,79.0,106.0,99.0,0.179,0.23,84.5,0.253,0.38,0.236,,,,,,,,,,,,
2024-06-13,746465,Lineout,field_out,True,668952,571578,Ryan Kreidler,Patrick Corbin,0,66fde2bc-12a3-4f45-b5b4-193443440144,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.35,6.06,111.0,100.0,76.0,94.0,0.803,6.41,2.92,10.46,1.22,1.43,0.209,0.382,0.137,0.335,0.393,,,,54.0,97.0,83.0,71.0,102.0,92.0,85.0,96.0,96.0,,,,0.352,0.103,,0.316,,-1.09,,-1.8,0.02,,91.3,,91.4,79.7,,0.25,0.384,0.352,,,,0.324,0.541,0.117,0.326,0.578,0.089,,,,88.0,95.0,96.0,0.05,-4.62,81.2,0.4,0.65,0.275,79.0,106.0,99.0,0.179,0.23,84.5,0.253,0.38,0.236,,,,,,,,,,,,
2024-06-13,746465,Single,single,False,668952,571882,Ryan Kreidler,Derek Law,0,5d8c00c0-8182-4c80-bc88-3f32ad94ceea,571882.0,dereklaw,"Law, D",Right,Derek Law,WSN,3.32,4.04,57.0,103.0,91.0,98.0,0.744,7.89,2.68,9.16,0.95,1.84,0.203,0.448,0.128,0.221,0.403,100.0,94.0,99.0,80.0,103.0,95.0,85.0,97.0,89.0,112.0,113.0,107.0,,,,0.092,0.133,,0.287,0.046,-1.25,,-2.66,2.56,-7.81,95.1,,94.4,87.2,77.8,0.171,0.256,0.405,,,,0.292,0.5,0.186,0.455,0.545,0.109,0.75,2.25,0.0,85.0,106.0,104.0,0.043,1.29,88.4,0.222,0.222,0.238,81.0,100.0,94.0,0.399,0.36,91.5,0.293,0.387,0.252,,,,,,,,,,,,
2024-06-13,746465,Flyout,field_out,True,668952,663432,Ryan Kreidler,Tanner Rainey,0,1a162e26-9204-45a8-aea2-bceddc69b981,663432.0,tannerrainey,Rainey,Right,Tanner Rainey,WSN,6.58,6.42,26.0,93.0,107.0,96.0,0.732,7.62,6.23,9.69,1.73,0.61,0.181,0.361,0.12,0.313,0.38,,,,109.0,97.0,100.0,,,,102.0,85.0,89.0,,,,,0.68,,0.295,,-0.62,,,-2.34,,93.7,,,86.4,,0.286,0.286,0.5,,,,0.253,0.518,0.22,,,,,,,87.0,76.0,73.0,0.025,-6.91,85.6,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14,746378,Flyout,field_out,True,668952,686613,Ryan Kreidler,Hunter Brown,1,49bd5c10-f9cd-43c3-ae7d-bf9730c35706,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,,,,106.0,101.0,100.0,90.0,100.0,98.0,114.0,105.0,107.0,,,,0.134,0.376,,0.071,,-0.55,,0.46,1.74,,95.7,,95.5,89.0,,0.192,0.192,0.25,,,,0.272,0.483,0.287,0.268,0.304,0.172,0.28,0.5,0.281,88.0,102.0,105.0,0.134,1.13,88.4,0.208,0.271,0.327,95.0,107.0,105.0,0.157,0.16,92.3,0.236,0.375,0.185,130.0,99.0,106.0,0.127,-1.93,82.4,,,,,,
2024-06-14,746378,Caught Stealing 2B,caught_stealing_2b,True,668952,686613,Ryan Kreidler,Hunter Brown,0,bbadc10b-58d9-40ae-a22b-2ee38f01d2e9,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,,,,106.0,101.0,100.0,90.0,100.0,98.0,114.0,105.0,107.0,,,,0.134,0.376,,0.071,,-0.55,,0.46,1.74,,95.7,,95.5,89.0,,0.192,0.192,0.25,,,,0.272,0.483,0.287,0.268,0.304,0.172,0.28,0.5,0.281,88.0,102.0,105.0,0.134,1.13,88.4,0.208,0.271,0.327,95.0,107.0,105.0,0.157,0.16,92.3,0.236,0.375,0.185,130.0,99.0,106.0,0.127,-1.93,82.4,,,,,,
2024-06-14,746378,Strikeout,strikeout,True,668952,686613,Ryan Kreidler,Hunter Brown,0,18aa4901-8a90-45ca-8346-f039f3896192,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,,,,106.0,101.0,100.0,90.0,100.0,98.0,114.0,105.0,107.0,,,,0.134,0.376,,0.071,,-0.55,,0.46,1.74,,95.7,,95.5,89.0,,0.192,0.192,0.25,,,,0.272,0.483,0.287,0.268,0.304,0.172,0.28,0.5,0.281,88.0,102.0,105.0,0.134,1.13,88.4,0.208,0.271,0.327,95.0,107.0,105.0,0.157,0.16,92.3,0.236,0.375,0.185,130.0,99.0,106.0,0.127,-1.93,82.4,,,,,,
