date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,CH%,wSI/C,wSL/C,wCH/C,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,KC%,wFA/C,wFC/C,wKC/C,vFA,vFC,vKC,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,EP%,wEP/C,vEP,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff
2024-03-28,745687,Flyout,field_out,True,687231,682120,Darell Hernaiz,Tim Herrin,0,e5053a65-d6e4-43ee-8f50-f3a32e822081,682120.0,timherrin,Herrin,Left,Tim Herrin,CLE,1.45,3.36,37.1,96.0,105.0,98.0,0.72,9.4,4.34,4.58,0.24,1.41,0.148,0.455,0.193,0.273,0.411,,,,106.0,106.0,112.0,116.0,95.0,100.0,0.098,0.249,,5.35,0.48,,,94.0,87.6,0.0,0.0,0.115,0.238,0.381,0.338,,,,97.0,93.0,88.0,,,,,,,0.254,,,1.69,,,95.4,,,0.176,0.206,0.171,,,,0.138,0.224,0.385,105.0,96.0,99.0,0.398,1.95,81.5,,,,,,,,,,,,,,,,,,
2024-03-29,745682,Forceout,force_out,True,687231,671106,Darell Hernaiz,Logan Allen,1,41ed318c-9b7a-4cca-80b0-e015a3193fd8,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,5.67,5.5,87.1,97.0,78.0,92.0,0.793,7.83,3.61,10.31,1.85,1.07,0.258,0.362,0.151,0.321,0.409,101.0,94.0,97.0,,,,91.0,98.0,86.0,,0.183,0.183,,-2.18,-1.11,81.6,,78.6,,,,0.263,0.509,0.355,0.254,0.479,0.278,61.0,98.0,88.0,,,,92.0,99.0,97.0,0.483,0.15,,-1.5,0.37,,91.2,85.4,,0.329,0.593,0.159,0.245,0.449,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-29,745682,Groundout,field_out,True,687231,671106,Darell Hernaiz,Logan Allen,0,3d2d99a7-ab1b-4d06-827d-ea4898699d33,671106.0,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,5.67,5.5,87.1,97.0,78.0,92.0,0.793,7.83,3.61,10.31,1.85,1.07,0.258,0.362,0.151,0.321,0.409,101.0,94.0,97.0,,,,91.0,98.0,86.0,,0.183,0.183,,-2.18,-1.11,81.6,,78.6,,,,0.263,0.509,0.355,0.254,0.479,0.278,61.0,98.0,88.0,,,,92.0,99.0,97.0,0.483,0.15,,-1.5,0.37,,91.2,85.4,,0.329,0.593,0.159,0.245,0.449,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745684,Flyout,field_out,True,687231,595881,Darell Hernaiz,Tyler Beede,0,a60b405c-1eb4-4a33-9b70-99a3670b7bd0,595881.0,tylerbeede,Beede,Right,Tyler Beede,CLE,8.36,4.67,14.0,95.0,76.0,92.0,0.712,11.57,5.79,10.29,1.29,1.33,0.158,0.553,0.184,0.211,0.362,,,,60.0,75.0,68.0,,,,0.075,,,4.23,,,,91.1,,0.0,0.0,0.143,,,,,,,58.0,99.0,90.0,,,,,,,0.294,,,-3.38,,,93.7,,,0.4,0.8,0.156,,,,0.25,0.333,0.36,91.0,100.0,101.0,0.234,-0.54,77.5,89.0,98.0,97.0,0.396,-2.0,86.2,0.292,0.458,0.37,,,,,,,,,
2024-04-01,745675,Strikeout,strikeout,True,687231,656557,Darell Hernaiz,Tanner Houck,0,59704759-f575-426b-bbc9-c36e220bd277,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,,,,96.0,103.0,97.0,115.0,102.0,113.0,0.299,0.423,,0.49,1.85,,,93.4,83.1,0.275,0.344,0.129,0.191,0.275,0.294,,,,,,,,,,95.0,93.0,93.0,,0.022,,,-0.99,,,87.1,,,,,0.2,0.4,0.235,,,,,,,,,,116.0,105.0,111.0,0.255,1.83,88.4,0.188,0.234,0.233,,,,,,,,,
2024-04-01,745675,Strikeout,strikeout,True,687231,656557,Darell Hernaiz,Tanner Houck,0,22e00b2e-d3fc-4ba0-a7d0-ad9d15f25a5c,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,,,,96.0,103.0,97.0,115.0,102.0,113.0,0.299,0.423,,0.49,1.85,,,93.4,83.1,0.275,0.344,0.129,0.191,0.275,0.294,,,,,,,,,,95.0,93.0,93.0,,0.022,,,-0.99,,,87.1,,,,,0.2,0.4,0.235,,,,,,,,,,116.0,105.0,111.0,0.255,1.83,88.4,0.188,0.234,0.233,,,,,,,,,
2024-04-01,745675,Strikeout,strikeout,True,687231,502624,Darell Hernaiz,Chase Anderson,0,f928bb02-855f-4433-85d4-d2375990717e,502624.0,chaseanderson,Anderson,Right,Chase Anderson,BOS,4.59,4.27,49.0,100.0,107.0,100.0,0.761,5.88,2.94,7.16,1.65,0.66,0.261,0.386,0.19,0.275,0.419,122.0,107.0,111.0,83.0,91.0,82.0,123.0,98.0,101.0,0.019,0.164,0.3,4.28,2.12,1.79,83.9,92.9,80.5,0.0,0.0,0.125,0.132,0.237,0.273,0.148,0.279,0.327,77.0,95.0,85.0,,,,101.0,100.0,98.0,0.139,0.333,,-1.5,-1.81,,93.5,88.7,,0.3,0.35,0.25,0.333,0.667,0.178,,,,94.0,94.0,88.0,0.045,1.44,78.8,,,,,,,,,,,,,,,,,,
2024-04-05,746497,Groundout,field_out,True,687231,669373,Darell Hernaiz,Tarik Skubal,0,693b08af-c54e-4607-83a4-b75e708f74a0,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.41,2.7,116.0,104.0,104.0,108.0,0.706,10.86,1.63,6.28,0.78,1.37,0.278,0.396,0.17,0.264,0.484,98.0,105.0,117.0,97.0,107.0,106.0,110.0,102.0,105.0,0.21,0.154,0.272,1.96,1.72,0.42,86.0,96.7,88.7,0.17,0.27,0.171,0.16,0.26,0.386,0.217,0.37,0.468,112.0,103.0,103.0,99.0,90.0,100.0,,,,0.317,,0.047,1.19,,2.55,96.8,,78.6,0.195,0.333,0.264,,,,0.143,0.143,0.214,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-05,746497,Strikeout,strikeout,True,687231,669373,Darell Hernaiz,Tarik Skubal,0,36de2a92-8bc4-4c65-9b81-43a2f487b3c6,669373.0,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.41,2.7,116.0,104.0,104.0,108.0,0.706,10.86,1.63,6.28,0.78,1.37,0.278,0.396,0.17,0.264,0.484,98.0,105.0,117.0,97.0,107.0,106.0,110.0,102.0,105.0,0.21,0.154,0.272,1.96,1.72,0.42,86.0,96.7,88.7,0.17,0.27,0.171,0.16,0.26,0.386,0.217,0.37,0.468,112.0,103.0,103.0,99.0,90.0,100.0,,,,0.317,,0.047,1.19,,2.55,96.8,,78.6,0.195,0.333,0.264,,,,0.143,0.143,0.214,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-10,745024,Groundout,field_out,True,687231,674003,Darell Hernaiz,Cody Bradford,0,44ecdb6d-d17a-48b4-b341-e7177b0b7772,674003.0,codybradford,Bradford,Left,Cody Bradford,TEX,1.4,2.46,19.1,103.0,92.0,97.0,0.779,7.91,0.93,4.66,0.47,0.58,0.404,0.212,0.192,0.308,0.352,104.0,100.0,104.0,,,,39.0,106.0,109.0,,0.049,0.292,,8.51,0.62,81.4,,84.2,,,,0.0,0.0,0.571,0.278,0.333,0.35,91.0,100.0,87.0,,,,38.0,107.0,93.0,0.494,0.011,,4.59,-4.35,,90.4,86.3,,0.1,0.175,0.24,,,,0.143,0.143,0.077,102.0,115.0,109.0,0.154,2.09,75.7,,,,,,,,,,,,,,,,,,
2024-04-10,745024,Strikeout,strikeout,True,687231,674003,Darell Hernaiz,Cody Bradford,0,0f13d272-02bc-4180-b138-dcfdc6aa09cc,674003.0,codybradford,Bradford,Left,Cody Bradford,TEX,1.4,2.46,19.1,103.0,92.0,97.0,0.779,7.91,0.93,4.66,0.47,0.58,0.404,0.212,0.192,0.308,0.352,104.0,100.0,104.0,,,,39.0,106.0,109.0,,0.049,0.292,,8.51,0.62,81.4,,84.2,,,,0.0,0.0,0.571,0.278,0.333,0.35,91.0,100.0,87.0,,,,38.0,107.0,93.0,0.494,0.011,,4.59,-4.35,,90.4,86.3,,0.1,0.175,0.24,,,,0.143,0.143,0.077,102.0,115.0,109.0,0.154,2.09,75.7,,,,,,,,,,,,,,,,,,
2024-04-10,745024,Single,single,False,687231,674003,Darell Hernaiz,Cody Bradford,0,151dc4f3-7d9c-4b7c-8e11-3057c1faa2ec,674003.0,codybradford,Bradford,Left,Cody Bradford,TEX,1.4,2.46,19.1,103.0,92.0,97.0,0.779,7.91,0.93,4.66,0.47,0.58,0.404,0.212,0.192,0.308,0.352,104.0,100.0,104.0,,,,39.0,106.0,109.0,,0.049,0.292,,8.51,0.62,81.4,,84.2,,,,0.0,0.0,0.571,0.278,0.333,0.35,91.0,100.0,87.0,,,,38.0,107.0,93.0,0.494,0.011,,4.59,-4.35,,90.4,86.3,,0.1,0.175,0.24,,,,0.143,0.143,0.077,102.0,115.0,109.0,0.154,2.09,75.7,,,,,,,,,,,,,,,,,,
