date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,EP%,wEP/C,vEP
2024-08-03,746358,Single,single,True,694175,641793,Pedro León,Zack Littell,1,2fead59f-679f-4b7b-976e-3ed4fe4442df,641793.0,zacklittell,Littell,Right,Zack Littell,TBR,3.89,4.41,129.2,103.0,83.0,98.0,0.792,8.05,1.8,9.99,1.39,0.81,0.223,0.407,0.149,0.293,0.454,,,,,,,55.0,110.0,91.0,101.0,100.0,99.0,0.21,0.407,,,-0.18,0.64,,,92.6,,85.6,,0.253,0.405,0.214,0.291,0.43,0.185,,,,,,,68.0,104.0,92.0,106.0,105.0,111.0,0.156,0.227,-1.43,-0.86,83.1,91.7,0.269,0.462,0.335,0.276,0.46,0.152,0.419,0.613,0.121,,,,,,,,,,,,,,,,,,,,,
2024-08-03,746358,Lineout,field_out,True,694175,641793,Pedro León,Zack Littell,0,2e637f00-624f-4e08-a741-56e8908b96cc,641793.0,zacklittell,Littell,Right,Zack Littell,TBR,3.89,4.41,129.2,103.0,83.0,98.0,0.792,8.05,1.8,9.99,1.39,0.81,0.223,0.407,0.149,0.293,0.454,,,,,,,55.0,110.0,91.0,101.0,100.0,99.0,0.21,0.407,,,-0.18,0.64,,,92.6,,85.6,,0.253,0.405,0.214,0.291,0.43,0.185,,,,,,,68.0,104.0,92.0,106.0,105.0,111.0,0.156,0.227,-1.43,-0.86,83.1,91.7,0.269,0.462,0.335,0.276,0.46,0.152,0.419,0.613,0.121,,,,,,,,,,,,,,,,,,,,,
2024-08-03,746358,Strikeout,strikeout,True,694175,670955,Pedro León,Edwin Uceta,0,1ba3e492-f2ad-4661-a17e-c0d926fee725,670955.0,edwinuceta,Uceta,Right,Edwin Uceta,TBR,0.84,1.65,32.1,106.0,117.0,107.0,0.711,11.69,1.39,4.45,0.28,0.77,0.229,0.443,0.229,0.229,0.404,110.0,109.0,105.0,101.0,123.0,108.0,,,,91.0,103.0,104.0,,0.052,0.006,0.357,,2.05,5.36,3.98,,88.1,81.0,81.6,,,,,,,0.089,0.111,0.407,,,,131.0,104.0,109.0,,,,0.345,,,3.1,,93.9,,,,0.129,0.161,0.301,,,,128.0,104.0,105.0,0.239,0.9,89.2,0.25,0.375,0.221,,,,,,,,,,,,
2024-08-04,746356,Strikeout,strikeout,True,694175,641302,Pedro León,Tyler Alexander,0,fc277022-ad2d-43da-929e-0e0ee43297c5,641302.0,tyleralexander,"Alexander, T",Left,Tyler Alexander,TBR,5.48,5.24,85.1,106.0,95.0,105.0,0.819,7.7,2.21,9.49,2.11,0.6,0.275,0.375,0.156,0.353,0.453,102.0,104.0,106.0,,,,91.0,110.0,104.0,114.0,107.0,109.0,0.221,0.186,,0.145,-0.14,0.09,,-2.7,89.4,81.2,77.4,,,,,0.213,0.48,0.248,0.333,0.51,0.2,,,,60.0,112.0,105.0,,,,0.123,,,-0.62,,89.5,,,,0.267,0.467,0.068,0.277,0.446,0.182,96.0,103.0,101.0,0.325,-0.36,84.8,0.276,0.551,0.199,,,,,,,,,,,,
2024-08-04,746356,Walk,walk,False,694175,641302,Pedro León,Tyler Alexander,0,323bfb08-4cb0-4c92-a973-1f7030fe334f,641302.0,tyleralexander,"Alexander, T",Left,Tyler Alexander,TBR,5.48,5.24,85.1,106.0,95.0,105.0,0.819,7.7,2.21,9.49,2.11,0.6,0.275,0.375,0.156,0.353,0.453,102.0,104.0,106.0,,,,91.0,110.0,104.0,114.0,107.0,109.0,0.221,0.186,,0.145,-0.14,0.09,,-2.7,89.4,81.2,77.4,,,,,0.213,0.48,0.248,0.333,0.51,0.2,,,,60.0,112.0,105.0,,,,0.123,,,-0.62,,89.5,,,,0.267,0.467,0.068,0.277,0.446,0.182,96.0,103.0,101.0,0.325,-0.36,84.8,0.276,0.551,0.199,,,,,,,,,,,,
2024-08-04,746356,Pop Out,field_out,True,694175,670955,Pedro León,Edwin Uceta,0,a1cc47d1-1d03-4996-9118-0af0d136fc8e,670955.0,edwinuceta,Uceta,Right,Edwin Uceta,TBR,0.84,1.65,32.1,106.0,117.0,107.0,0.711,11.69,1.39,4.45,0.28,0.77,0.229,0.443,0.229,0.229,0.404,110.0,109.0,105.0,101.0,123.0,108.0,,,,91.0,103.0,104.0,,0.052,0.006,0.357,,2.05,5.36,3.98,,88.1,81.0,81.6,,,,,,,0.089,0.111,0.407,,,,131.0,104.0,109.0,,,,0.345,,,3.1,,93.9,,,,0.129,0.161,0.301,,,,128.0,104.0,105.0,0.239,0.9,89.2,0.25,0.375,0.221,,,,,,,,,,,,
2024-08-05,744982,Flyout,field_out,True,694175,571760,Pedro León,Andrew Heaney,0,2d954859-6415-447a-b5fc-ef40975610a7,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.95,4.2,134.1,101.0,80.0,98.0,0.754,8.91,2.48,8.64,1.21,0.75,0.255,0.395,0.143,0.295,0.419,83.0,103.0,95.0,124.0,104.0,102.0,76.0,101.0,97.0,82.0,98.0,101.0,0.527,0.278,0.031,0.162,0.29,-0.11,-5.04,0.51,91.5,83.7,82.4,75.3,0.253,0.367,0.381,0.229,0.394,0.209,0.239,0.381,0.242,0.667,1.667,0.15,,,,,,,,,,,,,,,,,,,,,,20.0,51.0,51.0,0.001,-19.09,86.6,,,,,,,,,,,,,,,
2024-08-05,744982,Strikeout,strikeout,True,694175,571760,Pedro León,Andrew Heaney,0,48360224-603c-48e0-87bd-f363e2535d68,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.95,4.2,134.1,101.0,80.0,98.0,0.754,8.91,2.48,8.64,1.21,0.75,0.255,0.395,0.143,0.295,0.419,83.0,103.0,95.0,124.0,104.0,102.0,76.0,101.0,97.0,82.0,98.0,101.0,0.527,0.278,0.031,0.162,0.29,-0.11,-5.04,0.51,91.5,83.7,82.4,75.3,0.253,0.367,0.381,0.229,0.394,0.209,0.239,0.381,0.242,0.667,1.667,0.15,,,,,,,,,,,,,,,,,,,,,,20.0,51.0,51.0,0.001,-19.09,86.6,,,,,,,,,,,,,,,
2024-08-05,744982,Strikeout,strikeout,True,694175,605177,Pedro León,Andrew Chafin,0,7c4e482f-2310-4783-b5b0-c2a555d015d9,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,- - -,3.4,3.35,47.2,91.0,87.0,94.0,0.658,12.08,4.53,8.31,0.94,0.73,0.283,0.308,0.125,0.258,0.291,,,,,,,71.0,94.0,85.0,103.0,88.0,105.0,0.169,0.467,,,1.79,1.12,,,91.8,,82.1,,0.144,0.211,0.554,0.161,0.355,0.211,,,,,,,75.0,92.0,83.0,,,,0.364,,,-0.98,,91.8,,,,0.433,0.567,0.137,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-05,744982,Strikeout,strikeout,True,694175,489446,Pedro León,Kirby Yates,0,d0ae71b0-4f64-4743-97ab-7f91223fd016,489446.0,kirbyyates,Yates,Right,Kirby Yates,TEX,1.4,1.86,51.1,103.0,96.0,103.0,0.679,12.97,4.03,3.68,0.53,1.18,0.212,0.444,0.162,0.263,0.395,,,,,,,89.0,104.0,103.0,93.0,96.0,103.0,0.603,0.007,,,2.12,0.4,,,93.1,,85.8,,,,,0.135,0.25,0.378,,,,,,,,,,109.0,100.0,104.0,,0.39,1.78,,86.4,,0.106,0.136,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,
