date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,FO%,wFO/C,vFO
2024-03-30,745037,Home Run,home_run,False,665120,543294,Jared Walsh,Kyle Hendricks,1,cd2fa4c8-ae81-4f4f-a3e1-d528b90457d3,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,6.78,4.99,70.1,105.0,97.0,101.0,0.829,6.4,2.69,10.88,1.66,1.34,0.226,0.385,0.218,0.256,0.411,109.0,107.0,108.0,88.0,108.0,105.0,60.0,92.0,84.0,,,,,,,0.119,,,0.127,0.39,-3.58,,,1.57,-1.24,87.8,,80.9,,74.3,0.4,1.067,0.128,0.278,0.421,0.244,0.12,0.24,0.381,,,,98.0,106.0,98.0,0.365,-0.85,87.8,0.357,0.504,0.101,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745037,Double,double,False,665120,543294,Jared Walsh,Kyle Hendricks,0,61c56400-93c5-45aa-8e69-aa872e162a72,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,6.78,4.99,70.1,105.0,97.0,101.0,0.829,6.4,2.69,10.88,1.66,1.34,0.226,0.385,0.218,0.256,0.411,109.0,107.0,108.0,88.0,108.0,105.0,60.0,92.0,84.0,,,,,,,0.119,,,0.127,0.39,-3.58,,,1.57,-1.24,87.8,,80.9,,74.3,0.4,1.067,0.128,0.278,0.421,0.244,0.12,0.24,0.381,,,,98.0,106.0,98.0,0.365,-0.85,87.8,0.357,0.504,0.101,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745037,Strikeout,strikeout,True,665120,621016,Jared Walsh,Jose Cuas,0,ae7e339c-c23d-4760-b8f4-4d1feb53dd59,621016.0,josecuas,Cuas,Right,Jose Cuas,- - -,8.22,6.67,15.1,90.0,111.0,90.0,0.776,9.39,4.11,11.15,2.35,0.73,0.265,0.49,0.143,0.367,0.39,75.0,86.0,82.0,,,,144.0,105.0,101.0,110.0,66.0,80.0,,,,0.314,,0.248,,0.038,-0.13,,-6.51,,-5.51,91.5,,87.4,82.6,,0.273,0.455,0.333,,,,,,,0.333,0.833,0.435,88.0,93.0,89.0,0.4,-0.59,92.3,0.286,0.464,0.186,,,,,,,,,,,,,,,,,,,,,
2024-03-30,745037,Single,single,False,665120,676962,Jared Walsh,Ben Brown,0,e2173086-1ea6-4d28-8f61-9c8a46705940,676962.0,benbrown,"Brown, Be",Right,Ben Brown,CHC,3.58,4.16,55.1,96.0,110.0,100.0,0.708,10.41,3.09,6.67,0.81,0.85,0.283,0.348,0.181,0.362,0.448,112.0,95.0,87.0,,,,98.0,98.0,96.0,,,,,,,0.627,,,,0.016,0.78,,,,-3.6,96.4,,90.6,,,0.25,0.352,0.185,0.5,0.5,0.25,0.141,0.294,0.51,,,,,,,,,,,,,,,,,,,130.0,92.0,108.0,0.357,1.4,86.5,,,,,,,,,
2024-03-30,745037,Lineout,field_out,True,665120,622075,Jared Walsh,Yency Almonte,0,52108399-73f3-44e5-84bc-d082a1bbbabf,622075.0,yencyalmonte,Almonte,Right,Yency Almonte,CHC,3.45,3.1,15.2,95.0,114.0,99.0,0.718,11.49,4.6,5.17,0.57,1.14,0.216,0.432,0.297,0.297,0.36,70.0,102.0,105.0,,,,71.0,101.0,89.0,137.0,99.0,106.0,69.0,95.0,92.0,0.112,0.131,0.356,,0.026,4.03,1.25,1.59,,-2.59,94.0,92.4,87.8,81.5,,0.125,0.125,0.214,,,,,,,0.053,0.211,0.588,122.0,91.0,99.0,0.375,-0.57,93.7,0.238,0.286,0.146,,,,,,,,,,,,,0.25,0.5,0.25,,,,,,
2024-03-31,745035,Groundout,field_out,True,665120,696136,Jared Walsh,Jordan Wicks,1,630ca965-830e-4ead-8857-c16523c88db1,696136.0,jordanwicks,Wicks,Left,Jordan Wicks,CHC,4.18,3.93,28.0,103.0,95.0,101.0,0.742,10.29,3.21,9.96,0.64,1.07,0.179,0.476,0.107,0.214,0.38,103.0,105.0,105.0,92.0,103.0,99.0,91.0,104.0,104.0,126.0,92.0,97.0,71.0,118.0,92.0,0.461,0.004,0.081,0.062,0.262,0.11,-19.26,-3.7,-3.75,1.62,92.9,90.6,82.5,83.2,78.7,0.259,0.397,0.176,0.176,0.294,0.506,0.667,1.0,0.222,0.4,0.6,0.333,76.0,100.0,89.0,0.131,-1.19,92.2,0.357,0.429,0.182,,,,,,,,,,,,,,,,,,,,,
2024-03-31,745035,Single,single,False,665120,696136,Jared Walsh,Jordan Wicks,0,5c2ffd33-6d8d-4c5b-b5e4-8a06bb86acd6,696136.0,jordanwicks,Wicks,Left,Jordan Wicks,CHC,4.18,3.93,28.0,103.0,95.0,101.0,0.742,10.29,3.21,9.96,0.64,1.07,0.179,0.476,0.107,0.214,0.38,103.0,105.0,105.0,92.0,103.0,99.0,91.0,104.0,104.0,126.0,92.0,97.0,71.0,118.0,92.0,0.461,0.004,0.081,0.062,0.262,0.11,-19.26,-3.7,-3.75,1.62,92.9,90.6,82.5,83.2,78.7,0.259,0.397,0.176,0.176,0.294,0.506,0.667,1.0,0.222,0.4,0.6,0.333,76.0,100.0,89.0,0.131,-1.19,92.2,0.357,0.429,0.182,,,,,,,,,,,,,,,,,,,,,
2024-03-31,745035,Flyout,field_out,True,665120,643410,Jared Walsh,Mark Leiter Jr.,0,35e10149-c4a1-4289-a38b-e91602d528f9,643410.0,markleiterjr,Leiter Jr.,Right,Mark Leiter Jr.,CHC,4.78,2.9,32.0,97.0,92.0,96.0,0.653,12.66,3.66,7.59,0.56,1.86,0.275,0.488,0.2,0.238,0.384,,,,82.0,102.0,103.0,,,,99.0,101.0,102.0,79.0,99.0,94.0,0.006,0.107,0.111,0.109,,2.42,-2.34,-3.28,-0.79,,95.8,88.5,,79.7,73.6,,,,,,,0.429,0.714,0.542,0.444,0.778,0.4,74.0,96.0,86.0,0.343,1.5,91.3,0.273,0.273,0.094,116.0,95.0,105.0,0.324,2.95,84.3,,,,,,,0.313,0.563,0.179,0.061,0.061,0.618,,,
2024-03-31,745035,Strikeout,strikeout,True,665120,657240,Jared Walsh,Julian Merryweather,0,c3db8145-9f36-471a-b32d-7dde9021a38b,657240.0,julianmerryweather,Merryweather,Right,Julian Merryweather,CHC,1.93,8.49,4.2,93.0,107.0,99.0,0.676,11.57,3.86,7.71,0.0,0.6,0.083,0.417,0.0,0.583,0.39,124.0,93.0,91.0,,,,111.0,97.0,98.0,101.0,88.0,101.0,,,,0.455,,0.481,,0.065,-2.52,,-0.28,,9.03,96.3,,81.5,85.5,,0.286,0.714,0.25,,,,,,,0.222,0.333,0.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,745109,Strikeout,strikeout,True,665120,686752,Jared Walsh,Ryan Pepiot,0,57c6dbaa-c804-4229-a6cf-71607fbd1883,686752.0,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.92,3.82,87.1,98.0,117.0,104.0,0.737,9.69,3.19,6.49,1.13,0.82,0.26,0.417,0.175,0.323,0.415,122.0,105.0,116.0,137.0,79.0,87.0,114.0,97.0,101.0,120.0,95.0,106.0,99.0,97.0,93.0,0.512,0.024,0.214,0.03,0.219,1.55,-0.22,1.01,-0.01,-1.34,94.9,91.9,86.1,89.0,80.4,0.149,0.264,0.313,0.253,0.471,0.287,0.167,0.167,0.5,0.239,0.394,0.286,,,,,,,,,,,,,,,,,,,,,,0.333,0.333,0.063,,,,,,
