date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSL/C,wCU/C,vFA,vFC,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vCH,vSI,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024-03-28,745039,Groundout,field_out,True,663611,543135,Nick Madrigal,Nathan Eovaldi,0,1b058cb4-7d83-41bc-ab7e-d1d820f3d250,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.36,3.99,99.0,105.0,98.0,104.0,0.749,8.55,2.36,7.27,1.18,1.58,0.234,0.385,0.11,0.355,0.445,102.0,101.0,102.0,73.0,108.0,102.0,112.0,96.0,101.0,92.0,104.0,97.0,126.0,104.0,112.0,0.362,0.148,0.302,0.037,0.151,1.48,0.94,1.4,-4.54,-1.43,95.5,91.7,88.7,86.3,76.9,0.183,0.314,0.206,0.202,0.327,0.361,0.264,0.396,0.161,0.27,0.541,0.357,0.412,0.706,0.185,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-28,745039,Grounded Into DP,grounded_into_double_play,True,663611,543135,Nick Madrigal,Nathan Eovaldi,1,6330fce7-f4b3-4615-990f-312d5a9aa5a1,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.36,3.99,99.0,105.0,98.0,104.0,0.749,8.55,2.36,7.27,1.18,1.58,0.234,0.385,0.11,0.355,0.445,102.0,101.0,102.0,73.0,108.0,102.0,112.0,96.0,101.0,92.0,104.0,97.0,126.0,104.0,112.0,0.362,0.148,0.302,0.037,0.151,1.48,0.94,1.4,-4.54,-1.43,95.5,91.7,88.7,86.3,76.9,0.183,0.314,0.206,0.202,0.327,0.361,0.264,0.396,0.161,0.27,0.541,0.357,0.412,0.706,0.185,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-28,745039,Double,double,False,663611,622250,Nick Madrigal,Josh Sborz,1,3b8d5f7f-b434-43e3-9971-17dc3eeeb1d8,622250.0,joshsborz,Sborz,Right,Josh Sborz,TEX,2.89,3.34,9.1,98.0,114.0,100.0,0.776,7.71,2.89,7.71,0.0,1.44,0.214,0.429,0.071,0.286,0.391,124.0,105.0,105.0,109.0,102.0,102.0,111.0,92.0,97.0,,,,,,,0.455,,,0.297,0.248,0.34,,,2.63,2.64,95.2,,,87.6,83.8,0.313,0.375,0.205,,,,,,,0.111,0.111,0.357,0.182,0.182,0.286,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,745035,Forceout,force_out,True,663611,656641,Nick Madrigal,Jacob Latz,1,bd6e2e11-7f9e-4313-beaa-d2e404cadb7f,656641.0,jacoblatz,Latz,Left,Jacob Latz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243,0.4,0.244,,,,,,,,,,0.143,0.143,0.281,,,,,,,,,,,,,,,,0.209,0.302,0.386,,,,,,
2024-04-01,746899,Groundout,field_out,True,663611,663567,Nick Madrigal,Peter Lambert,0,03efff88-0a93-4d71-ae50-4a8956a3eade,663567.0,peterlambert,"Lambert, P",Right,Peter Lambert,COL,5.44,4.1,43.0,94.0,95.0,94.0,0.797,7.12,4.6,9.0,0.84,1.09,0.29,0.435,0.137,0.313,0.411,80.0,96.0,95.0,87.0,91.0,88.0,120.0,94.0,101.0,,,,,,,0.382,,,0.306,0.052,-0.75,,,0.45,-5.77,94.5,,,85.8,78.0,0.276,0.534,0.11,,,,,,,0.25,0.875,0.2,0.182,0.182,0.316,89.0,95.0,95.0,87.0,95.0,89.0,0.032,0.228,-1.55,0.42,86.9,93.8,0.333,0.333,0.0,0.237,0.263,0.42,,,,,,
2024-04-02,746898,Single,single,False,663611,607536,Nick Madrigal,Kyle Freeland,1,7b1ae746-31b8-444f-8fef-0787fa9a7d17,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,6.0,4.76,42.0,100.0,82.0,96.0,0.821,6.43,2.79,11.79,1.07,1.31,0.219,0.425,0.116,0.288,0.432,,,,66.0,98.0,91.0,60.0,98.0,99.0,,,,,,,0.255,,,0.196,,0.24,,,-1.66,,92.0,,,87.0,,0.234,0.362,0.074,,,,,,,0.231,0.282,0.478,0.367,0.633,0.191,61.0,98.0,86.0,84.0,105.0,97.0,0.247,0.098,-2.67,-2.67,87.1,91.8,0.404,0.617,0.077,0.455,0.545,0.16,129.0,98.0,102.0,0.205,-0.57,83.6
2024-04-02,746898,Double,double,False,663611,607536,Nick Madrigal,Kyle Freeland,1,706d035a-fe84-4edc-9b59-d259c69a5466,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,6.0,4.76,42.0,100.0,82.0,96.0,0.821,6.43,2.79,11.79,1.07,1.31,0.219,0.425,0.116,0.288,0.432,,,,66.0,98.0,91.0,60.0,98.0,99.0,,,,,,,0.255,,,0.196,,0.24,,,-1.66,,92.0,,,87.0,,0.234,0.362,0.074,,,,,,,0.231,0.282,0.478,0.367,0.633,0.191,61.0,98.0,86.0,84.0,105.0,97.0,0.247,0.098,-2.67,-2.67,87.1,91.8,0.404,0.617,0.077,0.455,0.545,0.16,129.0,98.0,102.0,0.205,-0.57,83.6
2024-04-02,746898,Forceout,force_out,True,663611,680767,Nick Madrigal,Victor Vodnik,1,d7efc236-187d-4469-9b38-1c01c110c468,680767.0,victorvodnik,Vodnik,Right,Victor Vodnik,COL,4.03,4.36,51.1,99.0,122.0,102.0,0.797,8.24,4.03,8.94,0.88,1.93,0.25,0.342,0.171,0.408,0.422,,,,124.0,98.0,100.0,120.0,105.0,107.0,,,,,,,0.643,,,0.2,,-0.34,,,-0.07,,97.7,,,84.1,,0.271,0.426,0.196,,,,,,,,,,0.268,0.341,0.268,114.0,99.0,100.0,,,,,0.157,,1.35,89.9,,,,,0.172,0.172,0.254,,,,,,
2024-04-02,746898,Lineout,field_out,True,663611,683627,Nick Madrigal,Anthony Molina,0,a80ac927-1aed-4847-be22-df32237dda80,683627.0,anthonymolina,Molina,Right,Anthony Molina,COL,6.94,5.26,35.0,99.0,85.0,96.0,0.871,4.89,3.86,11.83,0.77,1.65,0.29,0.347,0.137,0.363,0.436,121.0,110.0,112.0,76.0,98.0,92.0,91.0,107.0,107.0,,,,,,,0.49,,,0.249,0.024,-1.66,,,-1.65,-1.97,94.6,,,88.5,82.4,0.373,0.537,0.136,,,,,,,0.333,0.333,0.0,0.349,0.488,0.115,94.0,91.0,92.0,,,,,0.235,,0.35,84.9,,,,,0.179,0.286,0.254,,,,0.002,3.88,76.8
2024-04-02,746898,Groundout,field_out,True,663611,683627,Nick Madrigal,Anthony Molina,0,b46a448e-c03f-44b9-a2c0-b40286c65c55,683627.0,anthonymolina,Molina,Right,Anthony Molina,COL,6.94,5.26,35.0,99.0,85.0,96.0,0.871,4.89,3.86,11.83,0.77,1.65,0.29,0.347,0.137,0.363,0.436,121.0,110.0,112.0,76.0,98.0,92.0,91.0,107.0,107.0,,,,,,,0.49,,,0.249,0.024,-1.66,,,-1.65,-1.97,94.6,,,88.5,82.4,0.373,0.537,0.136,,,,,,,0.333,0.333,0.0,0.349,0.488,0.115,94.0,91.0,92.0,,,,,0.235,,0.35,84.9,,,,,0.179,0.286,0.254,,,,0.002,3.88,76.8
