date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024-04-10,746655,Groundout,field_out,True,693049,595881,Oscar Colás,Tyler Beede,1,10ec9837-ee87-4db0-aa97-331fee01cd9a,595881.0,tylerbeede,Beede,Right,Tyler Beede,CLE,8.36,4.67,14.0,95.0,76.0,92.0,0.712,11.57,5.79,10.29,1.29,1.33,0.158,0.553,0.184,0.211,0.362,,,,91.0,100.0,101.0,58.0,99.0,90.0,,,,0.075,0.294,,0.234,,-3.38,4.23,,-0.54,,93.7,,91.1,,77.5,0.4,0.8,0.156,,,,,,,0.25,0.333,0.36,60.0,75.0,68.0,,,,,,,0.0,0.0,0.143,,,,89.0,98.0,97.0,0.396,-2.0,86.2,0.292,0.458,0.37,,,,,,
2024-06-02,745984,Strikeout,strikeout,True,693049,642547,Oscar Colás,Freddy Peralta,0,974cf6a3-2b0e-471e-a847-698f575fb07f,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,4.11,3.74,103.0,99.0,107.0,102.0,0.71,11.36,3.15,7.6,1.22,0.92,0.248,0.38,0.233,0.31,0.387,76.0,94.0,88.0,103.0,102.0,111.0,121.0,99.0,103.0,99.0,104.0,110.0,,0.536,0.248,0.046,0.17,0.0,,0.53,-1.65,1.06,94.5,88.0,,81.1,77.3,0.238,0.411,0.277,0.194,0.337,0.393,0.22,0.254,0.386,0.308,0.538,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-02,745984,Groundout,field_out,True,693049,642547,Oscar Colás,Freddy Peralta,0,3dfc97f7-6445-4351-996f-29aecc8710bf,642547.0,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,4.11,3.74,103.0,99.0,107.0,102.0,0.71,11.36,3.15,7.6,1.22,0.92,0.248,0.38,0.233,0.31,0.387,76.0,94.0,88.0,103.0,102.0,111.0,121.0,99.0,103.0,99.0,104.0,110.0,,0.536,0.248,0.046,0.17,0.0,,0.53,-1.65,1.06,94.5,88.0,,81.1,77.3,0.238,0.411,0.277,0.194,0.337,0.393,0.22,0.254,0.386,0.308,0.538,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-02,745984,Strikeout,strikeout,True,693049,643361,Oscar Colás,Kevin Herget,0,1ee28da3-0872-4ff3-9a24-143deedb127d,643361.0,kevinherget,Herget,Right,Kevin Herget,MIL,2.08,5.4,8.2,98.0,98.0,97.0,0.759,7.27,3.12,4.15,1.04,1.0,0.087,0.261,0.13,0.435,0.443,114.0,103.0,107.0,,,,77.0,86.0,83.0,147.0,135.0,144.0,,0.435,0.026,,0.339,3.1,,15.22,,1.63,93.1,82.6,,84.4,,0.091,0.091,0.292,,,,0.167,0.25,0.35,,,,,,,111.0,112.0,107.0,0.2,0.07,87.1,,,,0.2,0.8,0.125,,,,,,,,,,,,,,,
2024-06-02,745984,Groundout,field_out,True,693049,660600,Oscar Colás,Enoli Paredes,1,b1f4fd66-ac40-49b6-ae51-c02b96399d80,660600.0,enoliparedes,"Paredes, E",Right,Enoli Paredes,MIL,1.08,4.22,16.2,91.0,97.0,97.0,0.738,6.48,4.32,4.86,0.0,1.4,0.273,0.295,0.182,0.364,0.376,,,,,,,118.0,96.0,101.0,96.0,88.0,100.0,0.218,0.423,0.359,,,1.54,0.94,2.33,,,94.2,,94.1,85.5,,0.136,0.227,0.333,0.192,0.231,0.214,,,,,,,49.0,86.0,83.0,,,,,,,0.125,0.125,0.25,,,,,,,,,,,,,,,,,,
2024-06-04,746872,Walk,walk,False,693049,593576,Oscar Colás,Héctor Neris,0,f72053a4-2074-43bc-8d71-20d0282af6f7,593576.0,hectorneris,Neris,Right,Héctor Neris,CHC,3.86,4.89,32.2,97.0,88.0,97.0,0.789,9.64,6.34,7.71,1.1,1.33,0.165,0.482,0.2,0.318,0.397,,,,,,,85.0,100.0,94.0,88.0,85.0,86.0,0.098,0.469,0.026,,,-0.32,-2.0,1.63,,,92.9,,92.9,85.4,,0.264,0.491,0.146,,,,,,,,,,90.0,92.0,85.0,,,,,,,0.364,0.727,0.04,,,,91.0,95.0,105.0,0.407,-0.06,83.0,0.185,0.241,0.364,,,,,,
2024-06-05,746873,Groundout,field_out,True,693049,592791,Oscar Colás,Jameson Taillon,0,03f332d3-32de-441d-b245-0d6a8007cc88,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.1,3.72,93.0,108.0,87.0,104.0,0.822,7.26,1.74,8.71,1.16,0.81,0.228,0.422,0.149,0.318,0.467,77.0,102.0,102.0,106.0,113.0,113.0,69.0,106.0,96.0,106.0,117.0,121.0,0.079,0.325,0.168,0.165,0.029,0.37,-0.39,-0.43,-0.02,-3.72,92.5,85.9,93.0,80.8,80.0,0.263,0.434,0.128,0.224,0.395,0.315,0.273,0.818,0.087,0.227,0.303,0.227,74.0,99.0,89.0,92.0,105.0,99.0,0.234,2.55,86.8,0.318,0.5,0.13,0.256,0.267,0.187,,,,,,,,,,,,,,,
2024-06-05,746873,Single,single,False,693049,592791,Oscar Colás,Jameson Taillon,1,e0e4ab6d-05dc-48a7-8bef-cf9be366239a,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.1,3.72,93.0,108.0,87.0,104.0,0.822,7.26,1.74,8.71,1.16,0.81,0.228,0.422,0.149,0.318,0.467,77.0,102.0,102.0,106.0,113.0,113.0,69.0,106.0,96.0,106.0,117.0,121.0,0.079,0.325,0.168,0.165,0.029,0.37,-0.39,-0.43,-0.02,-3.72,92.5,85.9,93.0,80.8,80.0,0.263,0.434,0.128,0.224,0.395,0.315,0.273,0.818,0.087,0.227,0.303,0.227,74.0,99.0,89.0,92.0,105.0,99.0,0.234,2.55,86.8,0.318,0.5,0.13,0.256,0.267,0.187,,,,,,,,,,,,,,,
2024-06-05,746873,Walk,walk,False,693049,592791,Oscar Colás,Jameson Taillon,0,21dd5b54-9e2f-492f-84a3-933571a1a0db,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.1,3.72,93.0,108.0,87.0,104.0,0.822,7.26,1.74,8.71,1.16,0.81,0.228,0.422,0.149,0.318,0.467,77.0,102.0,102.0,106.0,113.0,113.0,69.0,106.0,96.0,106.0,117.0,121.0,0.079,0.325,0.168,0.165,0.029,0.37,-0.39,-0.43,-0.02,-3.72,92.5,85.9,93.0,80.8,80.0,0.263,0.434,0.128,0.224,0.395,0.315,0.273,0.818,0.087,0.227,0.303,0.227,74.0,99.0,89.0,92.0,105.0,99.0,0.234,2.55,86.8,0.318,0.5,0.13,0.256,0.267,0.187,,,,,,,,,,,,,,,
2024-06-05,746873,Strikeout,strikeout,True,693049,592767,Oscar Colás,Drew Smyly,0,acd81525-ebe5-4e00-8c63-73c328ba8739,592767.0,drewsmyly,Smyly,Left,Drew Smyly,CHC,3.09,3.44,35.0,101.0,95.0,102.0,0.766,8.23,4.11,7.97,1.29,0.69,0.26,0.42,0.2,0.26,0.435,,,,,,,,,,,,,0.461,,,,,,0.62,,,,,,92.7,,,,,,,,,,,,0.218,0.372,0.314,79.0,97.0,89.0,92.0,104.0,93.0,0.031,-5.44,88.8,0.26,0.42,0.165,0.333,0.333,0.333,,,,,,,,,,110.0,105.0,114.0,0.507,-0.22,80.1
