date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2024-08-13,745055,Strikeout,strikeout,True,691406,579328,Junior Caminero,Yusei Kikuchi,0,a0bc881c-0ecf-4f7f-a87b-8d25a671e5f1,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.39,4.11,143.2,102.0,110.0,105.0,0.736,10.34,2.51,8.96,1.32,1.06,0.27,0.39,0.119,0.37,0.447,101.0,94.0,92.0,99.0,105.0,105.0,116.0,103.0,108.0,112.0,100.0,108.0,0.487,0.203,0.194,0.116,-0.2,1.2,-0.4,-0.27,95.6,87.0,88.7,82.8,0.29,0.525,0.27,0.201,0.271,0.297,0.283,0.434,0.282,0.194,0.254,0.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-13,745055,Single,single,False,691406,579328,Junior Caminero,Yusei Kikuchi,0,1baf46cb-6d9a-46fa-83b4-b24e9788b7cd,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.39,4.11,143.2,102.0,110.0,105.0,0.736,10.34,2.51,8.96,1.32,1.06,0.27,0.39,0.119,0.37,0.447,101.0,94.0,92.0,99.0,105.0,105.0,116.0,103.0,108.0,112.0,100.0,108.0,0.487,0.203,0.194,0.116,-0.2,1.2,-0.4,-0.27,95.6,87.0,88.7,82.8,0.29,0.525,0.27,0.201,0.271,0.297,0.283,0.434,0.282,0.194,0.254,0.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-13,745055,Strikeout,strikeout,True,691406,650556,Junior Caminero,Bryan Abreu,0,8b7a20b1-eae7-4ef1-b10e-19da3c93f2a5,650556.0,bryanabreu,"Abreu, B",Right,Bryan Abreu,HOU,3.43,3.39,65.2,96.0,126.0,102.0,0.692,12.47,4.25,7.26,0.96,0.95,0.261,0.373,0.15,0.314,0.407,101.0,76.0,78.0,,,,127.0,94.0,96.0,126.0,98.0,107.0,0.465,0.53,,0.005,-0.69,1.48,,-4.56,96.6,89.9,86.0,,0.267,0.495,0.265,0.18,0.223,0.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-13,745055,Strikeout,strikeout,True,691406,623352,Junior Caminero,Josh Hader,0,1a872f39-86af-4e80-9e78-abda951bfe62,623352.0,joshhader,Hader,Left,Josh Hader,HOU,3.19,2.56,59.1,97.0,130.0,110.0,0.628,13.35,3.03,5.16,1.37,0.6,0.217,0.35,0.133,0.317,0.406,111.0,70.0,51.0,,,,,,,114.0,96.0,107.0,,0.264,,0.011,,2.63,,-10.85,,89.3,85.9,,,,,0.113,0.21,0.568,,,,,,,137.0,98.0,113.0,,,,0.725,,,1.16,,96.1,0.182,0.343,0.332,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-14,745053,Groundout,field_out,True,691406,669854,Junior Caminero,Ronel Blanco,0,6d09eccb-a115-4a6e-b64d-2f056406eb6d,669854.0,ronelblanco,Blanco,Right,Ronel Blanco,HOU,3.14,4.06,143.1,99.0,95.0,98.0,0.727,8.85,3.58,6.15,1.32,0.91,0.216,0.451,0.177,0.322,0.405,121.0,104.0,108.0,75.0,98.0,101.0,84.0,94.0,89.0,87.0,103.0,101.0,0.375,0.309,0.081,0.235,-0.43,2.19,2.66,-0.2,93.4,85.2,86.3,79.9,0.222,0.494,0.197,0.184,0.292,0.329,0.069,0.069,0.41,0.191,0.376,0.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-14,745053,Lineout,field_out,True,691406,669854,Junior Caminero,Ronel Blanco,0,b30f4cdb-a879-44e4-a802-5b6481721c48,669854.0,ronelblanco,Blanco,Right,Ronel Blanco,HOU,3.14,4.06,143.1,99.0,95.0,98.0,0.727,8.85,3.58,6.15,1.32,0.91,0.216,0.451,0.177,0.322,0.405,121.0,104.0,108.0,75.0,98.0,101.0,84.0,94.0,89.0,87.0,103.0,101.0,0.375,0.309,0.081,0.235,-0.43,2.19,2.66,-0.2,93.4,85.2,86.3,79.9,0.222,0.494,0.197,0.184,0.292,0.329,0.069,0.069,0.41,0.191,0.376,0.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-14,745053,Walk,walk,False,691406,672391,Junior Caminero,Kaleb Ort,1,dee343f8-b7a3-4d3f-bbc3-9bf8ef248d7e,672391.0,kalebort,Ort,Right,Kaleb Ort,HOU,1.26,2.1,14.1,108.0,131.0,116.0,0.724,10.67,1.26,3.77,1.26,0.63,0.281,0.375,0.219,0.344,0.467,40.0,101.0,102.0,,,,162.0,110.0,127.0,92.0,114.0,111.0,0.61,0.123,,0.092,3.36,2.48,,-2.14,97.8,90.4,84.2,,0.114,0.314,0.308,,,,,,,,,,,,,102.0,101.0,90.0,,0.174,3.64,,91.7,,,,,0.0,0.0,0.273,0.125,0.125,0.25,,,,,,,,,,,,,,,,,,
2024-08-14,745053,Pop Out,field_out,True,691406,623352,Junior Caminero,Josh Hader,0,b14cbc48-27e0-42d8-9563-4f4460b35a0f,623352.0,joshhader,Hader,Left,Josh Hader,HOU,3.19,2.56,59.1,97.0,130.0,110.0,0.628,13.35,3.03,5.16,1.37,0.6,0.217,0.35,0.133,0.317,0.406,111.0,70.0,51.0,,,,,,,114.0,96.0,107.0,,0.264,,0.011,,2.63,,-10.85,,89.3,85.9,,,,,0.113,0.21,0.568,,,,,,,137.0,98.0,113.0,,,,0.725,,,1.16,,96.1,0.182,0.343,0.332,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-16,745054,Single,single,False,691406,669194,Junior Caminero,Ryne Nelson,0,284b70b6-79cb-4278-b3cb-bdde50220a38,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,111.0,112.0,110.0,0.553,0.101,0.063,0.1,0.65,-0.98,1.49,-2.62,95.1,83.0,84.3,78.0,0.254,0.42,0.195,0.245,0.367,0.153,0.161,0.226,0.14,0.322,0.627,0.195,,,,77.0,105.0,95.0,,0.184,-0.58,,91.3,,,,,0.4,0.733,0.167,0.307,0.491,0.143,,,,,,,,,,,,,,,,,,
2024-08-16,745054,Groundout,field_out,True,691406,669194,Junior Caminero,Ryne Nelson,0,4c75f9ef-0daf-494d-b831-aaa8e7e689bb,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,111.0,112.0,110.0,0.553,0.101,0.063,0.1,0.65,-0.98,1.49,-2.62,95.1,83.0,84.3,78.0,0.254,0.42,0.195,0.245,0.367,0.153,0.161,0.226,0.14,0.322,0.627,0.195,,,,77.0,105.0,95.0,,0.184,-0.58,,91.3,,,,,0.4,0.733,0.167,0.307,0.491,0.143,,,,,,,,,,,,,,,,,,
