date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2024-05-09,746241,Flyout,field_out,True,677347,663738,Kyren Paris,Daniel Lynch IV,0,c12ae35a-f964-42bc-b053-b435d2627eee,663738.0,daniellynchiv,Lynch IV,Left,Daniel Lynch IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209,0.535,0.082,0.077,0.308,0.433,0.381,0.524,0.256,0.333,0.667,0.286,,,,,,,,,,,,,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-11,746232,Flyout,field_out,True,677347,666142,Kyren Paris,Cole Ragans,0,5b5a3707-28cb-431d-b2d3-8f8ff358301b,666142.0,coleragans,Ragans,Left,Cole Ragans,KCR,3.16,3.27,116.2,99.0,109.0,104.0,0.692,10.88,2.93,7.33,0.62,1.07,0.254,0.39,0.159,0.295,0.409,110.0,99.0,102.0,,,,109.0,101.0,107.0,134.0,103.0,112.0,0.406,0.12,,0.247,1.1,-1.6,,1.11,95.8,85.3,86.7,,0.206,0.351,0.239,0.242,0.387,0.368,0.205,0.286,0.493,0.158,0.158,0.354,,,,89.0,98.0,93.0,,0.128,1.57,,91.3,,,,,0.304,0.326,0.224,,,,,,,99.0,94.0,100.0,0.099,1.27,81.1,,,,,,,,,,,,
2024-05-11,746232,Lineout,field_out,True,677347,666142,Kyren Paris,Cole Ragans,0,7b41af09-5338-4cc3-a169-926971992a06,666142.0,coleragans,Ragans,Left,Cole Ragans,KCR,3.16,3.27,116.2,99.0,109.0,104.0,0.692,10.88,2.93,7.33,0.62,1.07,0.254,0.39,0.159,0.295,0.409,110.0,99.0,102.0,,,,109.0,101.0,107.0,134.0,103.0,112.0,0.406,0.12,,0.247,1.1,-1.6,,1.11,95.8,85.3,86.7,,0.206,0.351,0.239,0.242,0.387,0.368,0.205,0.286,0.493,0.158,0.158,0.354,,,,89.0,98.0,93.0,,0.128,1.57,,91.3,,,,,0.304,0.326,0.224,,,,,,,99.0,94.0,100.0,0.099,1.27,81.1,,,,,,,,,,,,
2024-05-11,746232,Single,single,False,677347,666142,Kyren Paris,Cole Ragans,1,6c5aec72-fe93-43c1-bf15-bfbd7aab62f1,666142.0,coleragans,Ragans,Left,Cole Ragans,KCR,3.16,3.27,116.2,99.0,109.0,104.0,0.692,10.88,2.93,7.33,0.62,1.07,0.254,0.39,0.159,0.295,0.409,110.0,99.0,102.0,,,,109.0,101.0,107.0,134.0,103.0,112.0,0.406,0.12,,0.247,1.1,-1.6,,1.11,95.8,85.3,86.7,,0.206,0.351,0.239,0.242,0.387,0.368,0.205,0.286,0.493,0.158,0.158,0.354,,,,89.0,98.0,93.0,,0.128,1.57,,91.3,,,,,0.304,0.326,0.224,,,,,,,99.0,94.0,100.0,0.099,1.27,81.1,,,,,,,,,,,,
2024-05-11,746232,Walk,walk,False,677347,669422,Kyren Paris,Matt Sauer,0,c40c65ef-7504-4745-a318-d3cddb2348b2,669422.0,mattsauer,Sauer,Right,Matt Sauer,KCR,7.71,5.58,16.1,92.0,101.0,90.0,0.86,4.96,6.06,12.67,1.65,0.61,0.19,0.349,0.175,0.302,0.382,,,,106.0,114.0,107.0,90.0,87.0,82.0,123.0,98.0,104.0,0.453,0.232,0.162,,-3.62,-2.24,-2.16,,95.1,,85.7,81.8,0.414,0.655,0.099,0.3,0.6,0.244,,,,0.333,0.417,0.174,84.0,92.0,80.0,,,,0.089,,,4.1,,95.0,0.111,0.222,0.125,,,,101.0,66.0,69.0,0.064,-1.92,85.1,,,,,,,,,,,,,,,,,,
2024-05-12,746234,Strikeout,strikeout,True,677347,607625,Kyren Paris,Seth Lugo,0,f379e2a1-e8ef-4518-a02d-adc323bcbea3,607625.0,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,2.48,3.93,127.0,100.0,98.0,100.0,0.784,8.22,2.13,7.65,0.78,1.18,0.186,0.407,0.144,0.324,0.434,94.0,98.0,96.0,124.0,103.0,112.0,76.0,103.0,95.0,127.0,99.0,106.0,0.248,0.141,0.268,0.057,1.99,-0.63,1.06,0.16,92.4,87.5,85.3,79.3,0.183,0.275,0.159,0.278,0.556,0.172,0.2,0.25,0.321,0.175,0.275,0.366,71.0,102.0,92.0,105.0,95.0,94.0,0.191,0.069,0.22,0.6,91.0,92.3,0.278,0.426,0.124,0.375,0.375,0.186,,,,0.026,0.95,85.6,,,,,,,0.269,0.365,0.326,0.091,0.364,0.273,,,,,,
2024-05-12,746234,Strikeout,strikeout,True,677347,607625,Kyren Paris,Seth Lugo,0,b9a601a2-3be3-41ad-90fe-c1dc9ee5846b,607625.0,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,2.48,3.93,127.0,100.0,98.0,100.0,0.784,8.22,2.13,7.65,0.78,1.18,0.186,0.407,0.144,0.324,0.434,94.0,98.0,96.0,124.0,103.0,112.0,76.0,103.0,95.0,127.0,99.0,106.0,0.248,0.141,0.268,0.057,1.99,-0.63,1.06,0.16,92.4,87.5,85.3,79.3,0.183,0.275,0.159,0.278,0.556,0.172,0.2,0.25,0.321,0.175,0.275,0.366,71.0,102.0,92.0,105.0,95.0,94.0,0.191,0.069,0.22,0.6,91.0,92.3,0.278,0.426,0.124,0.375,0.375,0.186,,,,0.026,0.95,85.6,,,,,,,0.269,0.365,0.326,0.091,0.364,0.273,,,,,,
2024-05-12,746234,Lineout,field_out,True,677347,607625,Kyren Paris,Seth Lugo,0,138f8274-c20e-4213-afdb-4c34ded739af,607625.0,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,2.48,3.93,127.0,100.0,98.0,100.0,0.784,8.22,2.13,7.65,0.78,1.18,0.186,0.407,0.144,0.324,0.434,94.0,98.0,96.0,124.0,103.0,112.0,76.0,103.0,95.0,127.0,99.0,106.0,0.248,0.141,0.268,0.057,1.99,-0.63,1.06,0.16,92.4,87.5,85.3,79.3,0.183,0.275,0.159,0.278,0.556,0.172,0.2,0.25,0.321,0.175,0.275,0.366,71.0,102.0,92.0,105.0,95.0,94.0,0.191,0.069,0.22,0.6,91.0,92.3,0.278,0.426,0.124,0.375,0.375,0.186,,,,0.026,0.95,85.6,,,,,,,0.269,0.365,0.326,0.091,0.364,0.273,,,,,,
2024-05-13,746233,Double,double,False,677347,669461,Kyren Paris,Matthew Liberatore,1,3e416cfd-addd-4ddb-ab4b-b2efaf50b3e9,669461.0,matthewliberatore,Liberatore,Left,Matthew Liberatore,STL,4.15,4.22,52.0,100.0,94.0,99.0,0.767,7.1,2.94,7.96,1.04,1.0,0.238,0.358,0.113,0.305,0.458,46.0,89.0,90.0,128.0,97.0,102.0,66.0,96.0,87.0,130.0,102.0,107.0,0.26,0.302,0.073,0.063,0.24,3.84,0.19,-0.49,94.4,87.7,87.5,77.8,0.212,0.485,0.14,0.132,0.162,0.431,0.143,0.571,0.227,0.154,0.154,0.238,78.0,103.0,99.0,101.0,111.0,110.0,0.196,0.106,-1.7,-2.85,91.9,95.2,0.362,0.596,0.116,0.474,0.684,0.228,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-13,746233,Flyout,field_out,True,677347,681517,Kyren Paris,Kyle Leahy,0,73bfc639-cf89-44e2-ac3a-da5bf5bdbc8a,681517.0,kyleleahy,Leahy,Right,Kyle Leahy,STL,4.15,4.64,30.1,103.0,108.0,104.0,0.769,5.93,2.08,7.71,0.59,0.95,0.232,0.326,0.116,0.421,0.434,92.0,101.0,104.0,120.0,101.0,101.0,101.0,100.0,96.0,124.0,107.0,115.0,0.441,0.399,0.065,0.095,0.81,1.27,2.96,0.99,95.4,89.8,88.2,81.1,0.279,0.419,0.196,0.167,0.25,0.333,0.222,0.222,0.261,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
