date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,ST_ba,ST_slg,ST_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FO%,wFO/C,vFO
2024-09-14,745528,Groundout,field_out,True,682668,663465,Luisangel Acuña,Kolby Allard,0,f1e840e1-38e6-4975-874a-7ffe413a9c04,663465.0,kolbyallard,Allard,Left,Kolby Allard,PHI,4.29,4.63,21.0,104.0,68.0,100.0,0.832,6.86,2.14,11.57,2.14,1.22,0.159,0.391,0.145,0.42,0.469,78.0,108.0,103.0,94.0,96.0,103.0,57.0,103.0,97.0,28.0,108.0,94.0,68.0,103.0,101.0,0.051,0.385,0.179,0.122,0.263,-2.8,-2.48,-13.9,1.12,3.04,90.1,84.5,82.0,90.2,71.8,0.233,0.267,0.196,0.4,0.72,0.14,0.385,0.692,0.313,0.231,0.538,0.143,0.75,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-14,745528,Single,single,False,682668,592836,Luisangel Acuña,Taijuan Walker,0,19871379-73e1-4a00-bb62-e7d6cbfae582,592836.0,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,6.29,6.54,78.2,98.0,87.0,95.0,0.848,6.29,3.55,11.1,2.29,0.93,0.191,0.427,0.13,0.389,0.432,,,,87.0,95.0,96.0,61.0,93.0,85.0,77.0,100.0,93.0,96.0,91.0,88.0,0.28,0.122,0.09,0.111,,-1.39,-3.83,-2.67,1.68,,91.5,87.2,,91.0,74.6,,,,0.292,0.417,0.234,0.381,0.952,0.102,0.192,0.346,0.131,0.374,0.67,0.089,50.0,109.0,104.0,0.18,2.55,85.0,0.145,0.258,0.277,,,,107.0,102.0,105.0,0.217,-4.34,86.6,0.378,0.656,0.165,,,,,,,,,,,,
2024-09-14,745528,Lineout,field_out,True,682668,592836,Luisangel Acuña,Taijuan Walker,0,da1057be-2104-4528-89e0-9e5da35e34f0,592836.0,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,6.29,6.54,78.2,98.0,87.0,95.0,0.848,6.29,3.55,11.1,2.29,0.93,0.191,0.427,0.13,0.389,0.432,,,,87.0,95.0,96.0,61.0,93.0,85.0,77.0,100.0,93.0,96.0,91.0,88.0,0.28,0.122,0.09,0.111,,-1.39,-3.83,-2.67,1.68,,91.5,87.2,,91.0,74.6,,,,0.292,0.417,0.234,0.381,0.952,0.102,0.192,0.346,0.131,0.374,0.67,0.089,50.0,109.0,104.0,0.18,2.55,85.0,0.145,0.258,0.277,,,,107.0,102.0,105.0,0.217,-4.34,86.6,0.378,0.656,0.165,,,,,,,,,,,,
2024-09-14,745528,Single,single,False,682668,608032,Luisangel Acuña,Carlos Estévez,0,8958fb2b-ad9f-4935-a8b3-d94b113b6cb3,608032.0,carlosestevez,Estévez,Right,Carlos Estévez,- - -,2.22,3.02,52.2,104.0,111.0,105.0,0.755,8.2,1.54,5.81,0.85,0.63,0.281,0.309,0.137,0.331,0.497,81.0,99.0,94.0,132.0,80.0,97.0,107.0,105.0,104.0,,,,,,,,0.615,,0.004,0.104,1.88,,,2.17,2.59,96.7,,89.4,,83.2,0.15,0.2,0.381,0.194,0.306,0.23,,,,,,,,,,131.0,102.0,110.0,0.278,2.03,89.5,,,,0.167,0.31,0.284,,,,,,,,,,,,,,,,,,,,,
2024-09-15,745530,Groundout,field_out,True,682668,650911,Luisangel Acuña,Cristopher Sánchez,0,3559dc45-d6a7-4e62-b224-22ec21df4fee,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.24,3.53,172.0,103.0,96.0,106.0,0.781,7.43,1.99,9.1,0.47,2.72,0.211,0.411,0.179,0.289,0.426,95.0,106.0,116.0,,,,,,,95.0,101.0,98.0,86.0,52.0,74.0,0.47,,0.001,,0.359,,2.6,-0.38,,1.63,,86.5,85.1,94.5,,0.18,0.224,0.347,,,,,,,,,,0.348,0.469,0.124,100.0,101.0,104.0,0.17,0.35,84.4,,,,0.226,0.387,0.305,,,,,,,,,,,,,,,,,,,,,
2024-09-15,745530,Lineout,field_out,True,682668,650911,Luisangel Acuña,Cristopher Sánchez,0,43e23447-7dd9-4e64-a645-8749629b538b,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.24,3.53,172.0,103.0,96.0,106.0,0.781,7.43,1.99,9.1,0.47,2.72,0.211,0.411,0.179,0.289,0.426,95.0,106.0,116.0,,,,,,,95.0,101.0,98.0,86.0,52.0,74.0,0.47,,0.001,,0.359,,2.6,-0.38,,1.63,,86.5,85.1,94.5,,0.18,0.224,0.347,,,,,,,,,,0.348,0.469,0.124,100.0,101.0,104.0,0.17,0.35,84.4,,,,0.226,0.387,0.305,,,,,,,,,,,,,,,,,,,,,
2024-09-15,745530,Strikeout,strikeout,True,682668,689147,Luisangel Acuña,Orion Kerkering,0,af0ee73d-c314-4065-932c-87c77b935165,689147.0,orionkerkering,Kerkering,Right,Orion Kerkering,PHI,1.99,3.09,58.2,102.0,128.0,112.0,0.74,10.43,2.15,7.06,0.31,2.23,0.231,0.435,0.129,0.259,0.448,,,,,,,115.0,102.0,105.0,98.0,102.0,104.0,,,,0.149,0.299,,,,0.64,,2.27,,,97.6,,,96.4,,,,,0.222,0.333,0.278,,,,,,,0.2,0.244,0.167,143.0,102.0,118.0,0.551,0.87,86.2,0.221,0.301,0.316,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-17,745772,Double,double,False,682668,680730,Luisangel Acuña,Mitchell Parker,1,fa4edeee-5034-42dc-a426-d332d8d8e9bf,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,4.44,4.38,146.0,99.0,88.0,97.0,0.802,7.89,2.53,9.18,1.11,0.89,0.249,0.442,0.135,0.318,0.445,,,,99.0,96.0,96.0,78.0,101.0,96.0,,,,,,,,0.488,,0.22,,0.02,,,0.42,,92.5,,,,80.4,,,,0.279,0.434,0.117,,,,0.257,0.371,0.258,,,,107.0,107.0,110.0,0.102,-0.72,84.5,,,,0.238,0.429,0.357,90.0,96.0,95.0,0.19,-0.35,85.6,0.222,0.393,0.372,,,,,,,,,,,,
2024-09-17,745772,Lineout,field_out,True,682668,680730,Luisangel Acuña,Mitchell Parker,0,66f103ad-2c1c-443b-b86e-67d09fedf753,680730.0,mitchellparker,Parker,Left,Mitchell Parker,WSN,4.44,4.38,146.0,99.0,88.0,97.0,0.802,7.89,2.53,9.18,1.11,0.89,0.249,0.442,0.135,0.318,0.445,,,,99.0,96.0,96.0,78.0,101.0,96.0,,,,,,,,0.488,,0.22,,0.02,,,0.42,,92.5,,,,80.4,,,,0.279,0.434,0.117,,,,0.257,0.371,0.258,,,,107.0,107.0,110.0,0.102,-0.72,84.5,,,,0.238,0.429,0.357,90.0,96.0,95.0,0.19,-0.35,85.6,0.222,0.393,0.372,,,,,,,,,,,,
2024-09-17,745772,Single,single,False,682668,694350,Luisangel Acuña,Zach Brzykcy,0,e3fff922-728b-4740-915f-cea7dd6530ce,694350.0,zachbrzykcy,Brzykcy,Right,Zach Brzykcy,WSN,14.29,7.74,5.2,97.0,94.0,95.0,0.783,6.35,4.76,14.29,3.18,0.55,0.19,0.524,0.095,0.429,0.404,86.0,81.0,81.0,107.0,111.0,102.0,91.0,98.0,96.0,,,,,,,,0.558,,0.231,0.212,-4.07,,,3.99,-5.89,94.0,,87.0,,82.8,0.429,0.857,0.4,0.417,0.75,0.16,,,,0.167,0.167,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
