date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SV_ba,SV_slg,SV_whiff
2024-04-02,747220,Walk,walk,False,607054,664776,Jace Peterson,Jake Cousins,1,91c99015-d4f6-4e81-93ed-6adc92e16ef0,664776.0,jakecousins,Cousins,Right,Jake Cousins,NYY,1.35,3.67,13.1,96.0,118.0,104.0,0.713,12.83,4.05,4.73,0.68,0.75,0.214,0.393,0.143,0.25,0.423,,,,91.0,81.0,81.0,92.0,91.0,88.0,132.0,99.0,112.0,,,,,,,0.329,0.018,,0.653,,,-29.34,,-2.43,4.61,,,95.0,,,95.0,81.8,,,,,,,,,,,0.083,0.083,0.412,,,,0.3,0.7,0.04,,,,,,,,,,,,,,,,,,
2024-04-03,747219,Groundout,field_out,True,607054,642528,Jace Peterson,Jonathan Loáisiga,0,855fcfb3-9746-464f-b2bc-846b4987a97c,642528.0,jonathanloaisiga,Loáisiga,Right,Jonathan Loáisiga,NYY,0.0,4.22,4.0,106.0,104.0,110.0,0.844,6.75,2.25,15.75,0.0,4.5,0.438,0.125,0.375,0.313,0.41,67.0,108.0,102.0,86.0,52.0,52.0,101.0,113.0,117.0,,,,,,,,,,0.672,0.016,,,,0.164,-2.0,,-3.43,,,6.58,98.4,,89.8,97.9,,,,,,,,,0.0,0.0,0.143,,,,,,,0.438,0.438,0.05,,,,,,,,,,158.0,75.0,93.0,0.148,0.35,87.8,,,
2024-04-03,747219,Strikeout,strikeout,True,607054,657571,Jace Peterson,Caleb Ferguson,0,33d47e1f-2b2f-49c1-abdb-a5be8cb63fa2,657571.0,calebferguson,Ferguson,Left,Caleb Ferguson,NYY,5.1,4.33,30.0,105.0,87.0,99.0,0.755,11.1,3.9,9.3,1.2,1.31,0.306,0.365,0.153,0.318,0.436,,,,89.0,106.0,100.0,81.0,93.0,84.0,129.0,42.0,60.0,,,,89.0,108.0,102.0,0.056,0.548,0.28,0.004,,,-0.82,2.27,-6.72,-2.71,,,93.7,88.7,,93.6,79.1,,0.284,0.554,0.217,,,,,,,,,,0.067,0.067,0.424,1.0,1.0,0.429,,,,,,,,,,67.0,96.0,95.0,0.113,-1.56,80.9,0.357,0.429,0.296
2024-04-05,747143,Strikeout,strikeout,True,607054,675911,Jace Peterson,Spencer Strider,0,cc3e87bf-6387-416b-8edc-6b52f0e9ca8d,675911.0,spencerstrider,Strider,Right,Spencer Strider,ATL,7.0,4.42,9.0,107.0,117.0,112.0,0.67,12.0,5.0,10.0,2.0,0.91,0.36,0.4,0.24,0.28,0.404,137.0,112.0,104.0,122.0,112.0,122.0,,,,102.0,107.0,110.0,,,,,,,,0.511,,0.32,,0.045,-2.03,,,0.29,,2.72,96.3,,85.3,,85.3,,0.389,0.611,0.17,0.333,0.333,0.6,,,,0.143,0.429,0.586,,,,,,,,,,,,,,,,134.0,79.0,80.0,0.124,-2.69,79.7,,,
2024-04-05,747143,Single,single,False,607054,675911,Jace Peterson,Spencer Strider,1,c45fd0b1-3cc6-4c25-94f8-b63ed57d3b82,675911.0,spencerstrider,Strider,Right,Spencer Strider,ATL,7.0,4.42,9.0,107.0,117.0,112.0,0.67,12.0,5.0,10.0,2.0,0.91,0.36,0.4,0.24,0.28,0.404,137.0,112.0,104.0,122.0,112.0,122.0,,,,102.0,107.0,110.0,,,,,,,,0.511,,0.32,,0.045,-2.03,,,0.29,,2.72,96.3,,85.3,,85.3,,0.389,0.611,0.17,0.333,0.333,0.6,,,,0.143,0.429,0.586,,,,,,,,,,,,,,,,134.0,79.0,80.0,0.124,-2.69,79.7,,,
2024-04-05,747143,Groundout,field_out,True,607054,445926,Jace Peterson,Jesse Chavez,0,c1f4c0fc-8092-4520-9a8e-b7234f02a293,445926.0,jessechavez,Chavez,Right,Jesse Chavez,ATL,1.74,3.54,41.1,103.0,85.0,98.0,0.837,7.84,2.18,7.19,1.31,1.21,0.299,0.325,0.205,0.291,0.431,63.0,113.0,103.0,,,,92.0,102.0,97.0,98.0,133.0,127.0,,,,84.0,102.0,97.0,0.263,,0.523,0.011,,0.112,,1.99,-0.24,-4.71,,-2.0,,88.8,85.2,90.7,81.8,,,,,0.214,0.286,0.267,0.3,0.55,0.111,0.333,0.667,0.25,0.162,0.257,0.196,0.282,0.538,0.121,,,,,,,,,,93.0,96.0,96.0,0.092,0.54,75.7,,,
2024-04-08,746569,Walk,walk,False,607054,683232,Jace Peterson,Nick Mears,0,479eb195-6f25-4e83-909c-15427f3a24fc,683232.0,nickmears,Mears,Right,Nick Mears,COL,5.95,3.29,42.1,98.0,130.0,106.0,0.758,11.06,4.46,9.99,0.43,1.18,0.281,0.322,0.149,0.347,0.435,,,,138.0,98.0,105.0,,,,111.0,99.0,103.0,,,,,,,,0.603,,0.19,,,1.1,,,-0.05,,,96.7,,,,86.4,,0.242,0.319,0.192,0.372,0.535,0.288,,,,0.257,0.343,0.522,,,,,,,,,,,,,,,,127.0,100.0,110.0,0.207,-3.59,81.4,,,
2024-04-09,746571,Groundout,field_out,True,607054,615698,Jace Peterson,Cal Quantrill,0,27876361-c909-41af-9bff-a3ec31eb697e,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.15,4.48,108.1,97.0,93.0,95.0,0.8,6.9,3.41,8.64,1.16,1.47,0.223,0.427,0.134,0.357,0.414,88.0,97.0,103.0,,,,79.0,97.0,90.0,,,,,,,80.0,99.0,95.0,0.397,,0.134,,,0.025,,-1.43,-1.66,,,1.78,,87.7,84.9,93.8,,,,,,0.242,0.424,0.267,0.222,0.222,0.167,,,,0.347,0.571,0.173,0.322,0.573,0.2,115.0,95.0,98.0,0.336,1.52,86.1,0.178,0.253,0.253,96.0,101.0,104.0,0.107,0.34,79.9,,,
2024-04-09,746571,Lineout,field_out,True,607054,615698,Jace Peterson,Cal Quantrill,0,becfd23d-3844-4793-bb38-e5ad18dac793,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.15,4.48,108.1,97.0,93.0,95.0,0.8,6.9,3.41,8.64,1.16,1.47,0.223,0.427,0.134,0.357,0.414,88.0,97.0,103.0,,,,79.0,97.0,90.0,,,,,,,80.0,99.0,95.0,0.397,,0.134,,,0.025,,-1.43,-1.66,,,1.78,,87.7,84.9,93.8,,,,,,0.242,0.424,0.267,0.222,0.222,0.167,,,,0.347,0.571,0.173,0.322,0.573,0.2,115.0,95.0,98.0,0.336,1.52,86.1,0.178,0.253,0.253,96.0,101.0,104.0,0.107,0.34,79.9,,,
2024-04-09,746571,Strikeout,strikeout,True,607054,615698,Jace Peterson,Cal Quantrill,0,a2506f21-a071-4ef3-8abb-3b1f2b9e83df,615698.0,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.15,4.48,108.1,97.0,93.0,95.0,0.8,6.9,3.41,8.64,1.16,1.47,0.223,0.427,0.134,0.357,0.414,88.0,97.0,103.0,,,,79.0,97.0,90.0,,,,,,,80.0,99.0,95.0,0.397,,0.134,,,0.025,,-1.43,-1.66,,,1.78,,87.7,84.9,93.8,,,,,,0.242,0.424,0.267,0.222,0.222,0.167,,,,0.347,0.571,0.173,0.322,0.573,0.2,115.0,95.0,98.0,0.336,1.52,86.1,0.178,0.253,0.253,96.0,101.0,104.0,0.107,0.34,79.9,,,
