date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,vSC (sc),SC%,wSC/C,vKN (sc),KN%,wKN/C,FO%,wFO/C,vFO
2024-05-21,745503,Forceout,force_out,True,678225,657277,Ji Hwan Bae,Logan Webb,1,53cdc20a-4dd7-46aa-aec1-2e564b10f4ad,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,,,,56.0,109.0,91.0,98.0,103.0,101.0,59.0,115.0,105.0,0.388,0.048,0.011,,0.329,1.24,5.55,1.02,,0.28,92.3,90.3,87.4,92.2,,0.276,0.346,0.15,0.283,0.405,0.197,,,,,,,0.1,0.15,0.39,119.0,102.0,112.0,0.223,0.18,83.5,0.247,0.323,0.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-21,745503,Walk,walk,False,678225,657277,Ji Hwan Bae,Logan Webb,0,e0a10898-38c3-4711-87d3-1011bd690b35,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.24,124.1,104.0,112.0,107.0,0.826,7.75,2.03,9.12,0.43,2.59,0.236,0.389,0.153,0.311,0.402,132.0,105.0,115.0,,,,56.0,109.0,91.0,98.0,103.0,101.0,59.0,115.0,105.0,0.388,0.048,0.011,,0.329,1.24,5.55,1.02,,0.28,92.3,90.3,87.4,92.2,,0.276,0.346,0.15,0.283,0.405,0.197,,,,,,,0.1,0.15,0.39,119.0,102.0,112.0,0.223,0.18,83.5,0.247,0.323,0.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-21,745503,Strikeout,strikeout,True,678225,676254,Ji Hwan Bae,Ryan Walker,0,6b87c5bc-e99f-49e0-91d3-633b09ceff93,676254.0,ryanwalker,"Walker, R",Right,Ryan Walker,SFG,2.45,2.85,51.1,101.0,108.0,104.0,0.714,11.05,2.1,6.49,0.53,1.56,0.25,0.383,0.175,0.3,0.451,,,,,,,65.0,122.0,100.0,92.0,101.0,97.0,,,,0.537,0.008,,,,-6.38,,1.69,,,94.2,,,95.2,,0.215,0.29,0.254,,,,,,,,,,,,,126.0,101.0,113.0,0.456,1.39,83.6,0.195,0.299,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-21,745503,Single,single,False,678225,666808,Ji Hwan Bae,Camilo Doval,1,19377eb8-0690-4e4c-891d-f228262f9872,666808.0,camilodoval,Doval,Right,Camilo Doval,SFG,4.38,3.67,37.0,96.0,113.0,98.0,0.655,11.92,5.84,8.76,0.73,2.15,0.204,0.48,0.204,0.306,0.393,,,,,,,,,,71.0,91.0,80.0,94.0,102.0,95.0,0.14,,0.373,,,,-0.42,-1.95,,,,99.6,,98.0,,0.333,0.476,0.175,,,,0.26,0.5,0.241,,,,,,,140.0,94.0,106.0,0.487,0.2,88.7,0.216,0.311,0.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-23,745500,Groundout,field_out,True,678225,696131,Ji Hwan Bae,Mason Black,0,72ac75bd-146d-436a-919b-c836fc48f0af,696131.0,masonblack,Black,Right,Mason Black,SFG,8.79,9.14,14.1,98.0,94.0,94.0,0.883,6.28,4.4,13.19,2.51,0.6,0.25,0.385,0.173,0.346,0.441,97.0,102.0,82.0,,,,78.0,100.0,90.0,88.0,93.0,87.0,,,,0.27,0.3,,,0.034,-4.21,,-3.32,,-15.36,91.9,,87.3,91.9,,0.333,0.667,0.091,0.75,0.75,0.0,,,,,,,0.375,0.75,0.2,113.0,93.0,97.0,0.395,-1.39,80.8,0.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-23,745500,Lineout,field_out,True,678225,696131,Ji Hwan Bae,Mason Black,0,abace836-06b4-481a-8f1c-6b7cdae96c54,696131.0,masonblack,Black,Right,Mason Black,SFG,8.79,9.14,14.1,98.0,94.0,94.0,0.883,6.28,4.4,13.19,2.51,0.6,0.25,0.385,0.173,0.346,0.441,97.0,102.0,82.0,,,,78.0,100.0,90.0,88.0,93.0,87.0,,,,0.27,0.3,,,0.034,-4.21,,-3.32,,-15.36,91.9,,87.3,91.9,,0.333,0.667,0.091,0.75,0.75,0.0,,,,,,,0.375,0.75,0.2,113.0,93.0,97.0,0.395,-1.39,80.8,0.0,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-23,745500,Bunt Groundout,field_out,True,678225,573124,Ji Hwan Bae,Taylor Rogers,0,f54aa14d-0e0f-49d3-ae76-37cdf684f761,573124.0,taylorrogers,"Rogers, Ta",Left,Taylor Rogers,SFG,2.15,3.15,37.2,96.0,94.0,96.0,0.763,9.8,3.11,7.88,0.96,1.05,0.19,0.39,0.25,0.28,0.453,,,,,,,,,,79.0,96.0,90.0,,,,0.495,,,,,,,1.7,,,,,,93.3,,0.159,0.232,0.136,,,,,,,,,,,,,109.0,95.0,101.0,0.505,-1.03,79.5,0.306,0.569,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-23,745500,Field Error,field_error,False,678225,643511,Ji Hwan Bae,Tyler Rogers,0,bcfd0264-3ba5-428a-bd74-6275d63fd511,643511.0,tylerrogers,"Rogers, Ty",Right,Tyler Rogers,SFG,3.15,2.48,45.2,106.0,126.0,105.0,0.839,6.7,0.59,9.66,0.79,2.1,0.304,0.372,0.284,0.236,0.532,,,,,,,109.0,106.0,94.0,114.0,111.0,106.0,,,,0.622,0.008,,,,-4.89,,1.34,,,82.3,,,82.4,,0.284,0.358,0.143,,,,,,,,,,,,,145.0,97.0,103.0,0.371,-1.38,73.8,0.246,0.478,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-25,745493,Single,single,False,678225,625643,Ji Hwan Bae,Reynaldo López,1,c61ee0b5-fbc9-41d0-a25a-bf30666c384f,625643.0,reynaldolopez,"López, R",Right,Reynaldo López,ATL,1.88,4.24,95.2,102.0,95.0,101.0,0.767,8.94,3.2,7.34,0.56,0.97,0.276,0.366,0.152,0.307,0.436,76.0,109.0,103.0,81.0,100.0,104.0,91.0,102.0,98.0,,,,,,,,0.57,,0.11,0.039,1.2,,,2.51,-4.55,95.4,,86.0,,77.0,,,,0.333,0.833,0.333,,,,0.132,0.184,0.343,0.263,0.366,0.175,111.0,101.0,105.0,0.281,1.06,84.7,0.182,0.255,0.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-25,745493,Lineout,field_out,True,678225,625643,Ji Hwan Bae,Reynaldo López,0,7fec2918-34e0-421b-9d83-79b49ddf4ad4,625643.0,reynaldolopez,"López, R",Right,Reynaldo López,ATL,1.88,4.24,95.2,102.0,95.0,101.0,0.767,8.94,3.2,7.34,0.56,0.97,0.276,0.366,0.152,0.307,0.436,76.0,109.0,103.0,81.0,100.0,104.0,91.0,102.0,98.0,,,,,,,,0.57,,0.11,0.039,1.2,,,2.51,-4.55,95.4,,86.0,,77.0,,,,0.333,0.833,0.333,,,,0.132,0.184,0.343,0.263,0.366,0.175,111.0,101.0,105.0,0.281,1.06,84.7,0.182,0.255,0.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
