date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,vSC (sc),SC%,wSC/C,EP%,wEP/C,vEP,ST_ba,ST_slg,ST_whiff
2024-03-28,746089,Groundout,field_out,True,669261,664350,Jack Suwinski,Sixto Sánchez,0,50606b88-8b7f-455b-bdf0-8f42c2ae3737,664350.0,sixtosanchez,"Sánchez, S",Right,Sixto Sánchez,MIA,6.06,5.02,35.2,101.0,82.0,97.0,0.878,4.29,3.53,10.85,0.76,1.56,0.305,0.414,0.102,0.313,0.464,94.0,100.0,100.0,,,,77.0,98.0,88.0,84.0,110.0,106.0,,,,0.048,0.298,,,0.314,-1.21,-4.74,,,1.59,93.8,85.4,92.7,,,0.267,0.433,0.104,,,,0.22,0.22,0.17,0.5,1.333,0.167,58.0,108.0,100.0,0.34,-1.59,83.6,0.375,0.518,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-28,746089,Intent Walk,intent_walk,False,669261,686539,Jack Suwinski,Declan Cronin,0,07460896-0836-1033-000c-f08cd117d70a,686539.0,declancronin,Cronin,Right,Declan Cronin,MIA,3.72,3.67,46.0,98.0,72.0,97.0,0.753,9.59,3.33,9.78,0.0,2.06,0.273,0.364,0.121,0.326,0.442,,,,,,,120.0,107.0,112.0,66.0,99.0,88.0,74.0,91.0,98.0,0.41,0.046,0.544,,,2.05,0.02,0.85,,,93.5,,93.3,86.8,,0.111,0.111,0.313,0.262,0.291,0.341,,,,0.328,0.418,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-29,746091,Lineout,field_out,True,669261,572143,Jack Suwinski,Burch Smith,0,6daa75ed-8e4f-4a0c-acde-8777b7d4b78d,572143.0,burchsmith,"Smith, B",Right,Burch Smith,- - -,3.94,4.48,32.0,99.0,102.0,99.0,0.828,7.31,2.53,10.97,0.28,1.43,0.245,0.425,0.132,0.368,0.479,124.0,69.0,80.0,99.0,92.0,100.0,104.0,101.0,100.0,97.0,54.0,53.0,,,,0.004,0.519,0.017,0.239,0.013,1.25,14.67,-8.01,0.52,1.34,94.4,85.3,92.8,81.1,79.8,0.239,0.328,0.242,0.5,0.5,0.0,,,,,,,98.0,99.0,93.0,0.208,-3.25,87.4,0.519,0.593,0.211,0.25,0.286,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-29,746091,Groundout,field_out,True,669261,666277,Jack Suwinski,George Soriano,0,76463d67-052a-4458-9ddd-da4f46c62170,666277.0,georgesoriano,"Soriano, G",Right,George Soriano,MIA,9.26,7.01,11.2,92.0,95.0,91.0,0.798,9.26,5.4,8.49,2.31,0.71,0.212,0.424,0.091,0.333,0.412,116.0,99.0,95.0,,,,77.0,88.0,80.0,,,,104.0,94.0,100.0,,0.412,0.431,,0.157,0.61,,-3.45,,-1.45,94.5,88.8,,83.5,,0.125,0.25,0.276,0.368,0.895,0.255,0.286,0.286,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,746087,Lineout,field_out,True,669261,677960,Jack Suwinski,Ryan Weathers,0,a6ec2fb7-8ace-4216-96b0-1ea37701438c,677960.0,ryanweathers,Weathers,Left,Ryan Weathers,MIA,3.55,3.99,71.0,96.0,94.0,98.0,0.755,8.49,2.54,7.73,1.01,1.63,0.261,0.429,0.172,0.32,0.416,81.0,103.0,103.0,,,,97.0,99.0,99.0,83.0,97.0,92.0,125.0,88.0,100.0,0.122,0.402,0.219,,0.258,0.13,0.21,0.13,,0.93,95.9,86.2,94.5,82.7,,0.289,0.389,0.142,0.25,0.5,0.5,0.193,0.398,0.394,0.279,0.442,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,746087,Strikeout,strikeout,True,669261,677960,Jack Suwinski,Ryan Weathers,0,0d00ce2f-73b6-45a9-98c0-5b67db6185e2,677960.0,ryanweathers,Weathers,Left,Ryan Weathers,MIA,3.55,3.99,71.0,96.0,94.0,98.0,0.755,8.49,2.54,7.73,1.01,1.63,0.261,0.429,0.172,0.32,0.416,81.0,103.0,103.0,,,,97.0,99.0,99.0,83.0,97.0,92.0,125.0,88.0,100.0,0.122,0.402,0.219,,0.258,0.13,0.21,0.13,,0.93,95.9,86.2,94.5,82.7,,0.289,0.389,0.142,0.25,0.5,0.5,0.193,0.398,0.394,0.279,0.442,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,746087,Groundout,field_out,True,669261,664350,Jack Suwinski,Sixto Sánchez,1,a3f691a4-5f44-488c-ac85-ae324bf7f124,664350.0,sixtosanchez,"Sánchez, S",Right,Sixto Sánchez,MIA,6.06,5.02,35.2,101.0,82.0,97.0,0.878,4.29,3.53,10.85,0.76,1.56,0.305,0.414,0.102,0.313,0.464,94.0,100.0,100.0,,,,77.0,98.0,88.0,84.0,110.0,106.0,,,,0.048,0.298,,,0.314,-1.21,-4.74,,,1.59,93.8,85.4,92.7,,,0.267,0.433,0.104,,,,0.22,0.22,0.17,0.5,1.333,0.167,58.0,108.0,100.0,0.34,-1.59,83.6,0.375,0.518,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,746087,Single,single,False,669261,677053,Jack Suwinski,Andrew Nardi,1,75032c1a-3129-46e7-82b0-dce69ec4517f,677053.0,andrewnardi,Nardi,Left,Andrew Nardi,MIA,5.45,3.12,36.1,103.0,106.0,104.0,0.733,11.15,2.72,8.92,1.24,0.7,0.255,0.408,0.173,0.276,0.402,57.0,130.0,124.0,,,,98.0,101.0,102.0,,,,118.0,105.0,107.0,,0.577,0.414,,0.009,0.41,,-0.68,,-6.5,94.0,91.5,,82.7,,0.247,0.4,0.277,0.264,0.547,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,746087,Strikeout,strikeout,True,669261,669622,Jack Suwinski,Anthony Bender,0,cd51a516-06b9-4f70-b1a6-5ad95252e2be,669622.0,anthonybender,Bender,Right,Anthony Bender,MIA,4.1,3.74,37.1,102.0,118.0,108.0,0.786,9.16,2.89,9.16,0.48,1.53,0.202,0.349,0.174,0.284,0.435,152.0,115.0,126.0,,,,75.0,55.0,66.0,101.0,101.0,98.0,134.0,103.0,117.0,0.498,0.013,0.448,,0.04,-6.03,-1.02,1.69,,0.88,95.6,89.7,95.3,84.9,,,,,0.172,0.25,0.338,0.182,0.455,0.267,0.352,0.479,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,746090,Single,single,False,669261,669432,Jack Suwinski,Trevor Rogers,0,a774529f-d41e-440b-9ca8-2240cc46464a,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,MIA,4.72,4.89,95.1,99.0,85.0,97.0,0.797,7.46,4.15,9.82,1.04,1.43,0.22,0.414,0.132,0.336,0.39,115.0,108.0,117.0,,,,69.0,100.0,93.0,87.0,96.0,91.0,73.0,89.0,89.0,0.231,0.325,0.21,,0.233,-0.74,0.22,-1.71,,-0.95,92.1,85.8,91.6,82.5,,0.261,0.486,0.23,0.262,0.475,0.288,0.299,0.393,0.251,0.27,0.45,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
