date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vFS,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff
2024-05-22,744933,Flyout,field_out,True,676113,605135,Zach DeLoach,Chris Bassitt,0,f4a97a72-9209-438a-9072-23a24203569b,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,3.71,4.24,114.0,99.0,95.0,98.0,0.822,8.37,3.63,9.16,0.79,1.21,0.282,0.341,0.193,0.309,0.45,77.0,89.0,86.0,106.0,88.0,100.0,65.0,106.0,96.0,95.0,104.0,99.0,123.0,97.0,108.0,78.0,103.0,94.0,97.0,90.0,88.0,0.413,0.03,0.202,0.049,0.108,0.145,0.053,-2.99,0.96,-2.41,0.24,-0.29,0.47,-0.92,92.7,89.7,83.9,84.5,92.6,77.5,70.8,0.337,0.412,0.111,0.152,0.253,0.271,0.193,0.281,0.282,0.333,0.556,0.138,0.28,0.32,0.171,0.25,0.45,0.098,0.25,0.5,0.286,,,,,,,,,
2024-05-22,744933,Groundout,field_out,True,676113,605135,Zach DeLoach,Chris Bassitt,0,2fd10e30-2629-484a-90dd-98f7933a3a71,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,3.71,4.24,114.0,99.0,95.0,98.0,0.822,8.37,3.63,9.16,0.79,1.21,0.282,0.341,0.193,0.309,0.45,77.0,89.0,86.0,106.0,88.0,100.0,65.0,106.0,96.0,95.0,104.0,99.0,123.0,97.0,108.0,78.0,103.0,94.0,97.0,90.0,88.0,0.413,0.03,0.202,0.049,0.108,0.145,0.053,-2.99,0.96,-2.41,0.24,-0.29,0.47,-0.92,92.7,89.7,83.9,84.5,92.6,77.5,70.8,0.337,0.412,0.111,0.152,0.253,0.271,0.193,0.281,0.282,0.333,0.556,0.138,0.28,0.32,0.171,0.25,0.45,0.098,0.25,0.5,0.286,,,,,,,,,
2024-05-22,744933,Strikeout,strikeout,True,676113,605135,Zach DeLoach,Chris Bassitt,0,6591888b-0de4-4d5b-b013-4973d5dfd772,605135.0,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,3.71,4.24,114.0,99.0,95.0,98.0,0.822,8.37,3.63,9.16,0.79,1.21,0.282,0.341,0.193,0.309,0.45,77.0,89.0,86.0,106.0,88.0,100.0,65.0,106.0,96.0,95.0,104.0,99.0,123.0,97.0,108.0,78.0,103.0,94.0,97.0,90.0,88.0,0.413,0.03,0.202,0.049,0.108,0.145,0.053,-2.99,0.96,-2.41,0.24,-0.29,0.47,-0.92,92.7,89.7,83.9,84.5,92.6,77.5,70.8,0.337,0.412,0.111,0.152,0.253,0.271,0.193,0.281,0.282,0.333,0.556,0.138,0.28,0.32,0.171,0.25,0.45,0.098,0.25,0.5,0.286,,,,,,,,,
2024-05-22,744933,Walk,walk,False,676113,663878,Zach DeLoach,Nate Pearson,0,cbf9f257-2861-425c-9836-ede2e741a9c3,663878.0,natepearson,Pearson,Right,Nate Pearson,TOR,5.54,4.22,37.1,95.0,128.0,103.0,0.734,12.05,3.62,9.88,1.93,0.86,0.196,0.441,0.137,0.353,0.443,,,,132.0,92.0,102.0,125.0,91.0,94.0,107.0,107.0,112.0,130.0,101.0,112.0,,,,76.0,153.0,162.0,0.012,0.448,,0.002,0.412,0.127,,-2.31,,16.57,-30.79,0.95,-0.74,,97.6,,88.3,,97.4,87.7,80.8,0.667,2.667,0.167,,,,0.158,0.316,0.381,0.212,0.385,0.42,,,,,,,0.342,0.548,0.182,,,,,,,,,
2024-05-23,746792,Strikeout,strikeout,True,676113,666974,Zach DeLoach,Yennier Cano,0,c46df58a-4291-4787-bd29-4bed45842a6d,666974.0,yenniercano,Cano,Right,Yennier Cano,BAL,2.79,3.91,38.2,106.0,116.0,106.0,0.723,8.84,4.42,7.45,1.16,3.45,0.137,0.48,0.167,0.363,0.393,137.0,115.0,108.0,,,,59.0,107.0,97.0,112.0,103.0,106.0,145.0,96.0,111.0,,,,,,,0.498,0.115,,,0.107,,0.279,2.39,,,0.62,-3.54,,0.32,96.5,,,90.7,95.8,87.0,,0.288,0.409,0.244,,,,,,,0.3,0.9,0.526,,,,0.176,0.294,0.317,0.077,0.077,0.406,,,,,,,,,
2024-05-24,746793,Strikeout,strikeout,True,676113,518886,Zach DeLoach,Craig Kimbrel,0,ff3a00f0-e545-4b03-becd-8654aab4b123,518886.0,craigkimbrel,Kimbrel,Right,Craig Kimbrel,BAL,2.8,3.15,35.1,98.0,116.0,103.0,0.724,13.5,4.08,4.58,0.76,0.58,0.353,0.353,0.206,0.279,0.45,,,,,,,114.0,99.0,101.0,,,,77.0,102.0,110.0,,,,,,,,0.682,,,0.067,,,1.16,,,,0.86,,,94.2,,,,,85.8,,,,,,,,0.13,0.13,0.302,0.091,0.091,0.533,,,,,,,0.163,0.302,0.312,122.0,96.0,106.0,0.251,1.69,84.5,,,
2024-06-06,746784,Strikeout,strikeout,True,676113,656557,Zach DeLoach,Tanner Houck,0,8dae753e-f9c9-4e2e-8c75-120e7dededd4,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,,,,,,,,,,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,,0.022,0.255,0.423,,,,-0.99,1.83,0.49,1.85,,,,87.1,88.4,,93.4,83.1,,0.275,0.344,0.129,0.2,0.4,0.235,,,,0.191,0.275,0.294,0.188,0.234,0.233,,,,,,,,,,,,,,,
2024-06-06,746784,Groundout,field_out,True,676113,656557,Zach DeLoach,Tanner Houck,0,39469ca2-fa33-4f90-bc74-ff4cefac97ab,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,,,,,,,,,,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,,0.022,0.255,0.423,,,,-0.99,1.83,0.49,1.85,,,,87.1,88.4,,93.4,83.1,,0.275,0.344,0.129,0.2,0.4,0.235,,,,0.191,0.275,0.294,0.188,0.234,0.233,,,,,,,,,,,,,,,
2024-06-06,746784,Double,double,False,676113,656557,Zach DeLoach,Tanner Houck,1,d428095a-85d2-4ede-a1ae-a07b57497de2,656557.0,tannerhouck,Houck,Right,Tanner Houck,BOS,2.54,3.72,117.0,103.0,109.0,107.0,0.786,8.62,2.0,7.31,0.38,2.29,0.185,0.445,0.106,0.312,0.442,,,,,,,,,,96.0,103.0,97.0,115.0,102.0,113.0,95.0,93.0,93.0,116.0,105.0,111.0,0.299,,0.022,0.255,0.423,,,,-0.99,1.83,0.49,1.85,,,,87.1,88.4,,93.4,83.1,,0.275,0.344,0.129,0.2,0.4,0.235,,,,0.191,0.275,0.294,0.188,0.234,0.233,,,,,,,,,,,,,,,
2024-06-06,746784,Strikeout,strikeout,True,676113,592155,Zach DeLoach,Cam Booser,0,d54b6db8-7b77-4add-9e82-64611590ff3f,592155.0,cambooser,Booser,Left,Cam Booser,BOS,2.9,2.88,31.0,102.0,96.0,101.0,0.742,9.87,2.03,8.13,0.87,0.51,0.163,0.5,0.128,0.326,0.466,,,,,,,96.0,108.0,108.0,,,,94.0,103.0,105.0,97.0,93.0,91.0,,,,,0.42,0.353,,0.227,,,1.68,0.3,,,1.16,,,95.5,88.3,,,,82.5,,,,,0.333,0.5,0.286,,,,0.2,0.314,0.293,,,,,,,0.217,0.317,0.287,,,,,,,,,
