date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C
2024/09/28,6:41 PM.,LAA,TEX,away,Clear.,71,656288,CF,1,0,1,0,0,0,2,0,0,0,0,.216,.256,.270,.526,656288,griffincanning,Canning,Right,Griffin Canning,LAA,5.19,4.74,171.2,98.0,88.0,97.0,0.772,6.82,3.46,9.12,1.63,1.04,0.225,0.434,0.128,0.367,0.401,96.0,102.0,102.0,73.0,94.0,86.0,76.0,89.0,78.0,107.0,100.0,110.0,,,,,,,0.01,0.376,,0.24,,0.267,-0.85,,-6.83,-0.91,,0.48,93.4,,88.6,93.0,87.7,,0.251,0.529,0.147,0.259,0.387,0.288,0.429,0.857,0.0,0.284,0.444,0.331,,,,0.271,0.438,0.241,75.0,96.0,96.0,0.107,-0.86,80.6,,,,,,,,,,,,,,,
2024/09/26,12:37 PM.,OAK,TEX,away,Sunny.,67,669372,3B,3,0,1,0,0,0,0,0,0,1,0,.194,.237,.250,.487,669372,jtginn,Ginn,Right,J.T. Ginn,OAK,4.24,4.59,34.0,100.0,100.0,99.0,0.738,7.68,2.38,9.53,1.06,1.45,0.245,0.431,0.137,0.284,0.429,93.0,96.0,97.0,72.0,76.0,78.0,100.0,102.0,99.0,107.0,102.0,103.0,,,,,,,0.511,0.035,,0.309,,0.146,1.23,,-0.98,2.3,,-0.36,92.2,,87.0,92.9,85.3,,0.0,0.0,0.333,0.389,0.556,0.375,0.319,0.472,0.205,0.158,0.237,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/25,6:40 PM.,OAK,TEX,away,Partly Cloudy.,64,669620,SS,4,0,1,0,0,0,0,0,0,3,1,.182,.229,.242,.471,669620,bradybasso,Basso,Left,Brady Basso,OAK,4.03,3.46,22.1,104.0,82.0,98.0,0.765,7.66,2.01,9.27,1.21,1.07,0.275,0.406,0.145,0.333,0.443,77.0,96.0,84.0,77.0,100.0,95.0,43.0,110.0,99.0,,,,,,,102.0,107.0,103.0,0.023,0.469,0.18,,,0.123,2.37,-2.37,-1.21,,,-3.63,92.2,88.1,86.4,92.0,,,0.225,0.325,0.165,0.357,0.571,0.227,,,,,,,0.385,0.615,0.308,0.2,0.2,0.385,79.0,112.0,110.0,0.206,1.0,76.4,,,,,,,,,,,,,,,
2024/09/24,6:40 PM.,OAK,TEX,away,Partly Cloudy.,69,687765,3B,3,0,1,0,0,0,0,0,0,1,1,.172,.226,.241,.467,687765,mitchspence,Spence,Right,Mitch Spence,OAK,4.58,4.14,151.1,103.0,100.0,101.0,0.792,7.49,2.62,9.81,1.19,1.4,0.179,0.472,0.137,0.309,0.406,74.0,86.0,83.0,,,,40.0,97.0,84.0,121.0,105.0,109.0,,,,99.0,100.0,96.0,0.146,,0.396,0.326,,0.011,,-0.41,-1.41,0.01,,-7.88,,90.7,88.4,91.9,84.3,,,,,0.571,0.857,0.0,0.338,0.403,0.16,0.278,0.493,0.276,0.278,0.472,0.176,0.196,0.351,0.31,118.0,117.0,117.0,0.121,-0.82,80.4,,,,,,,,,,,,,,,
2024/09/20,7:07 PM.,SEA,TEX,home,Roof Closed.,74,669923,3B,3,0,0,0,0,0,0,0,0,0,3,.154,.214,.231,.445,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.44,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.294,0.446,,,,102.0,107.0,101.0,106.0,108.0,108.0,110.0,104.0,110.0,114.0,110.0,113.0,97.0,99.0,93.0,0.236,0.339,0.004,0.237,0.082,,0.46,0.79,1.5,1.28,-1.95,,96.0,92.3,,96.0,87.2,83.4,0.221,0.458,0.291,,,,0.263,0.354,0.105,0.226,0.316,0.271,,,,0.333,0.439,0.286,,,,,,,,,,109.0,100.0,108.0,0.102,-2.05,86.0,0.253,0.413,0.295,73.9,0.0,-3.5
2024/09/11,12:41 PM.,AZ,TEX,away,Roof Closed.,78,518876,SS,1,0,1,0,0,0,0,0,0,0,0,.174,.240,.261,.501,518876,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,4.03,4.94,73.2,105.0,98.0,101.0,0.806,7.7,2.32,8.19,1.34,1.17,0.209,0.456,0.13,0.335,0.381,122.0,108.0,106.0,73.0,106.0,97.0,84.0,98.0,90.0,114.0,111.0,111.0,,,,95.0,103.0,98.0,0.147,0.197,0.252,0.118,,0.21,-0.76,0.01,-3.28,-0.18,,4.47,91.9,90.3,88.4,92.3,85.6,,0.26,0.54,0.204,0.099,0.099,0.315,0.378,0.644,0.086,0.273,0.455,0.394,0.276,0.5,0.109,0.25,0.55,0.205,116.0,108.0,107.0,0.077,-1.78,82.2,,,,,,,,,,,,,,,
2024/09/03,7:07 PM.,NYY,TEX,home,Roof Closed.,74,607074,SS,2,0,0,0,0,0,0,0,0,2,1,.136,.208,.227,.435,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,129.0,92.0,106.0,114.0,98.0,101.0,,,,144.0,104.0,113.0,,,,100.0,83.0,82.0,,0.494,0.035,0.26,,0.129,0.05,-3.11,,-0.4,,1.44,95.4,91.8,85.5,,86.8,,0.262,0.514,0.214,0.188,0.247,0.495,,,,0.199,0.361,0.393,0.353,0.647,0.255,0.281,0.531,0.276,103.0,86.0,93.0,0.083,-1.32,81.0,,,,,,,,,,,,,,,
2024/07/26,7:07 PM.,TOR,TEX,away,Clear.,75,579328,3B,3,0,0,0,0,0,0,0,1,1,0,.150,.227,.250,.477,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.05,3.7,175.2,101.0,109.0,105.0,0.734,10.55,2.25,8.56,1.28,1.1,0.273,0.405,0.136,0.36,0.443,99.0,93.0,91.0,114.0,103.0,107.0,,,,111.0,100.0,106.0,,,,,,,,0.471,,0.235,,0.111,-0.08,,,1.31,,-0.15,95.5,,86.7,,88.3,,0.274,0.505,0.28,0.194,0.25,0.358,,,,0.21,0.28,0.297,,,,0.264,0.395,0.274,99.0,105.0,105.0,0.183,0.02,82.4,,,,,,,,,,,,,,,
2024/07/24,7:09 PM.,CWS,TEX,home,Roof Closed.,74,623167,SS,0,0,0,0,0,0,0,0,0,0,0,.176,.222,.294,.516,623167,chrisflexen,Flexen,Right,Chris Flexen,CHW,4.95,4.71,160.0,97.0,56.0,92.0,0.789,6.92,3.54,10.13,1.35,0.79,0.249,0.41,0.154,0.308,0.373,126.0,99.0,104.0,2.0,93.0,82.0,74.0,108.0,87.0,148.0,102.0,103.0,,,,47.0,101.0,90.0,0.002,0.37,0.261,0.087,,0.157,-0.64,-0.75,2.01,-2.65,,-1.32,91.3,87.4,81.3,91.4,80.0,,0.261,0.473,0.132,0.257,0.436,0.379,,,,0.361,0.475,0.271,0.319,0.536,0.218,0.246,0.393,0.308,83.0,98.0,101.0,0.122,0.43,72.0,,,,,,,,,,,,,,,
2024/07/23,7:07 PM.,CWS,TEX,home,Roof Closed.,74,676979,SS,3,0,0,0,0,0,0,0,0,0,1,.176,.222,.294,.516,676979,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.58,2.85,146.0,103.0,102.0,103.0,0.694,12.88,2.03,7.58,1.11,1.25,0.259,0.394,0.175,0.33,0.458,66.0,101.0,102.0,104.0,103.0,103.0,123.0,98.0,97.0,138.0,102.0,107.0,,,,94.0,105.0,103.0,0.021,0.537,0.284,0.098,,0.059,1.66,-0.14,4.04,-2.29,,-0.36,97.2,91.6,91.0,97.9,84.3,,0.198,0.295,0.314,0.184,0.289,0.339,0.154,0.154,0.321,,,,0.268,0.458,0.334,,,,,,,,,,0.228,0.561,0.422,,,,,,,,,,,,
