date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,SV_ba,SV_slg,SV_whiff,FS_ba,FS_slg,FS_whiff,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2024/08/14,6:38 PM.,TOR,LAA,home,Clear.,82,621244,DH,3,0,0,0,0,0,0,0,1,0,1,.245,.315,.380,.695,621244,joseberrios,Berríos,Right,José Berríos,TOR,3.6,4.74,192.1,103.0,92.0,99.0,0.808,7.16,2.53,7.86,1.45,1.17,0.257,0.421,0.15,0.352,0.414,86.0,104.0,101.0,111.0,102.0,106.0,82.0,99.0,92.0,85.0,103.0,95.0,,,,0.337,0.183,,0.286,0.16,-1.26,1.02,,0.28,0.88,94.1,84.8,93.4,,83.2,0.305,0.558,0.189,0.36,0.48,0.123,0.171,0.364,0.269,,,,,,,0.268,0.366,0.125,,,,84.0,108.0,99.0,0.035,-1.83,91.4,,,,,,,0.188,0.404,0.31,,,,,,,,,,,,,,,
2024/08/13,6:39 PM.,TOR,LAA,home,Clear.,81,592332,DH,4,1,1,0,0,1,1,0,0,0,2,.248,.316,.385,.701,592332,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.83,4.71,181.0,105.0,94.0,104.0,0.791,8.06,2.78,8.2,0.99,0.91,0.262,0.417,0.136,0.363,0.417,,,,,,,99.0,105.0,105.0,90.0,102.0,94.0,88.0,90.0,95.0,0.054,0.528,0.084,,,0.43,-3.21,-1.21,,,93.9,,93.3,82.7,,0.277,0.466,0.175,,,,,,,0.268,0.439,0.266,,,,0.316,0.579,0.117,,,,,,,,,,88.0,108.0,106.0,0.334,0.51,86.0,,,,0.169,0.262,0.335,,,,,,,,,,,,
2024/08/12,6:38 PM.,TOR,LAA,home,Clear.,82,670102,DH,3,0,0,0,0,0,0,0,0,0,0,.248,.317,.374,.691,670102,bowdenfrancis,Francis,Right,Bowden Francis,TOR,3.3,3.39,103.2,102.0,97.0,104.0,0.8,7.99,1.91,6.42,1.48,0.74,0.247,0.498,0.171,0.341,0.465,,,,99.0,94.0,100.0,94.0,106.0,107.0,79.0,96.0,85.0,96.0,92.0,92.0,0.029,0.513,0.092,0.182,,2.21,1.45,-1.47,-1.71,,92.9,,90.3,81.7,73.5,0.174,0.371,0.185,,,,,,,0.25,0.583,0.436,0.308,0.558,0.243,0.182,0.455,0.067,,,,,,,,,,109.0,105.0,110.0,0.184,1.44,83.8,,,,0.169,0.169,0.225,,,,,,,,,,,,
2024/08/07,4:09 PM.,NYY,LAA,away,Rain.,65,661563,DH,2,0,1,0,0,0,0,0,2,0,0,.251,.321,.379,.700,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,,,,128.0,96.0,102.0,,,,108.0,94.0,105.0,,0.488,0.259,,0.253,0.06,,1.37,,0.37,96.6,91.6,,87.5,,0.205,0.395,0.285,,,,0.179,0.282,0.269,0.171,0.312,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/02,6:38 PM.,NYM,LAA,home,Partly Cloudy.,84,621112,DH,4,0,0,0,0,0,0,0,0,0,2,.249,.314,.378,.692,621112,paulblackburn,Blackburn,Right,Paul Blackburn,- - -,4.66,4.59,75.1,105.0,91.0,100.0,0.79,7.05,2.51,9.08,1.43,1.34,0.193,0.442,0.172,0.24,0.396,83.0,110.0,106.0,91.0,107.0,106.0,74.0,96.0,90.0,69.0,107.0,93.0,116.0,106.0,108.0,0.136,0.195,0.167,0.101,0.181,-2.3,-4.04,1.35,2.06,1.56,91.9,85.7,91.2,81.3,79.4,0.286,0.694,0.125,0.299,0.493,0.244,0.164,0.236,0.347,0.163,0.245,0.284,0.125,0.208,0.25,0.478,0.674,0.095,,,,105.0,106.0,99.0,0.22,-0.19,89.1,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/01,6:38 PM.,COL,LAA,home,Clear.,79,663372,DH,5,1,1,0,0,0,0,0,0,0,4,.254,.319,.385,.704,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.31,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,117.0,95.0,102.0,108.0,107.0,113.0,81.0,102.0,96.0,93.0,93.0,89.0,109.0,99.0,104.0,0.128,0.37,0.254,0.101,0.147,0.63,-0.45,-0.87,1.28,-1.02,94.6,85.2,94.2,87.4,79.2,0.24,0.376,0.177,,,,0.299,0.485,0.394,0.355,0.523,0.226,0.164,0.26,0.248,0.299,0.403,0.159,0.156,0.375,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/30,6:39 PM.,COL,LAA,home,Clear.,79,615698,DH,3,1,1,1,0,0,0,0,2,0,2,.255,.322,.389,.711,615698,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.98,5.31,148.1,96.0,90.0,94.0,0.81,6.67,4.19,9.47,1.4,1.33,0.219,0.425,0.133,0.367,0.407,88.0,97.0,103.0,98.0,101.0,104.0,,,,79.0,95.0,89.0,,,,0.402,,,0.126,0.018,,-2.0,,-0.77,1.81,,84.9,93.8,,79.6,,,,0.296,0.507,0.203,0.222,0.222,0.167,,,,0.25,0.531,0.282,0.35,0.596,0.184,,,,76.0,96.0,93.0,0.135,-0.41,87.8,109.0,94.0,97.0,0.32,0.4,86.5,,,,0.206,0.314,0.234,,,,,,,,,,,,
2024/07/28,1:08 PM.,OAK,LAA,home,Sunny.,80,674370,DH,5,0,1,0,0,0,2,0,0,0,2,.254,.316,.385,.701,674370,osvaldobido,Bido,Right,Osvaldo Bido,OAK,3.41,2.72,63.1,97.0,103.0,97.0,0.761,8.95,3.69,6.11,0.43,0.61,0.245,0.405,0.252,0.258,0.425,78.0,103.0,102.0,,,,102.0,95.0,92.0,102.0,89.0,87.0,131.0,103.0,111.0,0.099,0.394,0.211,,0.152,0.18,-0.7,1.83,,1.82,94.8,88.9,94.9,85.8,,0.203,0.297,0.287,0.152,0.212,0.197,0.121,0.152,0.343,0.197,0.311,0.27,,,,0.304,0.478,0.146,,,,93.0,99.0,96.0,0.143,2.25,86.9,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/27,6:38 PM.,OAK,LAA,home,Clear.,80,687765,DH,4,0,1,1,0,0,0,0,0,0,2,.255,.318,.390,.708,687765,mitchspence,Spence,Right,Mitch Spence,OAK,4.58,4.14,151.1,103.0,100.0,101.0,0.792,7.49,2.62,9.81,1.19,1.4,0.179,0.472,0.137,0.309,0.406,74.0,86.0,83.0,118.0,117.0,117.0,,,,40.0,97.0,84.0,121.0,105.0,109.0,0.146,,0.326,0.121,0.011,,-1.41,0.01,-0.82,-7.88,,88.4,91.9,84.3,80.4,,,,0.278,0.472,0.176,0.571,0.857,0.0,0.278,0.493,0.276,0.196,0.351,0.31,0.338,0.403,0.16,,,,99.0,100.0,96.0,0.396,-0.41,90.7,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/25,6:39 PM.,OAK,LAA,home,Clear.,88,548389,DH,4,0,1,0,0,0,0,0,0,0,0,.255,.319,.388,.707,548389,rossstripling,Stripling,Right,Ross Stripling,OAK,6.01,4.74,85.1,105.0,86.0,98.0,0.849,5.17,2.32,11.5,0.74,1.11,0.304,0.359,0.175,0.301,0.443,90.0,111.0,105.0,,,,62.0,100.0,87.0,90.0,102.0,90.0,121.0,108.0,112.0,0.142,0.303,0.134,,0.176,-0.05,-0.67,-1.89,,-1.87,91.7,82.7,90.2,84.7,,0.244,0.422,0.175,0.245,0.367,0.156,0.333,0.52,0.241,0.328,0.5,0.157,0.364,0.455,0.179,0.39,0.441,0.078,,,,80.0,107.0,92.0,0.159,0.67,87.5,,,,,,,,,,,,,0.086,-1.1,76.3,89.0,105.0,106.0,,,,,,
