date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vFS,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024/09/29,3:12 PM.,DET,CWS,away,Overcast.,72,628317,LF,4,2,1,0,0,0,0,0,1,1,1,.209,.293,.328,.621,628317,kentamaeda,Maeda,Right,Kenta Maeda,DET,6.09,4.43,112.1,101.0,93.0,100.0,0.776,7.69,2.48,9.93,1.76,0.83,0.19,0.466,0.185,0.27,0.388,,,,80.0,75.0,78.0,67.0,99.0,91.0,59.0,104.0,93.0,101.0,95.0,98.0,65.0,94.0,79.0,110.0,105.0,110.0,0.072,0.225,0.016,0.312,0.359,0.016,,-2.6,1.08,-0.22,-0.02,-0.34,-4.36,,90.8,84.8,83.9,,90.4,81.4,76.4,0.294,0.324,0.133,0.333,0.333,0.391,0.5,0.75,0.0,0.241,0.379,0.207,0.359,0.667,0.13,0.217,0.42,0.303,0.31,0.569,0.268,,,,,,,,,
2024/09/28,3:30 PM.,DET,CWS,away,Drizzle.,70,689225,RF,3,1,0,0,0,0,0,0,1,0,2,.206,.286,.333,.619,689225,beaubrieske,Brieske,Right,Beau Brieske,DET,3.59,3.31,67.2,101.0,110.0,102.0,0.778,9.18,3.99,7.32,0.67,0.87,0.21,0.348,0.177,0.298,0.406,103.0,108.0,110.0,,,,120.0,99.0,101.0,84.0,106.0,97.0,122.0,93.0,100.0,,,,,,,0.159,0.404,,,0.173,,0.265,0.99,,,2.22,-1.62,,0.26,95.9,,,88.4,95.5,86.1,,0.235,0.294,0.116,,,,,,,,,,0.222,0.272,0.212,,,,0.241,0.552,0.271,0.212,0.4,0.319,,,,,,
2024/09/27,6:40 PM.,DET,CWS,away,Cloudy.,75,669724,RF,4,1,2,1,0,1,1,0,0,1,2,.217,.288,.350,.638,669724,brenanhanifee,Hanifee,Right,Brenan Hanifee,DET,1.84,3.07,29.1,104.0,91.0,100.0,0.863,7.06,1.84,8.28,0.61,1.88,0.242,0.473,0.242,0.319,0.445,88.0,95.0,97.0,,,,84.0,111.0,102.0,80.0,103.0,98.0,120.0,105.0,107.0,,,,,,,0.539,0.141,,,0.224,,0.096,-0.24,,,2.09,0.13,,-3.75,95.6,,,88.6,94.8,87.4,,0.231,0.246,0.088,,,,,,,,,,0.222,0.5,0.359,,,,0.227,0.409,0.133,0.333,0.778,0.391,,,,,,
2024/09/26,1:11 PM.,LAA,CWS,home,Sunny.,73,542881,LF,3,1,2,2,0,0,1,0,1,0,0,.196,.274,.268,.542,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.81,4.37,179.1,99.0,96.0,99.0,0.741,7.13,3.66,7.93,1.2,0.88,0.193,0.51,0.157,0.267,0.396,105.0,100.0,105.0,,,,89.0,99.0,96.0,66.0,95.0,83.0,80.0,141.0,142.0,99.0,100.0,96.0,,,,0.033,0.396,0.185,,0.013,0.001,0.371,-0.73,-0.41,,-3.87,-0.06,-3.14,1.32,89.4,84.3,,78.9,88.1,81.3,71.6,0.261,0.696,0.152,0.264,0.455,0.247,,,,,,,0.272,0.494,0.183,,,,0.0,0.0,0.357,0.185,0.259,0.396,,,,,,
2024/09/24,7:45 PM.,LAA,CWS,home,Cloudy.,64,686799,RF,3,1,1,1,0,0,0,0,0,0,0,.170,.241,.208,.449,686799,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,111.0,95.0,106.0,87.0,95.0,90.0,99.0,103.0,102.0,,,,,,,,,,0.724,0.062,,,,0.184,0.03,-1.87,,,0.89,,-1.06,-3.35,96.3,,,88.3,95.8,,85.0,0.286,0.411,0.121,,,,0.235,0.412,0.25,,,,0.167,0.5,0.364,,,,,,,0.333,0.444,0.067,,,,,,
2024/09/21,5:44 PM.,SD,CWS,away,Partly Cloudy.,70,527048,LF,4,0,0,0,0,0,0,0,0,4,0,.160,.236,.180,.416,527048,martinperez,"Pérez, M",Left,Martín Pérez,- - -,4.53,5.38,135.0,102.0,73.0,95.0,0.81,7.13,3.27,10.07,1.47,1.24,0.182,0.462,0.145,0.31,0.408,71.0,109.0,99.0,74.0,102.0,98.0,56.0,92.0,86.0,78.0,101.0,93.0,70.0,111.0,119.0,70.0,101.0,93.0,,,,0.358,0.053,0.221,,0.0,0.141,0.227,-8.23,-0.61,,0.57,-51.06,0.62,-1.27,91.3,87.9,,83.4,90.7,82.8,77.9,0.275,0.383,0.097,0.28,0.57,0.212,0.246,0.354,0.29,,,,0.458,0.917,0.043,,,,,,,0.28,0.448,0.341,,,,,,
2024/09/18,1:08 PM.,LAA,CWS,away,Partly Cloudy.,75,686799,CF,5,0,1,0,0,0,0,0,1,3,3,.174,.255,.196,.451,686799,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,111.0,95.0,106.0,87.0,95.0,90.0,99.0,103.0,102.0,,,,,,,,,,0.724,0.062,,,,0.184,0.03,-1.87,,,0.89,,-1.06,-3.35,96.3,,,88.3,95.8,,85.0,0.286,0.411,0.121,,,,0.235,0.412,0.25,,,,0.167,0.5,0.364,,,,,,,0.333,0.444,0.067,,,,,,
2024/09/16,6:39 PM.,LAA,CWS,away,Partly Cloudy.,68,672282,RF,5,1,1,0,0,0,0,0,0,2,1,.171,.244,.195,.439,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.7,4.14,87.1,99.0,95.0,99.0,0.735,11.23,3.92,10.1,1.85,0.88,0.252,0.479,0.132,0.364,0.439,92.0,96.0,97.0,89.0,100.0,103.0,86.0,96.0,92.0,,,,117.0,106.0,114.0,,,,,,,,0.468,,,0.244,0.146,0.142,-0.56,,,,-0.44,-3.5,-1.18,93.8,,,84.7,,86.2,75.0,,,,,,,0.37,0.804,0.216,,,,0.278,0.508,0.253,,,,0.22,0.39,0.368,0.351,0.544,0.319,,,,,,
2024/09/14,6:11 PM.,OAK,CWS,home,Partly Cloudy.,81,669372,LF,3,1,1,0,0,0,0,0,1,0,0,.167,.250,.194,.444,669372,jtginn,Ginn,Right,J.T. Ginn,OAK,4.24,4.59,34.0,100.0,100.0,99.0,0.738,7.68,2.38,9.53,1.06,1.45,0.245,0.431,0.137,0.284,0.429,93.0,96.0,97.0,,,,72.0,76.0,78.0,100.0,102.0,99.0,107.0,102.0,103.0,,,,,,,0.511,0.035,,,0.309,,0.146,1.23,,,-0.98,2.3,,-0.36,92.2,,,87.0,92.9,85.3,,0.319,0.472,0.205,,,,,,,,,,0.0,0.0,0.333,,,,0.158,0.237,0.355,0.389,0.556,0.375,,,,,,
2024/09/08,1:36 PM.,BOS,CWS,away,Sunny.,69,690916,DH,5,1,1,0,0,0,2,0,0,0,0,.152,.222,.182,.404,690916,richardfitts,Fitts,Right,Richard Fitts,BOS,1.74,4.0,20.2,104.0,112.0,106.0,0.872,3.92,3.05,8.27,0.0,0.83,0.406,0.319,0.145,0.261,0.443,,,,,,,102.0,98.0,97.0,,,,126.0,113.0,114.0,,,,107.0,103.0,116.0,,0.446,,0.108,0.446,,,1.1,,-3.33,,1.91,,,94.5,,88.7,,,85.2,,,,,,,,,,,0.231,0.231,0.13,0.2,0.267,0.162,0.5,0.5,0.143,0.259,0.296,0.149,,,,,,,,,
