date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSL/C,wCU/C,vFA,vFC,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,SI%,KC%,wSI/C,wKC/C,vSI,vKC,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff
2024/06/09,1:11 PM.,CWS,BOS,away,Sunny.,78,623167,1B,3,0,1,0,0,0,1,0,0,1,2,.206,.267,.299,.566,623167,chrisflexen,Flexen,Right,Chris Flexen,CHW,4.95,4.71,160.0,97.0,56.0,92.0,0.789,6.92,3.54,10.13,1.35,0.79,0.249,0.41,0.154,0.308,0.373,83.0,98.0,101.0,2.0,93.0,82.0,148.0,102.0,103.0,47.0,101.0,90.0,,,,0.37,0.261,,0.087,0.122,-0.64,-0.75,,-2.65,0.43,91.3,87.4,,80.0,72.0,0.261,0.473,0.132,,,,0.319,0.536,0.218,0.246,0.393,0.308,0.361,0.475,0.271,126.0,99.0,104.0,0.157,-1.32,81.3,0.257,0.436,0.379,74.0,108.0,87.0,,,,0.002,,2.01,,91.4,,,,,,,,,,
2024/06/07,7:10 PM.,CWS,BOS,away,Cloudy.,73,676979,DH,4,0,1,0,0,0,0,0,0,2,2,.202,.265,.298,.563,676979,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.58,2.85,146.0,103.0,102.0,103.0,0.694,12.88,2.03,7.58,1.11,1.25,0.259,0.394,0.175,0.33,0.458,,,,104.0,103.0,103.0,138.0,102.0,107.0,94.0,105.0,103.0,,,,0.537,0.284,,0.098,,1.66,-0.14,,-2.29,,97.2,91.6,,84.3,,0.198,0.295,0.314,,,,0.268,0.458,0.334,,,,,,,66.0,101.0,102.0,0.059,-0.36,91.0,0.184,0.289,0.339,123.0,98.0,97.0,,,,0.021,,4.04,,97.9,,0.154,0.154,0.321,0.228,0.561,0.422,,,
2024/06/04,7:16 PM.,ATL,BOS,home,Partly Cloudy.,72,608331,DH,3,0,0,0,0,0,0,0,0,2,4,.200,.266,.300,.566,608331,maxfried,Fried,Left,Max Fried,ATL,3.25,3.72,174.1,98.0,94.0,99.0,0.776,8.57,2.94,7.54,0.67,2.53,0.255,0.435,0.151,0.261,0.413,116.0,103.0,108.0,78.0,93.0,93.0,102.0,97.0,98.0,93.0,96.0,94.0,,,,0.327,0.054,,0.115,0.21,0.63,-1.33,,0.5,1.39,93.9,88.5,,82.1,74.6,0.266,0.36,0.182,,,,0.286,0.476,0.286,0.154,0.285,0.371,0.22,0.293,0.297,91.0,101.0,103.0,0.136,1.7,85.7,0.196,0.283,0.251,90.0,98.0,94.0,,,,0.158,,1.47,,93.6,,0.265,0.299,0.137,0.167,0.2,0.358,,,
2024/06/02,1:37 PM.,DET,BOS,home,Partly Cloudy.,83,663554,DH,5,0,0,0,0,0,0,0,0,2,4,.206,.274,.309,.583,663554,caseymize,Mize,Right,Casey Mize,DET,4.49,4.74,102.1,102.0,107.0,101.0,0.803,6.86,2.55,10.64,0.97,1.65,0.227,0.405,0.149,0.335,0.435,,,,106.0,105.0,102.0,107.0,101.0,102.0,,,,112.0,99.0,102.0,0.386,,0.181,0.277,,-0.47,,-1.06,-0.46,,95.5,,86.2,85.7,,0.306,0.428,0.205,0.286,0.405,0.322,,,,0.261,0.522,0.216,0.271,0.5,0.218,,,,,,,,,,92.0,108.0,105.0,102.0,90.0,94.0,0.08,0.075,1.3,-2.21,95.5,79.6,0.293,0.341,0.08,,,,,,
2024/05/30,7:22 PM.,DET,BOS,home,Partly Cloudy.,62,656427,1B,2,0,0,0,0,0,0,0,0,1,1,.217,.287,.326,.613,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,,,,92.0,104.0,101.0,95.0,102.0,102.0,,,,,,,0.441,,,0.29,,0.5,,,0.02,,93.3,,,84.7,,0.245,0.401,0.238,,,,,,,0.164,0.219,0.436,0.222,0.455,0.363,87.0,83.0,81.0,0.027,-0.55,85.7,0.111,0.333,0.111,75.0,85.0,72.0,101.0,103.0,107.0,0.023,0.218,-5.05,2.19,90.6,77.4,0.6,1.2,0.4,,,,,,
2024/05/29,6:36 PM.,BAL,BOS,away,Overcast.,67,669203,PH,1,0,0,0,0,0,0,0,0,0,0,.222,.293,.333,.626,669203,corbinburnes,Burnes,Right,Corbin Burnes,BAL,2.92,3.34,194.1,103.0,120.0,107.0,0.735,8.38,2.22,7.64,1.02,1.4,0.21,0.425,0.19,0.289,0.399,109.0,101.0,106.0,,,,133.0,105.0,120.0,125.0,105.0,108.0,,,,,0.45,,0.146,0.215,,1.37,,0.7,0.44,,95.3,,87.2,80.3,,,,,,,0.251,0.362,0.19,0.2,0.326,0.378,0.196,0.268,0.463,110.0,98.0,103.0,0.11,0.2,89.2,0.194,0.339,0.377,104.0,95.0,89.0,,,,0.078,,-0.5,,97.0,,0.235,0.412,0.157,0.125,0.5,0.457,,,
2024/05/27,1:05 PM.,BAL,BOS,away,Overcast.,82,608344,DH,4,1,1,0,0,0,0,0,1,0,2,.225,.296,.337,.633,608344,coleirvin,"Irvin, C",Left,Cole Irvin,- - -,5.11,5.78,111.0,101.0,79.0,94.0,0.849,6.32,2.35,10.7,1.46,0.96,0.251,0.414,0.121,0.34,0.478,102.0,98.0,102.0,62.0,99.0,85.0,85.0,121.0,119.0,86.0,102.0,91.0,,,,0.264,0.109,,0.041,0.252,-1.16,-0.64,,-3.18,-0.38,91.9,85.9,,78.1,77.3,0.296,0.592,0.163,,,,0.327,0.551,0.181,0.283,0.424,0.189,0.25,0.438,0.196,65.0,108.0,100.0,0.134,-1.52,84.9,0.282,0.474,0.243,75.0,101.0,89.0,,,,0.2,,-0.49,,91.5,,0.307,0.485,0.088,,,,,,
2024/05/26,1:37 PM.,MIL,BOS,home,Sunny.,81,668964,DH,4,0,0,0,0,0,0,0,0,1,4,.224,.290,.341,.631,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,73.0,99.0,104.0,87.0,105.0,100.0,92.0,106.0,103.0,96.0,100.0,91.0,,,,0.401,0.23,,0.21,0.041,0.58,-0.75,,1.43,-3.19,92.9,89.2,,85.5,77.8,0.239,0.436,0.194,,,,0.336,0.518,0.123,0.421,0.579,0.194,0.198,0.255,0.248,109.0,86.0,90.0,0.114,1.18,81.1,0.083,0.083,0.444,71.0,92.0,74.0,,,,0.005,,11.28,,91.5,,0.0,0.0,0.0,,,,,,
2024/05/25,4:11 PM.,MIL,BOS,home,Partly Cloudy.,77,657649,PH,1,0,0,0,0,0,0,0,0,1,1,.235,.303,.358,.661,657649,jaredkoenig,Koenig,Left,Jared Koenig,MIL,2.47,3.49,62.0,103.0,90.0,100.0,0.789,9.15,3.34,7.84,0.58,1.27,0.23,0.408,0.218,0.282,0.484,96.0,112.0,108.0,83.0,92.0,94.0,,,,88.0,102.0,98.0,,,,0.006,0.252,,,0.131,1.53,-0.39,,,0.27,96.8,90.3,,,81.1,,,,,,,0.254,0.424,0.186,0.2,0.2,0.442,,,,70.0,98.0,95.0,0.039,1.61,85.5,0.143,0.143,0.524,92.0,101.0,98.0,,,,0.572,,1.13,,95.0,,0.231,0.299,0.175,,,,,,
2024/05/24,7:13 PM.,MIL,BOS,home,Clear.,82,657649,1B,1,0,0,0,0,0,0,0,0,0,0,.238,.307,.363,.670,657649,jaredkoenig,Koenig,Left,Jared Koenig,MIL,2.47,3.49,62.0,103.0,90.0,100.0,0.789,9.15,3.34,7.84,0.58,1.27,0.23,0.408,0.218,0.282,0.484,96.0,112.0,108.0,83.0,92.0,94.0,,,,88.0,102.0,98.0,,,,0.006,0.252,,,0.131,1.53,-0.39,,,0.27,96.8,90.3,,,81.1,,,,,,,0.254,0.424,0.186,0.2,0.2,0.442,,,,70.0,98.0,95.0,0.039,1.61,85.5,0.143,0.143,0.524,92.0,101.0,98.0,,,,0.572,,1.13,,95.0,,0.231,0.299,0.175,,,,,,
