date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024/07/30,6:45 PM.,SF,OAK,away,Partly Cloudy.,63,592662,3B,4,0,0,0,0,0,0,0,0,1,3,.146,.276,.262,.538,592662,robbieray,Ray,Left,Robbie Ray,SFG,4.7,3.72,30.2,95.0,102.0,95.0,0.667,12.62,4.4,5.87,1.76,0.53,0.344,0.391,0.281,0.219,0.377,,,,96.0,98.0,96.0,,,,99.0,91.0,91.0,,0.528,0.322,,0.46,,0.18,,94.1,,,88.4,0.167,0.367,0.264,,,,,,,,,,0.148,0.222,0.458,,,,,,,,,,,,,,,,0.316,0.684,0.489,133.0,96.0,100.0,,,,,0.15,,-2.65,,83.5,,,,,,
2024/07/27,6:38 PM.,LAA,OAK,away,Clear.,80,542881,3B,3,0,0,0,0,0,0,0,1,1,3,.152,.286,.273,.559,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.81,4.37,179.1,99.0,96.0,99.0,0.741,7.13,3.66,7.93,1.2,0.88,0.193,0.51,0.157,0.267,0.396,105.0,100.0,105.0,89.0,99.0,96.0,66.0,95.0,83.0,80.0,141.0,142.0,0.033,0.396,0.013,0.371,-0.73,-3.87,-0.06,1.32,89.4,78.9,88.1,81.3,0.272,0.494,0.183,0.185,0.259,0.396,0.261,0.696,0.152,,,,0.0,0.0,0.357,99.0,100.0,96.0,0.185,-0.41,84.3,0.264,0.455,0.247,,,,0.001,-3.14,71.6,,,,,,,,,,,,,,,,,,,,,
2024/07/25,6:39 PM.,LAA,OAK,away,Clear.,88,670046,3B,2,0,0,0,0,0,0,0,1,1,2,.156,.287,.281,.568,670046,kennyrosenberg,Rosenberg,Left,Kenny Rosenberg,LAA,6.0,5.9,24.0,98.0,78.0,93.0,0.782,6.38,3.0,10.5,1.88,0.85,0.152,0.443,0.114,0.38,0.424,92.0,102.0,99.0,74.0,93.0,87.0,,,,,,,,0.486,,0.328,-1.59,,,1.81,90.2,81.1,,,0.341,0.568,0.19,0.189,0.405,0.29,,,,,,,,,,55.0,102.0,100.0,0.136,-2.78,83.6,0.357,0.571,0.172,92.0,98.0,92.0,0.05,-3.34,76.3,,,,,,,,,,,,,,,,,,,,,
2024/07/22,6:40 PM.,HOU,OAK,home,Clear.,75,681293,3B,3,0,0,0,0,0,0,0,0,1,1,.160,.286,.287,.573,681293,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.53,4.05,145.0,99.0,95.0,99.0,0.739,10.61,4.03,8.63,1.3,0.85,0.247,0.437,0.147,0.314,0.444,89.0,97.0,90.0,91.0,100.0,99.0,,,,117.0,93.0,101.0,,0.41,0.108,0.086,-1.33,,0.99,-2.52,94.1,85.5,,80.8,0.303,0.528,0.198,0.395,0.512,0.378,,,,0.113,0.226,0.386,,,,66.0,98.0,96.0,0.196,0.57,88.2,0.248,0.444,0.228,118.0,98.0,104.0,0.2,0.8,78.4,0.171,0.282,0.424,,,,,,,,,,,,,,,,,,
2024/07/21,1:07 PM.,LAA,OAK,home,Partly Cloudy.,63,608334,3B,0,0,0,0,0,0,0,0,0,0,0,.165,.294,.297,.591,608334,carsonfulmer,"Fulmer, C",Right,Carson Fulmer,LAA,4.15,4.74,86.2,101.0,94.0,98.0,0.772,8.41,4.15,8.41,1.14,1.04,0.214,0.429,0.115,0.361,0.393,90.0,104.0,102.0,85.0,105.0,103.0,88.0,100.0,94.0,114.0,96.0,98.0,0.237,0.234,0.204,0.27,0.19,0.39,1.22,-0.64,93.1,87.8,92.6,87.0,0.224,0.447,0.195,0.228,0.347,0.367,0.299,0.39,0.118,0.286,0.714,0.458,0.157,0.294,0.284,,,,,,,,,,109.0,102.0,103.0,0.056,-7.73,82.4,0.471,1.118,0.393,,,,,,,,,,,,,,,,,,
2024/07/20,1:07 PM.,LAA,OAK,home,Sunny.,75,686799,3B,2,1,0,0,0,0,0,0,2,0,0,.165,.294,.297,.591,686799,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,87.0,95.0,90.0,99.0,103.0,102.0,,,,0.724,0.062,,0.03,-1.87,0.89,,-3.35,96.3,88.3,95.8,,0.167,0.5,0.364,0.333,0.444,0.067,0.286,0.411,0.121,,,,,,,,,,,,,,,,111.0,95.0,106.0,0.184,-1.06,85.0,0.235,0.412,0.25,,,,,,,,,,,,,,,,,,
2024/07/19,6:40 PM.,LAA,OAK,home,Clear.,80,656288,3B,3,1,1,0,0,0,1,0,0,0,1,.169,.286,.303,.589,656288,griffincanning,Canning,Right,Griffin Canning,LAA,5.19,4.74,171.2,98.0,88.0,97.0,0.772,6.82,3.46,9.12,1.63,1.04,0.225,0.434,0.128,0.367,0.401,96.0,102.0,102.0,73.0,94.0,86.0,76.0,89.0,78.0,107.0,100.0,110.0,0.01,0.376,0.24,0.267,-0.85,-6.83,-0.91,0.48,93.4,88.6,93.0,87.7,0.251,0.529,0.147,0.259,0.387,0.288,0.429,0.857,0.0,,,,0.284,0.444,0.331,,,,,,,,,,75.0,96.0,96.0,0.107,-0.86,80.6,0.271,0.438,0.241,,,,,,,,,,,,,,,,,,
2024/07/14,1:36 PM.,PHI,OAK,away,Partly Cloudy.,94,689147,3B,4,0,0,0,0,0,0,0,1,1,0,.163,.284,.302,.586,689147,orionkerkering,Kerkering,Right,Orion Kerkering,PHI,2.29,3.19,63.0,102.0,128.0,111.0,0.747,10.57,2.43,7.29,0.29,2.13,0.241,0.418,0.133,0.253,0.45,,,,114.0,102.0,104.0,99.0,97.0,100.0,143.0,102.0,118.0,0.152,0.292,0.557,,0.66,1.52,0.75,,97.6,,96.4,86.2,0.224,0.328,0.278,,,,0.213,0.255,0.16,0.226,0.306,0.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/13,4:06 PM.,PHI,OAK,away,Partly Cloudy.,88,663969,3B,4,1,2,0,0,0,1,0,0,1,1,.171,.289,.317,.606,663969,tylerphillips,Phillips,Right,Tyler Phillips,PHI,6.87,5.97,36.2,100.0,94.0,99.0,0.799,6.87,1.72,11.05,2.21,1.13,0.122,0.496,0.171,0.358,0.419,82.0,110.0,104.0,68.0,92.0,90.0,80.0,101.0,91.0,121.0,95.0,102.0,0.311,0.187,0.292,0.066,3.13,-1.15,-2.49,-9.69,92.7,85.7,93.7,82.5,0.219,0.313,0.214,0.6,1.1,0.182,0.35,0.7,0.118,0.311,0.511,0.329,,,,,,,,,,,,,107.0,112.0,116.0,0.144,-0.37,81.0,0.174,0.304,0.222,,,,,,,,,,,,,,,,,,
2024/07/12,6:42 PM.,PHI,OAK,away,Drizzle.,78,624133,3B,4,0,0,0,0,0,0,0,0,1,0,.154,.280,.308,.588,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.67,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.154,0.283,0.395,73.0,100.0,98.0,68.0,101.0,91.0,87.0,106.0,104.0,22.0,85.0,77.0,0.315,0.195,0.001,0.163,0.67,0.84,-4.62,-0.63,91.8,80.0,90.8,81.3,0.224,0.327,0.18,0.229,0.323,0.35,0.27,0.381,0.101,,,,,,,101.0,98.0,93.0,0.121,-1.68,86.5,0.302,0.642,0.162,84.0,107.0,108.0,0.205,1.02,74.4,0.189,0.342,0.339,,,,,,,,,,,,,,,,,,
2024/07/11,7:10 PM.,BOS,OAK,away,Clear.,85,656557,3B,3,0,1,0,0,0,0,0,0,0,1,.162,.292,.324,.616,656557,tannerhouck,Houck,Right,Tanner Houck,BOS,3.12,4.11,178.2,100.0,108.0,104.0,0.789,7.76,2.42,7.86,0.55,2.34,0.193,0.45,0.126,0.305,0.425,,,,,,,93.0,102.0,97.0,116.0,98.0,108.0,0.324,,0.414,,,0.67,0.54,,,,93.5,83.2,,,,,,,0.27,0.325,0.142,0.23,0.357,0.302,,,,95.0,93.0,93.0,0.015,-0.95,87.1,0.2,0.4,0.235,,,,,,,,,,,,,116.0,103.0,109.0,0.248,,1.74,,88.4,,0.195,0.265,0.208,,,
2024/07/10,7:11 PM.,BOS,OAK,away,Partly Cloudy.,83,601713,3B,4,0,0,0,0,0,0,0,0,1,2,.155,.291,.324,.615,601713,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,4.14,3.51,145.2,104.0,133.0,108.0,0.775,10.63,2.22,7.91,1.73,0.69,0.238,0.42,0.142,0.378,0.449,,,,122.0,105.0,108.0,,,,155.0,103.0,111.0,,0.486,0.291,,0.73,,-0.1,,93.9,,,82.6,0.239,0.399,0.218,,,,,,,0.224,0.436,0.35,0.143,0.393,0.326,104.0,96.0,82.0,0.059,-4.63,88.3,0.394,0.879,0.211,118.0,104.0,104.0,0.163,0.61,80.0,0.167,0.4,0.206,,,,,,,,,,,,,,,,,,
2024/07/09,7:12 PM.,BOS,OAK,away,Clear.,86,678394,3B,3,0,0,0,0,0,0,0,1,1,1,.164,.305,.343,.648,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.49,4.56,162.1,99.0,101.0,102.0,0.753,8.48,3.55,8.7,1.05,1.86,0.219,0.384,0.152,0.312,0.405,88.0,99.0,97.0,74.0,108.0,101.0,103.0,100.0,101.0,114.0,98.0,110.0,0.403,0.048,0.28,0.269,0.25,-0.24,-0.58,0.15,95.6,87.6,95.7,86.8,0.12,0.16,0.218,0.177,0.354,0.369,0.309,0.44,0.111,,,,0.268,0.401,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/07,1:07 PM.,BAL,OAK,home,Sunny.,76,680570,3B,3,0,1,0,0,0,0,0,0,0,1,.172,.308,.359,.667,680570,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,3.86,3.72,116.2,102.0,119.0,107.0,0.728,10.03,2.78,8.41,1.16,1.07,0.219,0.419,0.147,0.325,0.452,140.0,101.0,108.0,113.0,102.0,106.0,133.0,102.0,111.0,118.0,101.0,108.0,0.012,0.465,0.158,0.21,-0.38,5.3,-0.96,1.63,96.1,83.1,96.1,86.5,0.291,0.413,0.269,0.161,0.306,0.348,0.167,0.333,0.294,,,,0.25,0.563,0.361,,,,,,,,,,114.0,103.0,107.0,0.155,0.29,81.3,0.26,0.38,0.241,,,,,,,,,,,,,,,,,,
2024/07/06,1:07 PM.,BAL,OAK,home,Sunny.,82,700249,3B,4,3,3,2,0,0,1,0,1,0,1,.164,.307,.361,.668,700249,cadepovich,Povich,Left,Cade Povich,BAL,5.2,4.11,79.2,99.0,87.0,97.0,0.788,7.79,3.84,9.04,1.36,0.75,0.22,0.447,0.179,0.289,0.454,63.0,101.0,95.0,81.0,97.0,93.0,80.0,98.0,90.0,113.0,107.0,108.0,0.084,0.407,0.13,0.109,0.56,0.86,-0.43,-2.05,92.4,86.1,91.5,82.6,0.223,0.379,0.185,0.25,0.542,0.235,0.2,0.24,0.103,0.232,0.411,0.276,,,,97.0,94.0,94.0,0.075,-3.12,88.3,0.333,0.81,0.288,93.0,101.0,104.0,0.196,-2.26,76.3,0.333,0.517,0.269,,,,,,,,,,,,,,,,,,
2024/07/05,6:40 PM.,BAL,OAK,home,Clear.,76,544150,3B,3,0,0,0,0,0,0,0,0,2,1,.123,.271,.298,.569,544150,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.7,4.05,133.2,100.0,89.0,97.0,0.786,7.27,2.9,8.75,1.14,0.8,0.241,0.426,0.136,0.304,0.391,99.0,100.0,106.0,90.0,101.0,96.0,,,,,,,,0.5,,0.172,-0.36,,,-0.5,94.8,86.1,,,0.276,0.469,0.228,0.274,0.434,0.228,,,,,,,,,,74.0,99.0,92.0,0.195,0.73,86.3,0.24,0.365,0.308,94.0,99.0,98.0,0.132,0.41,79.0,0.174,0.348,0.252,,,,,,,,,,,,,,,,,,
2024/07/04,1:07 PM.,LAA,OAK,home,Sunny.,81,672710,3B,3,1,0,0,0,0,0,0,1,1,2,.130,.284,.315,.599,672710,roansycontreras,Contreras,Right,Roansy Contreras,- - -,4.35,4.94,68.1,98.0,100.0,98.0,0.807,7.38,4.08,8.3,1.45,1.1,0.232,0.42,0.164,0.353,0.452,78.0,92.0,93.0,93.0,100.0,96.0,95.0,93.0,81.0,118.0,102.0,107.0,0.101,0.376,0.324,0.105,1.22,-1.42,-1.41,-1.83,94.7,89.0,94.5,84.5,0.231,0.346,0.16,0.235,0.441,0.231,0.37,0.407,0.08,0.1,0.25,0.302,0.274,0.645,0.258,,,,,,,,,,88.0,97.0,101.0,0.094,1.14,77.9,0.167,0.25,0.393,,,,,,,,,,,,,,,,,,
2024/07/03,6:41 PM.,LAA,OAK,home,Clear.,84,669721,3B,4,0,1,0,0,0,2,0,0,0,1,.137,.286,.333,.619,669721,davisdaniel,Daniel,Right,Davis Daniel,LAA,6.23,4.34,30.1,105.0,81.0,101.0,0.808,8.31,1.78,11.57,1.48,0.84,0.293,0.424,0.162,0.313,0.435,74.0,112.0,104.0,61.0,107.0,98.0,,,,125.0,101.0,108.0,,0.48,0.238,0.205,-1.06,,-0.4,-2.86,91.5,84.6,,81.8,0.328,0.586,0.147,0.4,0.533,0.226,,,,,,,0.226,0.419,0.239,,,,,,,,,,94.0,89.0,85.0,0.077,2.13,74.3,0.125,0.25,0.333,,,,,,,,,,,,,,,,,,
