date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CU%,CH%,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFC,vCH,vSI,vSL,vCU,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ KC,Loc+ KC,Pit+ KC,FA%,KC%,wFA/C,wKC/C,vFA,vKC,FF_ba,FF_slg,FF_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024/08/05,6:41 PM.,MIA,CIN,away,Roof Closed.,72,682610,LF,0,0,0,0,0,0,0,0,0,0,0,.154,.214,.154,.368,682610,rodderymunoz,"Muñoz, Rod",Right,Roddery Muñoz,MIA,6.53,6.83,82.2,96.0,92.0,93.0,0.788,7.62,4.57,9.69,2.83,0.75,0.233,0.397,0.134,0.397,0.4,57.0,96.0,89.0,,,,93.0,94.0,91.0,103.0,94.0,100.0,89.0,96.0,90.0,0.228,0.212,0.198,,0.093,-0.08,-0.99,-2.57,,-2.82,89.8,89.3,94.9,85.7,,0.229,0.471,0.313,,,,0.261,0.536,0.328,0.27,0.595,0.306,0.27,0.554,0.109,,,,96.0,97.0,94.0,,,,0.269,,-3.28,,95.4,,0.325,0.714,0.175,,,,,,,,,,,,
2024/08/04,12:06 PM.,SF,CIN,home,Partly Cloudy.,85,592662,RF,0,0,0,0,0,0,0,0,1,0,0,.154,.214,.154,.368,592662,robbieray,Ray,Left,Robbie Ray,SFG,4.7,3.72,30.2,95.0,102.0,95.0,0.667,12.62,4.4,5.87,1.76,0.53,0.344,0.391,0.281,0.219,0.377,,,,,,,,,,99.0,91.0,91.0,,,,,,0.322,,,,,0.18,,,,,,88.4,,,,,0.316,0.684,0.489,0.148,0.222,0.458,,,,,,,,,,96.0,98.0,96.0,133.0,96.0,100.0,0.528,0.15,0.46,-2.65,94.1,83.5,0.167,0.367,0.264,,,,,,,,,,,,
2024/05/22,6:40 PM.,MIA,MIL,away,Roof Closed.,72,666200,DH,0,0,0,0,0,0,0,0,0,0,0,.154,.185,.154,.339,666200,jesusluzardo,Luzardo,Left,Jesús Luzardo,MIA,5.0,4.59,66.2,98.0,95.0,98.0,0.718,7.83,2.97,8.24,1.22,0.92,0.302,0.438,0.12,0.281,0.4,88.0,97.0,95.0,31.0,40.0,52.0,87.0,90.0,88.0,97.0,98.0,108.0,,,,0.083,,0.292,0.002,0.229,,-0.77,0.14,-3.5,1.58,,86.3,94.6,83.5,81.6,,,,,,,0.2,0.347,0.48,0.207,0.328,0.407,0.381,0.571,0.125,,,,98.0,100.0,95.0,,,,0.394,,-0.64,,95.2,,0.28,0.484,0.111,,,,,,,,,,,,
2024/05/21,6:41 PM.,MIA,MIL,away,Roof Closed.,72,669432,RF,0,0,0,0,0,0,0,0,0,0,0,.154,.185,.154,.339,669432,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,- - -,4.92,5.18,124.1,100.0,83.0,98.0,0.811,7.02,4.05,10.13,1.01,1.38,0.215,0.422,0.131,0.358,0.392,111.0,108.0,115.0,,,,86.0,97.0,92.0,74.0,93.0,91.0,,,,0.24,,0.206,,0.238,,-0.36,-1.99,,-1.32,,85.6,91.5,82.4,,,,,,,,0.312,0.506,0.259,0.295,0.396,0.238,0.292,0.492,0.1,,,,66.0,101.0,93.0,,,,0.317,,-0.26,,91.9,,0.252,0.467,0.234,,,,,,,,,,,,
2024/05/20,6:41 PM.,MIA,MIL,away,Roof Closed.,72,677960,CF,3,0,0,0,0,0,0,0,0,1,2,.154,.185,.154,.339,677960,ryanweathers,Weathers,Left,Ryan Weathers,MIA,3.63,4.2,86.2,96.0,94.0,97.0,0.761,8.31,2.49,8.1,1.14,1.3,0.264,0.413,0.193,0.295,0.41,84.0,102.0,103.0,,,,82.0,98.0,95.0,120.0,87.0,98.0,,,,0.121,,0.222,,0.26,,0.13,0.49,,1.39,,86.4,94.5,82.9,,,,,,,,0.25,0.5,0.5,0.193,0.367,0.379,0.259,0.5,0.063,0.118,0.176,0.51,96.0,97.0,96.0,,,,0.397,,-0.81,,95.9,,0.319,0.451,0.141,,,,,,,,,,,,
2024/05/03,1:20 PM.,CHC,MIL,away,Partly Cloudy.,61,669713,LF,0,0,0,0,0,0,0,0,0,0,0,.174,.208,.174,.382,669713,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.86,4.17,67.2,101.0,92.0,99.0,0.76,8.91,2.79,7.45,1.6,1.12,0.28,0.399,0.212,0.264,0.404,92.0,102.0,104.0,,,,91.0,100.0,96.0,134.0,101.0,112.0,76.0,98.0,98.0,0.112,0.088,0.406,,0.03,3.38,-0.56,0.59,,1.66,88.1,87.2,93.5,82.4,,0.167,0.167,0.213,,,,,,,0.125,0.125,0.25,0.273,0.545,0.121,0.174,0.348,0.433,51.0,101.0,86.0,,,,0.365,,-0.68,,94.6,,0.254,0.465,0.143,,,,,,,,,,,,
2024/05/01,12:10 PM.,TB,MIL,home,Sunny.,68,621107,LF,1,0,0,0,0,0,0,0,0,0,0,.174,.208,.174,.382,621107,zacheflin,Eflin,Right,Zach Eflin,- - -,3.59,3.67,165.1,107.0,92.0,103.0,0.808,7.29,1.31,9.04,1.2,1.14,0.235,0.446,0.174,0.323,0.45,87.0,101.0,103.0,108.0,112.0,108.0,91.0,109.0,105.0,122.0,107.0,113.0,85.0,105.0,98.0,0.282,0.282,0.097,0.188,0.061,1.54,0.0,0.46,-1.27,0.21,88.2,85.6,91.7,79.7,78.8,0.214,0.345,0.223,0.291,0.472,0.333,,,,0.188,0.354,0.105,0.293,0.404,0.133,0.236,0.473,0.203,61.0,105.0,94.0,,,,0.09,,-0.64,,92.4,,0.236,0.418,0.248,,,,,,,,,,,,
2024/04/30,6:40 PM.,TB,MIL,home,Roof Closed.,67,641302,LF,4,0,2,0,0,0,0,1,0,1,3,.182,.217,.182,.399,641302,tyleralexander,"Alexander, T",Left,Tyler Alexander,TBR,5.1,4.68,107.2,106.0,94.0,104.0,0.815,7.52,2.01,9.2,1.92,0.62,0.28,0.372,0.155,0.351,0.441,102.0,103.0,103.0,,,,61.0,113.0,105.0,114.0,107.0,109.0,98.0,101.0,99.0,0.131,0.318,0.191,,0.137,-0.5,-1.02,1.43,,-2.94,85.0,81.3,89.7,77.8,,0.265,0.549,0.216,,,,,,,0.339,0.5,0.181,0.288,0.492,0.109,0.227,0.364,0.188,85.0,110.0,103.0,,,,0.223,,-0.2,,89.6,,0.232,0.495,0.244,,,,,,,,,,,,
2024/04/29,6:40 PM.,TB,MIL,home,Roof Closed.,67,686752,LF,0,0,0,0,0,0,0,0,0,0,0,.111,.158,.111,.269,686752,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.6,3.64,130.0,99.0,116.0,106.0,0.73,9.83,3.32,7.06,1.18,0.77,0.276,0.405,0.17,0.308,0.422,118.0,105.0,117.0,140.0,75.0,84.0,,,,119.0,95.0,106.0,100.0,103.0,100.0,,0.06,0.173,0.027,0.235,-0.88,,0.51,-1.47,-0.47,91.6,85.8,,89.0,80.6,0.276,0.586,0.141,0.167,0.167,0.5,0.267,0.407,0.317,0.216,0.353,0.286,,,,,,,115.0,98.0,102.0,,,,0.506,,1.07,,94.9,,0.181,0.33,0.316,,,,,,,,,,,,
2024/04/28,1:10 PM.,NYY,MIL,home,Roof Closed.,65,573186,PH,1,0,0,0,0,0,0,0,0,0,2,.111,.158,.111,.269,573186,marcusstroman,Stroman,Right,Marcus Stroman,NYY,4.31,4.94,154.2,96.0,92.0,94.0,0.82,6.58,3.49,9.72,1.11,1.6,0.207,0.4,0.148,0.325,0.359,,,,94.0,89.0,94.0,90.0,94.0,90.0,93.0,102.0,102.0,106.0,101.0,99.0,0.351,0.182,0.16,0.165,,-0.26,-0.03,-2.37,-0.03,,88.1,,90.0,85.3,81.3,0.296,0.519,0.187,0.0,0.0,0.265,0.258,0.386,0.272,,,,0.306,0.466,0.12,,,,48.0,88.0,79.0,,,,0.032,,-4.01,,89.9,,0.455,0.636,0.259,82.0,99.0,93.0,0.111,-0.31,83.3,0.235,0.309,0.241,0.309,0.515,0.313
2024/04/27,6:10 PM.,NYY,MIL,home,Roof Closed.,73,607074,LF,3,0,0,0,0,0,0,0,0,2,2,.118,.167,.118,.285,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,129.0,92.0,106.0,103.0,86.0,93.0,,,,144.0,104.0,113.0,100.0,83.0,82.0,,0.035,0.26,0.083,0.129,-3.11,,-0.4,-1.32,1.44,91.8,85.5,,86.8,81.0,0.353,0.647,0.255,0.281,0.531,0.276,0.199,0.361,0.393,0.188,0.247,0.495,,,,,,,114.0,98.0,101.0,,,,0.494,,0.05,,95.4,,0.262,0.514,0.214,,,,,,,,,,,,
2024/04/26,7:10 PM.,NYY,MIL,home,Roof Closed.,63,661563,LF,0,0,0,0,0,0,0,0,0,0,0,.143,.200,.143,.343,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,,,,,,,108.0,94.0,105.0,,,,,,0.259,,0.253,,,1.37,,0.37,,91.6,,87.5,,,,,,,,0.171,0.312,0.315,0.179,0.282,0.269,,,,,,,128.0,96.0,102.0,,,,0.488,,0.06,,96.6,,0.205,0.395,0.285,,,,,,,,,,,,
2024/04/25,12:36 PM.,PIT,MIL,away,Cloudy.,42,656605,LF,4,0,0,0,0,0,0,0,0,1,4,.143,.200,.143,.343,656605,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,4.25,4.31,178.0,101.0,99.0,100.0,0.805,8.39,2.53,9.2,1.16,1.07,0.285,0.376,0.135,0.331,0.442,88.0,103.0,102.0,111.0,96.0,104.0,82.0,102.0,94.0,129.0,100.0,109.0,96.0,99.0,98.0,0.22,0.122,0.25,0.096,0.008,-1.0,-0.26,-1.04,-0.11,-12.5,90.4,89.8,93.4,84.7,78.4,0.272,0.593,0.195,0.233,0.442,0.293,0.338,0.636,0.248,0.667,1.333,0.0,0.266,0.405,0.125,0.204,0.331,0.25,86.0,103.0,96.0,,,,0.304,,0.3,,94.4,,0.257,0.4,0.24,,,,,,,,,,,,
2024/04/24,6:42 PM.,PIT,MIL,away,Cloudy.,51,676596,LF,0,0,0,0,0,0,0,0,0,0,0,.200,.273,.200,.473,676596,joshfleming,Fleming,Left,Josh Fleming,PIT,4.02,4.31,31.1,96.0,67.0,89.0,0.843,4.88,4.02,9.77,0.86,2.04,0.198,0.396,0.179,0.292,0.331,69.0,100.0,89.0,100.0,91.0,89.0,50.0,90.0,86.0,,,,83.0,101.0,93.0,0.378,0.256,,0.062,0.301,1.26,-2.42,,-5.88,1.56,87.2,83.2,90.4,,77.9,0.261,0.304,0.164,0.333,0.778,0.294,,,,0.156,0.2,0.159,0.4,0.578,0.218,,,,142.0,135.0,123.0,,,,0.004,,1.97,,89.8,,,,,,,,,,,,,,,,
2024/04/23,6:43 PM.,PIT,MIL,away,Cloudy.,65,663559,LF,2,0,1,0,0,0,0,0,0,1,0,.200,.273,.200,.473,663559,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.81,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,,,,100.0,99.0,98.0,99.0,101.0,99.0,91.0,96.0,96.0,,,,0.142,,0.216,0.152,,,1.23,0.27,-1.24,,,,92.0,86.1,77.7,,,,0.305,0.61,0.207,0.245,0.304,0.287,,,,0.26,0.448,0.157,,,,85.0,100.0,97.0,,,,0.484,,0.38,,91.8,,0.255,0.41,0.166,43.0,95.0,70.0,0.006,-7.04,86.9,0.333,1.333,0.125,,,
2024/04/22,6:42 PM.,PIT,MIL,away,Clear.,59,683003,LF,1,0,0,0,0,0,0,0,0,1,0,.125,.222,.125,.347,683003,jaredjones,Jones,Right,Jared Jones,PIT,4.14,4.05,121.2,102.0,127.0,108.0,0.726,9.76,2.88,7.84,1.33,0.93,0.238,0.39,0.149,0.335,0.458,113.0,99.0,106.0,95.0,96.0,98.0,,,,130.0,103.0,111.0,,,,,,0.348,0.093,0.066,,,1.12,-2.53,-2.91,,89.9,,88.8,81.5,,,,0.348,0.87,0.327,0.208,0.354,0.373,0.317,0.561,0.229,,,,,,,132.0,102.0,109.0,,,,0.493,,0.15,,97.3,,0.224,0.425,0.257,,,,,,,,,,,,
