date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2024/09/04,6:40 PM.,CHC,PIT,away,Clear.,73,684007,C,3,0,0,0,0,0,0,0,0,1,0,.144,.242,.212,.454,684007,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.91,3.39,173.1,105.0,90.0,103.0,0.739,9.03,1.45,7.74,1.4,0.82,0.217,0.45,0.166,0.309,0.438,82.0,105.0,104.0,70.0,96.0,97.0,96.0,104.0,106.0,76.0,102.0,91.0,103.0,105.0,104.0,0.021,0.52,0.077,0.032,0.039,0.36,0.77,0.14,-0.59,0.48,91.7,81.6,88.7,81.6,72.7,0.229,0.47,0.176,,,,0.194,0.226,0.333,0.25,0.333,0.37,81.0,106.0,100.0,0.306,1.39,82.9,0.267,0.311,0.347,0.204,0.283,0.431,0.444,0.556,0.0,50.0,107.0,96.0,0.005,-6.3,89.8,0.333,1.333,0.143,,,,0.0,-76.55,53.9,,,
2024/09/02,6:40 PM.,CHC,PIT,away,Clear.,70,592791,C,3,0,1,0,0,0,0,0,0,1,2,.149,.248,.218,.466,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.27,4.05,165.1,107.0,85.0,102.0,0.823,6.8,1.8,8.38,1.14,0.99,0.223,0.445,0.136,0.328,0.468,78.0,102.0,95.0,104.0,111.0,113.0,66.0,106.0,96.0,74.0,104.0,92.0,104.0,116.0,120.0,0.109,0.296,0.155,0.147,0.043,-0.27,1.47,0.65,-1.04,-2.45,92.3,86.0,92.5,80.4,79.5,0.287,0.497,0.147,,,,0.273,0.576,0.148,0.219,0.297,0.085,,,,,,,0.183,0.296,0.317,,,,0.232,0.424,0.23,92.0,103.0,98.0,0.251,2.12,86.5,0.252,0.31,0.191,,,,,,,,,
2024/09/01,1:40 PM.,CLE,PIT,away,Sunny.,78,502171,C,3,0,0,0,0,0,0,0,0,0,0,.143,.246,.214,.460,502171,alexcobb,Cobb,Right,Alex Cobb,CLE,2.76,5.01,16.1,105.0,107.0,107.0,0.867,5.51,1.65,7.71,0.55,2.31,0.163,0.449,0.122,0.367,0.401,,,,,,,,,,83.0,105.0,104.0,,,,0.43,,,,,,0.29,,,,,,93.8,,,,,,,,,,,,0.25,0.417,0.059,123.0,111.0,114.0,0.438,2.81,89.2,,,,0.2,0.267,0.2,0.5,0.5,0.364,,,,,,,,,,130.0,89.0,97.0,0.132,-1.41,83.2,,,
2024/08/31,6:10 PM.,CLE,PIT,away,Cloudy.,76,571510,C,4,0,0,0,0,0,0,0,0,1,4,.147,.252,.221,.473,571510,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.72,3.1,39.2,102.0,75.0,95.0,0.715,10.44,2.95,7.26,0.91,0.66,0.286,0.324,0.21,0.295,0.411,83.0,105.0,100.0,85.0,100.0,98.0,66.0,100.0,91.0,78.0,101.0,90.0,74.0,101.0,98.0,0.102,0.383,0.173,0.081,0.262,1.47,-2.47,1.14,1.41,0.04,92.0,80.9,91.8,79.5,74.1,0.15,0.25,0.246,0.148,0.222,0.449,0.261,0.37,0.352,0.32,0.64,0.071,,,,,,,,,,,,,0.167,0.25,0.474,,,,,,,,,,,,,,,,,,
2024/08/30,7:10 PM.,CLE,PIT,away,Partly Cloudy.,84,594902,C,0,0,0,0,0,0,0,0,0,0,0,.154,.262,.231,.493,594902,benlively,Lively,Right,Ben Lively,CLE,3.81,4.0,151.0,102.0,67.0,92.0,0.83,7.03,2.92,8.28,1.37,1.02,0.228,0.407,0.128,0.309,0.433,75.0,108.0,95.0,43.0,106.0,93.0,57.0,94.0,83.0,57.0,108.0,94.0,105.0,102.0,101.0,0.29,0.314,0.218,0.088,0.091,-0.21,0.56,-0.01,-0.11,-0.79,89.9,83.9,90.4,79.4,76.9,0.268,0.504,0.166,0.238,0.476,0.419,0.279,0.382,0.185,0.227,0.392,0.133,,,,,,,0.231,0.413,0.241,,,,0.206,0.365,0.18,,,,,,,,,,,,,,,,,,
2024/08/28,12:37 PM.,CHC,PIT,home,Sunny.,90,543294,C,1,0,0,0,0,0,0,0,0,0,3,.154,.262,.231,.493,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,5.92,4.81,130.2,105.0,95.0,100.0,0.828,5.99,2.96,10.13,1.45,1.31,0.233,0.412,0.194,0.288,0.402,108.0,106.0,106.0,87.0,109.0,108.0,59.0,94.0,86.0,97.0,106.0,96.0,,,,0.355,0.127,,0.131,0.387,-1.51,-0.77,,0.52,-0.72,87.7,80.9,87.6,,74.3,0.237,0.553,0.209,,,,0.267,0.409,0.239,0.333,0.493,0.106,,,,,,,,,,,,,0.22,0.3,0.244,,,,,,,,,,,,,,,,,,
2024/08/27,6:41 PM.,CHC,PIT,home,Partly Cloudy.,92,657006,C,4,0,1,0,0,0,0,0,0,2,1,.156,.264,.233,.497,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.07,2.74,134.2,103.0,99.0,102.0,0.792,9.02,2.47,7.42,0.8,1.2,0.288,0.38,0.174,0.264,0.513,70.0,92.0,94.0,92.0,120.0,108.0,89.0,102.0,100.0,64.0,104.0,95.0,130.0,105.0,109.0,0.053,0.595,0.297,0.022,0.033,0.38,0.43,1.81,2.76,0.32,91.6,86.2,91.6,83.3,79.9,0.253,0.396,0.223,0.16,0.243,0.282,0.222,0.222,0.172,0.292,0.458,0.182,,,,,,,,,,,,,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,
2024/08/26,6:42 PM.,CHC,PIT,home,Partly Cloudy.,89,592791,PH,1,0,0,0,0,0,0,0,0,0,0,.151,.265,.233,.498,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.27,4.05,165.1,107.0,85.0,102.0,0.823,6.8,1.8,8.38,1.14,0.99,0.223,0.445,0.136,0.328,0.468,78.0,102.0,95.0,104.0,111.0,113.0,66.0,106.0,96.0,74.0,104.0,92.0,104.0,116.0,120.0,0.109,0.296,0.155,0.147,0.043,-0.27,1.47,0.65,-1.04,-2.45,92.3,86.0,92.5,80.4,79.5,0.287,0.497,0.147,,,,0.273,0.576,0.148,0.219,0.297,0.085,,,,,,,0.183,0.296,0.317,,,,0.232,0.424,0.23,92.0,103.0,98.0,0.251,2.12,86.5,0.252,0.31,0.191,,,,,,,,,
2024/06/14,6:41 PM.,COL,PIT,away,Partly Cloudy.,82,663372,C,2,0,0,0,0,0,0,0,0,2,0,.153,.267,.235,.502,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.31,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,117.0,95.0,102.0,108.0,107.0,113.0,81.0,102.0,96.0,93.0,93.0,89.0,109.0,99.0,104.0,0.128,0.37,0.254,0.101,0.147,0.63,-0.45,-0.87,1.28,-1.02,94.6,85.2,94.2,87.4,79.2,0.24,0.376,0.177,0.355,0.523,0.226,0.299,0.485,0.394,0.299,0.403,0.159,,,,,,,0.156,0.375,0.35,,,,0.164,0.26,0.248,,,,,,,,,,,,,,,,,,
2024/06/12,6:48 PM.,STL,PIT,away,Clear.,88,543243,C,3,1,1,0,0,1,1,0,0,1,1,.157,.273,.241,.514,543243,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.84,3.67,166.1,103.0,110.0,105.0,0.723,10.98,2.11,7.68,1.14,1.2,0.219,0.421,0.151,0.341,0.426,69.0,91.0,86.0,119.0,96.0,97.0,107.0,97.0,101.0,93.0,114.0,112.0,152.0,114.0,125.0,0.178,0.239,0.201,0.139,0.064,-0.05,1.64,0.94,0.7,-2.25,92.4,88.3,92.7,84.8,80.0,0.333,0.567,0.182,,,,0.357,0.714,0.328,0.2,0.385,0.208,,,,,,,0.142,0.205,0.444,,,,0.21,0.452,0.331,92.0,98.0,96.0,0.178,0.19,87.7,0.287,0.494,0.308,,,,0.0,-2.42,75.4,,,
