date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff
2024/10/18,5:08 PM.,LAD,NYM,home,Clear.,67,656427,DH,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,87.0,83.0,81.0,,,,92.0,104.0,101.0,75.0,85.0,72.0,,,,0.023,0.441,,,0.027,0.5,,-5.05,,-0.55,93.3,,85.7,90.6,,0.245,0.401,0.238,0.111,0.333,0.111,,,,0.164,0.219,0.436,0.6,1.2,0.4,95.0,102.0,102.0,0.29,0.02,84.7,0.222,0.455,0.363,,,,,,,,,,101.0,103.0,107.0,0.218,2.19,77.4,,,
2024/10/14,1:08 PM.,LAD,NYM,away,Partly Cloudy.,73,518489,2B,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,518489,ryanbrasier,Brasier,Right,Ryan Brasier,LAD,3.54,3.46,28.0,107.0,95.0,106.0,0.806,8.04,1.61,7.07,0.96,1.06,0.225,0.45,0.125,0.35,0.468,,,,,,,93.0,111.0,107.0,96.0,95.0,90.0,78.0,103.0,104.0,0.163,0.294,0.12,,,4.25,4.05,1.24,,,94.5,90.4,,94.5,,0.115,0.115,0.265,,,,0.182,0.273,0.037,,,,0.214,0.214,0.2,102.0,110.0,111.0,0.422,-2.39,85.3,0.28,0.58,0.253,,,,,,,,,,,,,,,,,,
2024/10/13,5:15 PM.,LAD,NYM,away,Clear.,73,656427,PH,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,87.0,83.0,81.0,,,,92.0,104.0,101.0,75.0,85.0,72.0,,,,0.023,0.441,,,0.027,0.5,,-5.05,,-0.55,93.3,,85.7,90.6,,0.245,0.401,0.238,0.111,0.333,0.111,,,,0.164,0.219,0.436,0.6,1.2,0.4,95.0,102.0,102.0,0.29,0.02,84.7,0.222,0.455,0.363,,,,,,,,,,101.0,103.0,107.0,0.218,2.19,77.4,,,
2024/10/09,5:09 PM.,PHI,NYM,home,Clear.,66,624133,2B,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.67,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.154,0.283,0.395,73.0,100.0,98.0,84.0,107.0,108.0,68.0,101.0,91.0,87.0,106.0,104.0,101.0,98.0,93.0,0.315,0.195,0.121,0.205,0.163,0.67,-1.68,0.84,1.02,-0.63,91.8,86.5,80.0,90.8,74.4,0.224,0.327,0.18,0.229,0.323,0.35,0.302,0.642,0.162,0.189,0.342,0.339,0.27,0.381,0.101,22.0,85.0,77.0,0.001,-4.62,81.3,,,,,,,,,,,,,,,,,,,,,
2024/10/08,5:09 PM.,PHI,NYM,home,Partly Cloudy.,68,605400,2B,1,0,0,0,0,0,0,0,0,1,1,.000,.000,.000,.000,605400,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.57,3.72,199.1,105.0,104.0,103.0,0.772,8.89,2.26,8.53,1.35,1.31,0.209,0.477,0.16,0.305,0.399,78.0,102.0,91.0,,,,90.0,103.0,99.0,100.0,109.0,106.0,69.0,99.0,92.0,0.204,0.278,0.092,,0.096,0.81,-2.57,-0.34,,-1.67,92.5,87.5,85.7,91.5,,0.168,0.318,0.224,0.279,0.426,0.135,0.389,0.796,0.178,0.221,0.381,0.37,0.313,0.475,0.136,,,,,,,,,,,,,,,,,,,135.0,106.0,113.0,0.329,0.94,79.1,,,
2024/10/05,4:09 PM.,PHI,NYM,away,Sunny.,77,554430,2B,1,0,0,0,0,0,0,0,0,1,1,.000,.000,.000,.000,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.57,2.8,200.0,104.0,106.0,108.0,0.747,10.08,2.34,6.26,0.9,1.09,0.245,0.35,0.209,0.29,0.42,,,,110.0,101.0,107.0,101.0,106.0,109.0,111.0,103.0,107.0,92.0,97.0,94.0,0.192,0.416,0.093,0.1,,0.88,-0.23,2.68,-0.98,,95.3,91.1,,94.6,81.8,0.209,0.395,0.296,,,,0.226,0.371,0.183,0.205,0.397,0.387,0.189,0.259,0.142,128.0,106.0,115.0,0.125,1.04,84.9,,,,94.0,110.0,110.0,0.074,1.47,86.1,0.137,0.196,0.402,,,,,,,0.152,0.273,0.335
2024/10/03,6:08 PM.,MIL,NYM,away,Roof Closed.,73,668964,2B,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,109.0,86.0,90.0,73.0,99.0,104.0,87.0,105.0,100.0,71.0,92.0,74.0,96.0,100.0,91.0,0.005,0.401,0.23,0.041,0.114,0.58,-0.75,11.28,-3.19,1.18,92.9,89.2,81.1,91.5,77.8,0.239,0.436,0.194,0.083,0.083,0.444,0.336,0.518,0.123,0.421,0.579,0.194,0.0,0.0,0.0,92.0,106.0,103.0,0.21,1.43,85.5,0.198,0.255,0.248,,,,,,,,,,,,,,,,,,
2024/10/02,6:39 PM.,MIL,NYM,away,Roof Closed.,73,593423,2B,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,593423,frankiemontas,Montas,Right,Frankie Montas,- - -,4.84,4.71,150.2,101.0,98.0,99.0,0.777,8.84,3.94,8.36,1.43,1.1,0.235,0.376,0.147,0.311,0.418,,,,,,,83.0,105.0,98.0,83.0,100.0,98.0,109.0,95.0,95.0,0.191,0.332,0.187,,,-0.02,-1.4,1.13,,,95.6,90.4,,94.8,,0.206,0.367,0.231,,,,0.326,0.609,0.223,,,,0.248,0.407,0.113,117.0,103.0,106.0,0.107,-1.94,85.4,0.288,0.577,0.325,119.0,99.0,105.0,0.183,-0.23,86.0,0.218,0.297,0.426,,,,,,,,,
2024/10/01,4:33 PM.,MIL,NYM,away,Roof Closed.,74,642547,2B,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.68,3.88,173.2,98.0,103.0,100.0,0.719,10.36,3.52,7.41,1.35,0.82,0.262,0.376,0.197,0.318,0.373,84.0,92.0,88.0,104.0,106.0,110.0,112.0,99.0,101.0,,,,,,,,0.539,,0.07,0.175,0.05,,,0.36,0.84,94.3,,87.7,,78.1,0.239,0.424,0.252,0.218,0.291,0.369,,,,0.182,0.341,0.372,,,,98.0,99.0,105.0,0.217,-0.09,81.4,0.203,0.384,0.41,,,,,,,,,,,,,,,,,,
2024/09/30,4:50 PM.,ATL,NYM,away,Cloudy.,76,656550,2B,4,0,0,0,0,0,0,0,0,1,1,.308,.325,.641,.966,656550,grantholmes,"Holmes, G",Right,Grant Holmes,ATL,3.56,3.46,68.1,100.0,98.0,101.0,0.694,9.22,1.98,8.69,0.92,1.13,0.272,0.359,0.154,0.323,0.425,59.0,91.0,86.0,105.0,105.0,108.0,81.0,100.0,92.0,,,,94.0,89.0,90.0,,0.373,0.082,0.217,0.012,1.54,-3.71,,0.86,-1.32,94.6,92.6,91.3,,84.0,0.238,0.366,0.203,,,,0.467,0.867,0.15,0.228,0.316,0.437,,,,118.0,101.0,111.0,0.316,0.71,86.5,0.25,0.33,0.415,,,,,,,,,,,,,,,,,,
