date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FS%,wFS/C,vFS,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff,Stf+ FS,Loc+ FS,Pit+ FS
2024/07/13,1:15 PM.,STL,CHC,away,Sunny.,88,458681,LF,2,0,1,0,0,0,0,0,0,0,0,.280,.357,.440,.797,458681,lancelynn,Lynn,Right,Lance Lynn,STL,3.84,4.94,117.1,100.0,83.0,94.0,0.795,8.36,3.38,8.67,1.23,0.88,0.243,0.384,0.161,0.308,0.401,61.0,88.0,82.0,112.0,96.0,99.0,85.0,102.0,97.0,66.0,93.0,84.0,102.0,101.0,109.0,91.0,101.0,94.0,0.167,0.472,0.223,0.013,0.062,0.063,0.87,-1.03,-0.46,-1.62,-1.98,-2.47,92.3,88.1,84.8,91.2,82.0,80.4,0.292,0.292,0.225,0.317,0.426,0.262,0.199,0.393,0.287,0.284,0.469,0.11,,,,0.211,0.342,0.203,,,,0.25,0.25,0.0,,,,,,
2024/07/11,6:37 PM.,BAL,CHC,away,Cloudy.,89,544150,LF,1,0,0,0,0,0,0,0,0,0,1,.261,.346,.435,.781,544150,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.7,4.05,133.2,100.0,89.0,97.0,0.786,7.27,2.9,8.75,1.14,0.8,0.241,0.426,0.136,0.304,0.391,99.0,100.0,106.0,94.0,99.0,98.0,90.0,101.0,96.0,,,,,,,74.0,99.0,92.0,,0.5,0.195,,0.132,0.172,-0.36,0.73,,,0.41,-0.5,94.8,86.3,86.1,,,79.0,0.274,0.434,0.228,0.24,0.365,0.308,0.276,0.469,0.228,,,,,,,0.174,0.348,0.252,,,,,,,,,,,,
2024/05/02,1:10 PM.,NYM,CHC,away,Sunny.,71,605288,RF,0,0,0,0,0,0,0,0,0,0,0,.273,.360,.455,.815,605288,adrianhouser,Houser,Right,Adrian Houser,NYM,5.84,5.24,69.1,100.0,91.0,97.0,0.834,5.84,4.15,9.61,1.04,1.43,0.254,0.417,0.136,0.307,0.433,98.0,95.0,95.0,83.0,99.0,93.0,72.0,104.0,94.0,96.0,99.0,96.0,91.0,103.0,101.0,,,,0.445,0.168,,0.173,0.087,0.127,0.63,,0.25,-1.67,-4.53,-2.31,93.6,,84.1,92.5,83.2,79.6,0.308,0.462,0.333,,,,0.179,0.333,0.193,0.252,0.382,0.122,0.286,0.571,0.213,0.476,0.762,0.15,,,,,,,,,,,,
2024/04/30,7:11 PM.,NYM,CHC,away,Cloudy.,56,640455,RF,2,0,1,0,0,0,0,0,0,1,2,.273,.360,.455,.815,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,83.0,98.0,95.0,,,,88.0,103.0,99.0,95.0,100.0,97.0,88.0,88.0,93.0,84.0,88.0,85.0,0.447,0.113,0.071,0.251,,0.118,1.13,0.97,1.36,0.37,,-1.19,92.3,88.4,85.3,92.3,79.5,,0.25,0.438,0.254,0.222,0.25,0.179,0.167,0.295,0.311,0.201,0.333,0.21,0.174,0.435,0.32,,,,,,,0.193,0.311,0.388,,,,,,
2024/04/27,4:10 PM.,BOS,CHC,away,Partly Cloudy.,61,670174,LF,0,0,0,0,0,0,0,0,1,0,0,.250,.348,.450,.798,670174,joshwinckowski,Winckowski,Right,Josh Winckowski,BOS,4.14,4.37,76.0,102.0,101.0,100.0,0.809,7.11,3.08,9.59,1.18,1.8,0.228,0.402,0.159,0.321,0.436,101.0,96.0,99.0,,,,72.0,117.0,106.0,105.0,102.0,101.0,124.0,107.0,112.0,94.0,101.0,95.0,0.336,0.051,0.352,0.133,,0.128,0.47,-0.21,-0.16,0.49,,-2.35,95.1,90.4,91.5,95.1,85.2,,0.356,0.467,0.094,0.253,0.495,0.233,0.167,0.167,0.29,0.306,0.454,0.177,0.167,0.222,0.316,,,,,,,,,,,,,,,
2024/04/25,1:20 PM.,HOU,CHC,home,Sunny.,53,434378,LF,3,0,0,0,0,0,0,1,0,2,0,.250,.318,.450,.768,434378,justinverlander,Verlander,Right,Justin Verlander,HOU,5.48,3.78,90.1,101.0,117.0,103.0,0.81,7.37,2.69,9.76,1.49,0.54,0.28,0.37,0.19,0.266,0.435,115.0,101.0,104.0,110.0,101.0,97.0,116.0,98.0,102.0,,,,127.0,108.0,112.0,,,,,0.487,,0.193,0.219,0.101,-0.59,,,0.66,-1.46,-0.58,93.5,,84.0,,86.7,77.6,0.235,0.353,0.253,,,,0.299,0.497,0.202,,,,0.195,0.322,0.215,0.34,0.56,0.22,,,,,,,,,,,,
2024/04/24,6:40 PM.,HOU,CHC,home,Clear.,40,681293,LF,3,0,1,0,0,0,0,0,0,1,1,.294,.333,.529,.862,681293,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.53,4.05,145.0,99.0,95.0,99.0,0.739,10.61,4.03,8.63,1.3,0.85,0.247,0.437,0.147,0.314,0.444,89.0,97.0,90.0,118.0,98.0,104.0,91.0,100.0,99.0,,,,117.0,93.0,101.0,66.0,98.0,96.0,,0.41,0.196,0.108,0.2,0.086,-1.33,0.57,,0.99,0.8,-2.52,94.1,88.2,85.5,,80.8,78.4,0.395,0.512,0.378,0.248,0.444,0.228,0.303,0.528,0.198,,,,,,,0.171,0.282,0.424,,,,0.113,0.226,0.386,,,,,,
2024/04/23,6:40 PM.,HOU,CHC,home,Overcast.,61,641585,RF,1,0,0,0,0,0,0,0,0,1,0,.286,.333,.571,.904,641585,jpfrance,"France, J",Right,J.P. France,HOU,7.46,5.71,25.1,90.0,84.0,90.0,0.77,7.82,4.26,11.01,1.78,0.57,0.256,0.419,0.186,0.291,0.38,95.0,85.0,90.0,79.0,94.0,88.0,90.0,84.0,84.0,76.0,104.0,103.0,101.0,116.0,109.0,69.0,95.0,95.0,0.017,0.294,0.238,0.03,0.193,0.227,-2.28,-1.85,2.39,-21.4,0.32,0.6,92.2,86.8,82.3,91.2,78.5,74.2,0.095,0.238,0.297,0.346,0.615,0.224,0.375,0.563,0.151,,,,,,,0.2,0.2,0.381,,,,0.5,1.375,0.3,,,,,,
2024/04/21,1:20 PM.,MIA,CHC,home,Sunny.,55,665795,LF,4,1,1,0,0,0,0,0,0,2,3,.308,.357,.615,.972,665795,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.95,4.78,96.1,97.0,101.0,99.0,0.738,10.0,4.67,7.66,1.4,1.45,0.199,0.465,0.137,0.348,0.393,96.0,98.0,103.0,106.0,101.0,104.0,97.0,91.0,87.0,110.0,94.0,95.0,114.0,102.0,105.0,,,,0.091,0.274,,0.085,0.217,0.332,-1.63,,0.07,1.65,-0.03,0.15,96.3,,93.0,96.7,89.2,84.8,0.206,0.321,0.338,,,,0.304,0.543,0.164,0.231,0.333,0.151,0.129,0.226,0.313,0.206,0.426,0.394,,,,,,,,,,,,
2024/04/20,6:40 PM.,MIA,CHC,home,Overcast.,42,682610,LF,2,1,1,0,0,1,1,0,1,0,0,.333,.400,.778,1.178,682610,rodderymunoz,"Muñoz, Rod",Right,Roddery Muñoz,MIA,6.53,6.83,82.2,96.0,92.0,93.0,0.788,7.62,4.57,9.69,2.83,0.75,0.233,0.397,0.134,0.397,0.4,57.0,96.0,89.0,,,,96.0,97.0,94.0,93.0,94.0,91.0,103.0,94.0,100.0,89.0,96.0,90.0,0.228,0.269,0.212,0.198,,0.093,-3.28,-0.08,-0.99,-2.57,,-2.82,95.4,89.8,89.3,94.9,85.7,,0.27,0.595,0.306,0.229,0.471,0.313,0.325,0.714,0.175,0.27,0.554,0.109,0.261,0.536,0.328,,,,,,,,,,,,,,,
