date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,FO%,SL%,KC%,CH%,wFA/C,wFC/C,wFO/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vFO,vCH,vSI,vSL,vKC,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024/09/05,6:42 PM.,WSH,PIT,home,Clear.,81,663623,LF,2,0,0,0,0,0,0,0,0,1,3,.200,.286,.240,.526,663623,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.41,4.31,187.2,103.0,94.0,101.0,0.803,7.48,2.49,8.3,1.39,1.2,0.241,0.424,0.181,0.334,0.462,99.0,91.0,93.0,82.0,104.0,97.0,97.0,102.0,102.0,110.0,115.0,117.0,,,,78.0,102.0,93.0,0.205,0.379,0.065,,0.003,,0.035,0.44,0.06,,-0.64,-14.34,,1.34,93.9,89.9,,88.4,93.3,85.9,,0.325,0.497,0.149,,,,0.283,0.522,0.204,0.125,0.125,0.349,0.204,0.381,0.235,0.226,0.42,0.251,110.0,104.0,106.0,0.313,0.24,81.1,,,,,,,,,,,,
2024/09/04,6:40 PM.,CHC,PIT,away,Clear.,73,684007,LF,1,0,0,0,0,0,0,0,0,0,0,.217,.308,.261,.569,684007,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.91,3.39,173.1,105.0,90.0,103.0,0.739,9.03,1.45,7.74,1.4,0.82,0.217,0.45,0.166,0.309,0.438,82.0,105.0,104.0,96.0,104.0,106.0,76.0,102.0,91.0,103.0,105.0,104.0,,,,50.0,107.0,96.0,0.021,0.52,0.005,,0.077,0.0,0.039,0.36,-6.3,,0.77,0.14,-76.55,0.48,91.7,89.8,,81.6,88.7,81.6,53.9,0.25,0.333,0.37,,,,0.333,1.333,0.143,0.194,0.226,0.333,0.229,0.47,0.176,0.444,0.556,0.0,70.0,96.0,97.0,0.032,-0.59,72.7,0.267,0.311,0.347,81.0,106.0,100.0,0.306,1.39,82.9,0.204,0.283,0.431
2024/08/30,7:10 PM.,CLE,PIT,away,Partly Cloudy.,84,594902,RF,3,0,0,0,0,0,0,0,0,2,2,.227,.320,.273,.593,594902,benlively,Lively,Right,Ben Lively,CLE,3.81,4.0,151.0,102.0,67.0,92.0,0.83,7.03,2.92,8.28,1.37,1.02,0.228,0.407,0.128,0.309,0.433,75.0,108.0,95.0,57.0,94.0,83.0,57.0,108.0,94.0,105.0,102.0,101.0,,,,,,,0.29,0.314,,,0.218,,0.091,-0.21,,,0.56,-0.01,,-0.79,89.9,,,83.9,90.4,79.4,,0.227,0.392,0.133,0.238,0.476,0.419,,,,0.279,0.382,0.185,0.268,0.504,0.166,0.206,0.365,0.18,43.0,106.0,93.0,0.088,-0.11,76.9,0.231,0.413,0.241,,,,,,,,,
2024/08/28,12:37 PM.,CHC,PIT,home,Sunny.,90,543294,RF,4,1,1,1,0,0,1,0,1,3,4,.263,.364,.316,.680,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,5.92,4.81,130.2,105.0,95.0,100.0,0.828,5.99,2.96,10.13,1.45,1.31,0.233,0.412,0.194,0.288,0.402,108.0,106.0,106.0,59.0,94.0,86.0,97.0,106.0,96.0,,,,,,,,,,0.355,0.127,,,,,0.387,-1.51,,,-0.77,,,-0.72,87.7,,,80.9,87.6,,,0.333,0.493,0.106,,,,,,,0.267,0.409,0.239,0.237,0.553,0.209,0.22,0.3,0.244,87.0,109.0,108.0,0.131,0.52,74.3,,,,,,,,,,,,
2024/08/27,6:41 PM.,CHC,PIT,home,Partly Cloudy.,92,657006,CF,1,0,0,0,0,0,0,0,0,1,2,.267,.313,.267,.580,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.07,2.74,134.2,103.0,99.0,102.0,0.792,9.02,2.47,7.42,0.8,1.2,0.288,0.38,0.174,0.264,0.513,70.0,92.0,94.0,89.0,102.0,100.0,64.0,104.0,95.0,130.0,105.0,109.0,,,,,,,0.053,0.595,,,0.297,,0.033,0.38,,,0.43,1.81,,0.32,91.6,,,86.2,91.6,83.3,,0.292,0.458,0.182,0.16,0.243,0.282,,,,0.222,0.222,0.172,0.253,0.396,0.223,0.0,0.0,0.2,92.0,120.0,108.0,0.022,2.76,79.9,,,,,,,,,,,,
2024/08/26,6:42 PM.,CHC,PIT,home,Partly Cloudy.,89,592791,LF,1,2,1,0,0,0,0,0,1,0,0,.286,.333,.286,.619,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.27,4.05,165.1,107.0,85.0,102.0,0.823,6.8,1.8,8.38,1.14,0.99,0.223,0.445,0.136,0.328,0.468,78.0,102.0,95.0,66.0,106.0,96.0,74.0,104.0,92.0,104.0,116.0,120.0,,,,92.0,103.0,98.0,0.109,0.296,0.251,,0.155,,0.043,-0.27,2.12,,1.47,0.65,,-2.45,92.3,86.5,,86.0,92.5,80.4,,0.219,0.297,0.085,,,,0.252,0.31,0.191,0.273,0.576,0.148,0.287,0.497,0.147,0.232,0.424,0.23,104.0,111.0,113.0,0.147,-1.04,79.5,0.183,0.296,0.317,,,,,,,,,
2024/08/24,6:41 PM.,CIN,PIT,home,Clear.,87,687924,LF,3,0,0,0,0,0,0,0,0,2,0,.231,.231,.231,.462,687924,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,6.25,4.94,31.2,97.0,86.0,97.0,0.836,5.4,3.41,8.53,2.27,0.79,0.24,0.413,0.183,0.231,0.449,97.0,84.0,89.0,,,,79.0,102.0,98.0,94.0,99.0,105.0,,,,,,,0.54,,,,0.179,,0.189,,,,-0.41,0.21,,-1.59,,,,84.0,94.3,80.3,,0.282,0.563,0.151,0.176,0.353,0.25,,,,0.2,0.36,0.25,,,,0.2,0.5,0.158,93.0,87.0,96.0,0.092,-2.92,78.0,,,,,,,,,,,,
2024/08/23,6:43 PM.,CIN,PIT,home,Clear.,82,571656,LF,4,0,0,0,0,0,1,0,0,3,3,.300,.300,.300,.600,571656,buckfarmer,"Farmer, B",Right,Buck Farmer,CIN,3.04,4.14,71.0,100.0,93.0,100.0,0.764,8.87,3.68,7.1,0.89,0.84,0.233,0.43,0.187,0.28,0.397,110.0,104.0,108.0,52.0,94.0,82.0,72.0,97.0,94.0,120.0,102.0,111.0,,,,,,,0.243,0.2,,,0.348,,0.209,0.18,,,0.97,1.36,,-0.61,92.7,,,86.8,92.5,82.2,,0.268,0.423,0.151,0.138,0.313,0.376,,,,0.267,0.367,0.326,0.208,0.396,0.151,,,,,,,,,,,,,,,,,,,,,
2024/08/21,1:38 PM.,TEX,PIT,away,Roof Closed.,74,571760,CF,2,0,1,0,0,0,0,0,0,1,0,.500,.500,.500,1.000,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.28,4.46,160.0,102.0,80.0,99.0,0.76,8.94,2.31,8.94,1.29,0.75,0.247,0.407,0.148,0.306,0.428,83.0,102.0,94.0,77.0,102.0,98.0,34.0,82.0,74.0,79.0,100.0,103.0,,,,20.0,51.0,51.0,0.014,0.501,0.001,,0.278,,0.17,0.15,-19.13,,-4.52,-0.26,,0.46,91.5,86.6,,83.7,92.2,82.5,,0.455,0.455,0.125,0.26,0.385,0.365,,,,0.239,0.384,0.243,0.23,0.412,0.213,0.5,1.1,0.188,126.0,105.0,103.0,0.036,-3.31,75.6,,,,,,,,,,,,
2024/08/19,7:07 PM.,TEX,PIT,away,Roof Closed.,74,641540,RF,4,1,2,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,641540,danedunning,Dunning,Right,Dane Dunning,TEX,5.31,5.28,95.0,98.0,82.0,94.0,0.785,8.62,3.79,9.19,1.71,1.15,0.158,0.5,0.127,0.345,0.425,83.0,94.0,86.0,40.0,103.0,91.0,79.0,102.0,97.0,102.0,100.0,97.0,58.0,89.0,98.0,74.0,99.0,94.0,0.377,0.028,0.188,0.001,0.234,0.047,0.125,-2.6,-0.73,-6.34,0.0,-1.44,0.09,-1.22,89.2,88.1,76.4,85.0,89.7,80.6,75.6,0.276,0.442,0.133,0.274,0.512,0.304,0.254,0.46,0.242,0.233,0.488,0.327,0.25,0.583,0.259,0.0,0.0,0.429,,,,,,,,,,,,,,,,,,
