date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,CU%,wFC/C,wFS/C,wCU/C,vFC,vFS,vCU,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff
2024/09/18,1:08 PM.,LAA,CWS,away,Partly Cloudy.,75,686799,DH,1,0,0,0,0,0,0,0,0,1,3,.275,.356,.400,.756,686799,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,87.0,95.0,90.0,99.0,103.0,102.0,,,,,,,0.724,0.062,,,0.03,-1.87,0.89,,,-3.35,96.3,88.3,95.8,,,0.333,0.444,0.067,0.167,0.5,0.364,0.286,0.411,0.121,,,,0.235,0.412,0.25,111.0,95.0,106.0,,,,,,,,,0.184,,,-1.06,,,85.0,,,,,,,,,,,,
2024/04/09,6:10 PM.,CLE,CWS,away,Cloudy.,75,671106,3B,2,1,1,0,0,0,0,0,0,0,0,.282,.364,.410,.774,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,5.73,5.9,97.1,96.0,77.0,91.0,0.803,7.3,3.79,10.45,2.03,1.13,0.234,0.396,0.136,0.328,0.405,99.0,92.0,94.0,60.0,98.0,88.0,,,,89.0,98.0,86.0,,,,,0.484,0.187,,0.183,-1.54,,-2.55,,-0.92,91.2,81.7,,78.6,,0.237,0.438,0.269,0.342,0.609,0.147,,,,,,,,,,,,,91.0,97.0,96.0,,,,0.146,,,-0.03,,,85.3,,,,,,0.273,0.576,0.333,0.245,0.491,0.202,,,
2024/04/08,5:11 PM.,CLE,CWS,away,Partly Cloudy.,63,663474,3B,4,0,1,0,0,0,0,1,0,0,4,.270,.357,.405,.762,663474,tristonmckenzie,McKenzie,Right,Triston McKenzie,CLE,5.11,5.67,75.2,90.0,99.0,90.0,0.784,8.8,5.83,8.21,2.26,0.68,0.251,0.386,0.149,0.321,0.406,,,,98.0,86.0,87.0,,,,106.0,87.0,90.0,,,,,0.524,0.21,,,-2.18,,1.48,,,91.1,,,85.4,,,,,0.303,0.652,0.103,,,,0.143,0.143,0.376,0.176,0.341,0.373,97.0,102.0,100.0,,,,,,,,,0.266,,,-0.16,,,77.7,,,,,,,,,,,,
2024/04/07,1:10 PM.,KC,CWS,away,Sunny.,63,679525,3B,5,0,2,1,0,0,0,0,0,0,0,.273,.368,.424,.792,679525,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.53,4.97,129.0,99.0,100.0,99.0,0.789,8.58,2.72,8.58,1.33,0.92,0.249,0.42,0.182,0.329,0.429,88.0,95.0,94.0,93.0,98.0,95.0,98.0,99.0,97.0,117.0,99.0,107.0,,,,0.138,0.37,0.228,,0.1,0.34,-1.16,-0.57,,0.84,94.2,86.3,93.6,86.5,,0.204,0.296,0.177,0.208,0.383,0.223,0.317,0.524,0.099,0.29,0.462,0.294,0.263,0.5,0.274,103.0,105.0,103.0,,,,,,,,,0.164,,,-1.2,,,82.8,,,,0.2,0.433,0.464,,,,,,
2024/04/06,6:10 PM.,KC,CWS,away,Clear.,71,608379,3B,3,0,0,0,0,0,0,0,1,3,1,.250,.364,.393,.757,608379,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.35,4.05,166.2,102.0,91.0,99.0,0.784,7.83,2.43,8.32,0.92,0.93,0.258,0.429,0.213,0.282,0.436,111.0,109.0,112.0,83.0,103.0,99.0,78.0,103.0,89.0,97.0,89.0,90.0,,,,0.153,0.238,0.092,,0.322,0.39,0.29,-2.39,,2.26,93.6,81.2,93.6,84.1,,0.169,0.312,0.341,0.279,0.449,0.169,0.252,0.301,0.099,0.371,0.6,0.373,0.357,0.643,0.174,72.0,89.0,92.0,78.0,100.0,92.0,,,,0.114,,0.081,-0.94,,-1.64,88.8,,75.2,,,,,,,0.319,0.458,0.148,,,
2024/04/05,6:40 PM.,KC,CWS,away,Clear.,63,663903,3B,3,0,1,0,0,0,0,0,1,1,0,.280,.379,.440,.819,663903,bradysinger,Singer,Right,Brady Singer,KCR,3.71,4.65,179.2,99.0,84.0,94.0,0.769,8.52,2.71,8.77,1.1,1.62,0.191,0.419,0.159,0.326,0.414,80.0,77.0,69.0,63.0,96.0,86.0,70.0,101.0,91.0,106.0,99.0,102.0,,,,0.413,0.113,0.455,,0.019,-2.09,0.77,0.0,,-5.71,91.6,88.1,92.2,82.9,,0.429,0.5,0.111,0.326,0.609,0.197,0.267,0.389,0.127,0.207,0.361,0.354,,,,,,,,,,,,,,,,,,,,,,,,,0.327,0.571,0.35,,,,,,
2024/04/04,6:40 PM.,KC,CWS,away,Clear.,60,607625,3B,3,1,1,0,0,0,0,0,1,0,3,.273,.360,.455,.815,607625,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,3.0,3.75,206.2,101.0,97.0,100.0,0.795,7.88,2.09,7.71,0.7,1.2,0.212,0.386,0.156,0.303,0.43,93.0,100.0,98.0,75.0,103.0,95.0,68.0,101.0,92.0,125.0,97.0,105.0,,,,0.185,0.24,0.135,,0.069,0.7,0.65,-0.67,,0.08,92.2,87.4,92.1,85.2,,0.208,0.333,0.291,0.234,0.392,0.176,0.274,0.381,0.129,0.213,0.387,0.2,0.178,0.271,0.339,126.0,100.0,110.0,97.0,103.0,103.0,93.0,107.0,106.0,0.082,0.026,0.262,2.86,0.07,1.44,90.1,85.7,79.4,0.105,0.421,0.351,0.375,0.75,0.109,0.228,0.228,0.23,0.215,0.28,0.285
2024/04/02,6:40 PM.,ATL,CWS,home,Overcast.,44,625643,3B,3,0,1,0,0,0,0,0,1,2,0,.263,.333,.474,.807,625643,reynaldolopez,"López, R",Right,Reynaldo López,ATL,1.99,3.94,135.2,102.0,96.0,101.0,0.75,9.82,2.79,7.16,0.66,1.03,0.279,0.365,0.142,0.305,0.439,75.0,110.0,105.0,91.0,103.0,99.0,,,,113.0,100.0,105.0,,,,,0.552,0.294,,0.038,1.19,,1.45,,-3.58,95.5,86.1,,85.0,,0.263,0.737,0.349,0.266,0.369,0.165,,,,0.168,0.257,0.443,0.151,0.264,0.364,84.0,99.0,104.0,,,,,,,,,0.116,,,1.61,,,77.0,,,,,,,,,,,,
2024/04/01,1:10 PM.,ATL,CWS,home,Cloudy.,46,450203,3B,3,0,2,1,0,0,0,0,1,0,0,.250,.294,.500,.794,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.19,4.49,165.1,98.0,95.0,97.0,0.753,9.09,3.54,8.38,1.25,1.42,0.235,0.437,0.144,0.327,0.408,86.0,97.0,93.0,72.0,99.0,90.0,79.0,96.0,88.0,,,,,,,0.099,0.289,,,0.11,-1.4,0.39,,,-1.38,94.1,85.0,93.5,,,0.292,0.6,0.333,0.281,0.517,0.193,0.333,0.433,0.07,,,,0.2,0.309,0.342,122.0,98.0,108.0,73.0,92.0,86.0,,,,0.078,,0.424,-0.75,,0.78,88.5,,81.5,,,,,,,0.286,0.571,0.149,,,
2024/03/31,1:10 PM.,DET,CWS,home,Partly Cloudy.,47,656427,3B,4,0,1,1,0,0,0,0,0,2,1,.154,.154,.385,.539,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,87.0,83.0,81.0,92.0,104.0,101.0,75.0,85.0,72.0,95.0,102.0,102.0,101.0,103.0,107.0,0.023,0.441,0.29,0.218,0.027,0.5,-5.05,0.02,2.19,-0.55,93.3,85.7,90.6,84.7,77.4,0.111,0.333,0.111,0.245,0.401,0.238,0.6,1.2,0.4,0.222,0.455,0.363,0.164,0.219,0.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
