date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vFS,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,SV_ba,SV_slg,SV_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2024/09/29,2:10 PM.,BAL,MIN,home,Sunny.,79,544150,C,4,0,0,0,0,0,0,0,0,2,3,.221,.248,.327,.575,544150,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.7,4.05,133.2,100.0,89.0,97.0,0.786,7.27,2.9,8.75,1.14,0.8,0.241,0.426,0.136,0.304,0.391,99.0,100.0,106.0,94.0,99.0,98.0,90.0,101.0,96.0,,,,,,,74.0,99.0,92.0,,,,,0.5,0.195,,,0.132,0.172,-0.36,0.73,,,,0.41,-0.5,94.8,86.3,,86.1,,,79.0,0.276,0.469,0.228,,,,0.174,0.348,0.252,,,,,,,0.24,0.365,0.308,0.274,0.434,0.228,,,,,,,,,,,,,,,,,,
2024/09/27,7:10 PM.,BAL,MIN,home,Clear.,81,700249,C,2,0,0,0,0,0,0,0,1,0,1,.224,.252,.331,.583,700249,cadepovich,Povich,Left,Cade Povich,BAL,5.2,4.11,79.2,99.0,87.0,97.0,0.788,7.79,3.84,9.04,1.36,0.75,0.22,0.447,0.179,0.289,0.454,63.0,101.0,95.0,93.0,101.0,104.0,81.0,97.0,93.0,80.0,98.0,90.0,113.0,107.0,108.0,97.0,94.0,94.0,,,,0.084,0.407,0.075,,0.13,0.196,0.109,0.56,-3.12,,0.86,-0.43,-2.26,-2.05,92.4,88.3,,86.1,91.5,82.6,76.3,0.223,0.379,0.185,0.2,0.24,0.103,0.333,0.517,0.269,,,,,,,0.333,0.81,0.288,0.25,0.542,0.235,0.232,0.411,0.276,,,,,,,,,,,,,,,
2024/09/25,6:41 PM.,MIA,MIN,home,Clear.,76,665795,C,3,1,0,0,0,0,0,0,0,0,1,.226,.251,.333,.584,665795,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.95,4.78,96.1,97.0,101.0,99.0,0.738,10.0,4.67,7.66,1.4,1.45,0.199,0.465,0.137,0.348,0.393,96.0,98.0,103.0,106.0,101.0,104.0,97.0,91.0,87.0,110.0,94.0,95.0,114.0,102.0,105.0,,,,,,,0.091,0.274,,,0.085,0.217,0.332,-1.63,,,0.07,1.65,-0.03,0.15,96.3,,,93.0,96.7,89.2,84.8,0.304,0.543,0.164,0.231,0.333,0.151,0.206,0.426,0.394,,,,0.129,0.226,0.313,,,,0.206,0.321,0.338,,,,,,,,,,,,,,,,,,
2024/09/22,5:36 PM.,BOS,MIN,away,Cloudy.,64,676710,C,4,1,2,0,0,0,0,0,0,1,0,.228,.253,.337,.590,676710,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.36,3.86,183.2,105.0,108.0,107.0,0.766,8.58,2.5,7.6,1.67,0.67,0.244,0.424,0.164,0.288,0.446,,,,,,,109.0,109.0,112.0,,,,100.0,99.0,102.0,114.0,104.0,104.0,87.0,102.0,106.0,,0.337,0.32,0.086,0.185,,,-0.43,0.55,0.47,,-0.56,,,92.6,87.5,82.4,,,80.8,,0.255,0.5,0.198,,,,0.143,0.171,0.219,,,,,,,0.216,0.418,0.265,,,,0.222,0.437,0.263,0.192,0.26,0.404,98.0,97.0,99.0,0.072,1.14,77.3,,,,,,
2024/09/20,7:11 PM.,BOS,MIN,away,Cloudy.,64,690916,C,4,0,1,0,0,0,0,0,0,0,1,.224,.250,.335,.585,690916,richardfitts,Fitts,Right,Richard Fitts,BOS,1.74,4.0,20.2,104.0,112.0,106.0,0.872,3.92,3.05,8.27,0.0,0.83,0.406,0.319,0.145,0.261,0.443,,,,,,,102.0,98.0,97.0,,,,126.0,113.0,114.0,,,,107.0,103.0,116.0,,0.446,,0.108,0.446,,,1.1,,-3.33,,1.91,,,94.5,,88.7,,,85.2,,0.2,0.267,0.162,,,,,,,,,,0.259,0.296,0.149,,,,,,,0.231,0.231,0.13,0.5,0.5,0.143,,,,,,,,,,,,
2024/09/18,6:41 PM.,CLE,MIN,away,Partly Cloudy.,75,676440,C,3,0,0,0,0,0,0,0,0,1,0,.224,.250,.336,.586,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,119.0,109.0,112.0,92.0,103.0,98.0,89.0,64.0,93.0,113.0,102.0,109.0,,,,,,,0.003,0.434,,,0.278,0.105,0.18,-0.69,,,-1.41,1.74,-0.9,0.13,94.6,,,82.5,93.9,86.2,81.3,0.282,0.476,0.213,,,,0.208,0.458,0.184,,,,0.196,0.411,0.299,0.141,0.225,0.368,0.238,0.431,0.291,,,,,,,,,,,,,,,,,,
2024/09/16,6:40 PM.,CLE,MIN,away,Clear.,77,571510,C,4,0,0,0,0,0,0,0,0,2,3,.226,.253,.339,.592,571510,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.72,3.1,39.2,102.0,75.0,95.0,0.715,10.44,2.95,7.26,0.91,0.66,0.286,0.324,0.21,0.295,0.411,83.0,105.0,100.0,85.0,100.0,98.0,66.0,100.0,91.0,78.0,101.0,90.0,74.0,101.0,98.0,,,,,,,0.102,0.383,,,0.173,0.081,0.262,1.47,,,-2.47,1.14,1.41,0.04,92.0,,,80.9,91.8,79.5,74.1,0.15,0.25,0.246,0.32,0.64,0.071,0.167,0.25,0.474,,,,0.148,0.222,0.449,,,,0.261,0.37,0.352,,,,,,,,,,,,,,,,,,
2024/09/14,6:13 PM.,CIN,MIN,home,Overcast.,76,607259,1B,3,0,0,0,0,0,0,0,0,1,0,.230,.256,.344,.600,607259,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.1,3.19,142.1,109.0,99.0,107.0,0.786,7.33,1.14,8.09,0.82,0.89,0.265,0.393,0.198,0.23,0.441,118.0,113.0,116.0,107.0,102.0,105.0,91.0,110.0,109.0,80.0,106.0,97.0,105.0,110.0,110.0,96.0,108.0,104.0,,,,0.176,0.224,0.203,,0.061,0.119,0.216,0.73,1.32,,0.88,-0.55,-1.69,1.79,92.6,89.1,,80.1,92.0,84.9,80.8,0.219,0.351,0.212,0.24,0.375,0.09,0.342,0.605,0.247,,,,0.233,0.4,0.364,0.281,0.43,0.12,0.186,0.286,0.416,,,,,,,,,,,,,,,,,,
2024/09/11,6:10 PM.,LAA,MIN,home,Clear.,85,686799,C,4,1,2,1,0,0,0,0,0,0,2,.232,.259,.348,.607,686799,jackkochanowicz,Kochanowicz,Right,Jack Kochanowicz,LAA,3.99,4.97,65.1,101.0,100.0,102.0,0.867,3.44,1.38,9.37,0.96,2.33,0.202,0.39,0.152,0.35,0.513,74.0,103.0,98.0,111.0,95.0,106.0,87.0,95.0,90.0,99.0,103.0,102.0,,,,,,,,,,0.724,0.062,,,,0.184,0.03,-1.87,,,0.89,,-1.06,-3.35,96.3,,,88.3,95.8,,85.0,0.167,0.5,0.364,0.286,0.411,0.121,0.235,0.412,0.25,,,,,,,,,,0.333,0.444,0.067,,,,,,,,,,,,,,,,,,
2024/09/08,1:13 PM.,KC,MIN,away,Sunny.,73,608379,C,3,0,3,0,0,0,0,0,0,0,0,.228,.255,.342,.597,608379,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.35,4.05,166.2,102.0,91.0,99.0,0.784,7.83,2.43,8.32,0.92,0.93,0.258,0.429,0.213,0.282,0.436,111.0,109.0,112.0,72.0,89.0,92.0,83.0,103.0,99.0,78.0,103.0,89.0,97.0,89.0,90.0,78.0,100.0,92.0,,,,0.153,0.238,0.114,,0.092,0.081,0.322,0.39,-0.94,,0.29,-2.39,-1.64,2.26,93.6,88.8,,81.2,93.6,84.1,75.2,0.279,0.449,0.169,0.252,0.301,0.099,0.357,0.643,0.174,,,,0.371,0.6,0.373,0.319,0.458,0.148,0.169,0.312,0.341,,,,,,,,,,,,,,,,,,
