date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024/10/18,8:08 PM.,CLE,NYY,away,Clear.,56,668909,2B,0,1,0,0,0,0,0,0,0,0,0,.182,.250,.182,.432,668909,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,4.86,4.22,76.0,101.0,99.0,102.0,0.788,9.36,3.79,8.53,0.83,1.06,0.317,0.349,0.142,0.317,0.42,66.0,96.0,101.0,121.0,101.0,105.0,97.0,102.0,102.0,,,,95.0,80.0,96.0,98.0,99.0,94.0,,0.515,0.12,0.113,0.198,0.054,0.08,0.56,,-0.16,-0.01,-3.82,96.6,91.6,89.2,,88.6,79.5,0.286,0.421,0.22,0.205,0.333,0.341,0.417,0.833,0.148,0.155,0.31,0.304,,,,,,,0.258,0.387,0.242,,,,,,,,,,,,,,,
2024/10/17,5:08 PM.,CLE,NYY,away,Clear.,57,571510,1B,4,0,0,0,0,0,0,0,0,2,2,.182,.250,.182,.432,571510,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.72,3.1,39.2,102.0,75.0,95.0,0.715,10.44,2.95,7.26,0.91,0.66,0.286,0.324,0.21,0.295,0.411,83.0,105.0,100.0,85.0,100.0,98.0,66.0,100.0,91.0,78.0,101.0,90.0,74.0,101.0,98.0,,,,0.102,0.383,,0.173,0.081,0.262,1.47,,-2.47,1.14,1.41,0.04,92.0,,80.9,91.8,79.5,74.1,0.15,0.25,0.246,,,,0.261,0.37,0.352,0.167,0.25,0.474,,,,0.32,0.64,0.071,0.148,0.222,0.449,,,,,,,,,,,,,,,
2024/10/10,7:08 PM.,KC,NYY,away,Clear.,78,608379,1B,3,0,1,0,0,0,0,0,1,0,0,.286,.375,.286,.661,608379,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.35,4.05,166.2,102.0,91.0,99.0,0.784,7.83,2.43,8.32,0.92,0.93,0.258,0.429,0.213,0.282,0.436,111.0,109.0,112.0,72.0,89.0,92.0,83.0,103.0,99.0,78.0,103.0,89.0,97.0,89.0,90.0,78.0,100.0,92.0,0.153,0.238,0.114,0.092,0.081,0.322,0.39,-0.94,0.29,-2.39,-1.64,2.26,93.6,88.8,81.2,93.6,84.1,75.2,0.279,0.449,0.169,0.319,0.458,0.148,0.169,0.312,0.341,0.357,0.643,0.174,,,,0.252,0.301,0.099,0.371,0.6,0.373,,,,,,,,,,,,,,,
2024/10/07,7:38 PM.,KC,NYY,home,Partly Cloudy.,67,666142,1B,4,0,1,0,0,0,0,0,0,1,3,.250,.250,.250,.500,666142,coleragans,Ragans,Left,Cole Ragans,KCR,3.14,3.31,186.1,100.0,108.0,104.0,0.705,10.77,3.24,7.05,0.72,1.01,0.281,0.395,0.176,0.3,0.409,114.0,98.0,103.0,,,,105.0,101.0,106.0,,,,132.0,106.0,114.0,88.0,94.0,91.0,,0.418,0.113,0.128,,0.237,0.85,0.26,,-0.34,,1.43,95.4,90.7,84.8,,86.0,,0.213,0.361,0.231,0.348,0.455,0.228,0.183,0.28,0.478,0.14,0.256,0.352,,,,,,,0.21,0.305,0.337,,,,,,,,,,101.0,97.0,101.0,0.104,0.9,80.8
2024/09/29,4:36 PM.,PIT,NYY,home,Rain.,61,663559,3B,3,0,0,0,0,0,0,0,1,0,2,.273,.342,.318,.660,663559,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.81,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,,,,100.0,99.0,98.0,85.0,100.0,97.0,99.0,101.0,99.0,91.0,96.0,96.0,,,,0.142,0.484,,0.216,0.152,,0.38,,1.23,0.27,-1.24,,91.8,,,92.0,86.1,77.7,0.255,0.41,0.166,,,,,,,0.305,0.61,0.207,,,,0.26,0.448,0.157,0.245,0.304,0.287,43.0,95.0,70.0,0.006,-7.04,86.9,0.333,1.333,0.125,,,,,,
2024/09/28,1:08 PM.,PIT,NYY,home,Overcast.,65,694973,2B,3,1,1,0,0,0,0,0,1,0,1,.286,.348,.333,.681,694973,paulskenes,Skenes,Right,Paul Skenes,PIT,1.96,2.53,133.0,103.0,102.0,103.0,0.736,11.5,2.17,6.36,0.68,1.66,0.216,0.464,0.193,0.235,0.427,82.0,108.0,107.0,105.0,100.0,104.0,98.0,107.0,103.0,80.0,95.0,86.0,131.0,101.0,113.0,,,,0.284,0.392,,0.162,0.108,0.054,0.64,,3.52,0.8,-0.18,2.34,98.8,,87.3,94.0,85.4,83.0,0.23,0.351,0.242,,,,0.088,0.118,0.548,0.25,0.375,0.337,0.104,0.188,0.226,0.184,0.234,0.293,0.286,0.571,0.328,,,,,,,,,,,,,,,
2024/09/22,1:08 PM.,OAK,NYY,away,Sunny.,69,683155,DH,0,0,0,0,0,0,0,0,0,0,0,.283,.338,.333,.671,683155,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.43,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.302,0.479,78.0,93.0,94.0,,,,80.0,106.0,99.0,61.0,93.0,83.0,114.0,113.0,117.0,111.0,89.0,91.0,0.034,0.517,0.007,0.332,,0.111,0.08,-13.81,-1.55,-0.2,,-2.46,92.4,86.4,84.8,90.8,79.6,,0.257,0.469,0.175,,,,0.357,0.738,0.204,,,,0.217,0.367,0.216,0.263,0.579,0.147,0.261,0.435,0.223,,,,,,,,,,,,,,,
2024/09/21,6:07 PM.,OAK,NYY,away,Clear.,66,676664,3B,4,0,2,0,0,0,0,1,0,1,3,.283,.338,.333,.671,676664,jpsears,Sears,Left,JP Sears,OAK,4.38,4.43,180.2,99.0,90.0,94.0,0.8,6.82,2.44,8.57,1.39,0.79,0.244,0.413,0.171,0.325,0.443,84.0,94.0,83.0,,,,70.0,102.0,92.0,84.0,100.0,87.0,118.0,100.0,105.0,,,,0.106,0.363,,0.339,,0.192,-0.8,,1.37,-0.1,,-0.21,91.9,,84.0,90.0,78.9,,0.23,0.476,0.256,,,,0.297,0.428,0.188,,,,0.239,0.381,0.213,0.276,0.395,0.104,0.23,0.525,0.259,,,,,,,,,,,,,,,
2024/09/20,6:40 PM.,OAK,NYY,away,Clear.,62,669372,LF,0,1,0,0,0,0,0,0,0,0,0,.268,.317,.321,.638,669372,jtginn,Ginn,Right,J.T. Ginn,OAK,4.24,4.59,34.0,100.0,100.0,99.0,0.738,7.68,2.38,9.53,1.06,1.45,0.245,0.431,0.137,0.284,0.429,93.0,96.0,97.0,,,,72.0,76.0,78.0,100.0,102.0,99.0,107.0,102.0,103.0,,,,0.511,0.035,,0.309,,0.146,1.23,,-0.98,2.3,,-0.36,92.2,,87.0,92.9,85.3,,0.0,0.0,0.333,,,,0.389,0.556,0.375,,,,,,,0.319,0.472,0.205,0.158,0.237,0.355,,,,,,,,,,,,,,,
2024/09/17,6:41 PM.,SEA,NYY,away,Cloudy.,62,693433,2B,1,0,0,0,0,0,0,0,0,0,0,.268,.317,.321,.638,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,2.89,2.72,121.1,107.0,104.0,107.0,0.785,7.49,0.96,7.12,1.04,0.96,0.285,0.344,0.144,0.256,0.499,91.0,104.0,100.0,,,,97.0,109.0,107.0,116.0,109.0,109.0,113.0,101.0,107.0,,,,0.23,0.489,,0.187,,0.094,1.44,,1.85,1.23,,0.0,94.8,,89.6,94.7,84.2,,0.218,0.355,0.273,,,,0.186,0.373,0.207,,,,0.1,0.1,0.417,0.234,0.315,0.097,0.265,0.529,0.241,,,,,,,,,,,,,,,
