date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,SL_ba,SL_slg,SL_whiff,SV_ba,SV_slg,SV_whiff
2024/05/17,7:15 PM.,COL,SF,home,Partly Cloudy.,58,663372,C,4,0,0,0,0,0,0,0,1,0,6,.313,.421,.375,.796,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.31,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,117.0,95.0,102.0,108.0,107.0,113.0,81.0,102.0,96.0,93.0,93.0,89.0,109.0,99.0,104.0,,,,0.128,0.37,,0.254,0.101,0.147,0.63,,-0.45,-0.87,1.28,-1.02,94.6,,85.2,94.2,87.4,79.2,0.299,0.403,0.159,0.164,0.26,0.248,0.24,0.376,0.177,0.299,0.485,0.394,,,,,,,,,,,,,0.156,0.375,0.35,0.355,0.523,0.226,,,
2024/05/15,6:45 PM.,LAD,SF,home,Partly Cloudy.,58,622694,DH,4,0,1,0,0,0,0,0,0,2,1,.357,.455,.429,.884,622694,elieserhernandez,"Hernández, El",Right,Elieser Hernández,- - -,6.32,6.29,15.2,101.0,79.0,99.0,0.804,4.6,2.87,8.04,2.87,0.37,0.333,0.412,0.137,0.333,0.446,83.0,102.0,98.0,,,,79.0,97.0,98.0,64.0,104.0,87.0,87.0,97.0,105.0,81.0,105.0,104.0,0.068,0.434,0.283,0.032,,0.183,0.57,-3.91,-10.59,-5.91,,3.74,91.8,83.6,84.9,91.3,79.4,,0.286,1.143,0.111,,,,0.207,0.448,0.17,0.0,0.0,0.273,0.417,0.75,0.367,,,,,,,,,,,,,0.333,0.667,0.0,,,
2024/05/14,6:46 PM.,LAD,SF,home,Partly Cloudy.,56,694813,C,3,1,1,1,0,0,0,0,1,1,1,.375,.483,.458,.941,694813,gavinstone,Stone,Right,Gavin Stone,LAD,3.53,3.94,140.1,103.0,99.0,101.0,0.768,7.44,2.37,8.53,1.15,1.21,0.247,0.409,0.169,0.292,0.409,81.0,102.0,98.0,93.0,102.0,102.0,101.0,100.0,97.0,97.0,103.0,98.0,136.0,111.0,117.0,80.0,101.0,94.0,0.226,0.247,0.053,0.165,0.042,0.266,0.1,0.49,-0.69,0.96,1.45,0.82,94.9,92.3,87.5,95.3,88.7,83.3,0.314,0.504,0.136,0.267,0.333,0.167,0.246,0.41,0.162,0.178,0.356,0.372,0.32,0.48,0.183,,,,,,,,,,0.182,0.182,0.133,0.239,0.326,0.355,,,
2024/05/13,6:46 PM.,LAD,SF,home,Partly Cloudy.,59,808967,C,2,1,1,0,0,0,0,0,0,0,0,.381,.480,.429,.909,808967,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,,,,109.0,103.0,112.0,84.0,103.0,96.0,101.0,110.0,103.0,116.0,110.0,120.0,91.0,97.0,91.0,0.029,0.404,0.061,0.033,0.231,,0.77,0.28,-1.65,0.53,1.14,,95.5,91.5,,94.9,86.3,78.0,0.364,0.545,0.13,0.214,0.371,0.333,0.262,0.413,0.176,,,,0.35,0.55,0.2,121.0,112.0,119.0,0.242,0.25,90.2,0.17,0.266,0.386,,,,0.158,0.211,0.357,,,
2024/05/12,1:06 PM.,CIN,SF,home,Partly Cloudy.,57,593423,C,3,0,1,0,0,0,0,0,1,0,0,.368,.478,.421,.899,593423,frankiemontas,Montas,Right,Frankie Montas,- - -,4.84,4.71,150.2,101.0,98.0,99.0,0.777,8.84,3.94,8.36,1.43,1.1,0.235,0.376,0.147,0.311,0.418,,,,,,,83.0,105.0,98.0,83.0,100.0,98.0,117.0,103.0,106.0,109.0,95.0,95.0,0.191,0.332,0.187,0.107,,,-0.02,-1.4,1.13,-1.94,,,95.6,90.4,,94.8,85.4,,0.248,0.407,0.113,,,,0.206,0.367,0.231,,,,0.326,0.609,0.223,119.0,99.0,105.0,0.183,-0.23,86.0,0.218,0.297,0.426,,,,0.288,0.577,0.325,,,
2024/05/10,7:15 PM.,CIN,SF,home,Clear.,64,671096,PH,1,0,0,0,0,0,0,0,0,1,1,.375,.444,.438,.882,671096,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.72,4.02,138.0,98.0,92.0,97.0,0.805,7.43,3.39,8.28,1.63,0.68,0.256,0.364,0.16,0.287,0.428,96.0,94.0,97.0,101.0,98.0,99.0,78.0,96.0,89.0,,,,125.0,106.0,112.0,,,,,0.535,,0.186,0.116,0.163,-0.26,,,0.49,-1.56,0.23,92.8,,84.8,,82.9,80.8,,,,0.327,0.653,0.179,0.254,0.451,0.194,0.214,0.429,0.273,,,,,,,,,,,,,0.189,0.307,0.287,,,,,,
2024/05/09,1:09 PM.,COL,SF,away,Cloudy.,51,615698,DH,3,0,0,0,0,0,0,0,1,1,0,.400,.471,.467,.938,615698,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.98,5.31,148.1,96.0,90.0,94.0,0.81,6.67,4.19,9.47,1.4,1.33,0.219,0.425,0.133,0.367,0.407,88.0,97.0,103.0,98.0,101.0,104.0,,,,79.0,95.0,89.0,,,,76.0,96.0,93.0,0.402,,0.135,,0.126,0.018,,-0.41,-2.0,,-0.77,1.81,,87.8,84.9,93.8,,79.6,0.35,0.596,0.184,0.25,0.531,0.282,,,,0.222,0.222,0.167,0.296,0.507,0.203,109.0,94.0,97.0,0.32,0.4,86.5,0.206,0.314,0.234,,,,,,,,,
2024/05/08,6:41 PM.,COL,SF,away,Partly Cloudy.,56,663567,C,4,0,3,1,0,0,1,0,0,1,2,.500,.538,.583,1.121,663567,peterlambert,"Lambert, P",Right,Peter Lambert,COL,5.72,4.46,61.1,95.0,96.0,95.0,0.805,7.34,4.26,10.71,1.03,1.09,0.288,0.439,0.146,0.308,0.416,90.0,93.0,94.0,89.0,99.0,95.0,88.0,93.0,91.0,87.0,97.0,93.0,118.0,96.0,103.0,,,,0.023,0.385,0.01,0.188,0.144,0.25,-0.84,-4.56,-0.8,-0.87,-3.8,-0.05,94.5,90.0,87.0,93.9,86.9,80.4,0.25,0.25,0.0,0.375,1.0,0.222,0.315,0.528,0.117,0.23,0.328,0.376,,,,,,,,,,,,,,,,0.34,0.472,0.19,0.308,0.462,0.27
2024/05/07,6:40 PM.,COL,SF,away,Partly Cloudy.,50,641712,C,3,1,1,0,0,0,0,0,1,1,0,.375,.444,.375,.819,641712,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,6.17,6.01,89.0,95.0,84.0,91.0,0.832,4.96,5.06,10.01,1.11,1.77,0.213,0.423,0.147,0.367,0.416,84.0,94.0,93.0,103.0,97.0,100.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,,,,0.327,0.153,0.005,0.244,0.172,0.1,-2.2,-18.69,-0.07,-0.31,0.48,-4.94,89.9,86.9,83.5,90.4,84.1,80.3,0.306,0.448,0.076,0.13,0.217,0.33,0.302,0.509,0.079,0.379,0.69,0.146,,,,,,,,,,,,,,,,0.289,0.361,0.318,,,
2024/05/05,7:11 PM.,PHI,SF,away,Cloudy.,59,592836,C,2,0,0,0,0,0,0,0,0,2,1,.400,.400,.400,.800,592836,taijuanwalker,"Walker, T",Right,Taijuan Walker,PHI,7.1,7.09,83.2,98.0,88.0,95.0,0.847,6.24,3.98,11.51,2.58,0.93,0.184,0.442,0.131,0.389,0.429,,,,87.0,96.0,97.0,61.0,93.0,83.0,78.0,98.0,91.0,56.0,108.0,104.0,95.0,91.0,87.0,0.275,0.126,0.094,0.178,0.108,,-2.65,-4.99,-2.96,2.03,1.99,,91.5,87.3,,91.1,85.1,74.7,0.378,0.684,0.082,0.172,0.31,0.149,0.346,0.615,0.232,,,,0.435,1.087,0.093,108.0,101.0,106.0,0.219,-4.16,86.7,0.38,0.652,0.163,0.157,0.314,0.28,,,,,,
