date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,FO%,KC%,wFO/C,wKC/C,vFO,vKC,vKN (sc),KN%,wKN/C
2024/08/15,1:10 PM.,SEA,DET,home,Sunny.,80,682243,RF,3,0,0,0,0,0,0,0,0,1,2,.137,.220,.301,.521,682243,brycemiller,"Miller, B",Right,Bryce Miller,SEA,2.94,3.72,180.1,101.0,112.0,105.0,0.774,8.53,2.25,6.54,1.05,0.86,0.249,0.404,0.14,0.318,0.442,,,,,,,124.0,102.0,106.0,122.0,96.0,101.0,0.423,0.168,,,1.53,-0.21,,,95.2,,84.5,,0.184,0.348,0.266,0.243,0.568,0.261,0.231,0.308,0.378,,,,100.0,102.0,99.0,0.171,1.55,94.7,0.248,0.358,0.092,0.24,0.4,0.188,93.0,80.0,85.0,0.023,0.14,92.1,0.25,0.333,0.207,95.0,107.0,111.0,0.171,1.51,84.4,0.148,0.225,0.29,92.0,104.0,111.0,,0.044,,-0.4,,85.0,,,
2024/08/14,6:40 PM.,SEA,DET,home,Clear.,82,693433,PH,1,0,1,1,0,0,1,0,0,0,0,.143,.228,.314,.542,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,2.89,2.72,121.1,107.0,104.0,107.0,0.785,7.49,0.96,7.12,1.04,0.96,0.285,0.344,0.144,0.256,0.499,91.0,104.0,100.0,,,,97.0,109.0,107.0,113.0,101.0,107.0,0.489,0.187,,0.094,1.44,1.23,,0.0,94.8,89.6,84.2,,0.218,0.355,0.273,0.265,0.529,0.241,,,,0.186,0.373,0.207,116.0,109.0,109.0,0.23,1.85,94.7,0.234,0.315,0.097,0.1,0.1,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/13,6:40 PM.,SEA,DET,home,Clear.,81,669923,RF,1,0,0,0,0,0,0,0,0,0,1,.130,.218,.290,.508,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.44,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.294,0.446,,,,,,,102.0,107.0,101.0,110.0,104.0,110.0,0.339,0.237,,,0.46,1.28,,,96.0,,87.2,,0.221,0.458,0.291,0.226,0.316,0.271,0.333,0.439,0.286,,,,106.0,108.0,108.0,0.236,1.5,96.0,0.263,0.354,0.105,,,,97.0,99.0,93.0,0.004,0.79,92.3,,,,109.0,100.0,108.0,0.102,-2.05,86.0,0.253,0.413,0.295,114.0,110.0,113.0,,0.082,,-1.95,,83.4,73.9,0.0,-3.5
2024/08/11,1:06 PM.,SF,DET,away,Partly Cloudy.,62,806185,RF,4,0,1,0,0,0,0,0,0,1,3,.132,.221,.294,.515,806185,haydenbirdsong,Birdsong,Right,Hayden Birdsong,SFG,4.75,4.65,72.0,92.0,111.0,97.0,0.728,11.0,5.38,7.13,1.38,0.96,0.239,0.394,0.1,0.417,0.382,155.0,91.0,114.0,111.0,102.0,104.0,90.0,89.0,85.0,119.0,90.0,100.0,0.446,0.184,0.187,0.184,-0.02,-0.26,0.82,-0.87,95.8,88.1,86.4,80.5,0.216,0.44,0.182,0.244,0.512,0.487,0.145,0.218,0.327,0.269,0.365,0.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/10,1:06 PM.,SF,DET,away,Partly Cloudy.,66,657277,LF,4,0,1,0,0,0,0,0,0,1,0,.125,.219,.297,.516,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.31,204.2,104.0,111.0,106.0,0.814,7.56,2.2,8.88,0.48,2.5,0.23,0.36,0.17,0.292,0.403,137.0,105.0,112.0,,,,57.0,106.0,88.0,126.0,104.0,114.0,0.053,0.212,,0.309,0.2,0.16,,-0.13,92.6,87.4,83.8,,0.179,0.231,0.329,,,,,,,0.275,0.411,0.216,95.0,104.0,102.0,0.399,1.32,92.6,0.268,0.338,0.144,0.239,0.331,0.268,52.0,95.0,88.0,0.026,4.3,91.0,0.077,0.077,0.265,,,,,,,,,,,,,,,,,,,,,
2024/07/11,1:09 PM.,CLE,DET,home,Sunny.,83,675921,CF,1,0,0,0,0,0,0,0,0,0,0,.117,.217,.300,.517,675921,spencerhoward,Howard,Right,Spencer Howard,- - -,6.21,5.35,29.0,103.0,86.0,96.0,0.79,8.38,4.34,13.66,1.55,0.89,0.32,0.379,0.136,0.398,0.477,104.0,92.0,87.0,77.0,105.0,97.0,74.0,107.0,97.0,101.0,104.0,101.0,0.51,0.251,0.069,0.169,-1.3,-2.27,-1.96,-4.38,93.8,80.1,85.3,75.7,0.353,0.5,0.188,0.394,0.606,0.333,0.167,0.167,0.091,0.286,0.714,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/10,6:40 PM.,CLE,DET,home,Overcast.,67,676440,LF,3,0,0,0,0,0,0,0,0,3,1,.119,.221,.305,.526,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,119.0,109.0,112.0,92.0,103.0,98.0,113.0,102.0,109.0,0.434,0.278,0.105,0.18,-0.69,1.74,-0.9,0.13,94.6,82.5,86.2,81.3,0.282,0.476,0.213,0.196,0.411,0.299,0.208,0.458,0.184,0.238,0.431,0.291,89.0,64.0,93.0,0.003,-1.41,93.9,,,,,,,,,,,,,0.141,0.225,0.368,,,,,,,,,,,,,,,,,,,,,
2024/07/09,6:40 PM.,CLE,DET,home,Cloudy.,83,594902,PR,0,0,0,0,0,0,0,0,0,0,0,.125,.231,.321,.552,594902,benlively,Lively,Right,Ben Lively,CLE,3.81,4.0,151.0,102.0,67.0,92.0,0.83,7.03,2.92,8.28,1.37,1.02,0.228,0.407,0.128,0.309,0.433,75.0,108.0,95.0,43.0,106.0,93.0,57.0,94.0,83.0,105.0,102.0,101.0,0.314,0.218,0.088,0.091,-0.21,-0.01,-0.11,-0.79,89.9,83.9,79.4,76.9,0.268,0.504,0.166,0.238,0.476,0.419,0.206,0.365,0.18,0.279,0.382,0.185,57.0,108.0,94.0,0.29,0.56,90.4,0.227,0.392,0.133,0.231,0.413,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/08,6:40 PM.,CLE,DET,home,Partly Cloudy.,88,668909,LF,3,0,0,0,0,0,0,0,0,2,1,.125,.231,.321,.552,668909,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,4.86,4.22,76.0,101.0,99.0,102.0,0.788,9.36,3.79,8.53,0.83,1.06,0.317,0.349,0.142,0.317,0.42,66.0,96.0,101.0,121.0,101.0,105.0,97.0,102.0,102.0,95.0,80.0,96.0,0.515,0.113,0.198,0.054,0.08,-0.16,-0.01,-3.82,96.6,89.2,88.6,79.5,0.286,0.421,0.22,0.258,0.387,0.242,0.155,0.31,0.304,0.417,0.833,0.148,,,,,,,,,,,,,98.0,99.0,94.0,0.12,0.56,91.6,0.205,0.333,0.341,,,,,,,,,,,,,,,,,,,,,
2024/07/04,12:11 PM.,MIN,DET,away,Drizzle.,69,641927,CF,0,0,0,0,0,0,0,0,0,0,0,.132,.242,.340,.582,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,116.0,111.0,111.0,94.0,99.0,103.0,81.0,104.0,96.0,74.0,100.0,101.0,0.381,0.118,0.011,0.294,-0.01,2.03,4.57,1.98,91.7,83.4,80.3,76.0,0.258,0.506,0.222,0.095,0.162,0.307,0.0,0.0,0.375,0.154,0.285,0.395,,,,,,,,,,,,,84.0,104.0,100.0,0.195,-0.86,86.2,0.279,0.504,0.229,,,,,,,,,,,,,,,,,,,,,
