date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CU%,wSI/C,wCU/C,vSI,vCU,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024/05/22,6:40 PM.,COL,OAK,home,Clear.,64,596295,LF,0,1,0,0,0,0,0,0,0,0,0,.200,.270,.382,.652,596295,austingomber,Gomber,Left,Austin Gomber,COL,4.75,5.07,165.0,102.0,82.0,98.0,0.821,6.33,2.07,9.71,1.64,0.92,0.213,0.423,0.122,0.394,0.446,82.0,103.0,99.0,71.0,98.0,91.0,91.0,103.0,102.0,93.0,109.0,107.0,,,,0.404,,0.167,0.224,0.205,-1.23,,-0.17,-0.08,-0.15,90.4,,81.1,83.8,77.6,0.274,0.513,0.22,0.305,0.6,0.096,0.28,0.409,0.273,0.22,0.368,0.269,,,,,,,,,,51.0,110.0,96.0,0.001,,-42.96,,90.1,,,,,,,,,,,,,,,,
2024/05/21,6:40 PM.,COL,OAK,home,Clear.,72,615698,LF,0,0,0,0,0,0,0,1,0,0,0,.200,.270,.382,.652,615698,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.98,5.31,148.1,96.0,90.0,94.0,0.81,6.67,4.19,9.47,1.4,1.33,0.219,0.425,0.133,0.367,0.407,88.0,97.0,103.0,,,,,,,,,,76.0,96.0,93.0,,0.135,,,0.018,,-0.41,,,1.81,,87.8,84.9,,,,,,,,,0.222,0.222,0.167,0.25,0.531,0.282,0.296,0.507,0.203,,,,98.0,101.0,104.0,79.0,95.0,89.0,0.402,0.126,-2.0,-0.77,93.8,79.6,0.35,0.596,0.184,109.0,94.0,97.0,0.32,0.4,86.5,0.206,0.314,0.234,,,
2024/05/18,6:10 PM.,KC,OAK,away,Clear.,87,607625,LF,3,0,0,0,0,0,0,0,0,2,1,.200,.270,.382,.652,607625,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,3.0,3.75,206.2,101.0,97.0,100.0,0.795,7.88,2.09,7.71,0.7,1.2,0.212,0.386,0.156,0.303,0.43,93.0,100.0,98.0,75.0,103.0,95.0,125.0,97.0,105.0,,,,97.0,103.0,103.0,0.24,0.082,0.135,,0.069,0.7,2.86,-0.67,,0.08,92.2,90.1,87.4,85.2,,0.213,0.387,0.2,0.234,0.392,0.176,0.208,0.333,0.291,0.178,0.271,0.339,0.228,0.228,0.23,0.375,0.75,0.109,126.0,100.0,110.0,68.0,101.0,92.0,0.185,0.262,0.65,1.44,92.1,79.4,0.274,0.381,0.129,93.0,107.0,106.0,0.026,0.07,85.7,0.105,0.421,0.351,0.215,0.28,0.285
2024/05/16,7:11 PM.,HOU,OAK,away,Roof Closed.,73,664299,LF,1,0,0,0,0,0,0,0,0,1,0,.212,.283,.404,.687,664299,cristianjavier,Javier,Right,Cristian Javier,HOU,3.89,4.56,34.2,92.0,113.0,96.0,0.765,7.01,4.93,7.79,1.04,0.49,0.221,0.433,0.115,0.288,0.391,137.0,96.0,104.0,101.0,88.0,89.0,113.0,93.0,99.0,81.0,95.0,97.0,,,,0.393,,0.295,0.044,0.268,-1.3,,0.38,-5.23,1.39,91.7,,81.2,77.5,75.2,0.205,0.341,0.25,0.256,0.535,0.27,0.194,0.306,0.276,0.5,0.667,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/05/15,7:12 PM.,HOU,OAK,away,Roof Closed.,73,664285,CF,2,0,0,0,0,0,0,0,0,2,0,.216,.288,.412,.700,664285,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,2.91,3.41,176.1,97.0,114.0,102.0,0.744,8.63,2.81,7.15,0.66,3.02,0.205,0.416,0.129,0.321,0.425,130.0,96.0,104.0,60.0,102.0,94.0,107.0,102.0,110.0,,,,,,,0.012,,0.043,,0.175,-4.64,,-0.2,,0.62,94.5,,89.9,85.1,,0.233,0.467,0.383,0.4,1.0,0.273,0.226,0.278,0.354,0.121,0.187,0.398,,,,,,,129.0,96.0,108.0,98.0,99.0,97.0,0.458,0.313,1.46,1.59,94.1,79.7,0.276,0.399,0.116,,,,,,,,,,,,
2024/05/14,7:10 PM.,HOU,OAK,away,Roof Closed.,73,669854,CF,1,0,0,0,0,0,0,0,0,1,2,.224,.298,.429,.727,669854,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.8,4.0,167.1,100.0,94.0,98.0,0.733,8.93,3.66,6.13,1.18,0.95,0.21,0.453,0.178,0.317,0.405,119.0,104.0,108.0,85.0,95.0,90.0,89.0,103.0,101.0,,,,,,,0.383,,0.302,,0.221,-0.42,,2.24,,-0.16,93.4,,85.2,86.4,,0.18,0.284,0.333,0.232,0.497,0.192,0.188,0.356,0.343,0.071,0.071,0.376,,,,,,,75.0,96.0,100.0,,,,,0.094,,2.55,,80.1,,,,,,,,,,,,,,,
2024/05/13,7:10 PM.,HOU,OAK,away,Roof Closed.,73,681293,PR,0,0,0,0,0,0,0,0,0,0,0,.229,.304,.438,.742,681293,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.53,4.05,145.0,99.0,95.0,99.0,0.739,10.61,4.03,8.63,1.3,0.85,0.247,0.437,0.147,0.314,0.444,89.0,97.0,90.0,91.0,100.0,99.0,117.0,93.0,101.0,,,,66.0,98.0,96.0,0.41,0.196,0.108,,0.086,-1.33,0.57,0.99,,-2.52,94.1,88.2,85.5,80.8,,,,,0.303,0.528,0.198,0.395,0.512,0.378,0.171,0.282,0.424,0.248,0.444,0.228,0.113,0.226,0.386,118.0,98.0,104.0,,,,,0.2,,0.8,,78.4,,,,,,,,,,,,,,,
2024/05/11,6:41 PM.,SEA,OAK,away,Clear.,76,682243,LF,0,1,0,0,0,0,0,0,0,0,0,.229,.304,.438,.742,682243,brycemiller,"Miller, B",Right,Bryce Miller,SEA,2.94,3.72,180.1,101.0,112.0,105.0,0.774,8.53,2.25,6.54,1.05,0.86,0.249,0.404,0.14,0.318,0.442,,,,124.0,102.0,106.0,122.0,96.0,101.0,92.0,104.0,111.0,93.0,80.0,85.0,0.423,0.023,0.168,0.044,,1.53,0.14,-0.21,-0.4,,95.2,92.1,,84.5,85.0,0.243,0.568,0.261,0.184,0.348,0.266,,,,0.231,0.308,0.378,0.25,0.333,0.207,0.24,0.4,0.188,,,,100.0,102.0,99.0,0.171,,1.55,,94.7,,0.248,0.358,0.092,95.0,107.0,111.0,0.171,1.51,84.4,0.148,0.225,0.29,,,
2024/05/08,3:35 PM.,TEX,OAK,home,Clear.,79,683004,PR,0,0,0,0,0,0,0,0,0,0,0,.229,.304,.438,.742,683004,jackleiter,Leiter,Right,Jack Leiter,TEX,8.83,6.25,35.2,97.0,121.0,103.0,0.745,7.82,4.29,11.1,1.77,0.88,0.248,0.38,0.149,0.322,0.402,106.0,77.0,85.0,133.0,98.0,105.0,118.0,104.0,109.0,,,,58.0,65.0,57.0,0.519,0.018,0.291,,0.058,-2.71,-13.12,-0.99,,1.36,96.4,91.1,89.5,86.8,,0.286,0.429,0.218,0.35,0.625,0.289,0.125,0.125,0.357,0.118,0.294,0.387,,,,,,,90.0,95.0,100.0,,,,,0.114,,0.97,,81.4,,,,,,,,,,,,,,,
2024/05/08,12:37 PM.,TEX,OAK,home,Sunny.,75,547179,LF,4,0,0,0,0,0,0,0,0,1,3,.229,.304,.438,.742,547179,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,3.31,4.59,130.1,97.0,93.0,95.0,0.796,6.7,4.14,6.97,1.17,1.03,0.249,0.386,0.188,0.322,0.411,93.0,101.0,99.0,84.0,95.0,89.0,126.0,98.0,108.0,,,,94.0,92.0,91.0,0.272,0.1,0.149,,0.188,1.0,0.04,-1.51,,1.94,93.8,90.1,84.6,83.9,,0.368,0.632,0.253,0.155,0.309,0.184,0.122,0.173,0.373,0.217,0.348,0.352,0.235,0.51,0.236,0.19,0.429,0.291,102.0,93.0,96.0,81.0,102.0,94.0,0.212,0.079,-0.25,0.02,93.6,81.7,0.291,0.441,0.062,,,,,,,,,,,,
