date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff,KC%,wKC/C,vKC,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024/09/14,6:05 PM.,SF,SD,away,Clear.,59,696131,SS,0,0,0,0,0,0,0,0,0,0,0,.204,.278,.245,.523,696131,masonblack,Black,Right,Mason Black,SFG,6.44,6.13,36.1,101.0,99.0,99.0,0.858,7.68,3.72,11.39,1.73,0.69,0.225,0.392,0.167,0.367,0.431,92.0,88.0,77.0,,,,86.0,103.0,98.0,109.0,97.0,101.0,0.321,0.371,,0.023,-2.69,-0.68,,-13.48,92.4,87.6,83.3,,0.333,0.548,0.236,0.0,0.0,0.179,0.667,0.833,0.0,,,,101.0,100.0,97.0,,,,0.285,,,-1.0,,92.6,0.326,0.535,0.08,0.318,0.591,0.16,,,,,,,,,,,,,,,,,,,,,
2024/09/08,1:11 PM.,SF,SD,home,Sunny.,91,702352,SS,1,0,0,0,0,0,0,0,0,0,0,.204,.278,.245,.523,702352,spencerbivens,Bivens,Right,Spencer Bivens,SFG,3.14,4.05,48.2,102.0,102.0,101.0,0.835,6.84,2.03,8.69,1.66,1.61,0.268,0.405,0.157,0.32,0.447,106.0,103.0,103.0,,,,72.0,90.0,77.0,136.0,104.0,110.0,0.061,0.238,,0.135,-2.59,0.96,,0.19,94.2,88.6,81.0,,0.25,0.625,0.235,,,,0.16,0.4,0.174,,,,91.0,101.0,101.0,83.0,110.0,99.0,0.466,0.099,2.89,-0.78,90.9,94.4,0.307,0.489,0.108,0.205,0.341,0.326,0.217,0.348,0.182,,,,,,,,,,,,,,,,,,
2024/09/07,5:41 PM.,SF,SD,home,Clear.,88,657277,SS,2,0,0,0,0,0,0,0,0,1,2,.208,.283,.250,.533,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.47,4.31,204.2,104.0,111.0,106.0,0.814,7.56,2.2,8.88,0.48,2.5,0.23,0.36,0.17,0.292,0.403,137.0,105.0,112.0,,,,57.0,106.0,88.0,126.0,104.0,114.0,0.053,0.212,,0.309,0.2,0.16,,-0.13,92.6,87.4,83.8,,0.179,0.231,0.329,,,,0.275,0.411,0.216,,,,95.0,104.0,102.0,52.0,95.0,88.0,0.399,0.026,4.3,1.32,91.0,92.6,0.268,0.338,0.144,0.239,0.331,0.268,0.077,0.077,0.265,,,,,,,,,,,,,,,,,,
2024/09/06,6:41 PM.,SF,SD,home,Partly Cloudy.,79,696131,SS,3,0,0,0,0,0,0,0,0,3,1,.217,.294,.261,.555,696131,masonblack,Black,Right,Mason Black,SFG,6.44,6.13,36.1,101.0,99.0,99.0,0.858,7.68,3.72,11.39,1.73,0.69,0.225,0.392,0.167,0.367,0.431,92.0,88.0,77.0,,,,86.0,103.0,98.0,109.0,97.0,101.0,0.321,0.371,,0.023,-2.69,-0.68,,-13.48,92.4,87.6,83.3,,0.333,0.548,0.236,0.0,0.0,0.179,0.667,0.833,0.0,,,,101.0,100.0,97.0,,,,0.285,,,-1.0,,92.6,0.326,0.535,0.08,0.318,0.591,0.16,,,,,,,,,,,,,,,,,,,,,
2024/09/05,5:43 PM.,DET,SD,home,Clear.,85,663554,SS,3,0,0,0,0,0,0,0,0,1,1,.233,.313,.279,.592,663554,caseymize,Mize,Right,Casey Mize,DET,4.49,4.74,102.1,102.0,107.0,101.0,0.803,6.86,2.55,10.64,0.97,1.65,0.227,0.405,0.149,0.335,0.435,,,,,,,106.0,105.0,102.0,107.0,101.0,102.0,0.386,0.277,,,-0.47,-0.46,,,95.5,,85.7,,0.306,0.428,0.205,0.271,0.5,0.218,,,,0.261,0.522,0.216,92.0,108.0,105.0,,,,0.08,,,1.3,,95.5,0.293,0.341,0.08,,,,,,,,,,0.075,-2.21,79.6,102.0,90.0,94.0,112.0,99.0,102.0,0.181,-1.06,86.2,0.286,0.405,0.322
2024/09/04,6:42 PM.,DET,SD,home,Clear.,80,672456,SS,4,0,0,0,0,0,0,0,0,1,6,.250,.333,.300,.633,672456,keidermontero,Montero,Right,Keider Montero,DET,4.76,5.24,98.1,100.0,96.0,100.0,0.805,7.05,2.84,9.15,1.74,1.07,0.236,0.442,0.133,0.346,0.467,83.0,95.0,94.0,,,,92.0,100.0,96.0,110.0,99.0,104.0,0.421,0.28,,0.109,-0.19,0.02,,-2.78,94.8,86.0,83.5,,0.27,0.486,0.18,0.235,0.391,0.259,0.289,0.474,0.329,0.269,0.615,0.224,90.0,101.0,97.0,,,,0.078,,,1.09,,94.1,0.32,0.32,0.038,,,,,,,,,,0.112,-3.94,78.8,95.0,102.0,111.0,,,,,,,,,
2024/09/02,3:42 PM.,DET,SD,home,Sunny.,77,663947,SS,3,1,2,0,0,0,0,0,0,0,0,.278,.366,.333,.699,663947,tylerholton,Holton,Left,Tyler Holton,DET,2.19,2.78,94.1,103.0,83.0,99.0,0.767,7.35,1.62,5.44,0.67,1.3,0.207,0.371,0.172,0.262,0.417,59.0,104.0,101.0,109.0,94.0,100.0,79.0,100.0,91.0,113.0,97.0,105.0,0.152,0.155,0.015,0.189,4.5,1.73,1.83,0.4,92.1,83.6,80.6,79.2,0.105,0.14,0.257,,,,0.25,0.382,0.289,,,,77.0,105.0,97.0,85.0,105.0,101.0,0.216,0.273,1.85,2.61,87.6,91.5,0.156,0.338,0.094,0.13,0.174,0.379,0.194,0.292,0.253,,,,,,,,,,,,,,,,,,
2024/09/01,2:08 PM.,TB,SD,away,Dome.,72,686752,SS,2,0,0,0,0,0,0,0,0,1,1,.242,.342,.303,.645,686752,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.6,3.64,130.0,99.0,116.0,106.0,0.73,9.83,3.32,7.06,1.18,0.77,0.276,0.405,0.17,0.308,0.422,118.0,105.0,117.0,140.0,75.0,84.0,115.0,98.0,102.0,119.0,95.0,106.0,0.506,0.173,0.027,0.235,1.07,0.51,-1.47,-0.47,94.9,85.8,89.0,80.6,0.181,0.33,0.316,0.267,0.407,0.317,0.216,0.353,0.286,0.167,0.167,0.5,,,,100.0,103.0,100.0,,0.06,-0.88,,91.6,,,,,,,,0.276,0.586,0.141,,,,,,,,,,,,,,,,,,
2024/08/31,4:12 PM.,TB,SD,away,Dome.,72,669358,SS,3,1,2,1,0,0,1,0,0,1,0,.258,.361,.323,.684,669358,shanebaz,Baz,Right,Shane Baz,TBR,3.06,3.62,79.1,100.0,115.0,103.0,0.779,7.83,3.06,6.47,1.02,0.91,0.269,0.402,0.142,0.342,0.456,85.0,97.0,94.0,119.0,104.0,109.0,121.0,101.0,104.0,111.0,96.0,100.0,0.479,0.213,0.205,0.103,0.81,-0.08,1.71,2.88,95.6,88.1,87.3,83.6,0.252,0.37,0.221,0.164,0.4,0.222,0.115,0.115,0.276,0.169,0.247,0.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/30,6:50 PM.,TB,SD,away,Dome.,72,671737,SS,5,0,0,0,0,0,0,0,0,4,6,.214,.333,.250,.583,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,4.11,4.17,138.0,98.0,116.0,103.0,0.748,10.04,3.07,7.96,1.43,1.06,0.247,0.394,0.102,0.394,0.426,,,,100.0,91.0,93.0,129.0,97.0,102.0,,,,0.417,,0.089,,-0.04,,-1.5,,96.4,,,79.1,0.269,0.5,0.21,,,,,,,0.241,0.483,0.346,,,,91.0,100.0,98.0,,0.225,1.02,,90.9,,,,,,,,0.205,0.357,0.324,,,,,,,,,,123.0,102.0,114.0,0.269,0.47,90.9,0.213,0.32,0.33
2024/08/29,1:17 PM.,STL,SD,away,Sunny.,92,543243,SS,0,0,0,0,0,0,0,0,0,0,0,.261,.393,.304,.697,543243,sonnygray,"Gray, S",Right,Sonny Gray,STL,3.84,3.67,166.1,103.0,110.0,105.0,0.723,10.98,2.11,7.68,1.14,1.2,0.219,0.421,0.151,0.341,0.426,69.0,91.0,86.0,119.0,96.0,97.0,107.0,97.0,101.0,152.0,114.0,125.0,0.239,0.201,0.139,0.064,-0.05,0.94,0.7,-2.25,92.4,88.3,84.8,80.0,0.333,0.567,0.182,,,,0.357,0.714,0.328,0.21,0.452,0.331,93.0,114.0,112.0,92.0,98.0,96.0,0.178,0.178,0.19,1.64,87.7,92.7,0.2,0.385,0.208,0.142,0.205,0.444,0.287,0.494,0.308,,,,0.0,-2.42,75.4,,,,,,,,,,,,
2024/08/28,6:46 PM.,STL,SD,away,Cloudy.,87,669467,SS,3,0,0,0,0,0,0,0,1,1,1,.261,.393,.304,.697,669467,andrepallante,Pallante,Right,Andre Pallante,STL,3.78,3.46,121.1,96.0,91.0,97.0,0.82,6.97,3.56,8.16,0.59,2.71,0.23,0.416,0.184,0.266,0.434,,,,,,,87.0,91.0,92.0,111.0,105.0,110.0,0.512,0.172,,,1.34,-0.64,,,94.5,,87.5,,0.23,0.297,0.162,0.294,0.435,0.282,,,,0.157,0.257,0.345,85.0,98.0,89.0,,,,0.19,,,-0.25,,94.8,0.265,0.373,0.132,,,,,,,,,,0.126,0.42,79.5,88.0,102.0,109.0,,,,,,,,,
2024/08/27,6:45 PM.,STL,SD,away,Clear.,98,571945,SS,3,2,1,1,0,0,1,1,1,0,1,.300,.417,.350,.767,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.35,4.65,171.2,109.0,87.0,103.0,0.859,6.4,1.31,10.17,1.36,1.15,0.243,0.406,0.152,0.33,0.495,85.0,103.0,98.0,94.0,109.0,106.0,65.0,107.0,98.0,116.0,112.0,114.0,0.279,0.283,0.116,0.085,0.23,-1.19,-1.97,-4.2,93.2,85.6,85.7,76.6,0.287,0.446,0.178,0.301,0.506,0.164,0.394,0.742,0.159,0.267,0.52,0.231,80.0,111.0,99.0,,,,0.231,,,1.42,,92.4,0.237,0.382,0.108,0.273,0.545,0.275,,,,,,,0.005,4.24,69.6,,,,,,,,,,,,
2024/08/26,6:45 PM.,STL,SD,away,Clear.,92,502043,SS,4,0,0,0,0,0,0,0,0,1,2,.294,.400,.294,.694,502043,kylegibson,Gibson,Right,Kyle Gibson,STL,4.24,4.87,169.2,98.0,93.0,95.0,0.756,8.01,3.61,8.54,1.22,1.29,0.218,0.431,0.166,0.351,0.359,99.0,92.0,89.0,102.0,103.0,104.0,80.0,88.0,83.0,104.0,102.0,105.0,0.132,0.207,0.086,0.099,-1.39,0.92,-2.21,1.2,91.4,84.9,80.7,78.3,0.268,0.563,0.065,,,,0.19,0.254,0.39,0.325,0.675,0.462,84.0,101.0,96.0,96.0,95.0,91.0,0.264,0.211,0.21,0.22,88.6,90.7,0.267,0.422,0.092,0.2,0.312,0.412,0.299,0.479,0.181,,,,,,,,,,,,,,,,,,
2024/08/25,1:11 PM.,NYM,SD,home,Sunny.,79,500779,SS,2,1,1,0,0,0,0,0,1,0,0,.385,.500,.385,.885,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,110.0,100.0,99.0,70.0,92.0,85.0,,,,0.225,,0.278,0.193,-0.32,,-0.04,0.5,90.7,85.7,,77.7,0.227,0.427,0.169,,,,0.203,0.26,0.367,0.265,0.444,0.264,76.0,97.0,91.0,,,,0.304,,,0.82,,90.8,0.249,0.431,0.131,,,,,,,0.195,0.366,0.284,,,,,,,,,,,,,,,
