date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CH%,wFC/C,wSI/C,wCH/C,vFC,vCH,vSI,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2024/09/29,1:11 PM.,LAD,COL,home,Partly Cloudy.,85,607455,CF,3,1,1,0,0,1,1,0,1,1,3,.239,.305,.507,.812,607455,anthonybanda,Banda,Left,Anthony Banda,LAD,3.08,3.26,49.2,101.0,94.0,100.0,0.716,9.06,3.26,7.97,0.91,1.2,0.281,0.367,0.187,0.331,0.435,,,,91.0,101.0,97.0,109.0,98.0,102.0,,,,0.349,,0.281,0.006,0.24,,1.51,1.46,96.1,,85.7,82.2,0.231,0.415,0.212,,,,,,,0.154,0.25,0.513,71.0,104.0,102.0,89.0,102.0,100.0,57.0,104.0,92.0,0.24,0.001,0.123,-2.1,1.52,-1.58,83.2,90.0,96.0,0.283,0.304,0.124,,,,0.364,0.5,0.392,,,,,,,,,,,,,,,,,,
2024/09/28,6:12 PM.,LAD,COL,home,Clear.,86,808967,CF,2,0,0,0,0,0,0,0,0,1,2,.237,.300,.489,.789,808967,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,109.0,103.0,112.0,84.0,103.0,96.0,116.0,110.0,120.0,121.0,112.0,119.0,0.404,0.242,0.033,0.231,0.77,0.25,0.53,1.14,95.5,90.2,86.3,78.0,0.262,0.413,0.176,0.17,0.266,0.386,0.214,0.371,0.333,0.158,0.211,0.357,,,,101.0,110.0,103.0,91.0,97.0,91.0,0.029,0.061,,0.28,-1.65,,91.5,,94.9,0.364,0.545,0.13,0.35,0.55,0.2,,,,,,,,,,,,,,,,,,,,,
2024/09/26,1:09 PM.,STL,COL,home,Sunny.,86,502043,LF,3,0,0,0,0,0,0,0,1,3,3,.241,.304,.496,.800,502043,kylegibson,Gibson,Right,Kyle Gibson,STL,4.24,4.87,169.2,98.0,93.0,95.0,0.756,8.01,3.61,8.54,1.22,1.29,0.218,0.431,0.166,0.351,0.359,102.0,103.0,104.0,80.0,88.0,83.0,104.0,102.0,105.0,,,,0.132,,0.207,0.086,-1.39,,0.92,-2.21,91.4,,80.7,78.3,0.268,0.563,0.065,,,,0.325,0.675,0.462,,,,99.0,92.0,89.0,84.0,101.0,96.0,96.0,95.0,91.0,0.264,0.211,0.099,0.21,0.22,1.2,88.6,84.9,90.7,0.267,0.422,0.092,0.299,0.479,0.181,0.19,0.254,0.39,,,,,,,0.2,0.312,0.412,,,,,,,,,
2024/09/25,6:39 PM.,STL,COL,home,Clear.,85,607200,RF,4,0,0,0,0,0,0,0,0,2,3,.246,.306,.508,.814,607200,erickfedde,Fedde,Right,Erick Fedde,- - -,3.3,3.91,177.1,104.0,90.0,99.0,0.807,7.82,2.64,7.82,1.02,1.07,0.264,0.367,0.181,0.309,0.399,,,,17.0,112.0,76.0,126.0,101.0,106.0,,,,0.003,,0.202,,-6.18,,1.28,,92.9,,83.5,,0.5,0.5,0.0,,,,,,,,,,86.0,108.0,106.0,76.0,105.0,93.0,78.0,104.0,97.0,0.308,0.323,0.164,0.43,0.59,-0.54,89.9,87.7,93.0,0.25,0.358,0.202,0.262,0.47,0.232,0.228,0.351,0.165,,,,,,,0.165,0.309,0.251,,,,,,,,,
2024/09/24,6:41 PM.,STL,COL,home,Clear.,74,700241,LF,4,1,1,1,0,0,0,0,0,3,1,.254,.314,.524,.838,700241,michaelmcgreevy,McGreevy,Right,Michael McGreevy,STL,1.96,3.59,23.0,107.0,82.0,101.0,0.783,7.04,0.78,6.26,0.39,3.64,0.138,0.523,0.2,0.262,0.447,88.0,96.0,98.0,67.0,117.0,105.0,117.0,107.0,113.0,,,,0.196,,0.19,0.061,2.76,,0.41,-0.51,93.0,,84.3,79.8,0.083,0.25,0.31,,,,0.25,0.25,0.5,0.222,0.444,0.345,46.0,110.0,100.0,87.0,105.0,99.0,63.0,97.0,84.0,0.35,0.109,0.093,2.29,3.74,-0.49,88.9,87.3,91.9,0.184,0.211,0.06,0.2,0.4,0.294,0.333,0.333,0.182,,,,,,,,,,,,,,,,,,
2024/09/22,1:10 PM.,LAD,COL,away,Sunny.,81,808967,CF,3,0,0,0,0,0,0,0,1,2,2,.254,.316,.525,.841,808967,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,3.0,3.44,90.0,105.0,100.0,106.0,0.75,10.5,2.2,7.8,0.7,1.52,0.246,0.396,0.146,0.325,0.434,109.0,103.0,112.0,84.0,103.0,96.0,116.0,110.0,120.0,121.0,112.0,119.0,0.404,0.242,0.033,0.231,0.77,0.25,0.53,1.14,95.5,90.2,86.3,78.0,0.262,0.413,0.176,0.17,0.266,0.386,0.214,0.371,0.333,0.158,0.211,0.357,,,,101.0,110.0,103.0,91.0,97.0,91.0,0.029,0.061,,0.28,-1.65,,91.5,,94.9,0.364,0.545,0.13,0.35,0.55,0.2,,,,,,,,,,,,,,,,,,,,,
2024/09/21,6:10 PM.,LAD,COL,away,Clear.,69,621111,CF,4,0,1,0,0,0,0,1,0,2,2,.261,.318,.538,.856,621111,walkerbuehler,Buehler,Right,Walker Buehler,LAD,5.38,4.78,75.1,101.0,93.0,100.0,0.819,7.65,3.35,10.63,1.91,1.29,0.208,0.429,0.143,0.335,0.435,,,,85.0,102.0,99.0,119.0,99.0,108.0,,,,0.29,,0.095,,-2.43,,-0.87,,95.0,,82.9,,0.342,0.696,0.169,,,,0.278,0.481,0.267,1.0,2.5,0.25,70.0,100.0,89.0,82.0,99.0,92.0,103.0,103.0,100.0,0.163,0.208,0.052,1.62,-0.74,-5.9,91.2,90.0,94.8,0.291,0.327,0.115,0.238,0.397,0.215,0.455,0.773,0.088,100.0,98.0,105.0,0.192,-1.56,78.0,0.121,0.303,0.294,,,,,,,,,
2024/09/20,7:10 PM.,LAD,COL,away,Clear.,68,518489,CF,3,1,1,0,0,1,1,0,1,1,0,.261,.320,.548,.868,518489,ryanbrasier,Brasier,Right,Ryan Brasier,LAD,3.54,3.46,28.0,107.0,95.0,106.0,0.806,8.04,1.61,7.07,0.96,1.06,0.225,0.45,0.125,0.35,0.468,,,,93.0,111.0,107.0,102.0,110.0,111.0,,,,0.294,,0.422,,4.25,,-2.39,,94.5,,85.3,,0.115,0.115,0.265,,,,,,,0.28,0.58,0.253,,,,96.0,95.0,90.0,78.0,103.0,104.0,0.163,0.12,,4.05,1.24,,90.4,,94.5,0.214,0.214,0.2,0.182,0.273,0.037,,,,,,,,,,,,,,,,,,,,,
2024/09/18,1:10 PM.,AZ,COL,home,Sunny.,82,593958,LF,4,1,2,0,0,0,2,0,0,1,0,.259,.315,.527,.842,593958,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,ARI,5.04,5.53,50.0,104.0,76.0,96.0,0.808,8.46,3.42,10.08,1.44,0.98,0.204,0.439,0.14,0.338,0.405,,,,60.0,101.0,90.0,105.0,109.0,105.0,,,,0.44,,0.066,,-0.04,,-0.19,,92.0,,83.9,,0.257,0.486,0.268,,,,,,,0.167,0.417,0.095,97.0,103.0,101.0,84.0,111.0,99.0,77.0,105.0,97.0,0.076,0.193,0.225,-1.76,-3.84,-0.27,88.8,86.7,91.6,0.318,0.455,0.182,0.333,0.595,0.133,0.269,0.385,0.256,,,,,,,,,,,,,,,,,,
2024/09/15,1:11 PM.,CHC,COL,home,Partly Cloudy.,83,543294,DH,3,0,1,0,0,0,0,0,1,1,0,.250,.308,.528,.836,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,5.92,4.81,130.2,105.0,95.0,100.0,0.828,5.99,2.96,10.13,1.45,1.31,0.233,0.412,0.194,0.288,0.402,87.0,109.0,108.0,59.0,94.0,86.0,,,,,,,0.127,,,0.131,-1.51,,,0.52,87.7,,,74.3,0.237,0.553,0.209,,,,0.22,0.3,0.244,,,,108.0,106.0,106.0,97.0,106.0,96.0,,,,0.355,,0.387,,-0.77,-0.72,,80.9,87.6,0.333,0.493,0.106,,,,0.267,0.409,0.239,,,,,,,,,,,,,,,,,,
