date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,vKN (sc),Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,SL%,KC%,KN%,wFS/C,wSL/C,wKC/C,wKN/C,vFS,vSL,vKC,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff
2024/06/17,7:08 PM.,NYM,TEX,home,Roof Closed.,74,656849,C,3,0,0,0,0,0,0,0,1,2,2,.000,.250,.000,.250,656849,davidpeterson,"Peterson, D",Left,David Peterson,NYM,2.9,4.59,121.0,98.0,94.0,96.0,0.77,7.51,3.42,8.18,0.6,1.72,0.247,0.362,0.138,0.306,0.412,97.0,90.0,93.0,83.0,102.0,100.0,70.0,103.0,94.0,102.0,98.0,95.0,,,,0.31,0.265,,0.076,0.164,0.39,,1.83,0.11,0.03,93.1,,84.7,91.9,79.1,0.207,0.345,0.259,0.22,0.266,0.287,0.253,0.36,0.16,0.211,0.324,0.271,,,,,115.0,99.0,104.0,,,,,,,,0.184,,,,-1.81,,,,85.1,,0.287,0.447,0.339,,,
2024/06/15,4:16 PM.,SEA,TEX,away,Partly Cloudy.,59,669923,PR,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.44,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.294,0.446,,,,,,,102.0,107.0,101.0,106.0,108.0,108.0,97.0,99.0,93.0,0.236,0.339,0.004,,,0.46,0.79,1.5,,,96.0,92.3,,96.0,,0.333,0.439,0.286,0.221,0.458,0.291,0.263,0.354,0.105,,,,,,,73.9,110.0,104.0,110.0,114.0,110.0,113.0,109.0,100.0,108.0,0.102,0.237,0.082,0.0,-2.05,1.28,-1.95,-3.5,86.0,87.2,83.4,0.226,0.316,0.271,0.253,0.413,0.295
2024/04/20,7:20 PM.,ATL,TEX,away,Partly Cloudy.,69,450203,C,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.19,4.49,165.1,98.0,95.0,97.0,0.753,9.09,3.54,8.38,1.25,1.42,0.235,0.437,0.144,0.327,0.408,86.0,97.0,93.0,122.0,98.0,108.0,72.0,99.0,90.0,79.0,96.0,88.0,73.0,92.0,86.0,0.099,0.289,0.078,0.424,0.11,-1.4,-0.75,0.39,0.78,-1.38,94.1,88.5,85.0,93.5,81.5,0.2,0.309,0.342,0.281,0.517,0.193,0.333,0.433,0.07,0.292,0.6,0.333,0.286,0.571,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,
