date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vCH,vSI,vSL,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,FA%,CU%,KC%,wFA/C,wCU/C,wKC/C,vFA,vCU,vKC,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC
2024/09/29,3:05 PM.,WSH,PHI,away,Overcast.,69,663623,C,4,1,1,0,0,0,0,0,0,0,1,.207,.296,.262,.558,663623,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.41,4.31,187.2,103.0,94.0,101.0,0.803,7.48,2.49,8.3,1.39,1.2,0.241,0.424,0.181,0.334,0.462,99.0,91.0,93.0,97.0,102.0,102.0,110.0,115.0,117.0,78.0,102.0,93.0,0.205,0.065,0.003,0.035,0.06,-0.64,-14.34,1.34,89.9,88.4,93.3,85.9,0.283,0.522,0.204,,,,0.325,0.497,0.149,0.125,0.125,0.349,110.0,104.0,106.0,82.0,104.0,97.0,0.379,0.313,,0.44,0.24,,93.9,81.1,,0.204,0.381,0.235,0.226,0.42,0.251,,,,,,,,,,,,,,,,,,
2024/09/24,6:41 PM.,CHC,PHI,home,Cloudy.,66,657006,C,2,0,1,0,0,0,1,0,1,0,0,.206,.297,.263,.560,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.07,2.74,134.2,103.0,99.0,102.0,0.792,9.02,2.47,7.42,0.8,1.2,0.288,0.38,0.174,0.264,0.513,70.0,92.0,94.0,64.0,104.0,95.0,130.0,105.0,109.0,,,,0.053,,0.297,0.033,,0.43,1.81,0.32,,86.2,91.6,83.3,,,,0.16,0.243,0.282,0.292,0.458,0.182,0.222,0.222,0.172,92.0,120.0,108.0,89.0,102.0,100.0,0.595,0.022,,0.38,2.76,,91.6,79.9,,0.253,0.396,0.223,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,
2024/09/18,6:41 PM.,MIL,PHI,away,Clear.,73,642547,C,3,0,0,0,0,0,0,0,0,3,0,.203,.291,.259,.550,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.68,3.88,173.2,98.0,103.0,100.0,0.719,10.36,3.52,7.41,1.35,0.82,0.262,0.376,0.197,0.318,0.373,84.0,92.0,88.0,,,,98.0,99.0,105.0,,,,,,0.217,0.175,,,-0.09,0.84,,87.7,,81.4,,,,0.203,0.384,0.41,,,,0.218,0.291,0.369,104.0,106.0,110.0,112.0,99.0,101.0,0.539,0.07,,0.05,0.36,,94.3,78.1,,0.239,0.424,0.252,0.182,0.341,0.372,,,,,,,,,,,,,,,,,,
2024/09/10,6:42 PM.,TB,PHI,home,Clear.,80,671737,C,3,0,0,0,0,0,0,0,1,2,2,.206,.295,.265,.560,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,4.11,4.17,138.0,98.0,116.0,103.0,0.748,10.04,3.07,7.96,1.43,1.06,0.247,0.394,0.102,0.394,0.426,,,,,,,,,,91.0,100.0,98.0,,0.225,,,1.02,,,,90.9,,,,0.205,0.357,0.324,,,,,,,,,,100.0,91.0,93.0,129.0,97.0,102.0,0.417,0.089,,-0.04,-1.5,,96.4,79.1,,0.269,0.5,0.21,0.241,0.483,0.346,,,,123.0,102.0,114.0,0.269,0.47,90.9,0.213,0.32,0.33,,,,,,
2024/09/09,6:42 PM.,TB,PHI,home,Partly Cloudy.,76,642121,C,3,0,0,0,0,0,0,0,0,0,0,.211,.297,.270,.567,642121,colesulser,Sulser,Right,Cole Sulser,- - -,2.76,3.22,16.1,102.0,105.0,101.0,0.759,8.27,4.96,4.96,0.55,0.85,0.357,0.333,0.119,0.333,0.394,115.0,95.0,103.0,,,,121.0,102.0,111.0,92.0,105.0,99.0,,0.171,0.082,0.257,2.62,,-2.2,-1.84,87.4,83.7,,81.4,0.0,0.0,0.3,0.333,0.333,0.25,,,,0.19,0.429,0.371,,,,100.0,105.0,100.0,0.49,,,2.46,,,92.2,,,0.136,0.182,0.171,,,,,,,,,,,,,,,,,,,,,
2024/09/07,4:11 PM.,MIA,PHI,away,Roof Closed.,72,670766,C,4,1,2,0,0,0,1,0,0,0,0,.215,.302,.275,.577,670766,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,6.21,5.64,42.0,98.0,87.0,94.0,0.87,6.0,3.21,11.36,1.93,0.7,0.219,0.466,0.151,0.308,0.462,69.0,87.0,75.0,80.0,99.0,91.0,119.0,102.0,109.0,,,,0.315,,0.38,0.111,,-1.47,-3.09,-1.8,,81.1,89.0,81.9,,,,,,,0.346,0.5,0.089,0.333,0.381,0.325,,,,49.0,94.0,82.0,0.195,,,-0.09,,,89.4,,,0.243,0.405,0.18,,,,0.311,0.689,0.142,,,,,,,,,,,,,,,
2024/09/06,7:10 PM.,MIA,PHI,away,Roof Closed.,72,685116,C,3,0,0,0,0,0,1,0,0,3,2,.207,.297,.269,.566,685116,austinkitchen,Kitchen,Left,Austin Kitchen,MIA,14.14,4.81,7.0,103.0,99.0,102.0,0.901,5.14,3.86,20.57,1.29,3.67,0.265,0.441,0.059,0.382,0.43,78.0,100.0,92.0,101.0,103.0,105.0,108.0,102.0,108.0,,,,0.344,,0.229,0.178,,-8.18,-2.88,-6.5,,83.4,90.7,79.2,,,,,,,0.526,0.842,0.074,0.5,0.5,0.231,123.0,104.0,106.0,95.0,115.0,103.0,0.14,0.108,,1.15,3.49,,90.7,73.5,,0.0,0.0,0.111,,,,0.429,0.571,0.059,,,,,,,,,,,,,,,
2024/08/28,4:07 PM.,HOU,PHI,home,Sunny.,96,681293,C,3,0,0,0,0,0,0,0,0,1,1,.211,.304,.275,.579,681293,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.53,4.05,145.0,99.0,95.0,99.0,0.739,10.61,4.03,8.63,1.3,0.85,0.247,0.437,0.147,0.314,0.444,89.0,97.0,90.0,,,,117.0,93.0,101.0,66.0,98.0,96.0,,0.196,0.108,0.086,0.57,,0.99,-2.52,88.2,85.5,,80.8,0.248,0.444,0.228,,,,,,,0.395,0.512,0.378,118.0,98.0,104.0,91.0,100.0,99.0,0.41,0.2,,-1.33,0.8,,94.1,78.4,,0.303,0.528,0.198,0.171,0.282,0.424,0.113,0.226,0.386,,,,,,,,,,,,,,,
2024/08/25,1:11 PM.,KC,PHI,away,Sunny.,93,607625,C,4,3,4,1,1,0,1,0,0,0,0,.216,.310,.281,.591,607625,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,3.0,3.75,206.2,101.0,97.0,100.0,0.795,7.88,2.09,7.71,0.7,1.2,0.212,0.386,0.156,0.303,0.43,93.0,100.0,98.0,68.0,101.0,92.0,125.0,97.0,105.0,97.0,103.0,103.0,0.185,0.082,0.135,0.069,2.86,0.65,-0.67,0.08,90.1,87.4,92.1,85.2,0.228,0.228,0.23,0.213,0.387,0.2,0.274,0.381,0.129,0.208,0.333,0.291,126.0,100.0,110.0,75.0,103.0,95.0,0.24,0.262,,0.7,1.44,,92.2,79.4,,0.234,0.392,0.176,0.178,0.271,0.339,0.375,0.75,0.109,93.0,107.0,106.0,0.026,0.07,85.7,0.105,0.421,0.351,0.215,0.28,0.285,,,
2024/08/18,1:36 PM.,WSH,PHI,home,Partly Cloudy.,83,663623,C,4,0,1,0,0,0,0,0,0,0,0,.193,.288,.237,.525,663623,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.41,4.31,187.2,103.0,94.0,101.0,0.803,7.48,2.49,8.3,1.39,1.2,0.241,0.424,0.181,0.334,0.462,99.0,91.0,93.0,97.0,102.0,102.0,110.0,115.0,117.0,78.0,102.0,93.0,0.205,0.065,0.003,0.035,0.06,-0.64,-14.34,1.34,89.9,88.4,93.3,85.9,0.283,0.522,0.204,,,,0.325,0.497,0.149,0.125,0.125,0.349,110.0,104.0,106.0,82.0,104.0,97.0,0.379,0.313,,0.44,0.24,,93.9,81.1,,0.204,0.381,0.235,0.226,0.42,0.251,,,,,,,,,,,,,,,,,,
