date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C
2024/09/08,1:08 PM.,DET,OAK,home,Sunny.,76,689225,1B,4,0,0,0,0,0,0,0,0,4,5,.107,.194,.143,.337,689225,beaubrieske,Brieske,Right,Beau Brieske,DET,3.59,3.31,67.2,101.0,110.0,102.0,0.778,9.18,3.99,7.32,0.67,0.87,0.21,0.348,0.177,0.298,0.406,,,,120.0,99.0,101.0,84.0,106.0,97.0,122.0,93.0,100.0,,,,,,,0.159,0.404,,,0.173,,0.99,,,2.22,-1.62,,95.9,,,95.5,86.1,,0.222,0.272,0.212,0.235,0.294,0.116,,,,,,,,,,,,,0.241,0.552,0.271,103.0,108.0,110.0,0.265,0.26,88.4,0.212,0.4,0.319,,,,,,,,,
2024/09/07,1:07 PM.,DET,OAK,home,Sunny.,74,669724,1B,2,0,1,0,0,0,0,0,1,0,0,.125,.222,.167,.389,669724,brenanhanifee,Hanifee,Right,Brenan Hanifee,DET,1.84,3.07,29.1,104.0,91.0,100.0,0.863,7.06,1.84,8.28,0.61,1.88,0.242,0.473,0.242,0.319,0.445,,,,84.0,111.0,102.0,80.0,103.0,98.0,120.0,105.0,107.0,,,,,,,0.539,0.141,,,0.224,,-0.24,,,2.09,0.13,,95.6,,,94.8,87.4,,0.222,0.5,0.359,0.231,0.246,0.088,,,,,,,,,,,,,0.227,0.409,0.133,88.0,95.0,97.0,0.096,-3.75,88.6,0.333,0.778,0.391,,,,,,,,,
2024/09/06,6:41 PM.,DET,OAK,home,Clear.,73,669373,1B,2,0,0,0,0,0,0,0,0,1,2,.091,.167,.136,.303,669373,tarikskubal,Skubal,Left,Tarik Skubal,DET,2.39,2.72,192.0,103.0,103.0,106.0,0.717,10.69,1.64,6.66,0.7,1.27,0.256,0.387,0.181,0.254,0.475,,,,112.0,104.0,103.0,95.0,105.0,104.0,111.0,99.0,103.0,,,,,,,0.205,0.332,,,0.149,,1.84,,,1.25,0.78,,96.8,,,96.6,88.7,,0.197,0.286,0.277,0.207,0.305,0.16,,,,0.158,0.316,0.175,,,,,,,0.169,0.364,0.346,97.0,104.0,114.0,0.271,1.13,86.3,0.216,0.322,0.461,95.0,91.0,101.0,0.042,1.26,78.5,,,
2024/09/05,12:37 PM.,SEA,OAK,home,Sunny.,76,693433,1B,4,0,1,0,0,0,0,0,0,2,2,.100,.182,.150,.332,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,2.89,2.72,121.1,107.0,104.0,107.0,0.785,7.49,0.96,7.12,1.04,0.96,0.285,0.344,0.144,0.256,0.499,,,,97.0,109.0,107.0,116.0,109.0,109.0,113.0,101.0,107.0,,,,,,,0.23,0.489,,,0.187,,1.44,,,1.85,1.23,,94.8,,,94.7,84.2,,0.218,0.355,0.273,0.234,0.315,0.097,0.1,0.1,0.417,,,,,,,,,,0.265,0.529,0.241,91.0,104.0,100.0,0.094,0.0,89.6,0.186,0.373,0.207,,,,,,,,,
2024/09/04,6:40 PM.,SEA,OAK,home,Clear.,72,669923,1B,4,0,1,1,0,0,0,0,0,2,2,.063,.167,.125,.292,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.44,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.294,0.446,,,,102.0,107.0,101.0,106.0,108.0,108.0,110.0,104.0,110.0,97.0,99.0,93.0,109.0,100.0,108.0,0.236,0.339,0.004,0.102,0.237,,0.46,0.79,-2.05,1.5,1.28,,96.0,92.3,86.0,96.0,87.2,,0.221,0.458,0.291,0.263,0.354,0.105,,,,0.333,0.439,0.286,,,,0.253,0.413,0.295,0.226,0.316,0.271,,,,,,,,,,114.0,110.0,113.0,0.082,-1.95,83.4,73.9,0.0,-3.5
2024/09/03,6:40 PM.,SEA,OAK,home,Clear.,80,622491,1B,2,0,0,0,0,0,0,0,1,1,1,.000,.143,.000,.143,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.64,3.91,175.1,105.0,101.0,102.0,0.768,8.98,2.41,8.11,1.28,0.94,0.26,0.409,0.159,0.319,0.406,,,,120.0,105.0,103.0,100.0,102.0,98.0,72.0,106.0,108.0,,,,,,,0.179,0.454,,,0.224,,0.97,,,-0.41,0.65,,95.6,,,95.6,85.7,,0.203,0.365,0.273,0.298,0.457,0.105,,,,,,,,,,,,,0.207,0.357,0.358,89.0,104.0,97.0,0.143,-1.63,88.1,0.287,0.545,0.265,,,,,,,,,
2024/09/02,4:07 PM.,SEA,OAK,home,Sunny.,73,669302,3B,3,0,0,0,0,0,0,0,0,3,0,.000,.091,.000,.091,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.23,3.14,208.2,101.0,121.0,106.0,0.705,9.49,1.6,6.38,1.12,1.2,0.236,0.45,0.135,0.325,0.429,124.0,99.0,107.0,106.0,101.0,97.0,91.0,102.0,97.0,146.0,102.0,115.0,116.0,104.0,103.0,99.0,96.0,104.0,0.015,0.308,0.106,0.134,0.32,0.118,1.41,0.14,1.18,0.32,1.72,0.81,96.6,92.3,84.5,95.5,88.4,83.2,0.204,0.383,0.193,0.286,0.286,0.05,,,,0.181,0.301,0.354,0.247,0.483,0.272,0.101,0.162,0.506,0.21,0.375,0.368,,,,,,,,,,,,,,,,,,
2024/09/01,1:36 PM.,TEX,OAK,away,Roof Closed.,74,679156,1B,0,0,0,0,0,0,0,0,1,0,0,.000,.125,.000,.125,679156,walterpennington,Pennington,Left,Walter Pennington,- - -,3.0,5.42,18.0,94.0,80.0,88.0,0.773,8.5,5.5,9.5,0.5,1.41,0.185,0.5,0.074,0.278,0.406,,,,47.0,99.0,76.0,61.0,91.0,77.0,87.0,96.0,92.0,93.0,95.0,93.0,,,,0.297,0.024,0.27,,0.409,,1.21,-0.81,,1.32,-1.69,,90.4,89.4,,91.5,83.8,,,,,0.167,0.222,0.128,,,,,,,0.333,0.444,0.143,,,,0.286,0.429,0.409,,,,,,,,,,,,,,,,,,
2024/06/09,1:40 PM.,CLE,MIA,home,Roof Closed.,72,471911,PH,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,471911,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.64,4.71,103.2,100.0,88.0,97.0,0.79,7.73,2.86,9.72,1.65,1.32,0.184,0.431,0.141,0.322,0.392,103.0,103.0,105.0,62.0,95.0,86.0,90.0,95.0,89.0,96.0,104.0,108.0,,,,,,,0.165,0.26,,,0.278,0.067,-0.84,,,-1.96,-0.96,1.49,91.6,,,91.1,83.5,80.4,0.337,0.554,0.146,0.304,0.609,0.13,0.25,0.313,0.357,0.053,0.158,0.213,,,,,,,0.284,0.52,0.288,101.0,108.0,105.0,0.23,-1.09,86.8,0.241,0.472,0.282,,,,,,,,,
2024/06/08,7:42 PM.,CLE,MIA,home,Roof Closed.,72,594902,3B,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,594902,benlively,Lively,Right,Ben Lively,CLE,3.81,4.0,151.0,102.0,67.0,92.0,0.83,7.03,2.92,8.28,1.37,1.02,0.228,0.407,0.128,0.309,0.433,43.0,106.0,93.0,57.0,94.0,83.0,57.0,108.0,94.0,105.0,102.0,101.0,,,,,,,0.29,0.314,,,0.218,0.088,-0.21,,,0.56,-0.01,-0.11,89.9,,,90.4,79.4,76.9,0.268,0.504,0.166,0.227,0.392,0.133,0.231,0.413,0.241,0.206,0.365,0.18,,,,,,,0.238,0.476,0.419,75.0,108.0,95.0,0.091,-0.79,83.9,0.279,0.382,0.185,,,,,,,,,
