date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,vFA,vFC,vFS,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2024/09/27,6:45 PM.,PHI,WSH,home,Overcast.,76,624133,3B,4,0,0,0,0,0,0,1,1,0,4,.246,.295,.316,.611,624133,rangersuarez,"Suárez, R",Left,Ranger Suárez,PHI,3.46,3.67,150.2,103.0,82.0,100.0,0.799,8.66,2.45,8.36,0.84,2.01,0.194,0.461,0.154,0.283,0.395,68.0,101.0,91.0,87.0,106.0,104.0,22.0,85.0,77.0,101.0,98.0,93.0,,,,0.315,0.195,0.121,,0.001,0.67,-1.68,,0.84,-4.62,91.8,86.5,,90.8,81.3,0.224,0.327,0.18,0.27,0.381,0.101,0.302,0.642,0.162,,,,,,,73.0,100.0,98.0,84.0,107.0,108.0,0.205,0.163,1.02,-0.63,80.0,74.4,0.229,0.323,0.35,0.189,0.342,0.339,,,,,,,,,,,,
2024/09/25,6:45 PM.,KC,WSH,home,Overcast.,71,547179,3B,3,0,0,0,0,0,0,0,1,0,1,.250,.297,.321,.618,547179,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,3.31,4.59,130.1,97.0,93.0,95.0,0.796,6.7,4.14,6.97,1.17,1.03,0.249,0.386,0.188,0.322,0.411,84.0,95.0,89.0,81.0,102.0,94.0,126.0,98.0,108.0,94.0,92.0,91.0,,,,0.212,0.272,0.1,,0.149,1.0,0.04,,-0.25,-1.51,93.8,90.1,,93.6,83.9,0.155,0.309,0.184,0.291,0.441,0.062,0.235,0.51,0.236,,,,0.368,0.632,0.253,93.0,101.0,99.0,102.0,93.0,96.0,0.079,0.188,0.02,1.94,84.6,81.7,0.122,0.173,0.373,0.217,0.348,0.352,0.19,0.429,0.291,,,,,,,,,
2024/09/24,7:25 PM.,KC,WSH,home,Overcast.,66,666142,3B,2,0,0,0,0,0,0,0,0,0,2,.253,.298,.325,.623,666142,coleragans,Ragans,Left,Cole Ragans,KCR,3.14,3.31,186.1,100.0,108.0,104.0,0.705,10.77,3.24,7.05,0.72,1.01,0.281,0.395,0.176,0.3,0.409,105.0,101.0,106.0,,,,132.0,106.0,114.0,88.0,94.0,91.0,,,,,0.418,0.113,,0.128,0.85,0.26,,,-0.34,95.4,90.7,,,86.0,0.213,0.361,0.231,,,,0.348,0.455,0.228,,,,0.21,0.305,0.337,114.0,98.0,103.0,,,,,0.237,,1.43,84.8,,0.183,0.28,0.478,0.14,0.256,0.352,,,,,,,101.0,97.0,101.0,0.104,0.9,80.8
2024/09/21,1:20 PM.,CHC,WSH,away,Sunny.,84,543294,3B,3,0,2,0,0,0,1,0,0,0,0,.255,.300,.327,.627,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,5.92,4.81,130.2,105.0,95.0,100.0,0.828,5.99,2.96,10.13,1.45,1.31,0.233,0.412,0.194,0.288,0.402,59.0,94.0,86.0,97.0,106.0,96.0,,,,,,,,,,0.355,0.127,,,,-1.51,,,-0.77,,87.7,,,87.6,,0.237,0.553,0.209,0.333,0.493,0.106,,,,,,,,,,108.0,106.0,106.0,87.0,109.0,108.0,0.131,0.387,0.52,-0.72,80.9,74.3,0.267,0.409,0.239,0.22,0.3,0.244,,,,,,,,,,,,
2024/09/18,7:10 PM.,NYM,WSH,away,Cloudy.,72,500779,3B,2,0,0,0,0,0,0,0,0,0,0,.250,.297,.323,.620,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,92.0,85.0,76.0,97.0,91.0,,,,,,,,,,0.304,0.225,,,,-0.32,,,0.82,,90.7,,,90.8,,0.227,0.427,0.169,0.249,0.431,0.131,,,,,,,,,,70.0,100.0,97.0,110.0,100.0,99.0,0.278,0.193,-0.04,0.5,85.7,77.7,0.203,0.26,0.367,0.265,0.444,0.264,,,,0.195,0.366,0.284,,,,,,
2024/09/17,7:12 PM.,NYM,WSH,away,Cloudy.,74,656731,3B,2,0,0,0,0,0,0,0,0,2,0,.252,.299,.326,.625,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.04,4.2,78.0,97.0,108.0,100.0,0.734,10.5,3.69,8.08,0.92,1.04,0.263,0.368,0.191,0.33,0.421,112.0,99.0,101.0,108.0,104.0,110.0,103.0,103.0,106.0,101.0,96.0,93.0,105.0,93.0,107.0,0.098,0.467,0.136,0.073,0.132,0.29,-1.19,-1.25,3.24,-0.85,95.7,90.1,84.7,94.6,85.1,0.228,0.35,0.292,0.206,0.206,0.184,0.326,0.565,0.27,0.143,0.393,0.429,0.233,0.302,0.291,130.0,94.0,112.0,91.0,77.0,82.0,0.078,0.015,-0.37,-4.39,87.2,78.0,0.5,0.5,0.111,0.188,0.313,0.333,0.25,1.0,0.167,,,,,,,,,
2024/09/16,7:10 PM.,NYM,WSH,away,Cloudy.,73,640455,3B,3,0,0,0,0,0,0,0,0,0,0,.254,.301,.328,.629,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,88.0,103.0,99.0,95.0,100.0,97.0,88.0,88.0,93.0,84.0,88.0,85.0,,,,0.447,0.113,0.071,,0.251,1.13,0.97,,1.36,0.37,92.3,88.4,,92.3,79.5,0.167,0.295,0.311,0.201,0.333,0.21,0.222,0.25,0.179,,,,0.174,0.435,0.32,83.0,98.0,95.0,,,,,0.118,,-1.19,85.3,,0.25,0.438,0.254,,,,0.193,0.311,0.388,,,,,,,,,
2024/09/11,6:45 PM.,ATL,WSH,home,Clear.,79,608331,3B,4,0,0,0,0,0,0,0,0,2,3,.257,.304,.332,.636,608331,maxfried,Fried,Left,Max Fried,ATL,3.25,3.72,174.1,98.0,94.0,99.0,0.776,8.57,2.94,7.54,0.67,2.53,0.255,0.435,0.151,0.261,0.413,78.0,93.0,93.0,90.0,98.0,94.0,102.0,97.0,98.0,93.0,96.0,94.0,,,,0.158,0.327,0.054,,0.115,0.63,-1.33,,1.47,0.5,93.9,88.5,,93.6,82.1,0.266,0.36,0.182,0.265,0.299,0.137,0.286,0.476,0.286,,,,0.22,0.293,0.297,91.0,101.0,103.0,116.0,103.0,108.0,0.21,0.136,1.39,1.7,85.7,74.6,0.196,0.283,0.251,0.154,0.285,0.371,0.167,0.2,0.358,,,,,,,,,
2024/09/07,6:44 PM.,PIT,WSH,away,Partly Cloudy.,65,656605,2B,1,1,1,1,0,0,2,0,0,0,0,.261,.309,.337,.646,656605,mitchkeller,"Keller, M",Right,Mitch Keller,PIT,4.25,4.31,178.0,101.0,99.0,100.0,0.805,8.39,2.53,9.2,1.16,1.07,0.285,0.376,0.135,0.331,0.442,86.0,103.0,96.0,82.0,102.0,94.0,129.0,100.0,109.0,96.0,99.0,98.0,,,,0.22,0.304,0.122,,0.25,0.3,-1.0,,-0.26,-1.04,94.4,90.4,,93.4,84.7,0.257,0.4,0.24,0.266,0.405,0.125,0.272,0.593,0.195,,,,0.338,0.636,0.248,88.0,103.0,102.0,111.0,96.0,104.0,0.096,0.008,-0.11,-12.5,89.8,78.4,0.667,1.333,0.0,0.233,0.442,0.293,0.204,0.331,0.25,,,,,,,,,
2024/09/05,6:42 PM.,PIT,WSH,away,Clear.,81,663559,2B,5,0,1,0,0,0,0,0,0,0,4,.258,.306,.331,.637,663559,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.81,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,85.0,100.0,97.0,99.0,101.0,99.0,91.0,96.0,96.0,,,,43.0,95.0,70.0,0.142,0.484,,0.006,0.216,0.38,,-7.04,1.23,0.27,91.8,,86.9,92.0,86.1,0.255,0.41,0.166,0.26,0.448,0.157,,,,0.333,1.333,0.125,0.245,0.304,0.287,,,,100.0,99.0,98.0,0.152,,-1.24,,,77.7,,,,0.305,0.61,0.207,,,,,,,,,,,,
