date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff
2024/10/10,7:08 PM.,NYY,KC,home,Clear.,78,543037,1B,4,0,0,0,0,0,0,0,0,0,0,.190,.292,.238,.530,543037,gerritcole,Cole,Right,Gerrit Cole,NYY,3.41,3.64,95.0,101.0,111.0,105.0,0.777,9.38,2.75,7.39,1.04,0.88,0.289,0.371,0.18,0.332,0.435,73.0,94.0,90.0,,,,116.0,100.0,104.0,128.0,106.0,112.0,0.462,0.146,,0.04,0.7,1.25,,-3.6,95.9,88.2,88.2,,0.222,0.27,0.264,0.189,0.365,0.234,0.333,0.667,0.28,0.209,0.239,0.301,99.0,102.0,102.0,0.163,-0.7,91.4,0.32,0.56,0.22,,,,0.002,17.25,93.7,0.0,0.0,0.143,,,,102.0,99.0,106.0,,,,,0.187,,2.35,,82.5,,,
2024/10/09,6:08 PM.,NYY,KC,home,Clear.,81,657376,1B,4,0,1,1,0,0,0,0,0,0,3,.235,.350,.294,.644,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.85,3.78,85.1,98.0,116.0,100.0,0.724,9.81,3.16,7.49,0.84,1.01,0.271,0.407,0.208,0.281,0.401,36.0,89.0,96.0,,,,,,,136.0,94.0,102.0,,0.252,,0.006,,1.21,,-13.05,,87.1,85.2,,,,,,,,0.667,1.0,0.0,0.143,0.19,0.33,106.0,102.0,100.0,0.35,0.53,92.4,0.256,0.38,0.322,83.0,94.0,85.0,0.21,-0.75,94.3,0.267,0.483,0.203,0.21,0.323,0.297,150.0,102.0,113.0,,,,,0.182,,0.89,,83.8,,,
2024/10/07,7:38 PM.,NYY,KC,away,Partly Cloudy.,67,607074,1B,4,1,1,0,0,0,0,0,0,0,0,.231,.375,.231,.606,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,129.0,92.0,106.0,103.0,86.0,93.0,114.0,98.0,101.0,144.0,104.0,113.0,0.494,0.26,0.083,0.129,0.05,-0.4,-1.32,1.44,95.4,85.5,86.8,81.0,0.199,0.361,0.393,0.262,0.514,0.214,0.188,0.247,0.495,0.281,0.531,0.276,100.0,83.0,82.0,0.035,-3.11,91.8,0.353,0.647,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/10/05,6:38 PM.,NYY,KC,away,Clear.,71,543037,1B,2,3,1,0,0,0,0,0,2,0,0,.222,.417,.222,.639,543037,gerritcole,Cole,Right,Gerrit Cole,NYY,3.41,3.64,95.0,101.0,111.0,105.0,0.777,9.38,2.75,7.39,1.04,0.88,0.289,0.371,0.18,0.332,0.435,73.0,94.0,90.0,,,,116.0,100.0,104.0,128.0,106.0,112.0,0.462,0.146,,0.04,0.7,1.25,,-3.6,95.9,88.2,88.2,,0.222,0.27,0.264,0.189,0.365,0.234,0.333,0.667,0.28,0.209,0.239,0.301,99.0,102.0,102.0,0.163,-0.7,91.4,0.32,0.56,0.22,,,,0.002,17.25,93.7,0.0,0.0,0.143,,,,102.0,99.0,106.0,,,,,0.187,,2.35,,82.5,,,
2024/10/02,4:38 PM.,BAL,KC,away,Cloudy.,69,621107,1B,4,0,0,0,0,0,0,0,1,0,3,.143,.250,.143,.393,621107,zacheflin,Eflin,Right,Zach Eflin,- - -,3.59,3.67,165.1,107.0,92.0,103.0,0.808,7.29,1.31,9.04,1.2,1.14,0.235,0.446,0.174,0.323,0.45,87.0,101.0,103.0,108.0,112.0,108.0,61.0,105.0,94.0,122.0,107.0,113.0,0.09,0.097,0.188,0.061,-0.64,0.46,-1.27,0.21,92.4,85.6,79.7,78.8,,,,0.236,0.418,0.248,0.188,0.354,0.105,0.291,0.472,0.333,85.0,105.0,98.0,0.282,1.54,88.2,0.214,0.345,0.223,91.0,109.0,105.0,0.282,0.0,91.7,0.293,0.404,0.133,0.236,0.473,0.203,,,,,,,,,,,,,,,
2024/10/01,4:08 PM.,BAL,KC,away,Overcast.,66,669203,1B,3,0,1,0,0,0,0,0,0,1,1,.333,.333,.333,.666,669203,corbinburnes,Burnes,Right,Corbin Burnes,BAL,2.92,3.34,194.1,103.0,120.0,107.0,0.735,8.38,2.22,7.64,1.02,1.4,0.21,0.425,0.19,0.289,0.399,110.0,98.0,103.0,109.0,101.0,106.0,,,,133.0,105.0,120.0,,0.146,0.215,0.11,,0.7,0.44,0.2,,89.2,87.2,80.3,0.196,0.268,0.463,,,,0.194,0.339,0.377,0.2,0.326,0.378,125.0,105.0,108.0,0.45,1.37,95.3,0.251,0.362,0.19,104.0,95.0,89.0,0.078,-0.5,97.0,0.235,0.412,0.157,0.125,0.5,0.457,,,,,,,,,,,,,,,
2024/09/29,3:21 PM.,ATL,KC,away,Partly Cloudy.,76,450203,1B,4,0,0,0,0,0,0,0,0,3,0,.241,.338,.296,.634,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.19,4.49,165.1,98.0,95.0,97.0,0.753,9.09,3.54,8.38,1.25,1.42,0.235,0.437,0.144,0.327,0.408,86.0,97.0,93.0,122.0,98.0,108.0,72.0,99.0,90.0,,,,0.289,,0.424,0.11,-1.4,,0.78,-1.38,94.1,85.0,,81.5,,,,0.281,0.517,0.193,0.292,0.6,0.333,0.2,0.309,0.342,73.0,92.0,86.0,0.078,-0.75,88.5,0.286,0.571,0.149,79.0,96.0,88.0,0.099,0.39,93.5,0.333,0.433,0.07,,,,,,,,,,,,,,,,,,
2024/09/27,7:21 PM.,ATL,KC,away,Cloudy.,72,608331,1B,2,0,0,0,0,0,0,1,1,1,1,.260,.361,.320,.681,608331,maxfried,Fried,Left,Max Fried,ATL,3.25,3.72,174.1,98.0,94.0,99.0,0.776,8.57,2.94,7.54,0.67,2.53,0.255,0.435,0.151,0.261,0.413,91.0,101.0,103.0,116.0,103.0,108.0,78.0,93.0,93.0,102.0,97.0,98.0,0.327,0.115,0.21,0.136,0.63,0.5,1.39,1.7,93.9,85.7,82.1,74.6,0.22,0.293,0.297,0.266,0.36,0.182,0.196,0.283,0.251,0.154,0.285,0.371,93.0,96.0,94.0,0.054,-1.33,88.5,0.286,0.476,0.286,90.0,98.0,94.0,0.158,1.47,93.6,0.265,0.299,0.137,0.167,0.2,0.358,,,,,,,,,,,,,,,
2024/09/26,1:05 PM.,WSH,KC,away,Cloudy.,77,571578,DH,5,0,1,0,0,0,1,0,0,0,2,.271,.362,.333,.695,571578,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.62,5.53,174.2,101.0,76.0,94.0,0.788,7.16,2.78,10.72,1.29,1.42,0.218,0.384,0.141,0.333,0.396,87.0,96.0,96.0,73.0,100.0,97.0,55.0,97.0,84.0,88.0,97.0,97.0,0.076,0.343,0.016,0.034,-1.46,0.41,-2.3,-5.53,91.3,81.0,80.0,70.0,0.216,0.335,0.354,0.311,0.578,0.133,0.409,0.773,0.279,0.5,1.25,0.526,76.0,107.0,98.0,0.192,-0.37,85.7,0.301,0.434,0.223,71.0,103.0,92.0,0.338,-1.9,91.5,0.339,0.567,0.091,,,,,,,,,,,0.001,,4.71,,63.2,,,
2024/09/25,6:45 PM.,WSH,KC,away,Overcast.,71,687792,1B,3,1,1,1,0,0,0,0,1,0,3,.279,.377,.349,.726,687792,djherz,Herz,Left,DJ Herz,WSN,4.16,3.26,88.2,97.0,99.0,97.0,0.734,10.76,3.65,7.71,1.12,0.82,0.254,0.436,0.14,0.326,0.429,113.0,98.0,99.0,,,,93.0,98.0,96.0,105.0,95.0,100.0,0.542,0.179,,0.245,0.86,-0.96,,-0.19,93.5,83.5,86.1,,0.229,0.429,0.275,0.222,0.317,0.305,0.224,0.388,0.26,0.2,0.2,0.533,,,,,,,,,,,,,,,,,,,,,,102.0,82.0,88.0,,,,,0.033,,1.64,,81.2,,,
