date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CU%,CH%,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFC,vCH,vSI,vSL,vCU,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C,SV_ba,SV_slg,SV_whiff
2024/09/29,12:09 PM.,TEX,LAA,home,Sunny.,75,543135,DH,4,0,0,0,0,0,0,0,0,2,4,.169,.242,.228,.470,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.8,3.91,170.2,104.0,98.0,103.0,0.751,8.75,2.21,7.75,1.21,1.47,0.227,0.399,0.119,0.341,0.458,,,,99.0,104.0,104.0,,,,114.0,102.0,102.0,91.0,108.0,99.0,,0.148,0.033,0.137,,-1.41,,-0.69,-0.79,,91.4,,,86.3,76.7,0.327,0.624,0.2,0.214,0.471,0.355,0.269,0.462,0.25,,,,,,,,,,75.0,105.0,98.0,0.374,0.83,95.4,0.212,0.335,0.178,127.0,101.0,110.0,0.308,1.55,88.4,0.2,0.286,0.368,,,,,,,,,,,,
2024/09/28,6:41 PM.,TEX,LAA,home,Clear.,71,571760,DH,5,1,1,0,0,0,0,0,0,1,5,.171,.244,.231,.475,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.28,4.46,160.0,102.0,80.0,99.0,0.76,8.94,2.31,8.94,1.29,0.75,0.247,0.407,0.148,0.306,0.428,83.0,102.0,94.0,126.0,105.0,103.0,34.0,82.0,74.0,79.0,100.0,103.0,20.0,51.0,51.0,0.014,0.001,0.278,0.036,0.17,-19.13,-4.52,-0.26,-3.31,0.46,86.6,83.7,92.2,82.5,75.6,,,,0.5,1.1,0.188,0.26,0.385,0.365,0.239,0.384,0.243,0.455,0.455,0.125,,,,77.0,102.0,98.0,0.501,0.15,91.5,0.23,0.412,0.213,,,,,,,,,,,,,,,,,,,,,
2024/09/27,6:40 PM.,TEX,LAA,home,Partly Cloudy.,69,594798,DH,4,0,1,0,0,0,0,0,0,2,1,.171,.245,.231,.476,594798,jacobdegrom,deGrom,Right,Jacob deGrom,TEX,1.69,2.51,10.2,110.0,143.0,122.0,0.711,11.81,0.84,9.28,0.84,0.83,0.25,0.321,0.321,0.393,0.459,111.0,109.0,106.0,125.0,117.0,108.0,,,,154.0,105.0,119.0,,,,,,0.453,0.029,0.058,,,0.51,0.17,8.34,,90.5,,90.0,81.1,,,,,,,0.3,0.35,0.342,0.0,0.0,0.667,,,,,,,138.0,116.0,127.0,0.459,-0.57,97.3,0.278,0.556,0.256,,,,,,,,,,,,,,,,,,,,,
2024/09/26,1:11 PM.,CWS,LAA,away,Sunny.,73,623167,1B,4,0,1,0,0,0,0,0,0,2,2,.170,.245,.231,.476,623167,chrisflexen,Flexen,Right,Chris Flexen,CHW,4.95,4.71,160.0,97.0,56.0,92.0,0.789,6.92,3.54,10.13,1.35,0.79,0.249,0.41,0.154,0.308,0.373,126.0,99.0,104.0,83.0,98.0,101.0,74.0,108.0,87.0,148.0,102.0,103.0,47.0,101.0,90.0,0.002,0.261,0.087,0.122,0.157,-0.75,2.01,-2.65,0.43,-1.32,87.4,81.3,91.4,80.0,72.0,0.319,0.536,0.218,0.246,0.393,0.308,0.361,0.475,0.271,0.257,0.436,0.379,,,,,,,2.0,93.0,82.0,0.37,-0.64,91.3,0.261,0.473,0.132,,,,,,,,,,,,,,,,,,,,,
2024/09/25,6:40 PM.,CWS,LAA,away,Clear.,70,663436,1B,3,0,1,0,0,0,0,0,1,0,0,.169,.245,.231,.476,663436,davismartin,Martin,Right,Davis Martin,CHW,4.32,4.02,50.0,99.0,104.0,98.0,0.748,8.46,4.14,9.0,0.9,1.25,0.207,0.455,0.221,0.29,0.406,143.0,103.0,107.0,95.0,91.0,93.0,,,,114.0,108.0,111.0,76.0,93.0,84.0,,0.175,0.268,0.076,0.196,1.59,,1.22,-2.54,-0.16,89.0,89.3,,83.6,78.4,0.206,0.294,0.231,0.357,0.429,0.348,0.121,0.293,0.378,0.34,0.4,0.204,,,,,,,92.0,95.0,91.0,0.285,-2.03,93.6,0.389,0.472,0.202,,,,,,,,,,,,,,,,,,,,,
2024/09/22,1:10 PM.,HOU,LAA,away,Roof Closed.,73,681293,2B,5,0,1,1,0,0,0,0,0,1,2,.167,.242,.230,.472,681293,spencerarrighetti,Arrighetti,Right,Spencer Arrighetti,HOU,4.53,4.05,145.0,99.0,95.0,99.0,0.739,10.61,4.03,8.63,1.3,0.85,0.247,0.437,0.147,0.314,0.444,89.0,97.0,90.0,118.0,98.0,104.0,,,,117.0,93.0,101.0,66.0,98.0,96.0,,0.196,0.108,0.2,0.086,0.57,,0.99,0.8,-2.52,88.2,85.5,,80.8,78.4,0.248,0.444,0.228,0.171,0.282,0.424,,,,0.395,0.512,0.378,,,,0.113,0.226,0.386,91.0,100.0,99.0,0.41,-1.33,94.1,0.303,0.528,0.198,,,,,,,,,,,,,,,,,,,,,
2024/09/20,7:10 PM.,HOU,LAA,away,Roof Closed.,73,434378,2B,1,0,0,0,0,0,0,0,0,1,2,.167,.243,.227,.470,434378,justinverlander,Verlander,Right,Justin Verlander,HOU,5.48,3.78,90.1,101.0,117.0,103.0,0.81,7.37,2.69,9.76,1.49,0.54,0.28,0.37,0.19,0.266,0.435,115.0,101.0,104.0,110.0,101.0,97.0,,,,127.0,108.0,112.0,,,,,,0.193,0.219,0.101,,,0.66,-1.46,-0.58,,84.0,,86.7,77.6,,,,0.34,0.56,0.22,0.195,0.322,0.215,0.235,0.353,0.253,,,,,,,116.0,98.0,102.0,0.487,-0.59,93.5,0.299,0.497,0.202,,,,,,,,,,,,,,,,,,,,,
2024/09/19,7:10 PM.,HOU,LAA,away,Roof Closed.,73,579328,DH,4,0,1,0,0,0,0,1,0,0,2,.167,.243,.227,.470,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.05,3.7,175.2,101.0,109.0,105.0,0.734,10.55,2.25,8.56,1.28,1.1,0.273,0.405,0.136,0.36,0.443,99.0,93.0,91.0,99.0,105.0,105.0,,,,111.0,100.0,106.0,,,,,,0.235,0.183,0.111,,,1.31,0.02,-0.15,,86.7,,88.3,82.4,,,,0.264,0.395,0.274,0.21,0.28,0.297,0.194,0.25,0.358,,,,,,,114.0,103.0,107.0,0.471,-0.08,95.5,0.274,0.505,0.28,,,,,,,,,,,,,,,,,,,,,
2024/09/18,1:08 PM.,CWS,LAA,home,Partly Cloudy.,75,694363,DH,5,0,0,0,0,0,0,0,0,2,5,.166,.243,.227,.470,694363,jaredshuster,Shuster,Left,Jared Shuster,CHW,4.3,4.71,73.1,100.0,75.0,93.0,0.779,6.87,4.05,9.08,1.1,0.77,0.284,0.401,0.147,0.263,0.408,71.0,99.0,94.0,,,,68.0,101.0,88.0,85.0,104.0,102.0,,,,0.047,,0.284,,0.294,,-0.83,0.49,,-0.49,,84.1,91.8,86.0,,,,,,,,0.25,0.316,0.288,0.244,0.372,0.312,0.313,0.5,0.086,,,,71.0,97.0,86.0,0.375,-0.54,92.5,0.274,0.487,0.162,,,,,,,,,,,,,,,,,,,,,
2024/09/11,6:10 PM.,MIN,LAA,away,Clear.,85,805673,2B,2,0,1,0,0,0,0,0,0,0,0,.169,.247,.231,.478,805673,zebbymatthews,Matthews,Right,Zebby Matthews,MIN,6.69,6.01,37.2,100.0,100.0,100.0,0.772,10.27,2.63,12.19,2.63,0.87,0.256,0.455,0.165,0.38,0.431,88.0,87.0,93.0,107.0,117.0,117.0,,,,114.0,100.0,105.0,96.0,101.0,95.0,,0.162,0.259,0.071,0.079,-1.3,,-1.68,-5.76,-3.13,90.9,85.8,,87.2,81.7,0.345,0.655,0.182,0.4,0.667,0.174,0.308,0.462,0.376,0.222,0.333,0.313,,,,,,,95.0,99.0,97.0,0.428,-1.19,94.9,0.288,0.627,0.178,,,,,,,,,,,,,,,,,,,,,
