date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFS,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,FO%,KC%,wFO/C,wKC/C,vFO,vKC,vKN (sc),KN%,wKN/C
2024/09/28,6:11 PM.,CLE,HOU,away,Overcast.,73,594902,3B,2,1,0,0,0,0,0,0,1,1,2,.000,.160,.000,.160,594902,benlively,Lively,Right,Ben Lively,CLE,3.81,4.0,151.0,102.0,67.0,92.0,0.83,7.03,2.92,8.28,1.37,1.02,0.228,0.407,0.128,0.309,0.433,43.0,106.0,93.0,57.0,94.0,83.0,57.0,108.0,94.0,105.0,102.0,101.0,,,,0.29,0.314,,0.218,0.088,-0.21,,0.56,-0.01,-0.11,89.9,,90.4,79.4,76.9,0.268,0.504,0.166,,,,0.206,0.365,0.18,0.238,0.476,0.419,0.227,0.392,0.133,75.0,108.0,95.0,,,,,0.091,,-0.79,,83.9,,,,0.231,0.413,0.241,0.279,0.382,0.185,,,,,,,,,,,,,,,
2024/09/27,7:11 PM.,CLE,HOU,away,Cloudy.,72,676282,SS,3,1,0,0,0,0,0,0,1,1,3,.000,.095,.000,.095,676282,joeycantillo,Cantillo,Left,Joey Cantillo,CLE,4.89,3.83,38.2,95.0,97.0,93.0,0.721,10.24,3.49,8.15,1.4,1.39,0.212,0.462,0.154,0.346,0.436,95.0,109.0,105.0,96.0,91.0,87.0,,,,112.0,104.0,103.0,,,,,0.488,,0.084,0.152,-1.29,,,2.07,1.01,92.2,,,82.6,76.2,0.292,0.585,0.22,,,,0.172,0.276,0.271,0.188,0.375,0.424,,,,94.0,90.0,96.0,,,,,0.276,,0.26,,77.8,,,,,,,0.216,0.324,0.437,,,,,,,,,,,,,,,
2024/09/25,1:10 PM.,SEA,HOU,home,Roof Closed.,73,669923,2B,1,0,0,0,0,0,0,0,1,0,0,.000,.059,.000,.059,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.44,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.294,0.446,,,,102.0,107.0,101.0,106.0,108.0,108.0,110.0,104.0,110.0,109.0,100.0,108.0,0.236,0.339,0.102,0.237,,0.46,-2.05,1.5,1.28,,96.0,86.0,96.0,87.2,,0.221,0.458,0.291,0.253,0.413,0.295,0.333,0.439,0.286,0.226,0.316,0.271,0.263,0.354,0.105,,,,97.0,99.0,93.0,0.004,,0.79,,92.3,,,,,,,,,,,,,,114.0,110.0,113.0,,0.082,,-1.95,,83.4,73.9,0.0,-3.5
2024/09/22,1:10 PM.,LAA,HOU,home,Roof Closed.,73,656288,PR,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,656288,griffincanning,Canning,Right,Griffin Canning,LAA,5.19,4.74,171.2,98.0,88.0,97.0,0.772,6.82,3.46,9.12,1.63,1.04,0.225,0.434,0.128,0.367,0.401,75.0,96.0,96.0,73.0,94.0,86.0,76.0,89.0,78.0,107.0,100.0,110.0,,,,0.01,0.376,,0.24,0.107,-0.85,,-6.83,-0.91,-0.86,93.4,,93.0,87.7,80.6,0.251,0.529,0.147,,,,0.271,0.438,0.241,0.284,0.444,0.331,0.429,0.857,0.0,96.0,102.0,102.0,,,,,0.267,,0.48,,88.6,,,,,,,0.259,0.387,0.288,,,,,,,,,,,,,,,
2024/09/21,6:10 PM.,LAA,HOU,home,Roof Closed.,73,672282,2B,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.7,4.14,87.1,99.0,95.0,99.0,0.735,11.23,3.92,10.1,1.85,0.88,0.252,0.479,0.132,0.364,0.439,89.0,100.0,103.0,86.0,96.0,92.0,,,,117.0,106.0,114.0,,,,,0.468,,0.244,0.146,-0.56,,,-0.44,-3.5,93.8,,,86.2,75.0,0.278,0.508,0.253,,,,0.37,0.804,0.216,0.22,0.39,0.368,,,,92.0,96.0,97.0,,,,,0.142,,-1.18,,84.7,,,,,,,0.351,0.544,0.319,,,,,,,,,,,,,,,
2024/09/19,7:10 PM.,LAA,HOU,home,Roof Closed.,73,660761,2B,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,660761,josesuarez,"Suarez, J",Left,José Suarez,LAA,6.02,4.84,52.1,94.0,100.0,95.0,0.742,9.63,4.64,9.8,1.2,1.11,0.229,0.451,0.196,0.34,0.381,77.0,123.0,123.0,104.0,95.0,95.0,73.0,100.0,88.0,103.0,95.0,94.0,,,,0.088,0.399,,0.249,0.001,-0.93,,-7.11,0.92,-2.42,93.0,,91.8,81.9,74.1,0.286,0.49,0.226,,,,,,,0.25,0.393,0.299,0.5,1.045,0.136,96.0,90.0,96.0,107.0,94.0,86.0,0.015,0.247,-5.92,-1.17,88.7,82.9,0.4,0.8,0.125,0.167,0.233,0.386,0.243,0.459,0.333,,,,,,,,,,,,,,,
2024/09/17,6:41 PM.,SD,HOU,away,Clear.,70,650633,2B,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,650633,michaelking,"King, M",Right,Michael King,SDP,2.95,3.59,173.2,102.0,95.0,100.0,0.735,10.42,3.26,7.46,0.88,1.1,0.233,0.426,0.202,0.264,0.415,,,,86.0,103.0,101.0,88.0,105.0,98.0,115.0,97.0,102.0,,,,0.279,0.241,,0.234,,-0.15,,0.68,-0.19,,93.7,,92.9,82.9,,0.265,0.402,0.261,,,,,,,0.281,0.5,0.284,0.2,0.376,0.189,88.0,103.0,97.0,,,,,0.246,,1.61,,86.7,,,,0.206,0.304,0.345,0.207,0.286,0.362,,,,,,,,,,,,,,,
2024/07/13,3:10 PM.,TEX,HOU,home,Roof Closed.,73,543135,PR,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.8,3.91,170.2,104.0,98.0,103.0,0.751,8.75,2.21,7.75,1.21,1.47,0.227,0.399,0.119,0.341,0.458,99.0,104.0,104.0,75.0,105.0,98.0,,,,114.0,102.0,102.0,127.0,101.0,110.0,,0.374,0.308,0.033,0.137,0.83,1.55,,-0.69,-0.79,95.4,88.4,,86.3,76.7,0.212,0.335,0.178,0.2,0.286,0.368,0.214,0.471,0.355,0.269,0.462,0.25,,,,,,,91.0,108.0,99.0,0.148,,-1.41,,91.4,,0.327,0.624,0.2,,,,,,,,,,,,,,,,,,,,,
2024/07/10,7:12 PM.,MIA,HOU,home,Roof Closed.,73,663773,3B,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,663773,bryanhoeing,Hoeing,Right,Bryan Hoeing,- - -,2.18,5.07,53.2,102.0,107.0,100.0,0.794,7.21,2.35,7.21,0.67,1.78,0.222,0.444,0.137,0.32,0.445,,,,69.0,105.0,90.0,100.0,103.0,101.0,112.0,100.0,101.0,130.0,103.0,103.0,0.505,0.06,0.206,0.229,,-0.35,3.43,1.05,0.09,,94.3,86.8,93.9,83.0,,0.2,0.4,0.2,0.1,0.16,0.385,,,,0.258,0.323,0.333,0.27,0.38,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/07/06,1:11 PM.,MIN,HOU,away,Partly Cloudy.,78,657746,DH,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,657746,joeryan,Ryan,Right,Joe Ryan,MIN,3.6,2.87,135.0,107.0,99.0,104.0,0.752,9.8,1.53,7.33,1.27,0.79,0.242,0.427,0.198,0.281,0.481,,,,94.0,110.0,105.0,110.0,108.0,105.0,108.0,103.0,112.0,101.0,103.0,94.0,0.06,0.485,0.221,0.234,,1.38,0.2,-0.77,-0.09,,94.0,88.6,92.9,83.1,,0.194,0.379,0.275,0.202,0.387,0.258,,,,0.343,0.6,0.216,0.345,0.483,0.094,,,,,,,,,,,,,,,,0.207,0.37,0.337,,,,,,,,,,,,,,,,,,
