date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU%,wCU/C,vCU,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,vKN (sc),KN%,wKN/C,FO%,wFO/C,vFO
2024/08/26,6:42 PM.,CHC,PIT,home,Partly Cloudy.,89,592791,CF,4,0,1,0,0,0,2,0,0,1,4,.189,.247,.216,.463,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.27,4.05,165.1,107.0,85.0,102.0,0.823,6.8,1.8,8.38,1.14,0.99,0.223,0.445,0.136,0.328,0.468,78.0,102.0,95.0,66.0,106.0,96.0,74.0,104.0,92.0,104.0,116.0,120.0,92.0,103.0,98.0,0.109,0.296,0.251,0.155,0.043,-0.27,2.12,1.47,0.65,-2.45,92.3,86.5,86.0,92.5,80.4,0.273,0.576,0.148,0.219,0.297,0.085,0.183,0.296,0.317,0.287,0.497,0.147,0.252,0.31,0.191,0.147,-1.04,79.5,,,,104.0,111.0,113.0,0.232,0.424,0.23,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/24,6:41 PM.,CIN,PIT,home,Clear.,87,687924,CF,2,0,0,0,0,0,0,0,1,1,0,.186,.247,.214,.461,687924,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,6.25,4.94,31.2,97.0,86.0,97.0,0.836,5.4,3.41,8.53,2.27,0.79,0.24,0.413,0.183,0.231,0.449,97.0,84.0,89.0,,,,79.0,102.0,98.0,94.0,99.0,105.0,,,,0.54,,,0.179,0.189,,,-0.41,0.21,-1.59,,,84.0,94.3,80.3,0.2,0.36,0.25,0.282,0.563,0.151,,,,,,,,,,0.092,-2.92,78.0,0.176,0.353,0.25,93.0,87.0,96.0,0.2,0.5,0.158,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/23,6:43 PM.,CIN,PIT,home,Clear.,82,571656,RF,3,0,0,0,0,0,0,0,0,1,1,.191,.243,.221,.464,571656,buckfarmer,"Farmer, B",Right,Buck Farmer,CIN,3.04,4.14,71.0,100.0,93.0,100.0,0.764,8.87,3.68,7.1,0.89,0.84,0.233,0.43,0.187,0.28,0.397,110.0,104.0,108.0,52.0,94.0,82.0,72.0,97.0,94.0,120.0,102.0,111.0,,,,0.243,0.2,,0.348,0.209,0.18,,0.97,1.36,-0.61,92.7,,86.8,92.5,82.2,0.267,0.367,0.326,0.268,0.423,0.151,,,,0.208,0.396,0.151,,,,,,,0.138,0.313,0.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/21,1:38 PM.,TEX,PIT,away,Roof Closed.,74,571760,DH,0,0,0,0,0,0,0,1,0,0,0,.200,.254,.231,.485,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.28,4.46,160.0,102.0,80.0,99.0,0.76,8.94,2.31,8.94,1.29,0.75,0.247,0.407,0.148,0.306,0.428,83.0,102.0,94.0,77.0,102.0,98.0,34.0,82.0,74.0,79.0,100.0,103.0,20.0,51.0,51.0,0.014,0.501,0.001,0.278,0.17,0.15,-19.13,-4.52,-0.26,0.46,91.5,86.6,83.7,92.2,82.5,0.239,0.384,0.243,0.455,0.455,0.125,,,,0.23,0.412,0.213,,,,0.036,-3.31,75.6,0.26,0.385,0.365,126.0,105.0,103.0,0.5,1.1,0.188,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/19,7:07 PM.,TEX,PIT,away,Roof Closed.,74,641540,CF,4,0,1,0,0,0,0,0,0,2,1,.200,.254,.231,.485,641540,danedunning,Dunning,Right,Dane Dunning,TEX,5.31,5.28,95.0,98.0,82.0,94.0,0.785,8.62,3.79,9.19,1.71,1.15,0.158,0.5,0.127,0.345,0.425,83.0,94.0,86.0,40.0,103.0,91.0,79.0,102.0,97.0,102.0,100.0,97.0,74.0,99.0,94.0,0.377,0.028,0.188,0.234,0.125,-2.6,-0.73,0.0,-1.44,-1.22,89.2,88.1,85.0,89.7,80.6,0.233,0.488,0.327,0.276,0.442,0.133,,,,0.25,0.583,0.259,0.254,0.46,0.242,,,,0.274,0.512,0.304,,,,0.0,0.0,0.429,58.0,89.0,98.0,0.047,0.09,75.6,,,,,,,,,,,,,,,,0.001,-6.34,76.4
2024/08/18,1:37 PM.,SEA,PIT,home,Partly Cloudy.,78,669923,RF,3,0,1,0,0,0,0,0,0,0,0,.197,.254,.230,.484,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.44,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.294,0.446,,,,102.0,107.0,101.0,106.0,108.0,108.0,110.0,104.0,110.0,97.0,99.0,93.0,0.236,0.339,0.004,0.237,,0.46,0.79,1.5,1.28,,96.0,92.3,,96.0,87.2,,,,0.263,0.354,0.105,,,,0.221,0.458,0.291,,,,,,,0.226,0.316,0.271,,,,0.333,0.439,0.286,114.0,110.0,113.0,0.082,-1.95,83.4,,,,109.0,100.0,108.0,0.102,-2.05,86.0,0.253,0.413,0.295,73.9,0.0,-3.5,,,
2024/08/17,1:07 PM.,SEA,PIT,home,Cloudy.,83,622491,RF,4,0,0,0,0,0,0,0,0,1,0,.190,.250,.224,.474,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.64,3.91,175.1,105.0,101.0,102.0,0.768,8.98,2.41,8.11,1.28,0.94,0.26,0.409,0.159,0.319,0.406,89.0,104.0,97.0,120.0,105.0,103.0,100.0,102.0,98.0,72.0,106.0,108.0,,,,0.179,0.454,,0.224,0.143,0.97,,-0.41,0.65,-1.63,95.6,,88.1,95.6,85.7,0.287,0.545,0.265,0.298,0.457,0.105,,,,0.203,0.365,0.273,,,,,,,0.207,0.357,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/16,6:43 PM.,SEA,PIT,home,Partly Cloudy.,79,669302,DH,0,1,0,0,0,0,0,0,0,0,0,.204,.267,.241,.508,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.23,3.14,208.2,101.0,121.0,106.0,0.705,9.49,1.6,6.38,1.12,1.2,0.236,0.45,0.135,0.325,0.429,,,,106.0,101.0,97.0,91.0,102.0,97.0,146.0,102.0,115.0,116.0,104.0,103.0,0.015,0.308,0.106,0.32,,1.41,0.14,0.32,1.72,,96.6,92.3,,95.5,88.4,,,,0.286,0.286,0.05,,,,0.204,0.383,0.193,0.247,0.483,0.272,0.118,0.81,83.2,0.21,0.375,0.368,124.0,99.0,107.0,0.181,0.301,0.354,,,,,,,,,,99.0,96.0,104.0,0.134,1.18,84.5,0.101,0.162,0.506,,,,,,
2024/08/13,6:42 PM.,SD,PIT,away,Clear.,77,650633,CF,3,0,0,0,0,0,0,0,0,2,3,.204,.267,.241,.508,650633,michaelking,"King, M",Right,Michael King,SDP,2.95,3.59,173.2,102.0,95.0,100.0,0.735,10.42,3.26,7.46,0.88,1.1,0.233,0.426,0.202,0.264,0.415,88.0,103.0,97.0,86.0,103.0,101.0,88.0,105.0,98.0,115.0,97.0,102.0,,,,0.279,0.241,,0.234,0.246,-0.15,,0.68,-0.19,1.61,93.7,,86.7,92.9,82.9,0.207,0.286,0.362,0.2,0.376,0.189,0.206,0.304,0.345,0.265,0.402,0.261,,,,,,,0.281,0.5,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/12,6:41 PM.,SD,PIT,away,Clear.,77,605397,PR,0,0,0,0,0,0,0,0,0,0,0,.216,.281,.255,.536,605397,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,3.88,4.34,99.2,102.0,124.0,102.0,0.736,9.12,2.08,8.49,1.26,1.08,0.207,0.435,0.112,0.341,0.449,110.0,101.0,107.0,95.0,100.0,95.0,69.0,111.0,96.0,145.0,98.0,106.0,110.0,108.0,104.0,0.044,0.246,0.204,0.203,0.078,-0.74,1.35,0.44,1.05,-3.1,93.0,89.7,87.1,92.6,82.2,0.353,0.618,0.379,0.348,0.435,0.146,0.169,0.351,0.338,0.253,0.494,0.231,0.298,0.405,0.25,0.225,-0.1,81.6,,,,168.0,98.0,103.0,0.203,0.319,0.328,,,,,,,,,,,,,,,,,,,,,,,,
