date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,SI%,FA%,CU%,CH%,wFA/C,wSI/C,wCU/C,wCH/C,vFA,vCH,vSI,vCU,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,SL%,KC%,wFC/C,wFS/C,wSL/C,wKC/C,vFC,vFS,vSL,vKC,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff
2024/05/03,7:07 PM.,DET,NYY,home,Clear.,57,681857,PR,0,0,0,0,0,0,0,0,0,0,0,.143,.250,.143,.393,681857,reeseolson,Olson,Right,Reese Olson,DET,3.53,3.64,112.1,97.0,91.0,97.0,0.729,8.09,2.64,8.01,0.56,1.62,0.214,0.462,0.128,0.306,0.365,102.0,97.0,105.0,92.0,91.0,90.0,70.0,94.0,86.0,75.0,103.0,95.0,0.205,0.234,0.06,0.223,-0.39,1.85,-3.32,-0.05,94.2,86.5,94.2,79.0,0.222,0.344,0.429,0.284,0.385,0.076,0.304,0.652,0.295,0.277,0.386,0.101,111.0,97.0,103.0,,,,,,,,,0.278,,,,2.08,,,,84.8,,,,,,,,,,,0.143,0.194,0.455
2024/04/28,1:10 PM.,MIL,NYY,away,Roof Closed.,65,668964,RF,0,1,0,0,0,0,0,0,1,0,0,.143,.250,.143,.393,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,109.0,86.0,90.0,73.0,99.0,104.0,87.0,105.0,100.0,71.0,92.0,74.0,0.005,0.401,0.041,0.114,0.58,11.28,-3.19,1.18,92.9,81.1,91.5,77.8,0.083,0.083,0.444,0.0,0.0,0.0,0.421,0.579,0.194,0.239,0.436,0.194,92.0,106.0,103.0,96.0,100.0,91.0,,,,0.23,,0.21,,-0.75,,1.43,,89.2,,85.5,,,,,,,,0.336,0.518,0.123,0.198,0.255,0.248
2024/04/27,6:10 PM.,MIL,NYY,away,Roof Closed.,73,605452,RF,1,1,1,0,0,0,0,0,0,0,0,.143,.143,.143,.286,605452,joeross,Ross,Right,Joe Ross,MIL,3.77,3.91,74.0,102.0,88.0,98.0,0.752,8.03,3.53,8.76,0.85,0.98,0.29,0.366,0.21,0.321,0.454,81.0,106.0,97.0,110.0,102.0,99.0,84.0,106.0,97.0,85.0,98.0,92.0,0.366,0.16,0.017,0.084,-2.63,0.77,2.4,0.43,94.8,90.2,94.8,83.2,0.286,0.357,0.157,0.248,0.343,0.154,0.0,0.0,0.308,0.288,0.5,0.275,94.0,103.0,104.0,,,,,,,,,0.373,,,,0.42,,,,86.6,,,,,,,,,,,0.237,0.32,0.384
2024/04/26,7:10 PM.,MIL,NYY,away,Roof Closed.,63,607067,LF,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,607067,colinrea,Rea,Right,Colin Rea,MIL,4.29,4.91,167.2,102.0,84.0,97.0,0.827,7.25,2.31,9.07,1.56,0.95,0.24,0.456,0.137,0.329,0.443,,,,100.0,109.0,104.0,70.0,109.0,95.0,82.0,103.0,96.0,0.311,0.193,0.042,,0.49,-0.28,-3.64,,92.9,,92.3,78.7,,,,0.298,0.482,0.115,0.394,0.636,0.18,0.207,0.314,0.248,109.0,106.0,108.0,76.0,94.0,88.0,78.0,98.0,96.0,0.194,0.088,0.172,,-1.34,-2.02,1.41,,87.6,86.5,82.0,,0.286,0.492,0.277,0.159,0.234,0.227,0.287,0.656,0.168,,,
2024/04/20,1:08 PM.,TB,NYY,home,Partly Cloudy.,60,621107,LF,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,621107,zacheflin,Eflin,Right,Zach Eflin,- - -,3.59,3.67,165.1,107.0,92.0,103.0,0.808,7.29,1.31,9.04,1.2,1.14,0.235,0.446,0.174,0.323,0.45,87.0,101.0,103.0,108.0,112.0,108.0,61.0,105.0,94.0,91.0,109.0,105.0,0.282,0.09,0.188,0.061,-0.64,0.0,-1.27,0.21,92.4,85.6,91.7,78.8,0.188,0.354,0.105,0.293,0.404,0.133,0.291,0.472,0.333,0.236,0.418,0.248,122.0,107.0,113.0,85.0,105.0,98.0,,,,0.282,,0.097,,1.54,,0.46,,88.2,,79.7,,,,,0.236,0.473,0.203,0.214,0.345,0.223,,,
2024/04/15,7:10 PM.,WSH,LAD,home,Clear.,62,680730,LF,2,0,0,0,0,0,0,0,0,2,1,.000,.000,.000,.000,680730,mitchellparker,Parker,Left,Mitchell Parker,WSN,4.29,4.37,151.0,99.0,87.0,97.0,0.801,7.93,2.56,9.18,1.07,0.94,0.248,0.444,0.132,0.321,0.441,,,,97.0,96.0,96.0,78.0,101.0,96.0,,,,,0.486,0.225,,0.07,,0.47,,92.5,,,80.5,,,,,,,0.252,0.36,0.263,0.276,0.425,0.12,106.0,107.0,110.0,,,,89.0,94.0,94.0,,0.191,0.098,,,-0.6,-0.73,,,85.6,84.5,,0.233,0.4,0.372,,,,,,,0.238,0.429,0.364
2024/04/10,12:11 PM.,MIN,LAD,away,Sunny.,60,663978,PR,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,663978,chrispaddack,Paddack,Right,Chris Paddack,MIN,4.99,4.84,88.1,106.0,89.0,104.0,0.781,8.05,2.14,10.39,1.43,0.9,0.233,0.35,0.141,0.311,0.425,108.0,107.0,112.0,106.0,102.0,103.0,79.0,111.0,103.0,,,,,0.429,0.136,0.259,0.63,,-1.69,-1.51,93.3,82.9,,78.2,0.283,0.519,0.248,,,,0.326,0.435,0.19,0.277,0.4,0.243,71.0,97.0,96.0,,,,,,,,,0.177,,,,-0.21,,,,85.9,,,,,,,,,,,0.264,0.434,0.254
2024/04/08,6:41 PM.,MIN,LAD,away,Partly Cloudy.,49,641927,LF,3,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,116.0,111.0,111.0,94.0,99.0,103.0,81.0,104.0,96.0,,,,,0.381,0.011,0.294,-0.01,,4.57,1.98,91.7,83.4,,76.0,0.154,0.285,0.395,,,,0.0,0.0,0.375,0.258,0.506,0.222,74.0,100.0,101.0,84.0,104.0,100.0,,,,0.195,,0.118,,-0.86,,2.03,,86.2,,80.3,,,,,,,,0.279,0.504,0.229,0.095,0.162,0.307
2024/04/07,1:19 PM.,CHC,LAD,away,Overcast.,47,684007,RF,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,684007,shotaimanaga,Imanaga,Left,Shota Imanaga,CHC,2.91,3.39,173.1,105.0,90.0,103.0,0.739,9.03,1.45,7.74,1.4,0.82,0.217,0.45,0.166,0.309,0.438,82.0,105.0,104.0,70.0,96.0,97.0,96.0,104.0,106.0,76.0,102.0,91.0,0.021,0.52,0.032,0.039,0.36,0.77,-0.59,0.48,91.7,81.6,88.7,72.7,0.194,0.226,0.333,0.25,0.333,0.37,0.444,0.556,0.0,0.229,0.47,0.176,103.0,105.0,104.0,50.0,107.0,96.0,81.0,106.0,100.0,0.005,0.306,0.077,0.0,-6.3,1.39,0.14,-76.55,89.8,82.9,81.6,53.9,0.204,0.283,0.431,0.267,0.311,0.347,0.333,1.333,0.143,,,
2024/04/05,1:20 PM.,CHC,LAD,away,Partly Cloudy.,43,543294,PR,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,5.92,4.81,130.2,105.0,95.0,100.0,0.828,5.99,2.96,10.13,1.45,1.31,0.233,0.412,0.194,0.288,0.402,108.0,106.0,106.0,87.0,109.0,108.0,59.0,94.0,86.0,97.0,106.0,96.0,0.355,0.127,0.131,0.387,-1.51,-0.77,0.52,-0.72,87.7,80.9,87.6,74.3,0.267,0.409,0.239,0.333,0.493,0.106,0.22,0.3,0.244,0.237,0.553,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
