date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,FA%,SL%,KC%,CH%,wFA/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSL,vKC,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024/07/27,7:18 PM.,BOS,NYY,away,Clear.,81,676710,PR,0,1,0,0,0,0,0,0,0,0,0,.238,.304,.381,.685,676710,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.36,3.86,183.2,105.0,108.0,107.0,0.766,8.58,2.5,7.6,1.67,0.67,0.244,0.424,0.164,0.288,0.446,,,,109.0,109.0,112.0,100.0,99.0,102.0,98.0,97.0,99.0,0.337,0.185,0.072,,-0.43,-0.56,1.14,,92.6,,80.8,77.3,0.255,0.5,0.198,,,,,,,0.143,0.171,0.219,,,,,,,,,,0.222,0.437,0.263,,,,,,,114.0,104.0,104.0,0.32,0.55,87.5,0.216,0.418,0.265,87.0,102.0,106.0,0.086,0.47,82.4,0.192,0.26,0.404,,,
2024/07/24,7:08 PM.,NYM,NYY,home,Partly Cloudy.,76,640455,RF,0,0,0,0,0,0,0,0,0,0,0,.238,.304,.381,.685,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,83.0,98.0,95.0,88.0,103.0,99.0,88.0,88.0,93.0,,,,0.113,0.251,,0.118,1.13,0.37,,-1.19,92.3,85.3,79.5,,0.167,0.295,0.311,0.174,0.435,0.32,0.25,0.438,0.254,,,,95.0,100.0,97.0,0.447,1.36,92.3,0.201,0.333,0.21,0.193,0.311,0.388,,,,,,,84.0,88.0,85.0,0.071,0.97,88.4,0.222,0.25,0.179,,,,,,,,,,,,
2024/07/23,7:09 PM.,NYM,NYY,home,Cloudy.,76,500779,DH,3,0,0,0,0,0,0,0,0,2,2,.238,.304,.381,.685,500779,josequintana,Quintana,Left,Jose Quintana,NYM,3.75,4.52,170.1,97.0,83.0,93.0,0.801,7.13,3.33,7.93,1.16,1.35,0.224,0.407,0.173,0.344,0.337,70.0,100.0,97.0,70.0,92.0,85.0,,,,,,,0.225,,,0.193,-0.32,,,0.5,90.7,85.7,,,0.227,0.427,0.169,,,,0.203,0.26,0.367,0.265,0.444,0.264,76.0,97.0,91.0,0.304,0.82,90.8,0.249,0.431,0.131,,,,110.0,100.0,99.0,0.278,-0.04,77.7,,,,,,,,,,,,,,,,,,,0.195,0.366,0.284
2024/07/20,1:08 PM.,TB,NYY,home,Cloudy.,82,671737,RF,1,0,0,0,0,0,1,0,0,0,0,.256,.326,.410,.736,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,4.11,4.17,138.0,98.0,116.0,103.0,0.748,10.04,3.07,7.96,1.43,1.06,0.247,0.394,0.102,0.394,0.426,,,,129.0,97.0,102.0,,,,,,,0.417,,,,-0.04,,,,96.4,,,,0.269,0.5,0.21,,,,,,,0.241,0.483,0.346,,,,,,,,,,,,,100.0,91.0,93.0,0.089,-1.5,79.1,91.0,100.0,98.0,0.225,1.02,90.9,0.205,0.357,0.324,123.0,102.0,114.0,0.269,0.47,90.9,0.213,0.32,0.33,,,
2024/07/12,7:06 PM.,BAL,NYY,away,Cloudy.,81,700249,DH,4,0,1,0,0,0,1,0,0,3,1,.263,.333,.421,.754,700249,cadepovich,Povich,Left,Cade Povich,BAL,5.2,4.11,79.2,99.0,87.0,97.0,0.788,7.79,3.84,9.04,1.36,0.75,0.22,0.447,0.179,0.289,0.454,63.0,101.0,95.0,81.0,97.0,93.0,113.0,107.0,108.0,,,,0.407,0.13,,0.109,0.56,-0.43,,-2.05,92.4,86.1,82.6,,0.223,0.379,0.185,,,,0.25,0.542,0.235,0.333,0.517,0.269,80.0,98.0,90.0,0.084,0.86,91.5,0.2,0.24,0.103,0.232,0.411,0.276,93.0,101.0,104.0,0.196,-2.26,76.3,97.0,94.0,94.0,0.075,-3.12,88.3,0.333,0.81,0.288,,,,,,,,,,,,
2024/07/06,1:08 PM.,BOS,NYY,home,Partly Cloudy.,86,670174,RF,0,0,0,0,0,0,0,0,0,0,0,.265,.342,.441,.783,670174,joshwinckowski,Winckowski,Right,Josh Winckowski,BOS,4.14,4.37,76.0,102.0,101.0,100.0,0.809,7.11,3.08,9.59,1.18,1.8,0.228,0.402,0.159,0.321,0.436,101.0,96.0,99.0,72.0,117.0,106.0,124.0,107.0,112.0,,,,0.051,0.133,,0.128,0.47,0.49,,-2.35,95.1,91.5,85.2,,0.167,0.167,0.29,0.167,0.222,0.316,0.356,0.467,0.094,,,,105.0,102.0,101.0,0.336,-0.16,95.1,0.306,0.454,0.177,,,,,,,,,,94.0,101.0,95.0,0.352,-0.21,90.4,0.253,0.495,0.233,,,,,,,,,,,,
2024/07/03,7:09 PM.,CIN,NYY,home,Clear.,77,671096,DH,3,1,1,1,0,0,0,0,0,1,2,.265,.342,.441,.783,671096,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.72,4.02,138.0,98.0,92.0,97.0,0.805,7.43,3.39,8.28,1.63,0.68,0.256,0.364,0.16,0.287,0.428,96.0,94.0,97.0,78.0,96.0,89.0,125.0,106.0,112.0,,,,0.535,0.186,,0.163,-0.26,0.49,,0.23,92.8,84.8,82.9,,0.254,0.451,0.194,,,,0.214,0.429,0.273,0.327,0.653,0.179,,,,,,,,,,0.189,0.307,0.287,101.0,98.0,99.0,0.116,-1.56,80.8,,,,,,,,,,,,,,,,,,,,,
2024/06/28,7:08 PM.,TOR,NYY,away,Roof Closed.,68,579328,DH,5,2,3,0,0,0,1,0,0,2,0,.258,.343,.419,.762,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.05,3.7,175.2,101.0,109.0,105.0,0.734,10.55,2.25,8.56,1.28,1.1,0.273,0.405,0.136,0.36,0.443,99.0,93.0,91.0,114.0,103.0,107.0,111.0,100.0,106.0,,,,0.471,0.235,,0.111,-0.08,1.31,,-0.15,95.5,86.7,88.3,,0.274,0.505,0.28,0.21,0.28,0.297,0.194,0.25,0.358,0.264,0.395,0.274,,,,,,,,,,,,,99.0,105.0,105.0,0.183,0.02,82.4,,,,,,,,,,,,,,,,,,,,,
2024/06/27,7:08 PM.,TOR,NYY,away,Clear.,70,621244,2B,4,0,1,0,0,0,0,0,0,0,1,.192,.300,.385,.685,621244,joseberrios,Berríos,Right,José Berríos,TOR,3.6,4.74,192.1,103.0,92.0,99.0,0.808,7.16,2.53,7.86,1.45,1.17,0.257,0.421,0.15,0.352,0.414,86.0,104.0,101.0,82.0,99.0,92.0,,,,,,,0.183,,,0.16,-1.26,,,0.88,94.1,84.8,,,0.305,0.558,0.189,,,,0.171,0.364,0.269,,,,85.0,103.0,95.0,0.337,1.02,93.4,0.268,0.366,0.125,,,,111.0,102.0,106.0,0.286,0.28,83.2,84.0,108.0,99.0,0.035,-1.83,91.4,0.36,0.48,0.123,,,,,,,,,,0.188,0.404,0.31
2024/06/26,7:10 PM.,NYM,NYY,away,Partly Cloudy.,83,640455,RF,1,0,0,0,0,0,0,0,0,0,2,.182,.308,.409,.717,640455,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.47,3.75,181.2,97.0,90.0,96.0,0.76,9.12,3.12,6.64,1.04,0.87,0.266,0.376,0.156,0.32,0.436,83.0,98.0,95.0,88.0,103.0,99.0,88.0,88.0,93.0,,,,0.113,0.251,,0.118,1.13,0.37,,-1.19,92.3,85.3,79.5,,0.167,0.295,0.311,0.174,0.435,0.32,0.25,0.438,0.254,,,,95.0,100.0,97.0,0.447,1.36,92.3,0.201,0.333,0.21,0.193,0.311,0.388,,,,,,,84.0,88.0,85.0,0.071,0.97,88.4,0.222,0.25,0.179,,,,,,,,,,,,
