date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,wFA/C,wSI/C,wSL/C,wCU/C,vFA,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024/09/29,12:05 PM.,SF,STL,away,Partly Cloudy.,62,806185,RF,4,1,1,0,0,0,0,0,0,2,1,.201,.253,.366,.619,806185,haydenbirdsong,Birdsong,Right,Hayden Birdsong,SFG,4.75,4.65,72.0,92.0,111.0,97.0,0.728,11.0,5.38,7.13,1.38,0.96,0.239,0.394,0.1,0.417,0.382,111.0,102.0,104.0,90.0,89.0,85.0,,,,119.0,90.0,100.0,,0.446,0.184,0.187,-0.02,,-0.26,0.82,95.8,,86.4,80.5,0.216,0.44,0.182,0.244,0.512,0.487,0.145,0.218,0.327,,,,155.0,91.0,114.0,0.184,-0.87,88.1,0.269,0.365,0.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/28,1:05 PM.,SF,STL,away,Partly Cloudy.,65,663941,RF,5,0,1,0,0,0,1,0,0,2,6,.200,.253,.369,.622,663941,tristanbeck,Beck,Right,Tristan Beck,SFG,1.69,3.86,16.0,97.0,91.0,97.0,0.806,7.88,2.25,7.88,1.13,0.62,0.354,0.208,0.208,0.333,0.459,93.0,113.0,111.0,86.0,90.0,88.0,,,,94.0,98.0,104.0,,0.504,0.298,0.198,1.83,,-3.44,-1.22,93.1,,83.6,80.0,0.13,0.217,0.2,0.5,0.7,0.15,0.176,0.353,0.185,,,,,,,,,,,,,,,,,,,,,,0.273,0.545,0.273,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/27,7:15 PM.,SF,STL,away,Clear.,77,694738,RF,4,0,2,1,0,0,0,0,0,0,0,.200,.254,.374,.628,694738,landenroupp,Roupp,Right,Landen Roupp,SFG,3.58,4.05,50.1,98.0,125.0,106.0,0.763,8.4,4.65,7.69,0.36,1.6,0.231,0.427,0.196,0.252,0.397,155.0,103.0,121.0,66.0,70.0,66.0,102.0,96.0,95.0,115.0,84.0,93.0,0.405,0.019,0.042,0.441,-2.8,0.31,0.91,0.4,93.4,94.4,83.9,77.4,,,,0.25,0.25,0.6,0.224,0.357,0.335,0.257,0.343,0.055,97.0,92.0,93.0,0.094,1.41,88.2,0.111,0.111,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/26,1:09 PM.,COL,STL,away,Sunny.,86,607536,RF,4,0,2,2,0,0,0,0,0,0,2,.192,.248,.364,.612,607536,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.24,5.11,113.1,103.0,81.0,99.0,0.841,6.75,2.06,10.64,1.75,1.01,0.225,0.421,0.156,0.347,0.435,,,,69.0,104.0,95.0,83.0,106.0,99.0,65.0,103.0,101.0,0.245,0.202,0.227,,-1.51,-1.33,-1.11,,91.6,91.4,86.9,,0.322,0.522,0.067,0.316,0.589,0.162,0.194,0.276,0.42,0.31,0.556,0.074,61.0,100.0,89.0,0.137,-1.64,86.1,0.333,0.647,0.161,,,,,,,,,,,,,,,,,,,128.0,102.0,107.0,,,,,0.188,,0.07,,83.5,,,,,,
2024/09/25,6:39 PM.,COL,STL,away,Clear.,85,596295,RF,4,1,0,0,0,0,0,0,0,1,4,.184,.242,.347,.589,596295,austingomber,Gomber,Left,Austin Gomber,COL,4.75,5.07,165.0,102.0,82.0,98.0,0.821,6.33,2.07,9.71,1.64,0.92,0.213,0.423,0.122,0.394,0.446,,,,71.0,98.0,91.0,51.0,110.0,96.0,91.0,103.0,102.0,0.001,0.404,0.167,,-1.23,-42.96,-0.17,,90.4,90.1,83.8,,0.305,0.6,0.096,0.274,0.513,0.22,0.22,0.368,0.269,,,,82.0,103.0,99.0,0.205,-0.15,81.1,0.28,0.409,0.273,,,,,,,,,,,,,,,,,,,93.0,109.0,107.0,,,,,0.224,,-0.08,,77.6,,,,,,
2024/09/24,6:41 PM.,COL,STL,away,Clear.,74,663372,RF,4,1,1,0,0,0,1,0,0,1,3,.189,.248,.357,.605,663372,ryanfeltner,Feltner,Right,Ryan Feltner,COL,4.49,4.31,162.1,100.0,97.0,99.0,0.781,7.65,2.88,9.15,1.11,1.28,0.226,0.394,0.158,0.327,0.452,108.0,107.0,113.0,81.0,102.0,96.0,93.0,93.0,89.0,109.0,99.0,104.0,0.128,0.37,0.254,0.101,0.63,-0.45,-0.87,1.28,94.6,94.2,87.4,79.2,0.24,0.376,0.177,0.355,0.523,0.226,0.164,0.26,0.248,0.299,0.403,0.159,117.0,95.0,102.0,0.147,-1.02,85.2,0.299,0.485,0.394,,,,,,,,,,0.156,0.375,0.35,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/22,1:16 PM.,CLE,STL,home,Overcast.,78,668909,RF,3,0,0,0,0,0,0,0,0,0,1,.187,.248,.360,.608,668909,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,4.86,4.22,76.0,101.0,99.0,102.0,0.788,9.36,3.79,8.53,0.83,1.06,0.317,0.349,0.142,0.317,0.42,121.0,101.0,105.0,97.0,102.0,102.0,,,,95.0,80.0,96.0,,0.515,0.113,0.198,0.08,,-0.16,-0.01,96.6,,88.6,79.5,0.286,0.421,0.22,0.258,0.387,0.242,0.155,0.31,0.304,,,,66.0,96.0,101.0,0.054,-3.82,89.2,0.417,0.833,0.148,98.0,99.0,94.0,0.12,0.56,91.6,0.205,0.333,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/21,6:15 PM.,CLE,STL,home,Overcast.,85,571510,RF,3,1,1,0,0,1,2,0,1,1,1,.191,.253,.368,.621,571510,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.72,3.1,39.2,102.0,75.0,95.0,0.715,10.44,2.95,7.26,0.91,0.66,0.286,0.324,0.21,0.295,0.411,85.0,100.0,98.0,66.0,100.0,91.0,78.0,101.0,90.0,74.0,101.0,98.0,0.102,0.383,0.173,0.081,1.47,-2.47,1.14,1.41,92.0,91.8,79.5,74.1,0.15,0.25,0.246,0.148,0.222,0.449,0.167,0.25,0.474,0.32,0.64,0.071,83.0,105.0,100.0,0.262,0.04,80.9,0.261,0.37,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/20,7:16 PM.,CLE,STL,home,Partly Cloudy.,93,594902,RF,4,0,1,0,0,0,0,0,0,0,3,.188,.247,.346,.593,594902,benlively,Lively,Right,Ben Lively,CLE,3.81,4.0,151.0,102.0,67.0,92.0,0.83,7.03,2.92,8.28,1.37,1.02,0.228,0.407,0.128,0.309,0.433,43.0,106.0,93.0,57.0,94.0,83.0,57.0,108.0,94.0,105.0,102.0,101.0,0.29,0.314,0.218,0.088,-0.21,0.56,-0.01,-0.11,89.9,90.4,79.4,76.9,0.268,0.504,0.166,0.238,0.476,0.419,0.206,0.365,0.18,0.227,0.392,0.133,75.0,108.0,95.0,0.091,-0.79,83.9,0.279,0.382,0.185,,,,,,,,,,0.231,0.413,0.241,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/19,6:16 PM.,PIT,STL,home,Clear.,84,682847,RF,4,0,0,0,0,0,0,0,0,2,4,.186,.246,.349,.595,682847,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.32,4.31,135.2,100.0,104.0,99.0,0.816,7.1,2.79,7.23,1.06,0.94,0.246,0.425,0.166,0.286,0.443,,,,97.0,104.0,97.0,105.0,97.0,95.0,121.0,102.0,109.0,0.258,0.268,0.268,,1.02,1.13,-0.41,,95.9,94.9,85.8,,0.187,0.331,0.208,0.203,0.392,0.31,,,,0.237,0.374,0.129,66.0,87.0,88.0,0.009,0.21,90.6,,,,90.0,100.0,94.0,0.197,0.71,91.0,0.273,0.416,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,
