date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,CU%,wFC/C,wFS/C,wCU/C,vFC,vFS,vCU,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff
2024/08/28,7:10 PM.,SF,MIL,home,Roof Closed.,78,690986,DH,0,0,0,0,0,0,0,0,1,0,0,.308,.357,.538,.895,690986,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.56,4.87,124.1,98.0,89.0,92.0,0.793,8.54,3.04,9.05,1.3,1.01,0.282,0.329,0.142,0.345,0.431,70.0,96.0,88.0,98.0,100.0,92.0,,,,93.0,107.0,97.0,,,,,0.577,0.003,,0.197,0.2,,-11.71,,-1.64,92.5,84.8,,88.2,,0.249,0.425,0.23,,,,0.287,0.435,0.215,0.333,0.667,0.5,84.0,95.0,95.0,,,,,,,,,0.223,,,-0.22,,,80.6,,,,,,,,,,,,,0.274,0.452,0.277
2024/08/25,1:07 PM.,OAK,MIL,away,Sunny.,76,683155,C,0,0,0,0,0,0,0,0,0,0,0,.308,.341,.538,.879,683155,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.43,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.302,0.479,78.0,93.0,94.0,80.0,106.0,99.0,61.0,93.0,83.0,114.0,113.0,117.0,,,,0.034,0.517,0.332,,0.111,0.08,-1.55,-0.2,,-2.46,92.4,84.8,90.8,79.6,,0.257,0.469,0.175,,,,0.357,0.738,0.204,0.261,0.435,0.223,,,,111.0,89.0,91.0,,,,0.007,,,-13.81,,,86.4,,,0.263,0.579,0.147,,,,,,,0.217,0.367,0.216,,,
2024/08/21,6:45 PM.,STL,MIL,away,Clear.,73,502043,DH,0,0,0,0,0,0,0,0,0,0,0,.308,.341,.538,.879,502043,kylegibson,Gibson,Right,Kyle Gibson,STL,4.24,4.87,169.2,98.0,93.0,95.0,0.756,8.01,3.61,8.54,1.22,1.29,0.218,0.431,0.166,0.351,0.359,99.0,92.0,89.0,80.0,88.0,83.0,84.0,101.0,96.0,104.0,102.0,105.0,,,,0.264,0.132,0.207,,0.099,-1.39,0.22,0.92,,1.2,91.4,84.9,90.7,80.7,,0.268,0.563,0.065,0.325,0.675,0.462,0.19,0.254,0.39,,,,102.0,103.0,104.0,96.0,95.0,91.0,,,,0.211,,0.086,0.21,,-2.21,88.6,,78.3,0.267,0.422,0.092,,,,0.299,0.479,0.181,0.2,0.312,0.412,,,
2024/08/18,1:11 PM.,CLE,MIL,home,Roof Closed.,76,594902,C,3,0,0,0,0,0,1,0,0,2,1,.308,.341,.538,.879,594902,benlively,Lively,Right,Ben Lively,CLE,3.81,4.0,151.0,102.0,67.0,92.0,0.83,7.03,2.92,8.28,1.37,1.02,0.228,0.407,0.128,0.309,0.433,75.0,108.0,95.0,57.0,94.0,83.0,57.0,108.0,94.0,105.0,102.0,101.0,,,,0.29,0.314,0.218,,0.091,-0.21,0.56,-0.01,,-0.79,89.9,83.9,90.4,79.4,,0.268,0.504,0.166,0.206,0.365,0.18,0.279,0.382,0.185,0.238,0.476,0.419,43.0,106.0,93.0,,,,,,,,,0.088,,,-0.11,,,76.9,0.227,0.392,0.133,,,,,,,0.231,0.413,0.241,,,
2024/08/13,7:10 PM.,LAD,MIL,home,Clear.,80,694813,C,0,0,0,0,0,0,0,0,0,0,0,.333,.368,.583,.951,694813,gavinstone,Stone,Right,Gavin Stone,LAD,3.53,3.94,140.1,103.0,99.0,101.0,0.768,7.44,2.37,8.53,1.15,1.21,0.247,0.409,0.169,0.292,0.409,81.0,102.0,98.0,101.0,100.0,97.0,97.0,103.0,98.0,136.0,111.0,117.0,,,,0.226,0.247,0.165,,0.266,0.1,-0.69,0.96,,0.82,94.9,87.5,95.3,88.7,,0.246,0.41,0.162,0.267,0.333,0.167,0.178,0.356,0.372,0.239,0.326,0.355,93.0,102.0,102.0,80.0,101.0,94.0,,,,0.053,,0.042,0.49,,1.45,92.3,,83.3,0.314,0.504,0.136,,,,0.32,0.48,0.183,0.182,0.182,0.133,,,
2024/08/11,1:10 PM.,CIN,MIL,home,Partly Cloudy.,76,666157,C,0,0,0,0,0,0,0,0,0,0,0,.333,.368,.583,.951,666157,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,4.76,3.72,115.1,99.0,106.0,96.0,0.742,9.52,2.89,7.88,1.01,1.25,0.247,0.421,0.142,0.285,0.428,96.0,99.0,92.0,119.0,103.0,97.0,111.0,97.0,93.0,,,,,,,0.133,0.43,,,0.164,0.11,0.99,,,-0.21,94.1,88.1,94.1,,,0.241,0.407,0.23,0.217,0.302,0.429,0.232,0.39,0.259,,,,90.0,94.0,100.0,,,,,,,,,0.273,,,-0.75,,,81.7,0.234,0.453,0.183,,,,,,,,,,,,
2024/08/08,12:22 PM.,ATL,MIL,away,Sunny.,88,450203,C,6,0,2,0,0,0,1,0,0,0,4,.333,.368,.583,.951,450203,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.19,4.49,165.1,98.0,95.0,97.0,0.753,9.09,3.54,8.38,1.25,1.42,0.235,0.437,0.144,0.327,0.408,86.0,97.0,93.0,72.0,99.0,90.0,79.0,96.0,88.0,,,,,,,0.099,0.289,,,0.11,-1.4,0.39,,,-1.38,94.1,85.0,93.5,,,0.281,0.517,0.193,0.2,0.309,0.342,0.292,0.6,0.333,,,,122.0,98.0,108.0,73.0,92.0,86.0,,,,0.078,,0.424,-0.75,,0.78,88.5,,81.5,0.333,0.433,0.07,,,,0.286,0.571,0.149,,,,,,
2024/08/07,7:23 PM.,ATL,MIL,away,Clear.,92,519242,PH,1,0,0,0,0,0,0,0,0,1,3,.333,.375,.633,1.008,519242,chrissale,Sale,Left,Chris Sale,ATL,2.38,2.8,177.2,103.0,96.0,102.0,0.711,11.4,1.98,7.14,0.46,1.34,0.247,0.435,0.167,0.249,0.435,64.0,107.0,98.0,96.0,105.0,101.0,113.0,100.0,96.0,105.0,100.0,104.0,,,,0.072,0.378,0.403,,0.147,-0.12,-1.99,2.16,,2.97,94.8,87.1,94.2,78.6,,0.281,0.443,0.241,,,,0.159,0.195,0.236,0.171,0.236,0.427,,,,,,,,,,,,,,,,,,,0.327,0.551,0.133,,,,,,,,,,,,
2024/08/06,7:21 PM.,ATL,MIL,away,Partly Cloudy.,89,693821,C,0,0,0,0,0,0,0,0,0,0,0,.345,.387,.655,1.042,693821,bryceelder,Elder,Right,Bryce Elder,ATL,6.52,5.04,49.2,99.0,94.0,98.0,0.759,8.34,3.08,11.6,1.45,1.65,0.193,0.466,0.161,0.391,0.387,129.0,91.0,90.0,46.0,97.0,85.0,66.0,99.0,89.0,135.0,104.0,118.0,,,,0.426,0.127,0.315,,0.132,-3.26,-1.07,-1.07,,-0.05,91.5,85.1,90.2,83.7,,0.32,0.68,0.286,,,,0.258,0.258,0.283,0.278,0.593,0.412,,,,,,,,,,,,,,,,,,,0.344,0.458,0.086,,,,,,,,,,,,
2024/07/31,1:10 PM.,ATL,MIL,home,Sunny.,86,519242,DH,2,0,0,0,0,0,0,0,0,1,1,.345,.387,.655,1.042,519242,chrissale,Sale,Left,Chris Sale,ATL,2.38,2.8,177.2,103.0,96.0,102.0,0.711,11.4,1.98,7.14,0.46,1.34,0.247,0.435,0.167,0.249,0.435,64.0,107.0,98.0,96.0,105.0,101.0,113.0,100.0,96.0,105.0,100.0,104.0,,,,0.072,0.378,0.403,,0.147,-0.12,-1.99,2.16,,2.97,94.8,87.1,94.2,78.6,,0.281,0.443,0.241,,,,0.159,0.195,0.236,0.171,0.236,0.427,,,,,,,,,,,,,,,,,,,0.327,0.551,0.133,,,,,,,,,,,,
2024/07/28,1:36 PM.,MIA,MIL,home,Roof Closed.,80,667725,C,4,0,0,0,0,0,0,0,0,2,5,.370,.414,.704,1.118,667725,kyletyler,Tyler,Right,Kyle Tyler,MIA,5.4,6.21,31.2,95.0,101.0,95.0,0.76,7.11,5.12,10.52,1.14,1.75,0.235,0.408,0.153,0.327,0.379,47.0,78.0,66.0,81.0,91.0,88.0,,,,117.0,87.0,90.0,,,,,0.143,0.112,,0.012,0.03,,0.12,,-4.32,90.6,86.4,,82.2,,0.238,0.429,0.159,0.323,0.419,0.431,,,,0.231,0.308,0.379,97.0,89.0,93.0,108.0,102.0,100.0,,,,0.448,,0.284,-0.34,,-1.62,90.3,,77.0,,,,,,,0.328,0.448,0.17,,,,,,
2024/07/26,7:11 PM.,MIA,MIL,home,Clear.,76,669432,PH,0,0,0,0,0,0,0,0,1,0,0,.435,.480,.826,1.306,669432,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,- - -,4.92,5.18,124.1,100.0,83.0,98.0,0.811,7.02,4.05,10.13,1.01,1.38,0.215,0.422,0.131,0.358,0.392,111.0,108.0,115.0,66.0,101.0,93.0,86.0,97.0,92.0,74.0,93.0,91.0,,,,0.24,0.317,0.206,,0.238,-0.26,-0.36,-1.99,,-1.32,91.9,85.6,91.5,82.4,,0.252,0.467,0.234,,,,0.295,0.396,0.238,0.312,0.506,0.259,,,,,,,,,,,,,,,,,,,0.292,0.492,0.1,,,,,,,,,,,,
2024/07/24,1:20 PM.,CHC,MIL,away,Partly Cloudy.,74,657006,C,2,0,1,0,0,0,0,0,0,1,3,.435,.458,.826,1.284,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.07,2.74,134.2,103.0,99.0,102.0,0.792,9.02,2.47,7.42,0.8,1.2,0.288,0.38,0.174,0.264,0.513,70.0,92.0,94.0,89.0,102.0,100.0,64.0,104.0,95.0,130.0,105.0,109.0,,,,0.053,0.595,0.297,,0.033,0.38,0.43,1.81,,0.32,91.6,86.2,91.6,83.3,,0.253,0.396,0.223,0.0,0.0,0.2,0.222,0.222,0.172,0.16,0.243,0.282,92.0,120.0,108.0,,,,,,,,,0.022,,,2.76,,,79.9,0.292,0.458,0.182,,,,,,,,,,,,
2024/07/21,12:54 PM.,MIN,MIL,away,Partly Cloudy.,79,657746,C,4,2,3,0,0,2,3,0,0,1,0,.429,.455,.857,1.312,657746,joeryan,Ryan,Right,Joe Ryan,MIN,3.6,2.87,135.0,107.0,99.0,104.0,0.752,9.8,1.53,7.33,1.27,0.79,0.242,0.427,0.198,0.281,0.481,,,,94.0,110.0,105.0,110.0,108.0,105.0,108.0,103.0,112.0,,,,0.06,0.485,0.234,,,1.38,-0.77,-0.09,,,94.0,,92.9,83.1,,0.194,0.379,0.275,,,,,,,0.343,0.6,0.216,,,,,,,101.0,103.0,94.0,,0.221,,,0.2,,,88.6,,0.345,0.483,0.094,0.202,0.387,0.258,,,,0.207,0.37,0.337,,,
2024/07/13,3:11 PM.,WSH,MIL,home,Partly Cloudy.,86,680730,C,3,0,1,0,0,0,2,0,0,2,2,.353,.389,.529,.918,680730,mitchellparker,Parker,Left,Mitchell Parker,WSN,4.29,4.37,151.0,99.0,87.0,97.0,0.801,7.93,2.56,9.18,1.07,0.94,0.248,0.444,0.132,0.321,0.441,,,,78.0,101.0,96.0,,,,106.0,107.0,110.0,,,,,0.486,0.098,,,0.07,,-0.73,,,92.5,,,84.5,,0.276,0.425,0.12,0.252,0.36,0.263,,,,0.238,0.429,0.364,97.0,96.0,96.0,,,,89.0,94.0,94.0,,0.191,0.225,,-0.6,0.47,,85.6,80.5,,,,0.233,0.4,0.372,,,,,,,,,
2024/07/09,7:10 PM.,PIT,MIL,home,Cloudy.,73,676596,C,3,0,0,0,0,0,0,0,1,3,3,.357,.400,.571,.971,676596,joshfleming,Fleming,Left,Josh Fleming,PIT,4.02,4.31,31.1,96.0,67.0,89.0,0.843,4.88,4.02,9.77,0.86,2.04,0.198,0.396,0.179,0.292,0.331,69.0,100.0,89.0,142.0,135.0,123.0,50.0,90.0,86.0,,,,,,,0.378,0.004,,,0.301,1.97,-2.42,,,1.56,89.8,83.2,90.4,,,,,,0.333,0.778,0.294,0.156,0.2,0.159,,,,100.0,91.0,89.0,83.0,101.0,93.0,,,,0.256,,0.062,1.26,,-5.88,87.2,,77.9,0.4,0.578,0.218,,,,0.261,0.304,0.164,,,,,,
2024/07/07,1:10 PM.,LAD,MIL,away,Sunny.,82,680736,C,4,2,2,0,0,1,2,0,0,2,1,.455,.455,.727,1.182,680736,justinwrobleski,Wrobleski,Left,Justin Wrobleski,LAD,5.7,6.45,36.1,97.0,95.0,96.0,0.802,6.44,3.96,8.42,2.23,0.69,0.324,0.216,0.162,0.378,0.463,48.0,88.0,90.0,104.0,97.0,97.0,45.0,88.0,78.0,106.0,104.0,103.0,,,,0.044,0.591,0.083,,0.032,0.61,-1.16,-6.42,,-3.53,95.1,83.9,91.4,84.4,,0.205,0.386,0.23,0.385,0.846,0.174,,,,0.267,0.8,0.3,85.0,88.0,88.0,88.0,104.0,103.0,,,,0.13,,0.12,-0.17,,-4.97,87.7,,82.5,0.333,0.5,0.0,,,,0.286,0.643,0.25,,,,,,
2024/07/04,6:10 PM.,COL,MIL,away,Partly Cloudy.,82,615698,C,3,0,1,0,0,0,0,0,0,0,2,.429,.429,.429,.858,615698,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.98,5.31,148.1,96.0,90.0,94.0,0.81,6.67,4.19,9.47,1.4,1.33,0.219,0.425,0.133,0.367,0.407,88.0,97.0,103.0,,,,79.0,95.0,89.0,,,,,,,0.402,,,,0.018,,-2.0,,,1.81,,84.9,93.8,,,,,,0.25,0.531,0.282,0.222,0.222,0.167,,,,98.0,101.0,104.0,76.0,96.0,93.0,109.0,94.0,97.0,0.135,0.32,0.126,-0.41,0.4,-0.77,87.8,86.5,79.6,0.35,0.596,0.184,0.206,0.314,0.234,0.296,0.507,0.203,,,,,,
2024/07/01,6:40 PM.,COL,MIL,away,Partly Cloudy.,84,596295,C,4,0,2,0,0,0,1,0,0,1,2,.500,.500,.500,1.000,596295,austingomber,Gomber,Left,Austin Gomber,COL,4.75,5.07,165.0,102.0,82.0,98.0,0.821,6.33,2.07,9.71,1.64,0.92,0.213,0.423,0.122,0.394,0.446,82.0,103.0,99.0,71.0,98.0,91.0,51.0,110.0,96.0,91.0,103.0,102.0,93.0,109.0,107.0,0.001,0.404,0.167,0.224,0.205,-1.23,-42.96,-0.17,-0.08,-0.15,90.4,81.1,90.1,83.8,77.6,0.305,0.6,0.096,0.22,0.368,0.269,0.28,0.409,0.273,0.274,0.513,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
