date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SV_ba,SV_slg,SV_whiff,FC%,wFC/C,vFC,CU_ba,CU_slg,CU_whiff,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024/05/16,7:10 PM.,LAD,CIN,away,Clear.,64,607192,LF,2,0,1,0,0,0,0,1,0,0,0,.250,.250,.250,.500,607192,tylerglasnow,Glasnow,Right,Tyler Glasnow,LAD,3.49,2.65,134.0,101.0,118.0,106.0,0.715,11.28,2.35,6.18,1.01,1.39,0.215,0.379,0.17,0.293,0.469,,,,118.0,101.0,103.0,101.0,106.0,108.0,108.0,104.0,109.0,0.087,0.45,0.277,,1.04,0.75,1.15,,96.3,,96.6,90.0,0.215,0.421,0.213,0.233,0.395,0.171,,,,0.2,0.333,0.404,,,,139.0,97.0,110.0,0.186,1.93,83.7,,,,,,,0.098,0.174,0.475,,,,,,
2024/05/15,12:40 PM.,AZ,CIN,away,Roof Closed.,78,694297,DH,3,0,0,0,0,0,0,0,0,0,1,.167,.167,.167,.334,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,4.71,3.78,181.2,106.0,107.0,107.0,0.768,9.17,2.08,9.07,1.19,1.07,0.25,0.427,0.131,0.306,0.449,92.0,102.0,96.0,95.0,106.0,103.0,89.0,106.0,104.0,143.0,109.0,119.0,0.222,0.334,0.273,0.112,0.37,-0.09,-0.12,0.84,93.8,87.5,93.7,84.8,0.265,0.466,0.224,0.286,0.365,0.119,0.215,0.455,0.362,,,,0.25,0.289,0.312,106.0,102.0,104.0,0.053,-1.37,80.8,,,,,,,0.429,0.571,0.295,0.006,0.45,89.6,0.2,0.8,0.0
2024/05/14,6:40 PM.,AZ,CIN,away,Roof Closed.,78,677944,DH,2,1,1,0,0,0,0,0,0,1,1,.333,.333,.333,.666,677944,sladececconi,Cecconi,Right,Slade Cecconi,ARI,6.66,4.52,77.0,105.0,102.0,105.0,0.816,7.48,1.99,10.75,1.87,0.69,0.3,0.356,0.162,0.332,0.485,103.0,98.0,100.0,95.0,109.0,106.0,,,,117.0,100.0,105.0,,0.548,0.24,0.121,-1.46,,-1.24,-0.57,94.4,81.8,,85.1,0.329,0.582,0.164,,,,,,,0.278,0.494,0.207,0.227,0.432,0.269,103.0,101.0,106.0,0.09,-1.42,75.4,,,,0.001,3.94,90.4,0.2,0.4,0.289,,,,,,
2024/05/12,1:06 PM.,SF,CIN,away,Partly Cloudy.,57,690986,DH,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,690986,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.56,4.87,124.1,98.0,89.0,92.0,0.793,8.54,3.04,9.05,1.3,1.01,0.282,0.329,0.142,0.345,0.431,70.0,96.0,88.0,98.0,100.0,92.0,,,,93.0,107.0,97.0,,0.577,0.003,0.197,0.2,,-11.71,-1.64,92.5,84.8,,88.2,0.249,0.425,0.23,,,,,,,0.333,0.667,0.5,0.287,0.435,0.215,84.0,95.0,95.0,0.223,-0.22,80.6,0.274,0.452,0.277,,,,,,,,,,,,
2024/05/11,4:16 PM.,SF,CIN,away,Sunny.,66,696131,DH,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,696131,masonblack,Black,Right,Mason Black,SFG,6.44,6.13,36.1,101.0,99.0,99.0,0.858,7.68,3.72,11.39,1.73,0.69,0.225,0.392,0.167,0.367,0.431,92.0,88.0,77.0,86.0,103.0,98.0,101.0,100.0,97.0,109.0,97.0,101.0,0.285,0.321,0.371,0.023,-2.69,-1.0,-0.68,-13.48,92.4,87.6,92.6,83.3,0.333,0.548,0.236,0.326,0.535,0.08,0.318,0.591,0.16,0.0,0.0,0.179,0.667,0.833,0.0,,,,,,,,,,,,,,,,,,,,,
