date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CH%,wFA/C,wSL/C,wCH/C,vFA,vCH,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff
2024/09/05,12:45 PM.,SF,AZ,away,Sunny.,70,605483,CF,0,0,0,0,0,0,0,0,0,0,0,.176,.176,.294,.470,605483,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.57,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,110.0,108.0,116.0,116.0,96.0,100.0,106.0,87.0,91.0,0.464,0.101,0.176,1.16,0.11,0.95,95.9,85.5,88.7,0.2,0.303,0.244,0.167,0.267,0.446,0.236,0.319,0.476,,,,,,,,,,,,,,,,,,,,,,148.0,99.0,109.0,0.26,2.25,81.1,0.111,0.183,0.498,,,,,,,,,
2024/09/04,6:45 PM.,SF,AZ,away,Partly Cloudy.,71,806185,CF,1,0,0,0,0,0,0,0,0,0,1,.176,.176,.294,.470,806185,haydenbirdsong,Birdsong,Right,Hayden Birdsong,SFG,4.75,4.65,72.0,92.0,111.0,97.0,0.728,11.0,5.38,7.13,1.38,0.96,0.239,0.394,0.1,0.417,0.382,155.0,91.0,114.0,90.0,89.0,85.0,119.0,90.0,100.0,0.446,0.184,0.184,-0.02,-0.26,-0.87,95.8,88.1,86.4,0.216,0.44,0.182,0.244,0.512,0.487,0.269,0.365,0.349,,,,,,,,,,,,,,,,,,,,,,111.0,102.0,104.0,0.187,0.82,80.5,0.145,0.218,0.327,,,,,,,,,
2024/09/03,6:44 PM.,SF,AZ,away,Clear.,74,690986,CF,4,1,0,0,0,0,0,1,0,0,4,.188,.188,.313,.501,690986,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.56,4.87,124.1,98.0,89.0,92.0,0.793,8.54,3.04,9.05,1.3,1.01,0.282,0.329,0.142,0.345,0.431,70.0,96.0,88.0,98.0,100.0,92.0,93.0,107.0,97.0,0.577,0.003,0.197,0.2,-11.71,-1.64,92.5,84.8,88.2,0.249,0.425,0.23,0.333,0.667,0.5,0.287,0.435,0.215,,,,,,,,,,,,,,,,,,,,,,84.0,95.0,95.0,0.223,-0.22,80.6,,,,,,,,,,0.274,0.452,0.277
2024/09/02,1:10 PM.,LAD,AZ,home,Roof Closed.,76,656427,PH,1,0,0,0,0,0,0,0,0,1,0,.250,.250,.417,.667,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,87.0,83.0,81.0,92.0,104.0,101.0,95.0,102.0,102.0,0.441,0.29,0.027,0.5,0.02,-0.55,93.3,85.7,84.7,0.245,0.401,0.238,0.222,0.455,0.363,0.111,0.333,0.111,75.0,85.0,72.0,,,,0.023,,,-5.05,,90.6,,,,,,,0.6,1.2,0.4,,,,,,,0.164,0.219,0.436,101.0,103.0,107.0,0.218,2.19,77.4,,,
2024/09/01,1:10 PM.,LAD,AZ,home,Roof Closed.,78,680736,LF,1,1,1,1,0,0,0,0,0,0,0,.273,.273,.455,.728,680736,justinwrobleski,Wrobleski,Left,Justin Wrobleski,LAD,5.7,6.45,36.1,97.0,95.0,96.0,0.802,6.44,3.96,8.42,2.23,0.69,0.324,0.216,0.162,0.378,0.463,48.0,88.0,90.0,104.0,97.0,97.0,106.0,104.0,103.0,0.591,0.083,0.032,0.61,-6.42,-3.53,95.1,83.9,84.4,0.205,0.386,0.23,0.267,0.8,0.3,,,,45.0,88.0,78.0,88.0,104.0,103.0,0.044,0.13,-0.17,-1.16,87.7,91.4,0.286,0.643,0.25,,,,0.333,0.5,0.0,85.0,88.0,88.0,0.12,-4.97,82.5,0.385,0.846,0.174,,,,,,,,,
2024/04/03,12:40 PM.,NYY,AZ,home,Sunny.,77,607074,CF,5,1,1,0,0,0,1,0,0,0,3,.200,.200,.300,.500,607074,carlosrodon,Rodón,Left,Carlos Rodón,NYY,3.96,4.14,175.0,97.0,122.0,103.0,0.716,10.03,2.93,8.07,1.59,0.69,0.257,0.399,0.143,0.329,0.396,129.0,92.0,106.0,114.0,98.0,101.0,144.0,104.0,113.0,0.494,0.26,0.129,0.05,-0.4,1.44,95.4,85.5,86.8,0.262,0.514,0.214,0.199,0.361,0.393,0.188,0.247,0.495,,,,100.0,83.0,82.0,,0.035,-3.11,,91.8,,0.353,0.647,0.255,,,,,,,103.0,86.0,93.0,0.083,-1.32,81.0,0.281,0.531,0.276,,,,,,,,,
2024/04/02,6:40 PM.,NYY,AZ,home,Clear.,72,641482,CF,4,0,0,0,0,0,0,0,0,1,3,.200,.200,.400,.600,641482,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.77,3.62,174.1,101.0,101.0,101.0,0.79,8.36,2.01,8.36,1.24,0.64,0.253,0.37,0.164,0.317,0.432,86.0,102.0,94.0,99.0,103.0,100.0,99.0,98.0,101.0,0.442,0.168,0.097,0.25,-1.27,-0.89,92.1,83.6,78.2,0.235,0.443,0.215,0.364,0.727,0.167,0.226,0.369,0.326,86.0,116.0,113.0,109.0,100.0,102.0,0.014,0.28,1.32,1.37,87.5,90.3,0.249,0.378,0.251,0.284,0.511,0.25,0.143,0.143,0.316,,,,,,,,,,,,,,,,,,
2024/04/01,6:40 PM.,NYY,AZ,home,Roof Closed.,72,661563,PH,1,0,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,661563,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,128.0,96.0,102.0,108.0,94.0,105.0,0.488,0.259,0.253,0.06,1.37,0.37,96.6,91.6,87.5,0.205,0.395,0.285,0.171,0.312,0.315,0.179,0.282,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
