date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,CU%,wFC/C,wFS/C,wCU/C,vFC,vFS,vCU,SV_ba,SV_slg,SV_whiff,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff
2024/10/25,5:11 PM.,LAD,NYY,away,Clear.,76,656427,PR,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,656427,jackflaherty,Flaherty,Right,Jack Flaherty,- - -,3.17,3.54,162.0,102.0,94.0,102.0,0.712,10.78,2.11,7.5,1.33,1.05,0.223,0.436,0.157,0.3,0.38,87.0,83.0,81.0,92.0,104.0,101.0,75.0,85.0,72.0,95.0,102.0,102.0,101.0,103.0,107.0,0.023,0.441,0.29,0.218,0.027,0.5,-5.05,0.02,2.19,-0.55,93.3,85.7,90.6,84.7,77.4,0.111,0.333,0.111,0.245,0.401,0.238,0.6,1.2,0.4,0.222,0.455,0.363,0.164,0.219,0.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/10/19,8:09 PM.,CLE,NYY,away,Clear.,58,676440,PR,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,92.0,103.0,98.0,89.0,64.0,93.0,113.0,102.0,109.0,,,,0.003,0.434,0.278,,0.18,-0.69,-1.41,1.74,,0.13,94.6,82.5,93.9,86.2,,0.238,0.431,0.291,0.282,0.476,0.213,,,,0.196,0.411,0.299,0.208,0.458,0.184,,,,119.0,109.0,112.0,,,,,,,,,0.105,,,-0.9,,,81.3,,,,0.141,0.225,0.368,,,
2024/10/17,5:08 PM.,CLE,NYY,away,Clear.,57,571510,DH,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,571510,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.72,3.1,39.2,102.0,75.0,95.0,0.715,10.44,2.95,7.26,0.91,0.66,0.286,0.324,0.21,0.295,0.411,83.0,105.0,100.0,66.0,100.0,91.0,78.0,101.0,90.0,74.0,101.0,98.0,,,,0.102,0.383,0.173,,0.262,1.47,-2.47,1.14,,0.04,92.0,80.9,91.8,79.5,,0.261,0.37,0.352,0.15,0.25,0.246,0.32,0.64,0.071,0.148,0.222,0.449,0.167,0.25,0.474,,,,85.0,100.0,98.0,,,,,,,,,0.081,,,1.41,,,74.1,,,,,,,,,
2024/09/29,4:36 PM.,PIT,NYY,home,Rain.,61,663559,LF,3,1,0,0,0,0,0,0,1,0,1,.179,.313,.304,.617,663559,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.81,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,,,,85.0,100.0,97.0,99.0,101.0,99.0,91.0,96.0,96.0,,,,0.142,0.484,0.216,,,0.38,1.23,0.27,,,91.8,,92.0,86.1,,,,,0.255,0.41,0.166,0.26,0.448,0.157,0.245,0.304,0.287,0.305,0.61,0.207,,,,100.0,99.0,98.0,,,,43.0,95.0,70.0,,0.006,0.152,,-7.04,-1.24,,86.9,77.7,,,,,,,0.333,1.333,0.125
2024/09/28,1:08 PM.,PIT,NYY,home,Overcast.,65,694973,LF,4,0,1,0,0,0,0,0,1,1,2,.189,.317,.321,.638,694973,paulskenes,Skenes,Right,Paul Skenes,PIT,1.96,2.53,133.0,103.0,102.0,103.0,0.736,11.5,2.17,6.36,0.68,1.66,0.216,0.464,0.193,0.235,0.427,82.0,108.0,107.0,98.0,107.0,103.0,80.0,95.0,86.0,131.0,101.0,113.0,,,,0.284,0.392,0.162,,0.054,0.64,3.52,0.8,,2.34,98.8,87.3,94.0,85.4,,0.088,0.118,0.548,0.23,0.351,0.242,0.184,0.234,0.293,0.286,0.571,0.328,0.25,0.375,0.337,0.104,0.188,0.226,105.0,100.0,104.0,,,,,,,,,0.108,,,-0.18,,,83.0,,,,,,,,,
2024/09/27,7:09 PM.,PIT,NYY,home,Partly Cloudy.,69,683003,LF,2,0,0,0,0,0,0,0,2,2,2,.184,.310,.327,.637,683003,jaredjones,Jones,Right,Jared Jones,PIT,4.14,4.05,121.2,102.0,127.0,108.0,0.726,9.76,2.88,7.84,1.33,0.93,0.238,0.39,0.149,0.335,0.458,113.0,99.0,106.0,132.0,102.0,109.0,,,,130.0,103.0,111.0,,,,,0.493,0.348,,0.066,0.15,,1.12,,-2.91,97.3,89.9,,88.8,,0.317,0.561,0.229,0.224,0.425,0.257,,,,0.208,0.354,0.373,0.348,0.87,0.327,,,,95.0,96.0,98.0,,,,,,,,,0.093,,,-2.53,,,81.5,,,,,,,,,
2024/09/26,7:09 PM.,BAL,NYY,home,Cloudy.,73,669203,LF,2,1,0,0,0,0,0,1,1,2,1,.191,.296,.340,.636,669203,corbinburnes,Burnes,Right,Corbin Burnes,BAL,2.92,3.34,194.1,103.0,120.0,107.0,0.735,8.38,2.22,7.64,1.02,1.4,0.21,0.425,0.19,0.289,0.399,110.0,98.0,103.0,,,,104.0,95.0,89.0,133.0,105.0,120.0,,,,0.078,,0.146,,0.11,,-0.5,0.7,,0.2,,89.2,97.0,87.2,,0.194,0.339,0.377,,,,0.235,0.412,0.157,0.196,0.268,0.463,0.2,0.326,0.378,0.125,0.5,0.457,109.0,101.0,106.0,125.0,105.0,108.0,,,,0.45,,0.215,1.37,,0.44,95.3,,80.3,,,,0.251,0.362,0.19,,,
2024/09/25,7:08 PM.,BAL,NYY,home,Overcast.,65,621107,LF,4,0,1,0,0,0,0,0,0,0,1,.200,.294,.356,.650,621107,zacheflin,Eflin,Right,Zach Eflin,- - -,3.59,3.67,165.1,107.0,92.0,103.0,0.808,7.29,1.31,9.04,1.2,1.14,0.235,0.446,0.174,0.323,0.45,87.0,101.0,103.0,61.0,105.0,94.0,91.0,109.0,105.0,122.0,107.0,113.0,,,,0.282,0.09,0.097,,0.061,-0.64,0.0,0.46,,0.21,92.4,85.6,91.7,79.7,,0.188,0.354,0.105,0.236,0.418,0.248,0.293,0.404,0.133,,,,0.291,0.472,0.333,0.236,0.473,0.203,108.0,112.0,108.0,85.0,105.0,98.0,,,,0.282,,0.188,1.54,,-1.27,88.2,,78.8,,,,0.214,0.345,0.223,,,
2024/09/24,7:10 PM.,BAL,NYY,home,Partly Cloudy.,65,665152,PH,1,0,0,0,0,0,0,0,0,0,1,.195,.298,.366,.664,665152,deankremer,Kremer,Right,Dean Kremer,BAL,4.1,4.49,129.2,100.0,88.0,98.0,0.798,8.54,3.54,7.63,1.25,0.99,0.25,0.394,0.231,0.285,0.423,,,,91.0,100.0,99.0,79.0,105.0,97.0,,,,,,,0.151,0.32,,,,-0.18,0.67,,,,93.4,,92.3,,,,,,0.245,0.503,0.232,0.247,0.353,0.072,,,,0.225,0.3,0.198,,,,92.0,98.0,96.0,99.0,102.0,98.0,72.0,99.0,99.0,0.23,0.184,0.114,0.33,0.73,0.29,86.9,84.1,77.0,,,,0.25,0.355,0.237,0.139,0.248,0.36
2024/09/22,1:08 PM.,OAK,NYY,away,Sunny.,69,683155,LF,4,1,1,0,0,1,2,0,0,0,3,.200,.304,.375,.679,683155,joeyestes,Estes,Right,Joey Estes,OAK,5.01,4.43,127.2,106.0,91.0,104.0,0.833,6.49,1.9,9.16,1.62,0.44,0.258,0.413,0.171,0.302,0.479,78.0,93.0,94.0,80.0,106.0,99.0,61.0,93.0,83.0,114.0,113.0,117.0,,,,0.034,0.517,0.332,,0.111,0.08,-1.55,-0.2,,-2.46,92.4,84.8,90.8,79.6,,0.357,0.738,0.204,0.257,0.469,0.175,0.263,0.579,0.147,0.261,0.435,0.223,,,,0.217,0.367,0.216,,,,111.0,89.0,91.0,,,,0.007,,,-13.81,,,86.4,,,,,,,,,,,
