date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,FO%,wFO/C,vFO
2024/07/29,7:11 PM.,BOS,SEA,away,Partly Cloudy.,72,601713,1B,1,0,0,0,0,0,0,0,0,1,1,.156,.224,.311,.535,601713,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,4.14,3.51,145.2,104.0,133.0,108.0,0.775,10.63,2.22,7.91,1.73,0.69,0.238,0.42,0.142,0.378,0.449,,,,122.0,105.0,108.0,155.0,103.0,111.0,,,,104.0,96.0,82.0,0.486,0.059,0.291,,,0.73,-4.63,-0.1,,,93.9,88.3,,82.6,,0.239,0.399,0.218,,,,0.143,0.393,0.326,0.394,0.879,0.211,0.167,0.4,0.206,,,,,,,,,,0.224,0.436,0.35,118.0,104.0,104.0,0.163,0.61,80.0,,,,,,,,,,,,
2024/07/28,1:10 PM.,CWS,SEA,away,Cloudy.,81,676979,1B,2,0,0,0,0,0,0,0,1,1,3,.159,.229,.318,.547,676979,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.58,2.85,146.0,103.0,102.0,103.0,0.694,12.88,2.03,7.58,1.11,1.25,0.259,0.394,0.175,0.33,0.458,66.0,101.0,102.0,104.0,103.0,103.0,138.0,102.0,107.0,,,,94.0,105.0,103.0,0.537,0.284,0.098,,0.059,1.66,-0.14,-2.29,,-0.36,97.2,91.6,91.0,84.3,,0.198,0.295,0.314,0.184,0.289,0.339,,,,0.268,0.458,0.334,,,,123.0,98.0,97.0,0.021,4.04,97.9,0.154,0.154,0.321,0.228,0.561,0.422,,,,,,,,,,,,,,,,,,
2024/07/27,6:15 PM.,CWS,SEA,away,Partly Cloudy.,84,607200,1B,4,0,0,0,0,0,0,0,1,3,3,.167,.222,.333,.555,607200,erickfedde,Fedde,Right,Erick Fedde,- - -,3.3,3.91,177.1,104.0,90.0,99.0,0.807,7.82,2.64,7.82,1.02,1.07,0.264,0.367,0.181,0.309,0.399,86.0,108.0,106.0,17.0,112.0,76.0,126.0,101.0,106.0,,,,78.0,104.0,97.0,0.003,0.323,0.202,,0.164,-6.18,0.43,1.28,,-0.54,92.9,89.9,87.7,83.5,,0.5,0.5,0.0,0.228,0.351,0.165,,,,0.262,0.47,0.232,,,,76.0,105.0,93.0,0.308,0.59,93.0,0.25,0.358,0.202,0.165,0.309,0.251,,,,,,,,,,,,,,,,,,
2024/07/24,12:40 PM.,LAA,SEA,home,Sunny.,65,656288,1B,4,0,0,0,0,0,0,0,0,1,3,.184,.225,.368,.593,656288,griffincanning,Canning,Right,Griffin Canning,LAA,5.19,4.74,171.2,98.0,88.0,97.0,0.772,6.82,3.46,9.12,1.63,1.04,0.225,0.434,0.128,0.367,0.401,96.0,102.0,102.0,73.0,94.0,86.0,107.0,100.0,110.0,,,,,,,0.376,,0.24,,0.267,-0.85,,-0.91,,0.48,93.4,,88.6,87.7,,0.251,0.529,0.147,0.259,0.387,0.288,0.284,0.444,0.331,,,,0.271,0.438,0.241,76.0,89.0,78.0,0.01,-6.83,93.0,0.429,0.857,0.0,,,,75.0,96.0,96.0,0.107,-0.86,80.6,,,,,,,,,,,,
2024/07/23,6:40 PM.,LAA,SEA,home,Clear.,73,667755,1B,4,0,1,0,0,0,0,0,0,2,1,.206,.250,.412,.662,667755,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.42,4.14,113.0,95.0,100.0,99.0,0.779,7.73,3.58,7.25,0.64,2.69,0.212,0.399,0.171,0.294,0.404,,,,96.0,92.0,86.0,117.0,92.0,99.0,98.0,96.0,108.0,,,,0.146,,0.055,0.254,,-2.05,,0.02,-0.42,,98.8,,,91.5,86.4,0.356,0.622,0.103,,,,0.143,0.214,0.463,,,,0.226,0.376,0.402,95.0,95.0,96.0,0.464,2.22,97.7,0.214,0.26,0.167,,,,,,,,,,120.0,100.0,112.0,0.081,0.8,92.7,0.15,0.3,0.329,,,
2024/06/21,7:11 PM.,MIA,SEA,away,Roof Closed.,72,669432,1B,0,0,0,0,0,0,0,0,0,0,0,.200,.250,.433,.683,669432,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,- - -,4.92,5.18,124.1,100.0,83.0,98.0,0.811,7.02,4.05,10.13,1.01,1.38,0.215,0.422,0.131,0.358,0.392,111.0,108.0,115.0,66.0,101.0,93.0,74.0,93.0,91.0,,,,,,,0.317,,0.206,,0.238,-0.26,,-1.99,,-1.32,91.9,,85.6,82.4,,0.252,0.467,0.234,0.295,0.396,0.238,0.312,0.506,0.259,,,,,,,86.0,97.0,92.0,0.24,-0.36,91.5,0.292,0.492,0.1,,,,,,,,,,,,,,,,,,,,,
2024/06/20,1:10 PM.,CLE,SEA,away,Partly Cloudy.,88,671106,1B,3,0,0,0,0,0,0,0,0,0,3,.200,.250,.433,.683,671106,loganallen,"Allen, L.T.",Left,Logan Allen,CLE,5.73,5.9,97.1,96.0,77.0,91.0,0.803,7.3,3.79,10.45,2.03,1.13,0.234,0.396,0.136,0.328,0.405,99.0,92.0,94.0,60.0,98.0,88.0,89.0,98.0,86.0,,,,91.0,97.0,96.0,0.484,0.146,0.187,,0.183,-1.54,-0.03,-2.55,,-0.92,91.2,85.3,81.7,78.6,,0.342,0.609,0.147,0.237,0.438,0.269,,,,0.245,0.491,0.202,,,,,,,,,,,,,0.273,0.576,0.333,,,,,,,,,,,,,,,,,,
2024/06/19,6:42 PM.,CLE,SEA,away,Partly Cloudy.,85,676440,1B,0,0,0,0,0,0,0,0,0,0,0,.222,.276,.481,.757,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,3.47,3.78,173.2,103.0,99.0,104.0,0.76,9.69,2.28,7.77,1.14,0.78,0.285,0.408,0.153,0.297,0.445,82.0,100.0,108.0,92.0,103.0,98.0,113.0,102.0,109.0,,,,,,,0.434,,0.278,,0.18,-0.69,,1.74,,0.13,94.6,,82.5,86.2,,0.282,0.476,0.213,0.238,0.431,0.291,0.196,0.411,0.299,0.141,0.225,0.368,0.208,0.458,0.184,89.0,64.0,93.0,0.003,-1.41,93.9,,,,,,,119.0,109.0,112.0,0.105,-0.9,81.3,,,,,,,,,,,,
2024/06/16,1:10 PM.,TEX,SEA,home,Partly Cloudy.,54,641540,1B,4,1,1,0,0,1,1,0,0,2,3,.222,.276,.481,.757,641540,danedunning,Dunning,Right,Dane Dunning,TEX,5.31,5.28,95.0,98.0,82.0,94.0,0.785,8.62,3.79,9.19,1.71,1.15,0.158,0.5,0.127,0.345,0.425,83.0,94.0,86.0,40.0,103.0,91.0,102.0,100.0,97.0,58.0,89.0,98.0,74.0,99.0,94.0,0.028,0.188,0.234,0.047,0.125,-2.6,-0.73,-1.44,0.09,-1.22,89.2,88.1,85.0,80.6,75.6,0.25,0.583,0.259,0.233,0.488,0.327,0.274,0.512,0.304,0.254,0.46,0.242,0.0,0.0,0.429,79.0,102.0,97.0,0.377,0.0,89.7,0.276,0.442,0.133,,,,,,,,,,,,,,,,,,,0.001,-6.34,76.4
2024/06/15,4:16 PM.,TEX,SEA,home,Partly Cloudy.,59,543135,1B,3,0,0,0,0,0,0,1,1,2,3,.217,.280,.391,.671,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.8,3.91,170.2,104.0,98.0,103.0,0.751,8.75,2.21,7.75,1.21,1.47,0.227,0.399,0.119,0.341,0.458,,,,75.0,105.0,98.0,114.0,102.0,102.0,,,,91.0,108.0,99.0,0.374,0.148,0.033,,,0.83,-1.41,-0.69,,,95.4,91.4,,86.3,,0.212,0.335,0.178,,,,0.269,0.462,0.25,0.327,0.624,0.2,0.214,0.471,0.355,,,,,,,,,,,,,99.0,104.0,104.0,0.137,-0.79,76.7,127.0,101.0,110.0,0.308,1.55,88.4,0.2,0.286,0.368,,,
